ETR_,ETRE.    	The French for 'to be' is 'être'.
_ILE,"NILE.    	Memphis was an ancient city on the River Nile. The ruins of Memphis are located just south of Cairo, Egypt. It was a magnificent city that eventually failed due to the economic success of the city of Alexandria located further down the river, right on the Mediterranean coast."
INR_,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
TA_,"TAT.    	The word ""tattoo"" was first used in English in the writings of Captain Cook. In his descriptions of the indelible marks adorning skin of Polynesian natives, he anglicized the Tahitian word ""tatau"" into ""tattoo""."
_EO,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
_HE,"CHE.    	""Evita"" was the follow up musical to ""Jesus Christ Superstar"" for Andrew Lloyd Webber and Tim Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). For the original album's cast they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play Che, the narrator of the piece. 'Evita' was made into a film in 1996, with Madonna playing the title role."
R_O,"REO.    	The REO Motor Company was founded by Ransom Eli Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
_LSA,ELSA.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
E_MO,"ELMO.    	The last 15 minutes of the children's show 'Sesame Street' was called 'Elmo's World'. 'Elmo's World' was directed towards younger viewers, around 3-years-old."
_EO,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
EL_A,ELSA.    	The Princess Elsa brings to the snowman Olaf to life in the 2013 animated film 'Frozen'.
LSA_,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
UZ_,"UZI.    	The first Uzi sub-machine gun was designed in the late 1940s, by Major Uziel Gal, who gave his name to the gun."
_ARA,"LARA.    	Lara Logan is a South African newswoman, currently the Chief Foreign Affairs Correspondent for CBS News."
Y_ER,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
N_EL,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
N_A,"NIA.    	Actress Nia Peeples played the character Nicole Chapman in the TV series ""Fame""."
_IRE,"EIRE.    	The city of Dublin, the capital of Ireland, is known as Baile Átha Cliath in Irish ('town of the hurdled ford'). The English name 'Dublin' is an anglicized form of the older Irish name for the city 'Dubh Linn', meaning 'black pool'."
ALD_,"ALDA.    	Alan Alda has had a great television career, especially of course on 'M*A*S*H'. Alda won his first Emmy in 1972, for playing Hawkeye Pierce on 'M*A*S*H'. He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy 'Same Time, Next Year' in which he starred opposite Ellen Burstyn."
ACM_,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
_ON,"RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
I_O,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
M_A,"MIA.    	Mia Hamm is a retired American soccer player, a forward who played on the US national team that won the FIFA women's World Cup in 1991. Mia Hamm is quite the player and has scored 158 international goals, more than other player in the world, male or female."
_TRE,"ETRE.    	The 'passé simple' is a tense in French that is used mainly in formal writing. The 'passé simple' is a past tense, one that is divorced from the present meaning that the verb describes something that has happened in the past and has definitely been completed. The 'passé simple' for the verb 'être' meaning 'to be' is: 'je fus, tu fus, il fut, nous fûmes, vous fûtes, ils furent'."
_SA,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
_YRE,"EYRE.    	Lake Eyre is located in the deserts of central Australia, and at 49 feet below sea level, it is the lowest point in the country."
L_RA,LARA.    	The heroine of Boris Pasternak's epic novel 'Doctor Zhivago' is Lara. The Lara character was inspired by Pasternak's mistress Olga Ivinskaya.
_MAHA,"OMAHA.    	Omaha is the largest city in the state of Nebraska. It is located on the Missouri River, about 10 miles north of the mouth of the Platte River When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
YSE_,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
NIL_,"NILE.    	The River Nile runs through two national capitals: Cairo in Egypt, and Khartoum in Sudan."
NOE_,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name for a Christmas carol."
A_AB,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
_SS,"ASS.    	""Doofus"" (also ""dufus"") is student slang that has been around since the sixties. Apparently the word is some variant of the equally unattractive ""doo-doo""."
O_IO,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
N_AP,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tide, the sun and the moon's gravitational forces act in concert causing more extreme movement of the oceans."
_AU,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
_ON,"RON.    	Ronald Reagan started out his political career as a member of the Democratic Party, but switched to the Republicans in the early fifties. He served as Governor of California for eight years, and vied unsuccessfully for the nomination for US President on two occasions. He finally succeeded in 1980 and defeated President Jimmy Carter to become the 40th US President in 1981."
AB_L,"ABEL.    	As Cain was the first murderer according the Bible, he is associated with evil or trouble. The idiom 'raise Cain' is the equivalent of 'raise Hell' and 'raise the Devil'. In all cases the meaning is to bring back evil or to cause trouble."
C_L,"CEL.    	In the world of animation a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
_MAHA,"OMAHA.    	Warren Buffett is one of my heroes. Despite being the third wealthiest man in the world, he lives a relatively frugal and modest life. He also has a very Jeffersonian attitude towards the role his wealth plays within his family. He has set up his estate so that his children get enough money to be independent, but the vast majority of his assets are going to charity, both before and after he dies."
R_O,REO.    	The REO Speed Wagon (note the space between 'speed' and 'wagon') is the vehicle. REO Speedwagon (no space) is the American rock band.
MB_,"MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
LA_,"LAO.    	Lao, the language of Laos, does not use spaces between words (or periods!), although this is apparently changing. Spaces are used between sentences and clauses."
AS_ER,"ASNER.    	""Up"" is the tenth movie released by Pixar studios, featuring wonderful animation as one has come to expect from Pixar. It earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy in his last film, 'Guess Who's Coming to Dinner'."
E_SA,ELSA.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
EY_E,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on the blog that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
TA_,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
KI_,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
TI_,"TIA.    	The Mexican city of Acapulco is on the southwest coast of the country, in the state of Guerrero. The name 'Acapulco' translates from the local language into 'at the big reeds'."
TI_,"TIA.    	Tia Maria is a coffee liqueur that was invented just after WWII in Jamaica, using Jamaican coffee beans. The name translates to ""Aunt Maria""."
CN_,"CNN.    	Anderson Cooper is a great news personality on CNN and on various shows around the dial. My favorite appearances of his, although he would call them trivial I am sure, were hosting a great reality game show called ""The Mole"" that aired in 2001."
O_AHA,OMAHA.    	Omaha Steaks is a company that sells meat and related products directly to end customers. Omaha steaks are shipped directly to purchasers in coolers packed with ice.
UTA_,"UTAH.    	The Great Salt Lake in Utah is extremely shallow, and so the area of the lake fluctuates greatly with the changing volume of water. Back in 1963 the lake shrunk to 950 square miles, whereas in 1988 the area was measured at a whopping 3,300 square miles."
DE_,DEA.    	Drug Enforcement Administration (DEA)
EE_,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
UK_,"UKE.    	The ukulele originated in the 1800s, and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants."
MI_,MIA.    	Missing in action (MIA)
NO_L,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
EL_O,"ELMO.    	The 'Sesame Street' character has a birthday every February 3rd, and on that birthday he always turns 3&#189; years old. The man behind/under Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
C_E,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aries. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
AS_ER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day ..."
T_I,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
EM_,"EMI.    	EMI was a British music company, with the acronym originally standing for Electric and Musical Industries."
E_AS,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character 'H'. Originally denoting a consonant, eta was used as a long vowel in Ancient Greek."
_AB,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
_EESE,REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
_CRE,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
AB_L,"ABEL.    	The story of Cain and Abel not only appears in the Christian and Hebrew Bibles, it also features in the Qur'an. In the Muslim account the brothers are named Qabil and Habil."
E_IOT,"ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of his college education was at Oxford, and clearly he became comfortable with life in England. In 1927 he became a British citizen, and lived the rest of life in the UK."
CE_,"CEO.    	Steve Jobs certainly was a business icon in Silicon Valley. I don't think it is too surprising to learn that the brilliant Jobs didn't even finish his college education, dropping out of Reed College in Oregon after only one semester. Steve Jobs co-founded Apple in 1976, but in 1985 he was basically fired from his own company during the computer sales slump of the mid-eighties. Jobs then founded NeXT Computer, a company focused on supplying workstations to the higher education and business markets. Apple purchased NeXT in 1996, and that's how Jobs found himself back with his original company."
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
E_LE,"ERLE.    	Erle Cox was an Australian journalist as well as an author of science fiction. His most famous novel is ""Out of the Silence"" first published in installments in his newspaper in 1919. The story is about a gigantic sphere that is discovered underground in Australia, containing the accumulated knowledge of a past civilization."
_ON,"RON.    	Coach and former football player Ron Rivera played for the California Golden Bears while at school, before turning professional with the Chicago Bears. Rivera took over as head coach with the Carolina Panthers in 2011."
E_RE,EIRE.    	The island of Ireland is known as 'Éire ' in the Irish language. 'Éire' is also the Irish name of the sovereign state known in English as the Republic of Ireland.
AR_,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
NI_,"NIA.    	Not only was the delightful Nia Vardalos the star of the 2002 hit movie ""My Big Fat Greek Wedding"", she also wrote the screenplay. The film never made it to number one at the box office, but it still pulled in more money than any other movie in history not to make it to number one. That record I think reflects that the film wasn't a blockbuster but rather a so-called ""sleeper hit"", a movie that people went to see based on referrals from friends. The big fat mistake came when a spin-off TV show was launched, ""My Big Fat Greek Life"". It only ran for 7 episodes."
IC_,"ICI.    	Dijon is a city in eastern France, in the Burgundy region. Dijon is famous for its mustard, a particularly strong variation of the condiment. The European Union doesn't protect the name ""Dijon"" so anyone can use it on a label. That seems fair enough to me, given that 90% of the mustard made in and around Dijon is produced using mustard seed imported from Canada."
E_T,"EMT.    	Cardiopulmonary resuscitation (CPR) has for decades involved the simultaneous compression of the chest to pump blood using the heart, and artificial respiration by blowing air into the lungs. Nowadays emergency services are placing more emphasis on heart compressions, and less on artificial respiration."
D_T,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
_IA,"TIA.    	In Spanish, an aunt (tia) is a member of the family (la familia)."
S_E,SHE.    	No one seems to be very certain of the origin of the phrase 'that's all she wrote'. One popular story though is that it stems from the unfortunate 'Dear John' letters that some soldiers received during WWII.
OL_O,"OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
EE_,"EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
DS_,"DSL.    	The abbreviation 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
AS_,"ASS.    	Balaam was a diviner who appears in the Book of Numbers in the Hebrew Bible. In one story, Balaam is held to task by an angel for particularly cruel treatment of an ass."
_AR,"EAR.    	An otoscope is that instrument that an Ear, Nose and Throat specialist (ENT) uses to look into the interior of your ears."
H_R,"HER.    	Hannah and Her Sisters' is a 1986 comedy-drama film that was written and directed by Woody Allen. Hannah is played by Mia Farrow, and Hannah's two sisters are played by Barbara Hershey and Dianne Wiest."
O_IO,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
O_AHA,"OMAHA.    	Clarkson College is a private school in Omaha, Nebraska that specializes in degrees that qualify students for the healthcare industry. Clarkson was founded in 1888 as a two-year nursing school at the Bishop Clarkson Memorial Hospital."
INR_,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). It literally means ""in the matter"", and is used as ""in regard to"", or ""in the matter of""."
_CI,"ICI.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean, ""You are here"", and you'll often see them on maps in the street."
PD_,PDA.    	Personal digital assistant (PDA)
_CME,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mainly in the Road Runner cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme designed to finally capture the Road Runner, but the equipment always led to his downfall instead."
_AR,"EAR.    	The 1941 Disney animated film 'Dumbo' was made soon a year after the feature 'Fantasia'. 'Dumbo' was largely a commercial venture. The film was made quickly and released in theaters as soon as possible, the idea being to recoup the financial losses incurred by 'Fantasia'."
_CRE,"ACRE.    	In the Public Land Survey System, land right across the country is divided into townships and sections. A section is roughly equivalent to a square mile, 640 acres. It became the practice to refer to quarter-quarter divisions of a section, with a quarter of a quarter of a section being equal to 40 acres (check the math!). From this sprung phrases like 'lower 40' (nominally the lowest elevation 40 acres on a property) and the 'back 40' (nominally a 40 acre parcel that was undeveloped on a property, 'out the back')."
RE_,"REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours, and is the period associated with one's most vivid dreams."
UK_,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
M_A,MIA.    	Missing in action (MIA)
CE_,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
_DS,TDS.    	Touchdowns (TDs)
H_R,"HER.    	Spike Jonze is a movie director whose first feature film was 'Being John Malkovich' (1999). Jonze also directed a couple of films for which he wrote the screenplays, namely 'Where the Wild things Are' (2009) and 'Her' (2013). Jonze also co-created the MTV show 'Jackass'. Can't stand that show, said he grumpily ..."
_RSE,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
I_O,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
TA_,"TAI.    	Tai Babilonia is a retired figure skater, long time partner of Randy Gardner. The pair started skating together when she was just eight years old, and stayed together until she was 49, retiring in 2008. Babilonia is engaged to the comedian David Brenner."
A_AB,"AHAB.    	Captain Ahab is the obsessed and far from friendly captain of the Pequod in Herman Melville's ""Moby Dick""."
E_R,"EAR.    	Ear, Nose and Throat specialist (ENT)"
A_S,"ASS.    	The word ""nincompoop"", meaning a fool, seems to have been around for quite a while. It has been used since the 1670s, but no one appears to know its origins."
DS_,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
A_DA,"ALDA.    	Alan Alda had a great television career, especially of course on ""M*A*S*H"". Alda won his first Emmy in 1972, for playing Hawkeye Pierce on ""M*A*S*H"". He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy ""Same Time, Next Year"" in which he starred opposite Ellen Burstyn."
_IA,"MIA.    	Mia Farrow is an energetic, award-winning actress who really hasn't looked back in her career since her first leading role, in ""Rosemary's Baby"" back in 1968. Her on-screen celebrity is matched by the interest created by her personal life. Her first husband was Frank Sinatra, a wedding in 1966 that received a lot of attention partly due to the couple's age difference (she was 21, he was 50). Her second husband was almost as famous, the magnificent musician André Previn. Farrow then moved in with Woody Allen, a relationship that famously fell apart when Farrow discovered that Allen was having a sexual relationship with Soon-Yi, one of her adopted daughters from the marriage with André Previn."
_TRIA,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
_EMO,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne, the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones's Locker."
_TAS,ETAS.    	Estimated time of arrival (eta)
CP_,CPA.    	Certified Public Accountant (CPA)
LS_T,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
_AO,"LAO.    	Vientiane is the capital city of Laos, situated on the famous Mekong River. The city was originally called the ""city of sandalwood"" by Buddhist monks, naming after the valued trees that grew in the area. The French took the Pali words for ""city of sandalwood"" and rewrote it as the French-sounding ""Vientiane""."
TB_R,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
E_S,"EOS.    	I've been using Canon EOS cameras for decades now, and have nothing but good things to say about the cameras and the lenses. The EOS name stands for Electro-Optical System, and was chosen because it evokes the name of Eos, the Titan goddess of dawn from Greek mythology."
TA_,"TAT.    	The phrase 'tit for tat', meaning some sort of retaliation, has been around an awfully long time, since the mid-1500s. It might be derived from 'tip for tap', meaning 'blow for blow'."
T_A,TIA.    	Baja California is both the most northern and the most western of the Mexican states. The name translates from Spanish as 'Lower California'.
_EO,EEO.    	Equal Opportunity Employment is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
TB_R,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting on either side of T-shaped, metal bar."
NE_O,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
UZ_,UZI.    	(49. Shooting statistic : RANGE)
_IA,KIA.    	The Kia Optima was sold for a while in Canada and Europe as the Kia Magentis.
_ARA,"LARA.    	The actress Lara Flynn Boyle plays Donna Hayward on 'Twin Peaks', and Helen Gamble on 'The Practice'."
PD_,PDA.    	PDA is an acronym used for both 'personal digital assistant' and 'public display of affection'.
REES_,REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
_AT,"TAT.    	One is ""tatting"" when one is making lace. The word ""tatting"" has been around since the 1830s, but no one seems to have discovered its etymology."
_RAT,"ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
EA_,"EAR.    	Leonard Nimoy played the logical Mr. Spock in the original ""Star Trek"" television series. Spock has to be the most popular character on the show, and he keeps popping up in ""Star Trek"" spin offs to this day. Nimoy first worked alongside William Shatner (Captain Kirk) in an episode of ""The Man from U.N.C.L.E."" (I loved that show!), with Nimoy playing a bad guy and Shatner playing an U.N.C.L.E. recruit."
_TAH,"UTAH.    	The Utah Jazz professional basketball team moved to their current home in Salt Lake City in 1979. As one might guess from the name, the team originated in New Orleans, but only played there for five seasons. New Orleans was a tough place to be based because venues were hard to come by, and Mardi Gras forced the team to play on the road for a whole month."
A_AB,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's novel ""Moby Dick""."
_LIOT,"ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of Eliot's college education was at Oxford, and clearly he became comfortable with life in England. In 1927 he became a British citizen and lived the rest of life in the UK."
A_DA,"ALDA.    	The last episode of the television series 'M*A*S*H' was actually written as a television movie, and had the title 'Goodbye, Farewell and Amen'. That last episode was the most watched TV broadcast in US history from 1983 to 2010, before being overtaken in viewership by the 2010 Super Bowl broadcast."
ER_E,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
EUR_,"EURO.    	The European Union (EU) today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states in the EU that don't use the Euro includes the UK, Denmark and Sweden."
PD_,PDA.    	Personal digital assistant (PDA)
_SL,"DSL.    	The abbreviation 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
EUR_,"EURO.    	The European Union (EU) today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states in the EU that don't use the Euro includes the UK, Denmark and Sweden."
L_O,"LAO.    	The Lao people are an ethnic group found mainly in Laos, but who also have a significant presence in Thailand, Cambodia and Vietnam."
_HE,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
