Ed.'s work pile.   		3 letters,MSS.    	Editors work with manuscripts.
English cathedral town.   		3 letters,"ELY.    	Ely Cathedral is a famous and beautiful church in the city of Ely in the county of Cambridgeshire. There is a Gothic door on the north face of the cathedral that was designed by Sir Christopher Wren, the man famous as the architect of St. Paul's Cathedral in London. Christopher Wren had a personal link to the church, as his uncle was the Bishop of Ely."
Athlete in a shell.   		3 letters,OAR.    	A scull is a boat used for competitive rowing. The main hull of the boat is often referred to as a shell. Crew members who row the boat can be referred to as 'oars'.
"""Make it snappy,"" on an order.   		4 letters",ASAP.    	As soon as possible (ASAP)
2011 Marvel film.   		4 letters,"THOR.    	The 2011 movie 'Thor' is yet another film based on a comic book hero. Even though I won't be seeing it (I don't do comics), I must admit it does have an impressive cast. Chris Hemsworth plays Thor, supported by Natalie Portman, Rene Russo and Anthony Hopkins. And to crown it all, Kenneth Branagh is the director."
"Taylor Swift, for one.   		4 letters",IDOL.    	Singer Taylor Swift had one of her first gigs at the US Open tennis tournament when she was in her early teens. There she sang the national anthem and received a lot of favorable attention for the performance.
___ Bo (exercise system).   		3 letters,"TAE.    	Tae Bo isn't an ancient martial art, and rather was developed as a form of aerobic exercise in the 1990s. The discipline was introduced by taekwondo expert Billy Blanks who gave it the name Tae Bo, a melding of ""taekwondo"" and ""boxing""."
Berry in some energy boosters.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years as its juice is a very fashionable addition to juice mixes and smoothies.
Souvenir shop purchase.   		3 letters,"TEE.    	A 'souvenir' is a memento, a token of remembrance. We imported the word from French, in which language it has the same meaning. The term comes from the Latin 'subvenire' meaning 'to come to mind', or literally 'to come up'."
Words from Wordsworth.   		4 letters,"ODES.    	The great English poet William Wordsworth is intrinsically linked with the Lake District in the north of England, where he lived from much of his life. The Lake District is a beautiful part of the country, and I've been fortunate enough to visit Dove Cottage in Grasmere a couple of times, where Wordsworth lived with his wife Dorothy ..."
Long-distance inits.   		3 letters,ATT.    	The original AT&T Corporation was known as the American Telephone and Telegraph Company.
Architect Maya.   		3 letters,"LIN.    	Maya Lin is a Chinese American, born in Athens Ohio, and is an artist and architect. Her most famous work is the moving Vietnam Veterans Memorial in Washington, D.C. Lin was only 21-years-old when she won a public design competition in 1981 to create the memorial. Although her design, I think, is very fitting, sadly, Lin was not a popular choice for the work, given her Asian heritage. As she said herself, she probably would not have been picked had not the competition been judged without the knowledge of who the submissions were from."
Mideast inits.   		3 letters,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
Topps card tidbit.   		4 letters,"STAT.    	Topps was a relaunch of an older company called American Leaf Tobacco, with the Topps name used from 1938. The earlier company was in trouble because it could not get supplies of its Turkish tobacco, so it moved into another chewy industry, making bubblegum."
OPEC member: Abbr..   		3 letters,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
Covert W.W.   		3 letters,"OSS.    	The Office of Strategic Services was formed during WWII in order to carry out espionage behind enemy lines. Within a few years of the end of the war, the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
"""The Bridges of Madison County"" setting.   		4 letters","IOWA.    	""The Bridges of Madison County"" is a novel by Robert James Waller, and a movie directed by and starring Clint Eastwood. Both book and film are about an Italian woman living in sixties Madison County, Iowa who has an affair with a photographer from out of state. The lead roles are played by Meryl Streep and Clint Eastwood in the movie."
Somme buddy.   		3 letters,"AMI.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
"""Al Aaraaf"" writer.   		3 letters","POE.    	The poem 'Al Aaraaf' is one of Edgar Allan Poe's earliest, published in 1829 when Poe was just 20 years of age. 'Al Aaraaf' is also Poe's longest poem. As 'Al Aaraaf' was not well received by the public, Poe later adopted the position that poems should be kept short."
Running ___.   		4 letters,"AMOK.    	The phrase ""to run amok"" (sometimes 'to run amuck') has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
"Platoon members, briefly.   		3 letters","GIS.    	The initials G.I. stand for ""Government Issue"" and not ""General Infantry"" as is often believed. G.I. was actually first used in the military to denote equipment made from Galvanized Iron. During WWII, incoming German shells were nicknamed ""GI cans"". Soon after, the term GI came to be associated with ""Government Issue"" and became an adjective to describe anything associated with the Army."
Bad way to run.   		4 letters,"AMOK.    	The phrase ""to run amok"" (sometimes 'to run amuck') has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
Where 24-Down began his managerial career.   		4 letters,SHEA.    	(24D. See 50-Across : TORRE)
Sub-Saharan sucker.   		6 letters,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name 'tsetse' comes from Tswana, a language of southern Africa, and translates simply as 'fly'. Tsetse flies are famous for being carriers of the disease known as 'sleeping sickness'. Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
Scarlett O'Hara's plantation.   		4 letters,"TARA.    	Scarlett O'Hara's home is the Tara plantation, in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald won the square mile of land on which Tara was built in an all-night poker. He named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
"Atlantic City locale, with ""the"".   		3 letters",TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in Atlantic City in 1990.
Wye follower.   		3 letters,"ZEE.    	In the (American) English alphabet, the letter Y (wye) is followed by the letter Z (zee)."
Tibetan priest.   		4 letters,"LAMA.    	""Lama"" is a Tibetan word, meaning ""chief"" or ""high priest""."
___ soup.   		4 letters,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
University of Maine town.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
"Home of Umm al-Quwain, for short.   		3 letters",UAE.    	Umm al-Quwain is the least populous of the sovereign emirates in the Middle East country called the United Arab Emirates (UAE). The name 'Umm al-Quwain' translates from Arabic as 'Mother of the Two Powers'.
Bond holder?.   		4 letters,ATOM.    	One atom may be bonded to another to form a molecule.
Football stat.   		3 letters,ATT.    	Attempts (Att.)
Biter in Niger.   		6 letters,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name ""tsetse"" comes from Tswana, a language of southern Africa, and translates simply as ""fly"". Tsetse flies are famous for being carriers of the disease known as ""sleeping sickness"". Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
Land west of Eng.   		3 letters,"IRE.    	The island of Ireland is politically divided between the the Republic of Ireland in the south and Northern Ireland in the north. Northern Ireland is part of the United Kingdom, and covers about one-sixth of the island."
___ Boston (luxury hotel).   		3 letters,TAJ.    	The luxury hotel known today as the Taj Boston was opened in 1927 as the Ritz Carlton.
Property encumbrance.   		4 letters,LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid.
Org.   		3 letters,"OSS.    	The Office of Strategic Services was formed during WWII in order to carry out espionage behind enemy lines. Within a few years of the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
Moonmate of Buzz.   		4 letters,"NEIL.    	Neil Armstrong is the most private of individuals. You don't often see him giving interviews, unlike so many of the more approachable astronauts of the Apollo space program. His famous, ""That's one small step for (a) man, one giant leap for mankind"" statement, that was something that he came up with himself while Apollo 11 was making its way to the moon."
"Point before ""game,"" maybe.   		5 letters","AD IN.    	In tennis, ""as in"" is an informal way of saying ""advantage"" when announcing the score."
Tours turndown.   		3 letters,"NON.    	Tours is the largest city in the Centre region of France. It is said that the people of Tours speak the ""purest"" form of French in the whole country, and when spoken by a local it is also said to be free of any accent."
Magazine founder Eric.   		4 letters,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
Soprano Gluck.   		4 letters,"ALMA.    	Alma Gluck was the stage name of Romanian-born American soprano Reba Feinsohn. Gluck's second marriage was to violinist Efrem Zimbalist. Gluck and Zimbalist's son was Efrem Zimbalist, Jr. the noted actor and star of television's '77 Sunset Strip'."
Off-limits.   		5 letters,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
"""West Side Story"" woman.   		5 letters","ANITA.    	In Leonard Bernstein's 'West Side Story', the female lead character is Maria and her older friend, also in the gang called the Sharks, is Anita."
Former Iranian ruler.   		4 letters,"SHAH.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
"Broadcast in a manhunt, in brief.   		3 letters",APB.    	All Points Bulletins.
Pre-1917 autocrats.   		5 letters,"TSARS.    	The term czar (also tsar) is a Slavic word, and was first used as a title by Simeon I of Bulgaria in 913 A.D. It is derived from the word Caesar, which was synonymous with emperor at that time."
Ancient 71-Across land in modern-day Turkey.   		5 letters,IONIA.    	(71A. Like Zeus and Hera : GREEK)
"Santa ___, Calif.   		4 letters","ROSA.    	Santa Rosa is the largest city in California's Wine Country, and the county seat of Sonoma County. The epicenter of the so-called 1906 San Francisco Earthquake was located near Santa Rosa, so there was actually more damage in Santa Rosa, for the size of the city, than there was in San Francisco."
College town on the Stillwater River.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
Krazy ___.   		3 letters,"KAT.    	""Krazy Kat"" was a successful comic strip that ran from 1913-1944, drawn by George Herriman."
"""Footloose"" hero ___ McCormack.   		3 letters","REN.    	The 1984 musical drama 'Footloose' tells the story of a Chicago teen (played by Kevin Bacon) who moves to a small town in which dancing and rock music has been banned. The storyline is loosely based on real events in the Oklahoma City of Elmore. Dancing was banned in Elmore for almost 100 years, with the ban eventually being lifted in 1980."
"Atlantic City casino, with ""the"".   		3 letters",TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in Atlantic City in 1990.
C.I.A.   		3 letters,"OSS.    	The Office of Strategic Services (OSS) was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
Disney doe.   		3 letters,"ENA.    	Ena was Bambi's aunt in the 1942 Disney film of the same name. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, published in 1923."
"""Born again"" woman.   		5 letters","RENEE.    	'René' and 'Renée' are French for the adjective 'reborn', when applied to masculine and feminine nouns respectively."
Alternative to a cab.   		4 letters,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Uber's main competitor is Lyft. Personally, I love the service and have only had good experiences ..."
Kerfuffle.   		3 letters,"ADO.    	'Kerfuffle' comes from the Scottish 'curfuffle', with both words meaning 'disruption'."
Opera singer Simon.   		5 letters,"ESTES.    	Simon Estes is an African-American baritone bass, and is considered one of a small group of performers that broke through a racial barrier that was present in the world of opera. He moved to Europe in the sixties to try to launch his career in an environment that was perhaps a little less prejudicial to people of African descent. There he performed in all the great opera houses including La Scala and Covent Garden. He did some guest performances in the US though the sixties and seventies, but it wasn't until 1981 that he was offered a contract to sing with the Metropolitan Opera in New York City."
Duncan's dissent.   		3 letters,"NAE.    	'Nae' is the Scottish vernacular for ""no""."
Alexander's need.   		3 letters,"GIN.    	An Alexander is a cocktail made from gin, a chocolate liqueur and cream. Nowadays one tends to hear of the Brandy Alexander more often than the original gin version."
___ Lonely Boys (rock band).   		3 letters,"LOS.    	Los Lonely Boys is a rock band from San Angela, Texas. The three band members are three brothers."
Land of ancient Ephesus.   		5 letters,"IONIA.    	Ephesus was an Ancient Greek city on the Ionian coast in present-day Turkey. Ephesus was home to the Temple of Artemis, which was one of the Seven Wonders of the Ancient World."
Bagel variety.   		3 letters,RYE.    	The bagel was invented in the Polish city of Kraków in the 16th century. Bagels were brought to this country by Jewish immigrants from Poland who mainly established homes in and around New York City.
"___ Alamos, N.M.   		3 letters","LOS.    	The town of Los Alamos, New Mexico takes its name from the Spanish for ""the poplars"". Famously it is home to Los Alamos National Laboratory which was founded during WWII to work on the Manhattan Project, development of an atomic bomb. The town of Los Alamos didn't exist as such, until it was planned and constructed to support the employees working on development of the bomb."
Bar mitzvah highlight.   		4 letters,"HORA.    	The hora (also ""horah"") is a circle dance that originated in the Balkans. The hora was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The dance is a regular sight at Jewish weddings and at bar and bat mitzvahs. At such events, it is common for the honorees to be raised on chairs during the dance."
Home of the city and county of Waterford: Abbr..   		3 letters,"IRE.    	Waterford is in the southeast of Ireland It is the oldest city in the whole country, having been founded by the Vikings in 914CE. Waterford&#8217;s most famous business entity is Waterford Crystal."
One vote in Vichy.   		3 letters,"NON.    	'Oui' is 'yes' in French, and 'non' is 'no'."
It uses the 16-Across: Abbr..   		3 letters,IRE.    	(16A. Not exactly old money : EURO)
"Certain readout, for short.   		3 letters",LCD.    	Liquid crystal display (LCD)
Focus of quantum mechanics.   		4 letters,"ATOM.    	Quantum mechanics is a branch of physics dealing with processes involving 'the very small', atoms photons and the like."
Conan's network.   		3 letters,"TBS.    	Before Conan O'Brien came to fame as a late night talk show host, he was a writer. O'Brien wrote for both ""Saturday Night Live"" and ""The Simpsons""."
Plant in the pea family.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. And that blue is relatively close to ""navy"" blue."
End of a Greek series.   		5 letters,"OMEGA.    	Omega is the last letter of the Greek alphabet and is the one that looks like a horseshoe. The word ""omega"" literally means ""great O"" (O-mega). Compare this with the Greek letter Omicron meaning ""little O"" (O-micron)."
"1945 flag-raising site, briefly.   		3 letters","IWO.    	Iwo Jima today is an uninhabited volcanic island located south of Tokyo, Japan. There were about a thousand Japanese civilians living in the island prior to WWII. In 1944, there was a massive influx of military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out, and no one has lived there ever since."
Italian author Primo.   		4 letters,"LEVI.    	Primo Levi was an Italian chemist and writer. His best known work is ""If This Is a Man"", a biographical account of the year he spent in Auschwitz. He was one of 650 Jews transported to the camp in 1944, and was one of only 20 who survived imprisonment."
Keatsian works.   		4 letters,"ODES.    	John Keats wrote a whole series of odes in 1819, including the very famous ""Ode on a Grecian Urn"" and Ode to a Nightingale"". The first in this series of poems was ""Ode to Psyche"". In this case the Ode is to Psyche, the mortal girl who was loved by Cupid."
"""Conan"" airer.   		3 letters","TBS.    	Before Conan O'Brien came to fame as a late night talk show host he was a writer. He wrote for both ""Saturday Night Live"" and ""The Simpsons""."
French key.   		3 letters,CLE.    	'Clé' is the French word for 'key'.
Middle-earth creatures.   		4 letters,"ENTS.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth, in his series of books ""The Lord of the Rings""."
"What conquers ""omnia,"" in a phrase.   		4 letters","AMOR.    	In Latin, 'amor' (love) conquers 'omnia' (all)."
"Companion to whiskey in ""American Pie"".   		3 letters","RYE.    	Don McLean released his greatest hit, 'American Pie', back in 1971. Despite the song's iconic position in the pop repertoire, McLean has been remarkably reticent about its origins and the meaning of the lyrics. We do know that it was inspired by the death of Buddy Holly in a plane crash ('the day the music died'). McLean has also told us that he first read about the death of his idol when delivering newspapers the day after the crash ('February made me shiver/with every paper I'd deliver'). Although the lyrics have been analyzed and interpreted in depth by many, McLean's stance remains that it is just a poem set to music."
High dudgeon.   		3 letters,"IRE.    	""Dudgeon"" is a noun describing a state of sullen, ill humor."
W.W.   		3 letters,"OSS.    	The Office of Strategic Services (OSS) was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war, the OSS functions were taken up by a new group, the Central Intelligence Agency (CIA)."
Essential ___ acid.   		5 letters,"AMINO.    	Amino acids are essential to life in many ways, not least of which is their use as the building blocks of proteins."
"""California ___ Alles"" (classic punk rock song).   		4 letters","UBER.    	""California Über Alles"" is a 1979 song and debut single for the Dead Kennedys. The title of the song is a play on the opening words of the German national anthem 'Deutschland, Deutschland über alles'. So, the title of the Dead Kennedys' song translates as 'California above All'."
Parks who sparked a boycott.   		4 letters,"ROSA.    	Rosa Parks was one of a few brave women in days gone by who refused to give up their seats on a bus to white women. It was the stand taken by Rosa Parks on December 1, 1955 that sparked the Montgomery, Alabama Bus Boycott. President Clinton presented Ms. Parks with the Presidential Medal of Freedom in 1996. When she died in 2005, Rosa Parks became the first ever woman to have her body lie in honor in the US Capitol Rotunda."
___ mater.   		4 letters,"ALMA.    	The literal translation for the Latin term ""alma mater"" is ""nourishing mother"". 'Alma mater' was used in Ancient Rome to refer to mother goddesses, and in Medieval Christianity the term was used to refer to the Virgin Mary. Nowadays, one's alma mater is the school one attended, either high school or college, usually one's last place of education."
"Belle of the ball, for short.   		3 letters","DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
"Jessica of ""Good Luck Chuck"".   		4 letters","ALBA.    	Actress Jessica Alba got her big break when she was cast in the Fox science fiction show 'Dark Angel'. Alba had a tough life growing up as she spent a lot of time in hospital and so found it difficult to develop friendships. As a youngster she twice had a collapsed lung, frequently caught pneumonia, suffered from asthma, had a ruptured appendix and a tonsular cyst. On top of all that she acknowledges that she suffered from obsessive-compulsive disorder as a child. It seems that she has really turned her life around ..."
Bank holding.   		4 letters,LIEN.    	A lien is the right that one has to retain/secure someone's property until a debt is paid.
It's served by Gulf Air: Abbr..   		3 letters,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
Terra ___ (pulverized gypsum).   		4 letters,"ALBA.    	Terra alba (Latin for 'white earth') is a finely pulverized gypsum. It is used as a clay to make ceramics, and as a pigment for paper and paints."
Grandmother of Spain's Juan Carlos.   		3 letters,"ENA.    	Princess Victoria Eugenie of Battenberg was the queen consort of King Alfonso XIII of Spain. Princess Beatrice was actually born in Scotland, and given the Gaelic name for Eva: ""Eua"". Eua, was written on the official documents, but the clergyman presiding at the christening misread the name as ""Ena"". Her family stuck with ""Ena"", and it was adopted by the public."
Toon chihuahua.   		3 letters,"REN.    	'The Ren and Stimpy Show' is an animated television show that ran on Nickelodeon from 1991 to 1996. The title characters are Marland ""Ren"" Höek, a scrawny Chihuahua, and Stimpson J. Cat, a rotund Manx cat. Not my cup of tea ..."
Neighbor of Lydia.   		5 letters,IONIA.    	Lydia and Ionia were ancient territories in land now covered by modern-day Turkey. Both territories eventually fell under Greek and then Roman rule.
German-based G.M.   		4 letters,"OPEL.    	Adam Opel founded his company in 1863, first making sewing machines in a cowshed. Commercial success brought new premises and a new product line in 1886, namely penny-farthing bicycles. Adam Opel died in 1895, leaving his two sons with a company that made more penny-farthings and sewing machines than any other company in the world. In 1899 the two sons partnered with a locksmith and started to make cars, but not very successfully. Two years later, the locksmith was dropped in favor of a licensing arrangement with a French car company. By 1914, Opel was the largest manufacturer of automobiles in Germany. My Dad had an Opel in the seventies, a station wagon (we'd say ""estate car"" in Ireland) called an Opel Kadett."
Verboten.   		5 letters,"TABOO.    	""Verboten"" is the German word for ""forbidden"", a word that we have imported into English."
Zodiac starter?.   		3 letters,ZEE.    	The first letter in the word 'Zodiac' is a letter Z (zee).
Something to give a kitty?.   		4 letters,"ANTE.    	The ""pot"" in a card game has been referred to as the kitty since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
"Confidante, say.   		4 letters",AMIE.    	In France a female friend (amie) might be a confidante.
Himalayan land.   		5 letters,"NEPAL.    	Nepal lies to the northeast of India. Today, the state is known as the Federal Democratic Republic of Nepal. In 2008, the Communist Party of Nepal won the country's general election. Soon after, the Assembly voted to change the form of government, moving away from a monarchy and creating a secular republic."
"Justin who directed ""Star Trek Beyond"".   		3 letters",LIN.    	Justin Lin is an American movie director who was born in Taiwan. Lin directed three of the six films in 'The Fast and the Furious' series. I'm not really a fan of 'The Fast and the Furious' films ...
Hayworth who danced with Fred Astaire and Gene Kelly.   		4 letters,"RITA.    	Rita Hayworth was born in Brooklyn as Margarita Carmen Cansino. Her father was a flamenco dancer from Spain and so his daughter fell naturally into dancing. The family moved to Hollywood where Hayworth's father set up a dance studio, and there worked with the likes of James Cagney and Jean Harlow. The young Hayworth had a slow start in movies, finding herself typecast because of her Mediterranean features. When she underwent extensive electrolysis to change her forehead and dyed her hair red, she started to get more work (how sad is that?). In 1941 she posed for that famous pin-up picture which accompanied GIs all over the world."
Girl coming out in society.   		3 letters,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
It once stretched from France to Russia: Abbr..   		3 letters,"ETO.    	Dwight D. Eisenhower was in command of the European Theater of Operations during WWII. If you're a WWII buff like me, then I recommend you take a look at a great made-for-TV movie starring Tom Selleck as Eisenhower called ""Ike: Countdown to D-Day"" which came out in 2004."
Symbol for ohms.   		5 letters,"OMEGA.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every school kid knows as Ohm's Law."
It's often in a sling.   		3 letters,"GIN.    	A sling is a cocktail made of brandy, whiskey or gin, sweetened and flavored with lemon. The most famous version of the sling is the Singapore Sling, invented by a bartender at the wonderful Raffles Hotel in Singapore."
Jeremy of the N.B.A.   		3 letters,LIN.    	Jeremy Lin is a professional basketball player with the Houston Rockets. Lin is the first American of Chinese descent to play in the NBA.
"___ Gatos, Calif.   		3 letters",LOS.    	The town of Los Gatos is in the San Francisco Bay Area in California. The town's name translates from Spanish to 'the Cats' and comes from the old name for the area 'Cat's Corner'. That name is a reference to the cougars that roamed the foothills in which the town is located.
Sun Devils' sch.   		3 letters,"ASU.    	Arizona State University has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885."
"""Wir leben Autos"" sloganeer.   		4 letters","OPEL.    	Adam Opel founded his company in 1863, first making sewing machines in a cowshed. Commercial success brought new premises and a new product line in 1886, namely penny-farthing bicycles. Adam Opel died in 1895, leaving his two sons with a company that made more penny-farthings and sewing machines than any other company in the world. In 1899 the two sons partnered with a locksmith and started to make cars, but not very successfully. Two years later, the locksmith was dropped in favor of a licensing arrangement with a French car company. By 1914, Opel was the largest manufacturer of automobiles in Germany. My Dad had an Opel in the seventies, a station wagon (we'd say ""estate car"" in Ireland) called an Opel Kadett."
Something passed down the line.   		4 letters,"GENE.    	A gene is a section of a chromosome that is responsible for a particular characteristic in an organism. For example, one gene may determine eye color and another balding pattern. We have two copies of each gene, one from each of our parents, with each copy known as an allele."
"___ Park, Colo.   		5 letters","ESTES.    	Estes Park is a town in a beautiful part of the US, in northern Colorado. Estes Park is home to the headquarters of Rocky Mountain National Park. My forest firefighter brother-in-law was based at that park, so I've visited and can attest that it is a gorgeous place to live. He lives in Omaha now. The geography in Omaha is a little different ..."
Natasha's refusal.   		4 letters,"NYET.    	Russian for ""no""."
Hartford-based insurance giant.   		5 letters,"AETNA.    	When the healthcare management and insurance company known as Aetna was founded, the name was chosen to evoke images of Mt. Etna, the European volcano."
Berry used as a dietary supplement.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years as its juice is a very fashionable addition to juice mixes and smoothies.
"One, for Fritz.   		3 letters","EIN.    	""Ein"" is German for ""one"", sort of. One can also be ""eine"" or ""eins"" depending on the context."
Norse deity with a hammer.   		4 letters,"THOR.    	In Norse mythology, Thor was the son of Odin. Thor wielded a mighty hammer and was the god of thunder, lightning and storms. Our contemporary word 'Thursday' comes from 'Thor's Day'."
ISP with a butterfly logo.   		3 letters,MSN.    	The Microsoft Network.
Protein-building acid.   		5 letters,"AMINO.    	Ribonucleic Acid (RNA) is an essential catalyst in the manufacture of proteins in the body. The genetic code in DNA determines the sequence of amino acids that make up each protein. That sequence is read in DNA by messenger RNA, and amino acids are delivered for protein manufacture in the correct sequence by what is called transfer RNA. The amino acids are then formed into proteins by ribosomal RNA."
Scary little sucker.   		6 letters,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name ""tsetse"" comes from Tswana, a language of southern Africa, and translates simply as ""fly"". Tsetse flies are famous for being carriers of the disease known as ""sleeping sickness"". Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
Abbr.   		3 letters,ETC.    	Et cetera (etc.)
"It may go off the road, briefly.   		3 letters",ATV.    	An all terrain vehicle tends to go off the road a lot.
Triumphant shout.   		3 letters,"GIN.    	Gin rummy is a variant of the slower game of standard rummy, introduced in 1909 by Elwood Baker and his son."
Lender's security.   		4 letters,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
Neighbor of Oman: Abbr..   		3 letters,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
Lyft competitor.   		4 letters,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Uber's main competitor is Lyft. Personally, I love the service and have only had good experiences ..."
"What follows phi, chi, psi.   		5 letters","OMEGA.    	Omega is the last letter of the Greek alphabet and is the one that looks like a horseshoe. The word ""omega"" literally means ""great O"" (O-mega). Compare this with the Greek letter Omicron meaning ""little O"" (O-micron)."
Old Olds.   		5 letters,"ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand, produced from 1999 to 2004."
Bar mitzvah dance.   		4 letters,"HORA.    	The hora is circle dance that originated in the Balkans. It was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The hora (also horah) is a regular sight at Jewish weddings."
"Texter's ""No way!"".   		3 letters",OMG.    	OMG is text-speak for Oh My Gosh! Oh My Goodness! or any other G words you might think of ...
Hullabaloo.   		3 letters,ADO.    	Our word 'hullabaloo' meaning a 'commotion' is a derivative of an older term 'hollo-ballo'. 'Hollo-ballo' was a word used for an uproar in the north of England and Scotland.
