MO_AR,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
MONIC_,"MONICA.    	Courteney Cox played Monica Geller on the incredibly successful sitcom ""Friends"". Before ""Friends"" she played the girlfriend of Michael J. Fox's character on ""Family Ties"" for a couple of years in the late eighties. Her role in ""Friends"" was her biggest success, no question, when she and her fellow female costars became the highest paid TV actresses ever, earning a million dollars per episode."
L_RD,"LORD.    	Alfred, Lord Tennyson was the Poet Laureate during for much of the reign of Queen Victoria. There are many phrases we use today that were first penned by Tennyson, including:"
M_ENS,"MIENS.    	One's 'mien' is one's bearing or manner. ""Mien"" shares the same etymological root as our word ""demeanor""."
_IACOM,VIACOM.    	Media giant Viacom takes it's name from the phrase VI-deo & A-udio COM-unications.
SOM_LI,"SOMALI.    	Somalia is a country located in the Horn of Africa that, sadly, is noted today for a devastating civil war and as a base for pirates who prey on ships passing through the Indian Ocean along the Somali coast."
T_AR,THAR.    	Thar she blows!
TEAPO_,TEAPOT.    	Darjeeling tea comes from the Darjeeling district of West Bengal in India.
HARA_E,"HARARE.    	Cecil Rhodes (famous in America as the founder of the Rhodes Scholarship), was a very successful English businessman and South African politician. He founded the De Beers diamond mining company, and also founded the state of Rhodesia which was named after him. The British colony gained its independence over time in the latter half of the 20th century, and is known today as the countries of Zambia and Zimbabwe. The Rhodesian capital of Salisbury was renamed in 1982 to Harare, the current capital of Zimbabwe."
K_HLO,"KAHLO.    	Frida Kahlo was a Mexican painter, famous for her self-portraits. She was married to the equally famous artist Diego Rivera. Kahlo was portrayed by the actress Salma Hayek in a film about her colorful life called 'Frida' released in 2002."
W_D,"WED.    	In the US, the tradition of jumping the broom is associated with mainly African American marriage ceremonies, and perhaps has a stigma attached to it as it harks back to the days of slavery. However, the practice also takes place in Romany Gypsy weddings across Europe, particularly in Wales."
SLOV_NE,"SLOVENE.    	The Republic of Slovenia is a country in Central Europe, bordered by Italy, Austria, Croatia and Hungary. Given its geographic location, the country has been part of various realms over the centuries, most recently being part of Yugoslavia. Slovenia declared independence from former Yugoslavia in 1991, and is now a member of the European Union."
T_APOT,TEAPOT.    	I don't know what I'd do without my tea cosy/cozy ...
_COME,"O COME.    	The lovely hymn ""Adeste Fideles"" (translated from Latin as ""O Come, All Ye Faithful"") was written by one John Francis Wade in the 13th century. Well, he wrote the original four verses, with four more verses being added over time."
CR_EDS,"CREEDS.    	A creed is a confession of faith, or a system of belief or principles. The word ""creed"" comes from the Latin ""credo"" meaning ""I believe""."
TEM_O,TEMPO.    	Largo is a instruction to play a piece of music with a very slow tempo. 'Largo' is the Italian word for 'broadly'.
D_YS,"DRYS.    	The 18th Amendment to the US Constitution was a great victory for the temperance movement, and in 1919 ushered in the Prohibition era. Highly unpopular, Prohibition was repealed in 1933 by the 21st Amendment."
_AX,"JAX.    	The port city of Jacksonville, Florida is the largest city by area in the contiguous United States (four cities in Alaska cover more land). Jacksonville was named in honor of President Andrew Jackson."
_HIVA,"SHIVA.    	The Hindu Trinity is composed of Brahma the creator, Vishnu the maintainer or preserver, and Shiva (also Siva) the destroyer or transformer. Shiva is a Sanskrit word meaning ""auspicious, kind, gracious""."
ME_AGE,MENAGE.    	'Ménage' is the French word for 'household'. The familiar term 'ménage à trois' translates as 'household of three' and is used to describe a domestic arrangement in which three people having sexual relations occupy the same household.
PER_S,"PERES.    	Shimon Peres is an Israeli statesman who was born in Poland. A former prime minister, Peres also served as the President of the State of Israel from 2007 until 2014. Born Szymon Perski in Poland, Peres was the oldest head of state in the world."
FA_A,"FALA.    	Fala was the famous Scottish Terrier that was ever present at the side of President Franklin D. Roosevelt for many years. The terrier was a Christmas gift to the president from his cousin, who had named the dog Big Boy while she trained him as a puppy. President Roosevelt renamed him after an ancestor of his from Falahill in Scotland, so the dog's full name was Murray the Outlaw of Falahill. Fala lived on for several years after the president's passing. I've had the privilege of visiting the gravesites of Franklin and Eleanor Roosevelt in Hyde Park, New York, and Fala is buried just a few feet away from his master."
L_RNE,"LORNE.    	Lorne Michaels is a television producer, best known as the creator of 'Saturday Night Live'. We can get some insight into Michaels' character and demeanor by watching the show '30 Rock'. The character played by Alec Baldwin is inspired by Michaels."
I_O,"I DO.    	I now pronounce you, husband and wife ..."
LOM_N,"LOMAN.    	'Death of a Salesman' is a famous play by Arthur Miller, first produced in 1949. 'Death of a Salesman' won a Pulitzer and several Tony Awards over the years. The 'salesman' in the play is the famous character Willy Loman. The play originally opened up on Broadway and ran for 724 performances. The lead role was played by the veteran actor Lee J. Cobb."
_ADJI,"HADJI.    	Hadji is the term used for someone who has made a pilgrimage to Mecca, and it is sometimes also used as a form of address for such a person. The word Hadji actually translates into English as ""pilgrim""."
OC_ANE,"OCTANE.    	The difference between a premium and regular gasoline is its octane rating. The octane rating is measure of the resistance of the gasoline to auto-ignition i.e. it's resistance to ignition just by virtue of being compressed in the cylinder. This auto-ignition is undesirable as multiple-cylinder engines are designed so that ignition within each cylinder takes place precisely when the plug sparks, and not before. If ignition occurs before the spark is created, the resulting phenomenon is called ""knocking""."
HA_AR,"HAGAR.    	""Hagar the Horrible"" is a comic strip that was created by the late Dik Browne and is now drawn by his son, Chris Browne. ""Hagar the Terrible"" (not ""Horrible"") was the nickname given to Dik by his sons."
PRE_,"PRE-K.    	The Head Start Program was launched in 1965 as part of President Lyndon B. Johnson's Great Society initiative and has the goal of providing education, health, nutrition and social services to low-income children. Head Start began as a six-week summer school program designed to prepare poorer kids for kindergarten, but was soon expanded as the six-week program was deemed inadequate."
ST_OGE,"STOOGE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe and Shemp Howard (two brothers) and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and Shemp stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry Fine had a stroke in 1970, it effectively marked the end of the act."
ICELA_D,ICELAND.    	(15. See 69-Across : VOLCANO)
C_MP,"CAMP.    	Can you believe that the ""Friday the 13th"" franchise of horror movies comprises twelve films (so far)? The bad guy in the series is Jason Voorhees, a boy who drowned at summer camp. ""Friday the 13th"" is an incredibly successful franchise, something that I just do not understand ..."
_IBB,"PIBB.    	The soft drink on the market today called Pibb Xtra used to be known as Mr Pibb, and before that was called Peppo. Peppo was introduced in 1972 as a direct competitor to Dr Pepper."
LYD_A,LYDIA.    	Lydia and Ionia were ancient territories in a part of the world now covered by modern-day Turkey. Both territories eventually fell under Greek and then Roman rule.
COU_,"COUP.    	A coup d'état (often just ""coup"") is the sudden overthrow of a government, and comes from the French for ""stroke of state"". The Swiss German word 'putsch' is sometimes used instead of 'coup', with 'Putsch' translating literally as 'sudden blow'."
_RIEZE,"FRIEZE.    	A frieze is an architectural feature found in many Roman and Greek buildings. Inside a room, frieze is the name given to the upper part of the wall, between the picture rail and the crown molding. Outside of a room, the term frieze is the name given to any extended decoration that is positioned above eye level. Perhaps the most famous frieze comes from the Parthenon in Athens. Over a third of this highly decorated feature was removed from Athens and taken to London in the early 1800s by the Earl of Elgin, where they remain on display in the British Museum. These famous ""Elgin Marbles"" are subject of much controversy as the legality of the removal is in dispute."
L_P,"LAP.    	The Unser family seems to have racing cars in its blood. Al Unser, Sr. won the Indy 500 on four occasions. Al's brother Jerry was the first of the Unsers to compete at Indianapolis. Al's other brother Bobby, won the Indy three times. Al's son, Al Junior, won the Indy twice. Al Junior's son is also a racing driver who competes at the Indy Speedway."
S_AGGY,"SHAGGY.    	The English word ""yak"" is an Anglicized version of the Tibetan name for the male of the species. Yak milk is much prized in the Tibetan culture. It is made into cheese and butter, and the butter is used to make a tea that is consumed in great volume by Tibetans. The butter is also used as a fuel in lamps, and during festivals the butter is even sculpted into religious icons."
SUD_KU,"SUDOKU.    	Number puzzles similar to our modern-day Sudoku first appeared in French newspapers in the late 1800s. The format that we use today was created by Howard Garns, a 74-year-old freelance puzzle constructor from Connersville, Indiana and first published in 1979. The format was introduced in Japan in 1984 and given the title of 'Sūji wa dokushin ni kagiru', which translates to 'the digits are limited to one occurrence'. The rather elaborate Japanese title was eventually shortened to Sudoku. No doubt many of you are fans of Sudoku puzzles. I know I am ..."
_HA ,"AHA!.    	An 'epiphany' is an appearance or manifestation, especially of a supreme being. By extension, 'epiphany' can also apply to a sudden insight or intuitive perception. The term derives from the Greek 'epiphainein' meaning 'to manifest, display'."
ISH_T,"I SHOT.    	""Folsom Prison Blues"" is a song written and recorded by Johnny Cash. Cash wrote it in West Germany while serving in the US Air Force after seeing the movie 'Inside the Walls of Folsom Prison'. An iconic, and scary, line in the song is 'But I shot a man in Reno, just to watch him die'."
MA_A,"MAIA.    	Maia is one of the Pleiades of Greek mythology, and is the eldest of the Seven Sisters."
RU_AL,"RURAL.    	Wyoming is the least populous state, and the tenth largest state in terms of area."
_EURE,"HEURE.    	In French, 1/24 of a day (jour) is an hour (heure)."
B_LLA,"BELLA.    	'Bella' is the Italian word for 'beautiful, nice'."
RIO_OBO,"RIO LOBO.    	'Rio Lobo' is a Western movie that was released in 1970, starring John Wayne. 'Rio Lobo' is the third film in a trilogy that was directed by Howard Hawks, the other two films being 'Rio Bravo' (1959) and 'El Dorado' (1966). 'Rio Lobo' was the last film that Hawks directed."
TI_RRA,"TIERRA.    	'Tierra' is Spanish for 'earth, land'."
SA_UEL,"SAMUEL.    	Samuel de Champlain was a French navigator, cartographer and explorer, and the man who made the first accurate map of 'New France', that ares on the east coast of North America that was colonized by the French starting in 1534. Champlain was also the first European to explore and describe the Great Lakes. In 1608, he founded the settlement that is now Quebec City. He named Lake Champlain, partially in today's New York, Vermont and Quebec, after himself, as he was the first European to explore and describe the body of water."
_MENS,"OMENS.    	A lunar eclipse occurs when the moon passes into the shadow cast by the earth from the light of the sun, in other words when the earth is positioned directly between the sun and the moon. The more spectacular solar eclipse takes place when moon passes in front of the sun, so that the earth falls into the shadow cast by the moon."
TEN_NT,"TENANT.    	The tremendously successful US sitcom 'Three's Company' ran from 1977 to 1984. The show was actually a remake of an equally successful British sitcom called 'Man About the House'. I must, I was a fan of both shows ..."
P_SSGO,"PASS GO.    	Mediterranean Avenue is a property in the game of Monopoly. The street names in the US version of Monopoly are locations in or around Atlantic City, New Jersey."
AING_,"AINGE.    	Danny Ainge is a retired professional basketball and baseball player, now serving as the President of Basketball Operations for the Boston Celtics. Ainge was an outstanding athlete from an early age, and is the only person to be named a high-school All American in the three sports of football, basketball and baseball."
_INA,"LINA.    	Lina Wertmüller was an Italian movie director of Swiss descent. Wertmüller was the first woman ever to receive an Academy Award nomination for directing, in 1976 for her film 'Seven Beauties'."
AL_ERT,"ALBERT.    	Prince Albert of Saxe-Coburg and Gotha met his future wife Victoria before she had ascended to the British throne. It was after Victoria became queen that she proposed to Albert, and the couple married in 1840."
_OLT,COLT.    	The Colt Single Action Army is a revolver that is better known as the 'Colt .45'. It was the standard military service revolver for the US Army from 1873 to 1892. The Colt .45 is also known as the 'Gun that Won the West'.
AG_IE,"AGGIE.    	Texas A&M is the seventh largest university in the country, and was the first public higher education institute in the state when it accepted its first students in 1876. The full name of the school was the Agricultural and Mechanical College of Texas and its primary mission used to be the education of males in the techniques of farming and military warfare. That's quite a combination! Because of the agricultural connection, the college's sports teams use the moniker 'Aggies'."
SIT_,SITZ.    	A 'sitz bath' is one in which the water comes up to the hips. It is usually a therapeutic bath used to treat discomfort in the lower part of the body. The term comes from the German 'Sitzbad' meaning a bath (bad) in which one sits. 'Sitzen' is German for 'to sit'.
_OPE,"TOPE.    	""To tope"" is to drink alcohol excessively and habitually."
I_AACS,"ISAACS.    	Oscar Isaac is an actor from Guatemala who was raised in Miami. Before acting, Isaac played lead guitar in his own band, called the Blinking Underdogs."
YAD_,"YADA.    	""The Yada Yada Yada"" is actually the name of the 153rd episode of ""Seinfeld"". Before ""Seinfeld"" made ""yada yada yada"" famous, we were more likely to hear the phrase ""yadda yadda"", often used by comedian Lenny Bruce for example."
RO_D,ROAD.    	Back in the 15th century a 'turnpike' was a defensive barrier across a road. By the 17th century the term was used for a barrier that stopped travellers until a toll was paid. By the 18th century a turnpike (sometimes 'pike') was the name given to a road with a toll.
TRUM_N,"TRUMAN.    	Harry Truman wanted to go to West Point having served with the Missouri Army National Guard on active duty in WWI, but he couldn't get in because of his poor eyesight. Young Truman didn't have the money to pay for college anywhere else. He did manage to study for two years towards a law degree at the Kansas City Law School in the twenties, but he never finished his schooling. So, Harry S. Truman was the last US President (out of a list of ten) who did not have a college degree."
AMADEU_,AMADEUS.    	The composer Mozart's full name was Wolfgang Amadeus Mozart. The name 'Wolfgang' translates literally as 'wolf journey'. Amadeus translates as 'love god'!
LY_NS,"LYONS.    	Jeffrey Lyons is a TV and film critic from New York City. Interestingly, Lyons spent three season training as a field goal kicker with the New York Giants, and spent seven summers studying bullfighting in Spain."
_MPEI,"IM PEI.    	I. M. Pei (full name: Ieoh Ming Pei) is an exceptional American architect who was born in China. Of Pei's many wonderful works, my favorite is the renovation of the Louvre in Paris, especially the Glass Pyramid in the courtyard."
ADDAM_,"ADDAMS.    	Jane Addams was a suffragist and social worker from Cedarville Illinois. Her prominence was such that Addams nominated Theodore Roosevelt for the US Presidency at the Progressive Party's convention in 1912. In 1931, she became the first American woman to win the Nobel Peace Prize."
ALTIM_,"ALTIMA.    	Nissan has been making the Altima since 1993. In 2007 the company started to produce a hybrid version, Nissan's first foray into the hybrid market and a successful one by all accounts. Altima hybrids are even used as police cruisers by the New York Police Department."
SA_,"SAG.    	The bulldog breed of dog has been around at least since 1500. Back then, bulldogs were used in the 'sport' of bull baiting. Dogs would be set on a tethered bull to see which bulldog could latch onto the bull's nose and drag it to the ground. Bull baiting was outlawed in England in 1835."
W_ST,"WEST.    	Horace Greeley was a newspaper editor and politician. In the media industry, Greeley founded and edited the 'New York Tribune', which was a very influential paper in the 1800s. In an 1865 editorial he wrote the famous words 'Go West, young man, go West and grow up with the country.' As a politician, Greeley ran for US President in the 1872 election. He lost that election to Ulysses S. Grant in a landslide. Greeley died not long after the votes were cast, making him the only presidential candidate to have died prior to the counting of electoral college votes."
APRI_,"APRIL.    	April 15th wasn't always Tax Day in the US. The deadline for returns was March 1st from 1913-18, when it was moved to March 15th. Tax Day has been April 15th since 1955."
CAC_I,"CACTI.    	The fruit of several species of cactus is called a pitaya or dragon fruit. Dragon fruit is edible, although one only eats the flesh inside the skin."
PAST_,"PASTA.    	Tagliatelle is a type of pasta from eastern Italy. Tagliatelle is similar to fettuccine, and so is made up of long, flat ribbons. The name comes from the Italian 'tagliare' meaning 'to cut'."
TAX_S,"TAXES.    	Oliver Wendell Holmes, Jr. was an Associate Justice of the US Supreme Court from 1902 until 1932. Holmes is oft-quoted, and perhaps the most famous phrase that he coined is 'clear and present danger'. He also said 'Taxes are the price we pay for a civilized society'. That quotation can be seen above the headquarters of the IRS in Washington, D.C."
SYNO_S,"SYNODS.    	The word synod comes from the Greek word for assembly, or meeting. A synod is a church council, usually in the Christian faith."
GPA_,GPAS.    	Grade point average (GPA)
FA_A,FAVA.    	Fava bean is an alternative name for the broad bean.
ARC_D,"ARCED.    	Sunlight shining through airborne water droplets can produce rainbows. The water droplets act as little prisms, dispersing the white light into its constituent colors. Sometimes we see double rainbows. If we look carefully, the order of the colors in the first and second arcs is reversed."
_TEAM,"STEAM.    	On a recent trip to New York City in the winter, it struck me that the steam emanating from the manholes was a peculiarly American phenomenon, and is especially associated with the Big Apple. I've never seen such a thing in my travels around the world, so I did a little checking. It seems that the large buildings in New York were traditionally built with large steam heating plants. Excess steam was sold to neighboring buildings and soon the power companies were building central steam generation plants. As a result, there are miles and miles of steampipes snaking across the city. I guess some of the steam leaks out and escapes through the manholes."
RODMA_,"RODMAN.    	Retired professional basketball player Dennis Rodman was quite the character on the court, and made a big splash off the court too (and still is!). Famously, Rodman had an affair with the singer Madonna, was married for a while to Carmen Electra, and turned out in a wedding dress to promote his autobiography!"
RADAR_,"RADARS.    	Scientists have been using radio waves to detect the presence of objects since the late 1800s, but it was the demands of WWII that accelerated the practical application of the technology. The British called their system RDF standing for Range and Direction Finding. The system used by the US Navy was called Radio Detection And Ranging, which was shortened to the acronym RADAR."
KES_A,KESHA.    	Ke$ha (also just Kesha) is the stage name used by singer Kesha Rose Sebert.
A_ETES,"ARETES.    	An arete is ridge of rock defining the border between two parallel valleys that have been formed by glaciation. If this ridge is rounded, it is called a ""col"". However if it is ""sharpened"", with rock falling way due to successive freezing and thawing, then it is called an ""arete"". 'Arête' is the French word for ""fish bone""."
MAR_,MARA.    	The actress Rooney Mara is noted for her role in the 2010 film 'The Social Network' and more recently for the title role in the 2011 hit movie 'The Girl with the Dragon Tattoo'. Mara has American Football in her blood. Her mother's family founded the Pittsburgh Steelers and her father's family founded the New York Giants.
EZI_,EZIO.    	Ezio Pinza was an opera singer from Italy. Pinza performed for many years with the Metropolitan Opera in New York before retiring from the Met in 1948. He then launched a career on Broadway and in Hollywood.
NAR_S,"NARCS.    	(13. With 14-Down, figs. in the war on drugs : DEA"
_TEN,"D-TEN.    	Battleship was a game that we used to play as kids using pencil and paper. The game had been around at least since WWI, and was eventually turned into a board game by Milton Bradley in 1967."
DECA_S,"DECALS.    	A decal is a decorative sticker, short for 'decalcomania'. The term is derived from the French 'décalquer', the practice of tracing a pattern from paper onto glass or perhaps porcelain."
ER_T,"ERST-.    	Erstwhile means ""in the past"" or ""once upon a time""."
SK_SH,"SKOSH.    	""Skosh"" is a slang term meaning ""a little bit"", originally military slang that came out of the Korean War. ""Skosh"" derives from the Japanese word ""sukoshi"" which translates as ""few, little, some""."
SCRU_,"SCRUM.    	If you've ever seen a rugby match, you'll recognize the ""scrum"", where the players designated as ""forwards"" bind together and push against the forwards on the opposing team. It's a way of restarting the game after various types of stoppages. Scrum is short for ""scrummage"", which in itself is a variation of ""scrimmage"". And ""scrimmage"" has its roots in the word ""skirmish"". If you get the chance, take a look at the Matt Damon-Morgan Freeman movie called ""Invictus"", directed by Clint Eastwood. It's all about rugby in South Africa after Nelson Mandela came to power. A powerful film ..."
SYNO_S,"SYNODS.    	Several Eastern Orthodox and Eastern Catholic Churches have ruling bodies called Holy Synods, comprising a group of bishops who elect the head bishop or patriarch for their church."
_UNTIE,"AUNTIE.    	Auntie Anne's is a chain of pretzel bakeries that was founded in 1988. The chain started out as a simple stand in a farmer's market in Downingtown, Pennsylvania. There are now almost 900 outlets in about a dozen countries."
_EDI,PEDI.    	Manicure & pedicure (mani-pedi)
ALKAL_,"ALKALI.    	The 'opposite' of an acid is a base. Acids turn litmus paper red, and bases turn it blue. Acids and bases react with each other to form salts. An important subset of the chemicals called bases are the alkalis, the hydroxides of the alkali metals and of ammonium. The term 'alkali' is sometimes used interchangeably with 'base', especially if that base is readily soluble in water."
L_IN,"LYIN'.    	The Eagles song 'Lyin' Eyes' was recorded in 1975. Written by band members Don Henley and Glenn Frey, the lyrics were inspired by a meeting between a man and a woman the composers witnessed in Dan Tana's Bar & Restaurant in Los Angeles. Henley and Frey imagined a scenario of secret love, and 'Lyin' Eyes' was born."
D_RR,DERR.    	Charlie Chan is the main character in a series of novels by Earl Derr Biggers. Chan is a Chinese-American detective working with the Honolulu police department. There have been almost 50 movies made featuring the Charlie Chan character.
N_RO,"NYRO.    	Laura Nyro was a singer-songwriter from the Bronx, New York. Nyro had success with her own recordings, but her songs were even more successful when recorded by other big names. Two of Nyro's compositions were 'Eli's Coming' recorded by Three Dog Night, and 'Stoney End' by Barbra Streisand."
AHA_,"AHA!.    	An 'epiphany' is an appearance or manifestation, especially of a supreme being. By extension, 'epiphany' can also apply to a sudden insight or intuitive perception. The term derives from the Greek 'epiphainein' meaning 'to manifest, display'."
C_RF,"CERF.    	Although there are a few people who are given the title ""father of the Internet"", Vint Cerf is most associated with the title. Also so honoured are engineers Bob Kahn and Donald Davies. Cerf co-designed the architecture of the Internet, as well as the crucial TCP/IP protocols used."
RA_IS,"RAMIS.    	Harold Ramis was a real all-rounder, working as an actor, director and writer. Indeed, in both 'Ghostbusters' and ""Stripes"" he was a co-writer as well as playing a lead character. Ramis worked as writer-director on 'Caddyshack', 'National Lampoon's Vacation', 'Groundhog Day' and 'Analyze This'."
TATIA_A,TATIANA.    	'Eugene Onegin' is a novel by the Russian author Alexander Pushkin. The novel is unusual in that it is written in verse form. 'Eugene Onegin' was adapted into an opera of the same name by Pyotr Tchaikovsky.
SAUC_,"SAUCE.    	The term 'ketchup' may be of Chinese origin. One suggestion is that the name comes from 'kôe-chiap', meaning the brine of pickled fish. The name may also come from the Chinese 'jyutping', meaning 'tomato sauce'."
_TTICA,"ATTICA.    	The Attica Correctional Facility in Attica, New York is used to incarcerate the toughest of the state's convicts. Famous people who have spent time in Attica include David Berkowitz (Son of Sam) and Mark David Chapman (who killed John Lennon). Attica was the site of a famous riot in 1971 involving almost 1,000 inmates. Control of the prison was restored by the authorities after several days of unrest that left 39 people dead, including ten guards and other prison employees."
AS_,"ASA.    	Asa Gray was an important American botanist in the nineteenth century. He was a lifelong friend of Charles Darwin, albeit mainly through correspondence. Darwin's book ""Forms of Flowers"", was dedicated to Gray."
"N_""","NY"".    	The actress Sela Ward turns up in crosswords a lot. Ward played Teddy Reed in the TV show ""Sisters"" in the nineties, and was in ""Once and Again"" from 1999-2002. I don't know either show, but I do know Ward from the medical drama ""House"" in which she played the hospital's lawyer and Greg House's ex-partner. That was a fun role, I thought. More recently Ward played a lead role on ""CSI: NY"" and was a very welcome and much-needed addition to the cast ..."
CAR_,CARS.    	'Cars' is a 2006 animated feature from Pixar. The great cast of voice actors includes Paul Newman in his last movie role before he passed away in 2008.
_AVANA,"HAVANA.    	Apparently, when Fidel Castro came to power in Cuba he banned the very popular game 'Monopoly', as he viewed it as a symbol of capitalism. In fact, he ordered that every copy of the game on the island be destroyed."
IC_L,"ICEL.    	Iceland&#8217;s 'huldufólk' are tiny elves of folklore. Evidence of these elves is quite prevalent in Icelandic society. There is a common superstition that one should not throw stones, for fear of hitting the huldufólk. Gardens often include tiny houses for the elves to live in, and some building projects have been altered to take into account ground in which the huldufólk are said to live. The term 'huldufólk' translates as 'hidden people'."
NU_N,"NUNN.    	Sam Nunn served as a US Senator for the state of Georgia as a Democrat, for 24 years until 1997. Nunn is married to Colleen O'Brien, whom he met for the first time in the US Embassy in Paris where she was working as a spy for the CIA."
GE_RGE,"GEORGE.    	George Jefferson was a supporting character in the sitcom 'All in the Family', and a lead character in the spin-off show 'The Jeffersons'. The role was played by actor Sherman Hemsley."
_HOC,"CHOC.    	The flavor of ice cream known as rocky road is made using chocolate ice cream mixed with nuts and marshmallows. The exact origin of the flavor seems to be disputed, but one story is that William Dreyer invented in 1929, chopping up walnuts and marshmallows with sewing scissors belonging to his wife."
R_EL,"RIEL.    	The Cambodian riel was first introduced in 1953, and was taken out of circulation by the Khmer Rouge in 1975 when they completely abolished money on taking control of the country. After the Vietnamese invasion of 1978, money was reintroduced and the Cambodian people are still using the ""second"" riel."
C_OPS,"CHOPS.    	We use the word 'chops' to mean 'expertise' as in the phrases 'showing his chops' and 'having the chops', meaning showing his expertise, having the expertise. This usage evolved from the use of the word 'chops' for the mouth, jaw or lips, which dates back to the the 1700s. The more contemporary usage dates back to the 1940s when jazz musicians referred to the skill of a player with reference to their use of the lips on an instrument."
FR_DO,"FREDO.    	Fredo Corleone is a middle son in the Corleone family that features in Mario Puzo's ""The Godfather"". He was considered the weak son, and was reduced to the role of ""gopher"". Fredo was with his father when Don Corleone was shot, and although he tried to retaliate as the shooting took place, he dropped his gun. On the screen, Fredo was played by Italian-American actor John Cazale."
_URIE,"CURIE.    	Marie Curie lived a life of firsts. She was the first female professor at the University of Paris, the first woman to win a Nobel Prize, and indeed was the first person to win two Nobel prizes (in 1903 and 1911). Most of Curie's work was in the field of radioactivity, and was carried out in the days when the impact of excessive radiation on the human body was not understood. She died from aplastic anemia, caused by high exposure to radiation. To this day, Curie's personal papers are kept preserved in lead-lined boxes as they are highly radioactive, even her personal cookbook."
GENU_,"GENUS.    	Trivial Pursuit was invented in 1979 by two Canadians from Montreal. The pair decided to come up with their own game after they discovered that there were pieces missing from the game of Scrabble that they wanted to play. There was a full blown launch of a commercial version of the game in 1982. In 2008, Hasbro bought the complete rights to Trivial Pursuit, for US$80 million! On a personal note, I met my lovely wife over a game of Trivial Pursuit ..."
SAM_VAR,"SAMOVAR.    	The samovar originated in Russia, and is often a very elegant water boiler, usually for making tea. As such, there is often an attachment on top of a samovar to keep a teapot warm."
AC_CIA,"ACACIA.    	Acacia is a genus of tree and shrub, also known as thorntree, whistling thorn and wattle. The acacia is the primary food source for the giraffe in the wild, with the animal eating the leaves high in the tree, leaves that are inaccessible by competing species. The natural gum from two species of acacia tree is known as gum arabic, which is used in the food industry as a stabilizer."
_PT,"DPT.    	The DPT vaccine is combination vaccine providing protection against diphtheria (D), pertussis (P, also known as whooping cough) and tetanus (T)."
SC_USS,"SCHUSS.    	A schuss is a very fast run downhill in skiing, not taking any turns to slow the pace of the descent. 'Schuss' is a German word for 'shot'."
WIN_,"WINO.    	The city of Oporto in Portugal gave its name to port wine in the late 1600s, as it was the seaport through which most of the region's fortified red wine was exported."
DO_M,"DORM.    	In a university, a dormitory (dorm) might be located around a quadrangle (quad)."
ASI_,AS IS.    	A caveat is a warning or a qualification. 'Caveat' is the Latin for 'let him beware'.
TUS_,"TUSH.    	'Tush' is a slang term for the backside, an abbreviation of 'tochus' that comes from the Yiddish 'tokhes'."
M_RK,"MORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
_RN,"ARN.    	'Prince Valiant' is a comic strip that first appeared in 1937 when it was created by Hal Foster. Edward, Duke of Windsor called the ""Prince Valiant"" comic strip the ""greatest contribution to English Literature in the past one hundred years"". I'm not so sure ..."
MOI_A,"MOIRA.    	The three Fates of Greek mythology were white-robed deities, and were also called the Moirai. The three Fates were Clotho the spinner, Lachesis the allotter and Atropos the unturnable."
MT_,MTS.    	Mountains (mts.)
M_GAN,"MEGAN.    	Megan Fox is an actress and model from Oak Ridge, Tennessee. Fox's big break as an actress came when she played the love interest of one of the male leads in the 2007 sci-fi movie 'Transformers'. Frankly, I have no idea who she is ..."
_EZA,"REZA.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
RIC_I,"RICCI.    	Christina Ricci is an American actress who found fame on the big screen at an early age, playing the very young Wednesday Addams in the 1991 movie version of ""The Addams Family""."
MO_T,"MOST.    	""The Guinness Book of World Records"" holds some records of its own. It is the best-selling, copyrighted series of books of all time and is one of the books most often stolen from public libraries! The book was first published in 1954 by two twins, Norris and Ross McWhirter. The McWhirter twins found themselves with a smash hit, and eventually became very famous in Britain hosting a TV show based on world records."
U_LE,"UELE.    	The Uele River is a tributary to the Ubangi River, and is found in the Democratic Republic of the Congo. The Uele is the 5th longest river in Africa."
