"To be, to Bernadette.   		4 letters",ETRE.    	The French for 'to be' is 'être'.
Marquis's inferior.   		4 letters,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known simply as a countess."
One of Aesop's animals.   		3 letters,ASS.    	Aesop used the ass in at least four of his fables:
"Drunk's affliction, for short.   		3 letters","DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
"Crash site figure, for short.   		3 letters",EMT.    	Emergency medical technician (EMT)
Jack or jenny.   		3 letters,"ASS.    	A female donkey is known as a jenny, and a male is known as a jack, or sometimes a 'jackass'."
Business honcho.   		3 letters,"CEO.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a ""hancho"" is a squad (han) leader (cho)."
Upsilon preceder.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
"One working overtime in Apr., maybe.   		3 letters",CPA.    	Certified public accountant (CPA)
2015 FIFA Women's World Cup champs.   		3 letters,"USA.    	The FIFA Women's World Cup is a soccer tournament that has been held every four years since 1991. The US national team has won the tournament three times, more than any other nation."
To be in France?.   		4 letters,ETRE.    	The French for 'to be' is 'être'.
"""Vous ___ ici"".   		4 letters","ETES.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean, ""You are here"", and you'll often see them on maps in the street."
Sushi bar selection.   		3 letters,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
O.   		3 letters,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read her book ""Without a Doubt"" a few years ago, and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor by her first name ""Marcia"", while addressing the male attornies on both sides of the case with the honorific ""Mister""."
"""Vous êtes ___"".   		3 letters","ICI.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean ""You are here"", and you'll often see them on maps in the street."
Fox News rival.   		3 letters,"CNN.    	CNN (Cable News Network) was launched in 1980, and was the first television channel in the world to provide news coverage 24 hours a day."
"""Royal Pains"" network.   		3 letters","USA.    	'Royal Pains' is a medical drama that has aired on the USA network since 2009. The storyline revolves around a 'concierge doctor' named Hank Lawson, a doctor who provides medical support to residents of a resort community in the Hamptons."
Michael Stipe's band.   		3 letters,REM.    	Michael Stipe was the lead vocalist for the band R.E.M. that was active from 1980 through 2011.
French 101 verb.   		4 letters,ETRE.    	The French for 'to be' is 'être'.
G8 member.   		3 letters,"USA.    	The G6 was a group of six industrialized nations that formed in 1975 and whose governments met on a periodic basis. The founding members were France, Germany, Italy, Japan, the UK and the US. The membership expanded in 1976 with the addition of Canada, forming the G7. Russia has been represented since 1997, and the group is now called the G8."
Brontë heroine.   		4 letters,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
"Smooching on the street, e.g., briefly.   		3 letters",PDA.    	PDA is an initialism that stands for 'public display of affection'.
Stream past Memphis.   		4 letters,"NILE.    	Memphis was an ancient city on the River Nile. The ruins of Memphis are located just south of Cairo, Egypt. It was a magnificent city that eventually failed due to the economic success of the city of Alexandria located further down the river, right on the Mediterranean coast."
Memo opener.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
Bit of ink.   		3 letters,"TAT.    	The word ""tattoo"" was first used in English in the writings of Captain Cook. In his descriptions of the indelible marks adorning skin of Polynesian natives, he anglicized the Tahitian word ""tatau"" into ""tattoo""."
Job ad abbr..   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
"""Evita"" character.   		3 letters","CHE.    	""Evita"" was the follow up musical to ""Jesus Christ Superstar"" for Andrew Lloyd Webber and Tim Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). For the original album's cast they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play Che, the narrator of the piece. 'Evita' was made into a film in 1996, with Madonna playing the title role."
Early automotive inits.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom Eli Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
"Queen in ""Frozen"".   		4 letters",ELSA.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
"Muppet with his own ""World"".   		4 letters","ELMO.    	The last 15 minutes of the children's show 'Sesame Street' was called 'Elmo's World'. 'Elmo's World' was directed towards younger viewers, around 3-years-old."
Job listing letters.   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
Film character who brings the snowman Olaf to life.   		4 letters,ELSA.    	The Princess Elsa brings to the snowman Olaf to life in the 2013 animated film 'Frozen'.
Future D.A.'s hurdle.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Submachine gun.   		3 letters,"UZI.    	The first Uzi sub-machine gun was designed in the late 1940s, by Major Uziel Gal, who gave his name to the gun."
"Logan of ""60 Minutes"".   		4 letters","LARA.    	Lara Logan is a South African newswoman, currently the Chief Foreign Affairs Correspondent for CBS News."
W.W.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
Holiday-time song.   		4 letters,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
"Peeples of ""Fame"".   		3 letters","NIA.    	Actress Nia Peeples played the character Nicole Chapman in the TV series ""Fame""."
Dublin's land.   		4 letters,"EIRE.    	The city of Dublin, the capital of Ireland, is known as Baile Átha Cliath in Irish ('town of the hurdled ford'). The English name 'Dublin' is an anglicized form of the older Irish name for the city 'Dubh Linn', meaning 'black pool'."
"Oscar nominee for ""The Aviator"".   		4 letters","ALDA.    	Alan Alda has had a great television career, especially of course on 'M*A*S*H'. Alda won his first Emmy in 1972, for playing Hawkeye Pierce on 'M*A*S*H'. He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy 'Same Time, Next Year' in which he starred opposite Ellen Burstyn."
As high as you can go.   		4 letters,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
"The anchorman in ""Anchorman"".   		3 letters","RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
Simpson case judge.   		3 letters,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
Soccer great Hamm.   		3 letters,"MIA.    	Mia Hamm is a retired American soccer player, a forward who played on the US national team that won the FIFA women's World Cup in 1991. Mia Hamm is quite the player and has scored 158 international goals, more than other player in the world, male or female."
"""Fûmes"" is a form of it.   		4 letters","ETRE.    	The 'passé simple' is a tense in French that is used mainly in formal writing. The 'passé simple' is a past tense, one that is divorced from the present meaning that the verb describes something that has happened in the past and has definitely been completed. The 'passé simple' for the verb 'être' meaning 'to be' is: 'je fus, tu fus, il fut, nous fûmes, vous fûtes, ils furent'."
Ex-president Tyler sided with it: Abbr..   		3 letters,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
Australia's Lake ___ National Park.   		4 letters,"EYRE.    	Lake Eyre is located in the deserts of central Australia, and at 49 feet below sea level, it is the lowest point in the country."
Doctor Zhivago's love.   		4 letters,LARA.    	The heroine of Boris Pasternak's epic novel 'Doctor Zhivago' is Lara. The Lara character was inspired by Pasternak's mistress Olga Ivinskaya.
Nebraska's largest city.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. It is located on the Missouri River, about 10 miles north of the mouth of the Platte River When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
North Sea feeder.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
River through two world capitals.   		4 letters,"NILE.    	The River Nile runs through two national capitals: Cairo in Egypt, and Khartoum in Sudan."
"""Joy to the World,"" for one.   		4 letters","NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name for a Christmas carol."
Ill-fated captain.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
Utter doofus.   		3 letters,"ASS.    	""Doofus"" (also ""dufus"") is student slang that has been around since the sixties. Apparently the word is some variant of the equally unattractive ""doo-doo""."
Odds and ends.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
Kind of tide.   		4 letters,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tide, the sun and the moon's gravitational forces act in concert causing more extreme movement of the oceans."
Greek letter.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Former White House nickname.   		3 letters,"RON.    	Ronald Reagan started out his political career as a member of the Democratic Party, but switched to the Republicans in the early fifties. He served as Governor of California for eight years, and vied unsuccessfully for the nomination for US President on two occasions. He finally succeeded in 1980 and defeated President Jimmy Carter to become the 40th US President in 1981."
Cain mutiny victim?.   		4 letters,"ABEL.    	As Cain was the first murderer according the Bible, he is associated with evil or trouble. The idiom 'raise Cain' is the equivalent of 'raise Hell' and 'raise the Devil'. In all cases the meaning is to bring back evil or to cause trouble."
Animation collectible.   		3 letters,"CEL.    	In the world of animation a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Home of Warren Buffett.   		5 letters,"OMAHA.    	Warren Buffett is one of my heroes. Despite being the third wealthiest man in the world, he lives a relatively frugal and modest life. He also has a very Jeffersonian attitude towards the role his wealth plays within his family. He has set up his estate so that his children get enough money to be independent, but the vast majority of his assets are going to charity, both before and after he dies."
___ Speedwagon.   		3 letters,REO.    	The REO Speed Wagon (note the space between 'speed' and 'wagon') is the vehicle. REO Speedwagon (no space) is the American rock band.
Many a C.E.O.   		3 letters,"MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
Southeast Asian tongue.   		3 letters,"LAO.    	Lao, the language of Laos, does not use spaces between words (or periods!), although this is apparently changing. Spaces are used between sentences and clauses."
"Ed of ""Up"".   		5 letters","ASNER.    	""Up"" is the tenth movie released by Pixar studios, featuring wonderful animation as one has come to expect from Pixar. It earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy in his last film, 'Guess Who's Coming to Dinner'."
"Princess in ""Frozen"".   		4 letters",ELSA.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
Attendee of the fictional Lowood Institution for girls.   		4 letters,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on the blog that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
Fraternity letter.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Seoul-based automaker.   		3 letters,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
"Aunt, in Acapulco.   		3 letters","TIA.    	The Mexican city of Acapulco is on the southwest coast of the country, in the state of Guerrero. The name 'Acapulco' translates from the local language into 'at the big reeds'."
___ Maria (liqueur).   		3 letters,"TIA.    	Tia Maria is a coffee liqueur that was invented just after WWII in Jamaica, using Jamaican coffee beans. The name translates to ""Aunt Maria""."
Where to see Anderson Cooper.   		3 letters,"CNN.    	Anderson Cooper is a great news personality on CNN and on various shows around the dial. My favorite appearances of his, although he would call them trivial I am sure, were hosting a great reality game show called ""The Mole"" that aired in 2001."
___ Steaks.   		5 letters,OMAHA.    	Omaha Steaks is a company that sells meat and related products directly to end customers. Omaha steaks are shipped directly to purchasers in coolers packed with ice.
Great Salt Lake site.   		4 letters,"UTAH.    	The Great Salt Lake in Utah is extremely shallow, and so the area of the lake fluctuates greatly with the changing volume of water. Back in 1963 the lake shrunk to 950 square miles, whereas in 1988 the area was measured at a whopping 3,300 square miles."
Bust-making org.   		3 letters,DEA.    	Drug Enforcement Administration (DEA)
Fair-hiring letters.   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
Island strings.   		3 letters,"UKE.    	The ukulele originated in the 1800s, and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants."
"Troubling post-engagement status, briefly.   		3 letters",MIA.    	Missing in action (MIA)
"""Angels We Have Heard on High,"" e.g.   		4 letters","NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
"Red Muppet on ""Sesame Street"".   		4 letters","ELMO.    	The 'Sesame Street' character has a birthday every February 3rd, and on that birthday he always turns 3&#189; years old. The man behind/under Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
Symbol of rebellion on many T-shirts.   		3 letters,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aries. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
"Ed of ""Up"".   		5 letters","ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day ..."
___ chi.   		3 letters,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
British record giant.   		3 letters,"EMI.    	EMI was a British music company, with the acronym originally standing for Electric and Musical Industries."
Greek H's.   		4 letters,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character 'H'. Originally denoting a consonant, eta was used as a long vowel in Ancient Greek."
It's left on a keyboard.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
"Witherspoon of ""Walk the Line"".   		5 letters",REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
Field fraction.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
Genesis victim.   		4 letters,"ABEL.    	The story of Cain and Abel not only appears in the Christian and Hebrew Bibles, it also features in the Qur'an. In the Muslim account the brothers are named Qabil and Habil."
"He said ""Most editors are failed writers - but so are most writers"".   		5 letters","ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of his college education was at Oxford, and clearly he became comfortable with life in England. In 1927 he became a British citizen, and lived the rest of life in the UK."
"Jobs's job, once.   		3 letters","CEO.    	Steve Jobs certainly was a business icon in Silicon Valley. I don't think it is too surprising to learn that the brilliant Jobs didn't even finish his college education, dropping out of Reed College in Oregon after only one semester. Steve Jobs co-founded Apple in 1976, but in 1985 he was basically fired from his own company during the computer sales slump of the mid-eighties. Jobs then founded NeXT Computer, a company focused on supplying workstations to the higher education and business markets. Apple purchased NeXT in 1996, and that's how Jobs found himself back with his original company."
Animation fan's collectible.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
"""Out of the Silence"" novelist Cox.   		4 letters","ERLE.    	Erle Cox was an Australian journalist as well as an author of science fiction. His most famous novel is ""Out of the Silence"" first published in installments in his newspaper in 1919. The story is about a gigantic sphere that is discovered underground in Australia, containing the accumulated knowledge of a past civilization."
N.F.L.   		3 letters,"RON.    	Coach and former football player Ron Rivera played for the California Golden Bears while at school, before turning professional with the Chicago Bears. Rivera took over as head coach with the Carolina Panthers in 2011."
Cork's locale.   		4 letters,EIRE.    	The island of Ireland is known as 'Éire ' in the Irish language. 'Éire' is also the Irish name of the sovereign state known in English as the Republic of Ireland.
Sheet music abbr..   		3 letters,"ARR.    	""Arr."" is short for ""arranged by"", when written on a musical score."
Actress Vardalos.   		3 letters,"NIA.    	Not only was the delightful Nia Vardalos the star of the 2002 hit movie ""My Big Fat Greek Wedding"", she also wrote the screenplay. The film never made it to number one at the box office, but it still pulled in more money than any other movie in history not to make it to number one. That record I think reflects that the film wasn't a blockbuster but rather a so-called ""sleeper hit"", a movie that people went to see based on referrals from friends. The big fat mistake came when a spin-off TV show was launched, ""My Big Fat Greek Life"". It only ran for 7 episodes."
"Here, in Dijon.   		3 letters","ICI.    	Dijon is a city in eastern France, in the Burgundy region. Dijon is famous for its mustard, a particularly strong variation of the condiment. The European Union doesn't protect the name ""Dijon"" so anyone can use it on a label. That seems fair enough to me, given that 90% of the mustard made in and around Dijon is produced using mustard seed imported from Canada."
CPR pro.   		3 letters,"EMT.    	Cardiopulmonary resuscitation (CPR) has for decades involved the simultaneous compression of the chest to pump blood using the heart, and artificial respiration by blowing air into the lungs. Nowadays emergency services are placing more emphasis on heart compressions, and less on artificial respiration."
Summer clock schedule: Abbr..   		3 letters,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
"Aunt, in Latin America.   		3 letters","TIA.    	In Spanish, an aunt (tia) is a member of the family (la familia)."
"""That's all ___ wrote"".   		3 letters",SHE.    	No one seems to be very certain of the origin of the phrase 'that's all she wrote'. One popular story though is that it stems from the unfortunate 'Dear John' letters that some soldiers received during WWII.
"Some of this, some of that.   		4 letters","OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
Job ad inits.   		3 letters,"EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
Broadband letters.   		3 letters,"DSL.    	The abbreviation 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Balaam's beast.   		3 letters,"ASS.    	Balaam was a diviner who appears in the Book of Numbers in the Hebrew Bible. In one story, Balaam is held to task by an angel for particularly cruel treatment of an ass."
What an otoscope examines.   		3 letters,"EAR.    	An otoscope is that instrument that an Ear, Nose and Throat specialist (ENT) uses to look into the interior of your ears."
"""Hannah and ___ Sisters"".   		3 letters","HER.    	Hannah and Her Sisters' is a 1986 comedy-drama film that was written and directed by Woody Allen. Hannah is played by Mia Farrow, and Hannah's two sisters are played by Barbara Hershey and Dianne Wiest."
This and that.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
Clarkson College locale.   		5 letters,"OMAHA.    	Clarkson College is a private school in Omaha, Nebraska that specializes in degrees that qualify students for the healthcare industry. Clarkson was founded in 1888 as a two-year nursing school at the Bishop Clarkson Memorial Hospital."
Concerning.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). It literally means ""in the matter"", and is used as ""in regard to"", or ""in the matter of""."
"""Vous êtes ___"".   		3 letters","ICI.    	""Vous êtes ici"" are important words to know when navigating your way around Paris. They mean, ""You are here"", and you'll often see them on maps in the street."
"BlackBerry, e.g., for short.   		3 letters",PDA.    	Personal digital assistant (PDA)
Wile E.   		4 letters,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mainly in the Road Runner cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme designed to finally capture the Road Runner, but the equipment always led to his downfall instead."
"""Wing"" for Dumbo.   		3 letters","EAR.    	The 1941 Disney animated film 'Dumbo' was made soon a year after the feature 'Fantasia'. 'Dumbo' was largely a commercial venture. The film was made quickly and released in theaters as soon as possible, the idea being to recoup the financial losses incurred by 'Fantasia'."
Back 40 unit.   		4 letters,"ACRE.    	In the Public Land Survey System, land right across the country is divided into townships and sections. A section is roughly equivalent to a square mile, 640 acres. It became the practice to refer to quarter-quarter divisions of a section, with a quarter of a quarter of a section being equal to 40 acres (check the math!). From this sprung phrases like 'lower 40' (nominally the lowest elevation 40 acres on a property) and the 'back 40' (nominally a 40 acre parcel that was undeveloped on a property, 'out the back')."
Nocturnal cycle occurrence.   		3 letters,"REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours, and is the period associated with one's most vivid dreams."
Maui music-maker.   		3 letters,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Battle stat.   		3 letters,MIA.    	Missing in action (MIA)
Collectible frame.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Some recap highlights.   		3 letters,TDS.    	Touchdowns (TDs)
2013 Spike Jonze film.   		3 letters,"HER.    	Spike Jonze is a movie director whose first feature film was 'Being John Malkovich' (1999). Jonze also directed a couple of films for which he wrote the screenplays, namely 'Where the Wild things Are' (2009) and 'Her' (2013). Jonze also co-created the MTV show 'Jackass'. Can't stand that show, said he grumpily ..."
Language for a 37-Down.   		4 letters,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
L.A.   		3 letters,"ITO.    	Judge Lance Ito came in for a lot of criticism for his handling of the O.J. Simpson murder trial. The lead prosecutor in that trial was Marcia Clark, you might recall. I read the book that's Clark wrote about the trial called ""Without a Doubt"", and she pointed out one trait of Judge Ito that I think is quite telling. Ito would almost always refer to the prosecutor as ""Marcia"", while addressing the men on both sides of the case as ""Mister""."
Skater Babilonia.   		3 letters,"TAI.    	Tai Babilonia is a retired figure skater, long time partner of Randy Gardner. The pair started skating together when she was just eight years old, and stayed together until she was 49, retiring in 2008. Babilonia is engaged to the comedian David Brenner."
Starbuck's orderer.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly captain of the Pequod in Herman Melville's ""Moby Dick""."
*NT.   		3 letters,"EAR.    	Ear, Nose and Throat specialist (ENT)"
Nincompoop.   		3 letters,"ASS.    	The word ""nincompoop"", meaning a fool, seems to have been around for quite a while. It has been used since the 1670s, but no one appears to know its origins."
Web access inits.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
"""M*A*S*H"" star.   		4 letters","ALDA.    	Alan Alda had a great television career, especially of course on ""M*A*S*H"". Alda won his first Emmy in 1972, for playing Hawkeye Pierce on ""M*A*S*H"". He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy ""Same Time, Next Year"" in which he starred opposite Ellen Burstyn."
