Port in the eastern Mediterranean.   		4 letters,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
State that voted Republican by the highest percentage (73%) in the 2012 presidential election.   		4 letters,"UTAH.    	In the 2012 US presidential election, the state that most leaned towards Republican candidate Mitt Romney was Utah, giving him 73% of the vote. The state that most leaned towards Democratic candidate Barack Obama was Hawaii, giving him 71% of the vote. Also, President Obama won 91% of the vote in the District of Columbia."
Justice Department div.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
One featuring a Maltese cross.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone."
Parent of Air Greenland.   		3 letters,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden. SAS is based at Stockholm Arlanda Airport located just north of the Swedish capital."
Mekong Valley native.   		3 letters,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
Airport info: Abbr..   		3 letters,ARR.    	Arr: Arrival time.
Well-lit spaces.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Times column: Abbr..   		3 letters,ARR.    	Arrival (arr.) times
River to the North Sea.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
"BlackBerry, e.g., in brief.   		3 letters","PDA.    	A device like perhaps an iPhone, Droid, or Treo can be termed a Personal Digital Assistant (PDA)."
"Witherspoon of ""Legally Blonde"".   		5 letters",REESE.    	Reese is not actually Ms. Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
"Purse or pocket item, briefly.   		3 letters",PDA.    	Personal digital assistant (PDA)
Soul producer.   		3 letters,"KIA.    	The Kia Soul is a compact car produced in South Korea, although it was designed by Kia here in Irvine, California. Yep, the Kia Soul is made in Seoul ..."
Q neighbor.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to 'jump' across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
___ of Warwick (War of the Roses figure).   		4 letters,"EARL.    	The Wars of the Roses was a series of civil wars fought for the throne of England between the rival Houses of Lancaster and York. Ultimately the Lancastrians emerged victorious after Henry Tudor defeated King Richard III at the Battle of Bosworth Field. Henry was crowned King Henry VII and united the two Houses by marrying his cousin, Elizabeth of York. Henry had a relatively long reign of 23 years that lasted until his death, after which his son succeeded to the throne as Henry VIII, continuing the relatively short-lived Tudor dynasty. He ruled from 1509 until his death in 1547. Henry VIII was the last male to lead the the House of Tudor, as his daughter Queen Elizabeth I died without issue."
"Exam with logic games, briefly.   		4 letters",LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Howard of Hollywood.   		3 letters,"RON.    	Ron Howard sure has come a long way since playing Opie Taylor on 'The Andy Griffith Show'. He has directed some fabulous movies including favorites of mine like ""Apollo 13"", ""A Beautiful Mind"" and ""The Da Vinci Code""."
Captain of Jules Verne's Nautilus.   		4 letters,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne, the fate of Nemo and his crew isn't quite so cut and dry, although the assumption is perhaps that they did indeed head for Davy Jones's Locker."
"""Lohengrin"" heroine.   		4 letters","ELSA.    	""Lohengrin"" is a very popular opera by Richard Wagner, first performed in 1850. Many arias from ""Lohengrin"" are staples on ""Opera's Greatest Hits"" collections."
Ishmael's captain.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
Natural table.   		4 letters,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the term ""mesa"" that describes a geographic feature. ""What's the difference between a butte and a mesa?"" I hear you cry! Both are hills with flat tops, but a mesa has a top that is wider than it is tall. A butte is a much narrower formation, taller than it is wide."
Israeli-made weapon.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
1994 World Cup country.   		3 letters,"USA.    	The 1994 FIFA World Cup was held in the US, with nine cities across the country acting as host. The average attendance at the games was about 69,000, which set a record for a FIFA World Cup that persists to this day. Brazil won the tournament, beating Italy in a penalty shootout."
Cable alternative.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
French word with a circumflex.   		4 letters,ETRE.    	The French for 'to be' is 'être'.
Zenith.   		4 letters,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
Anti-trafficking org.   		3 letters,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
Biblical shepherd.   		4 letters,"ABEL.    	According to the Bible's Book of Genesis, after Cain murdered his brother Abel, he fled to the Land of Nod located ""east of Eden"" (from which John Steinbeck got the title for his celebrated novel ""East of Eden"")."
"Channel with ""Anderson Cooper 360 degrees"".   		3 letters","CNN.    	Anderson Cooper is a great news personality on CNN, and on other shows around the dial. My favorite appearances of his, although he would call them trivial I am sure, was as host of a great reality game show called ""The Mole"" that aired in 2001."
"Song syllable repeated after ""Da Doo"".   		3 letters",RON.    	'Da Doo Ron Ron' was a big hit in 1963 for the Crystals.
Gaelic tongue.   		4 letters,"ERSE.    	There are actually three Erse languages. Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Copenhagen carrier.   		3 letters,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden."
Italian possessive adjective.   		3 letters,"MIA.    	""Mia"" is the Italian for ""my""."
Pixar title character.   		4 letters,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
"""Roots"" Emmy winner.   		5 letters","ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
"Hawaiian instrument, for short.   		3 letters",UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
"Luau instrument, informally.   		3 letters","UKE.    	The ukulele originated in the 1800s, and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants."
Its seal has an olive branch.   		3 letters,"USA.    	The Great Seal of the United States is a device used to authenticate some US federal documents. The obverse (front) of the Great Seal is used as the coat of arms of the US, a design that can seen on all American passports."
Celtic tongue of the British Isles.   		4 letters,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Adventurer in Grouchland in a 1999 film.   		4 letters,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
Uncle of Enoch.   		4 letters,"ABEL.    	Enoch was the great-grandfather of Noah, and the great-grandson of Adam. Cain was Enoch's father and Abel was his uncle."
Winter air.   		4 letters,NOEL.    	NOEL/LONE
"""Gerontion"" poet.   		5 letters","ELIOT.    	'Gerontion' is a poem by T. S. Eliot, published in 1920."
Something grown - or eaten - in rows.   		3 letters,EAR.    	Those would be ears of corn.
1965 title role for Ursula Andress.   		3 letters,"SHE.    	H. Rider Haggard wrote the famous novel ""She"", first published in serial form in 1886-87 (I remember seeing the movie version as a kid, starring Ursula Andress ... scared the daylights out of me!). Haggard published the sequel to ""She"" in 1905 called ""Ayesha, the return of She""."
Sushi bar tuna.   		3 letters,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
Pastoral piece?.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
Title fish in a Pixar film.   		4 letters,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
"""Christians Awake,"" e.g.   		4 letters","NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
First name in mystery.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
A Reagan.   		3 letters,"RON.    	Ron Reagan's views couldn't be any further from his father's, I think. Before Air America went bust, he had a daily 3-hour spot, and these days he makes frequent appearances on MSNBC. Reagan is also a good dancer, and for a while was a member of the Joffrey Ballet."
Yuletide song.   		4 letters,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
"""Losing My Religion"" band.   		3 letters","REM.    	R.E.M. was a rock band from Athens, Georgia formed in 1980. The name 'R.E.M.' was chosen randomly from a dictionary, apparently."
Brontë title heroine.   		4 letters,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
Inventor Sikorsky.   		4 letters,"IGOR.    	Igor Sikorsky was a Russian pioneer in the world of aviation. He designed and indeed piloted the world's first multi-engine, fixed-wing aircraft in 1913. He moved to the US in 1919 and set up his own aircraft manufacturing business. In the thirties he made the magnificent flying boats that were used by Pan Am in their Clipper era. Sikorsky also developed the world's first mass-produced helicopter, in 1942."
Crossroads of the West.   		4 letters,"UTAH.    	'Crossroads of the West' is a nickname for Salt Lake City, and for the state of Utah. The Utah state quarter bears the words 'Crossroads of the West', and an image of the Golden Spike that marked the completion of the Transcontinental Railroad."
Sister of Helios.   		3 letters,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
"""Dancing With the Stars"" judge Goodman.   		3 letters","LEN.    	Len Goodman is a professional ballroom dancer. Goodman is the head judge on the US's 'Dancing with the Stars' as well as on the original UK version of the show, 'Strictly Come Dancing'."
"T, on a fraternity house.   		3 letters","TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman 'T'. Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
"""The Waste Land"" poet.   		5 letters","ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of his college education was at Oxford, and clearly he became comfortable with life in England. In 1927 he became a British citizen, and lived the rest of life in the UK."
"___ Burgundy, the anchorman in ""Anchorman"".   		3 letters","RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
LAX postings.   		4 letters,"ETAS.    	Los Angeles International Airport is the sixth busiest airport in the world in terms of passenger traffic, and the busiest here on the West Coast of the US. The airport was opened in 1930 as Mines Field and was renamed to Los Angeles Airport in 1941. On the airport property is the iconic white structure that resembles a flying saucer. This is called the Theme Building and I believe it is mainly used as a restaurant and observation deck for the public. The airport used to be identified by the letters 'LA', but when the aviation industry went to a three-letter standard for airport identification, this was changed to 'LAX'. Apparently the 'X' has no significant meaning."
Atlanta's ___ Center.   		3 letters,"CNN.    	CNN (Cable News Network) was launched in 1980, the first television channel in the world to provide news coverage 24 hours a day."
"Rhyme for ""Israel,"" in a carol.   		4 letters",NOEL.    	The First Noel the angel did say
Nice plot of land.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
Future atty.'s exam.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Summer hrs.   		3 letters,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
Japan's Prince Hirobumi ___.   		3 letters,"ITO.    	In the 1880s, Japanese leaders were concerned that their system of government was not defined well enough, leading to ambiguity about areas of responsibility and authority. One of the leaders at the time was Ito Hirobumi, and he took himself and his staff over to Europe to examine the systems of government across that continent, especially those of the British and German Empires. On returning to Japan he lobbied for and was successful in the adoption of a constitution for Japan and a modern system of government. Ito became the country's first Prime Minister in 1885."
"Ferrara who directed ""Bad Lieutenant,"" 1992.   		4 letters",ABEL.    	Abel Ferrara is a screenwriter and film director noted for his work on independent movies. Ferrara's best-known film is probably the 1990 crime drama 'King of New York' starring Christopher Walken.
Gaelic tongue.   		4 letters,"ERSE.    	There are three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Fraternity letter.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Bunch of stuff.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
"""House of Frankenstein"" director ___ C.   		4 letters","ERLE.    	Erle Kenton was a film director from Norbro, Montana. Kenton directed 131 films between 1916 and 1957, including 'The Ghost of Frankenstein', 'House of Frankenstein' and 'House of Dracula'."
Sot's woe.   		3 letters,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
QB feats.   		3 letters,"TDS.    	In American football, quarterbacks (QBs) sometimes score touchdowns (TDs)."
Holiday time.   		4 letters,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name for a Christmas carol."
Don Ho played it.   		3 letters,"UKE.    	Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
Central courts.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Slap-happy sort?.   		3 letters,"MOE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe and Shemp Howard (two brothers) and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and Shemp stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry Fine had a stroke in 1970, it effectively marked the end of the act."
45th state.   		4 letters,"UTAH.    	When Mormon pioneers were settling what is today the state of Utah, they referred to the area as Deseret, a word that means 'beehive' according to the Book of Mormon. Today Utah is known as the Beehive State and there is a beehive symbol on the Utah state flag."
"""Born Free"" lioness.   		4 letters","ELSA.    	Elsa's life story was told by game warden Joy Adamson, who had a very close relationship with the lioness from when she was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which told the story of Elsa and her three lion cubs. In the 1966 film ""Born Free"" Adamson is played by actress Virginia McKenna."
Fair-hiring inits.   		3 letters,"EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
Bud holder.   		3 letters,EAR.    	Ear buds are headphones.
Gaelic tongue.   		4 letters,"ERSE.    	There are actually three Erse languages. Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Q.E.D.   		4 letters,"ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
Neighbor of Apache Junction.   		4 letters,"MESA.    	The city of Mesa, Arizona is in effect a suburb of Phoenix."
"""Pinocchio"" keepsake.   		3 letters","CEL.    	In the world of animation a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Mixed bag.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
"Beret-sporting rebel, familiarly.   		3 letters","CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
"Woody Allen's ""Hannah and ___ Sisters"".   		3 letters","HER.    	Hannah and Her Sisters' is a 1986 comedy-drama film that was written and directed by Woody Allen. Hannah is played by Mia Farrow, and Hannah's two sisters are played by Barbara Hershey and Dianne Wiest."
Verizon service.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
"Canon shooter, briefly.   		3 letters","SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Name abandoned for Rochester.   		4 letters,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Bronte under the pen name Currer Bell. Over the years, I've shared here on the blog that the storyline is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC very recently, and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the performance. I thoroughly recommend this 2006 BBC adaptation to fans of the novel."
"Tax season busy bee, for short.   		3 letters","CPA.    	Back in 1913, 'Tax Day' was March 1st, and this was moved to March 15th in 1918. We've been filing returns by April 15th since 1955."
"Challenge in ""Legally Blonde,"" for short.   		4 letters",LSAT.    	Law School Admission Test (LSAT)
"""Spring forward"" to this: Abbr..   		3 letters","DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall, so that afternoons have more daylight."
Broadband connection inits.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
"Hawaiian strings, for short.   		3 letters",UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Memo starter.   		5 letters,"IN RE.    	The term ""in re"" is Latin in origin. ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
Nincompoop.   		3 letters,"ASS.    	The word ""nincompoop"", meaning a fool, seems to have been around for quite a while. It has been used since the 1670s, but no one appears to know its origins."
"Yuri's beloved, in literature.   		4 letters","LARA.    	""Doctor Zhivago"" is of course the epic novel by Boris Pasternak, first published in 1957. I haven't tried to read it but the 1965 film version is a must-see, directed by David Lean and starring Omar Sharif in the title role. The story centers on Yuri Zhivago, a doctor and poet, and how he is affected by the Russian Revolution and the Russian Civil War."
"Camera type, for short.   		3 letters","SLR.    	SLR stands for Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Gaelic ground.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
"Witherspoon of ""Mud"".   		5 letters",REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
Certain Internet connection: Abbr..   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Bank inits.   		3 letters,APR.    	Annual percentage rate (APR)
Soul producer.   		3 letters,"KIA.    	The Kia Soul is a compact car produced in South Korea, although it was designed by Kia here in Irvine, California. Yep, the Kia Soul is from Seoul ..."
Symbol for torque.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Transport on a slope.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skier who remains standing on his/her skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
"24-Down, in Dijon.   		4 letters","ETES.    	""Vous êtes"" is the French for ""you are""."
1914 Belgian battle line.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
City NE of Lincoln.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. It is located on the Missouri River, about 10 miles north of the mouth of the Platte River When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
"Certain fraud protector, for short.   		3 letters",CPA.    	Certified public accountant (CPA)
You might pick one up in a bar.   		3 letters,"TAB.    	When we 'run a tab' at a bar say, we are 'running a tabulation', a listing of what we owe. Such a use of 'tab' is American slang that originated in the 1880s."
River that begins in Nord.   		4 letters,"YSER.    	The Yser originates in northern France and flows though Belgium into the North Sea. The Yser name is oft associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium, across France in a ""race to the sea"". But, the Belgians, with the help of its Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful, and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
Football Hall-of-Famer Ford.   		3 letters,"LEN.    	Len Ford was one of the most dominant defensive professional football players of his time, and yet he had been passed over in every round of the 1948 NFL draft. He played for two years with the rival All-America Football Conference before joining the NFL's Cleveland Browns and the the Green Bay Packers."
Crude letters?.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But we all probably knew that already ..."
One may be under a blouse.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
It might be picked for a song.   		3 letters,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
To be overseas.   		4 letters,ETRE.    	The French for 'to be' is 'être'.
