P.T.A. interest: Abbr..   		4 letters,EDUC.    	Parent-Teacher Association (PTA)
Fabled mountain dwellers.   		5 letters,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. ""Yeti"" is a Tibetan term, and the beast is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot, also known as Sasquatch. The study of animals whose existence have not yet been substantiated is called cryptozoology."
This-and-that dish.   		4 letters,"HASH.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
Game in which pieces can be forked.   		5 letters,"CHESS.    	In the game of chess, a 'fork' is a tactic in which a piece attacks two or more opposing pieces at the same time."
Back of a 45 record.   		6 letters,"B-SIDE.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
"Like the sky, in France.   		4 letters",BLEU.    	'Bleu' is French for 'blue'.
Literary contemporary of Addison.   		6 letters,"STEELE.    	Richard Steele was an Irish writer, the co-founder of the magazine 'The Spectator' along with Joseph Addison. Steele also founded 'The Tatler' magazine, for which he wrote 188 essays."
Welsh word that starts a noted college name.   		4 letters,"BRYN.    	I used to live not far from Bryn-mawr (also ""Brynmwar"") in Wales, the town with the highest elevation in the country. Appropriately enough, ""bryn mawr"" is Welsh for ""big hill"". There is also a Bryn Mawr in Pennsylvania (note the different capitalization) that is named after its Welsh counterpart. At the Pennsylvania location there's a Bryn Mawr college, a private women's school that was the first American university to offer graduate degrees to women."
Certain cetaceans.   		5 letters,"ORCAS.    	The taxonomic name for the killer whale is Orcinus orca. The use of the name ""orca"", rather than ""killer whale"", is becoming more and more common. The Latin word ""Orcinus"" means ""belonging to Orcus"", with Orcus being the name for the Kingdom of the Dead."
Drum kit part.   		6 letters,"HI-HAT.    	In a drum kit, a hi-hat is that pairing of cymbals that sits on a stand and is played by using a foot pedal. The top cymbal is raised and lowered by the foot, hence creating a crashing sound."
Twin Cities suburb.   		5 letters,"EDINA.    	Edina, Minnesota lies just southwest of Minneapolis. The town takes its name from Edinburgh, the capital city of Scotland. It was suggested by a Scottish mill owner at the time a new village was being set up in 1888."
Mother and wife of Uranus.   		4 letters,"GAEA.    	The Greek goddess personifying the earth was Gaea (meaning ""land"" or ""earth"" in Greek). The Roman equivalent goddess was Terra Mater, ""Mother Earth"". Gaea was the wife of Uranus (Father Sky). Gaea and Uranus were the parents of the twelve Titans."
"Richard of ""A Summer Place"".   		4 letters","EGAN.    	Richard Egan was an actor from San Francisco. One of Egan's more famous roles was playing Elvis Presley's older brother in 'Love Me Tender'. Rod Serling eventually chose to narrate his epic 'The Twilight Zone' series himself, but his first choice for narrator had been Richard Egan. It was perhaps lucky that Egan couldn't do the 'The Twilight Zone' gig due to other contractual obligations, as Serling's commentary added so much to the show."
No-show in Hubbard's cupboard.   		4 letters,BONE.    	The English nursery rhyme 'Old Mother Hubbard' was first printed in 1805:
One having a simple existence.   		6 letters,"AMOEBA.    	An ameba (or ""amoeba"", as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
Ethylene ___.   		5 letters,OXIDE.    	Ethylene oxide is a colorless gas with mildly sweet odor that is very flammable. It is used as an important raw material in the manufacture of many industrial chemicals.
Beelike.   		5 letters,APIAN.    	Something described as 'apian' is related to bees. 'Apis' is the Latin for 'bee'.
Trig functions.   		5 letters,"SINES.    	The most familiar trigonometric functions are sine, cosine and tangent (abbreviated to 'sin, cos and tan'). Each of these is a ratio, a ratio of two sides of a right-angled triangle. The 'reciprocal' of these three functions are secant, cosecant and cotangent. The reciprocal functions are simply the inverted ratios, the inverted sine, cosine and tangent. These inverted ratios should not be confused with the 'inverse' trigonometric functions e.g. arcsine, arccosine and arctangent. These inverse functions are the reverse of the sine, cosine and tangent. For example, the arctangent can be read as 'What angle is equivalent to the following ratio of opposite over adjacent?'"
"""Tiny Bubbles"" singer.   		6 letters","DON HO.    	The singer and entertainer Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
Film.   		4 letters,CINE.    	'Cine' is the French for 'cinema'.
"Hoppy quaff, for short.   		3 letters","IPA.    	India Pale Ale (IPA) is a style of beer that originated in England. The beer was originally intended for transportation from England to India, hence the name."
Letter-shaped fastener.   		5 letters,T-NUT.    	A T-nut is so called because it has a t-shape when viewed from the side.
Econ.   		3 letters,"GNP.    	A country's Gross National Product (GNP) is the value of all services and products produced by its residents in a particular year. GNP includes all production wherever it is in the world, as long as the business is owned by residents of the country concerned. Gross Domestic Product (GDP) is different, and is the value of all services and goods produced within the borders of the country for that year."
Order to attack.   		7 letters,"SIC 'EM.    	'Sic 'em' is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
"Friend of Homer on ""The Simpsons"".   		4 letters","CARL.    	Carl Carlson is a friend of Homer's on ""The Simpsons"", and one of his co-workers at the Springfield Nuclear Power Plant. Carl is voiced by actor Hank Azaria."
Notable watchmakers.   		5 letters,"SWISS.    	The third largest group of exported goods from Switzerland is watches (after chemicals and machines/electronics). Over half the watches made in the world are made by Swiss companies such as Omega, Swatch, Rolex and TAG Heuer."
Big piece of cabbage.   		6 letters,"C-NOTE.    	Lettuce, cabbage, kale, dough and moola (also moolah) are all slang terms for money."
Shakespeare's Claudius and others.   		5 letters,"DANES.    	In William Shakespeare's ""Hamlet"", Hamlet's nemesis is King Claudius, his father's brother. It's felt that Shakespeare chose the name ""Claudius"" as in those days the Roman Emperor Claudius was considered to be the archetype of an evil ruler."
One side of the pH scale.   		5 letters,"ACIDS.    	As we all recall from chemistry class, a pH of 7 is considered neutral, and water is the primary example of a substance with a pH equal to seven. Anything less than 7 is an acid, and anything above 7 is a base."
"Pain relief brand with early ""hammers in the head"" ads.   		6 letters","ANACIN.    	Anacin is a pain reliever, with aspirin and caffeine as active ingredients."
"___ Barzini, ""The Godfather"" don.   		6 letters","EMILIO.    	Emilio Barzini (aka 'the Wolf') is the main antagonist in Mario Puzo's 'The Godfather'. In the film adaptation, Barzini is played by actor Richard Conte."
"Brennan of ""Private Benjamin"".   		6 letters",EILEEN.    	The actress Eileen Brennan was best known for her portrayal of the commanding officer in 'Private Benjamin'. I also remember her playing the brothel madam in the great 1973 movie 'The Sting'.
Milan's La ___.   		5 letters,"SCALA.    	The La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
Cube ...   		4 letters,"DICE.    	As we all know, the numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. Now, there are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
Reagan confidant.   		5 letters,"MEESE.    	Ed Meese was born in Oakland, California just down the road here and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service, Meese earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
Brunch option.   		5 letters,CREPE.    	'Crêpe' is the French word for 'pancake'.
"Smith graduate, e.g.   		6 letters","ALUMNA.    	An ""alumnus"" (plural ... alumni) is a graduate or former student of a school or college. The female form is ""alumna"" (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil. 'Alum' is an informal term used for either an alumna or an alumnus."
Part of E.T.S.: Abbr..   		4 letters,"EDUC.    	The Educational Testing Service (ETS) was founded in 1947, and produces standardized tests for students from kindergarten through college. Perhaps most famously, ETS operates the SAT testing process."
Day laborers.   		5 letters,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
Delhi cheese?.   		4 letters,RAJA.    	A raja might be described as a big cheese in India.
"""Gigi"" composer.   		5 letters","LOEWE.    	Frederick Loewe was a composer best known for his collaborations with the lyricist Alan Jay Lerner, the most famous of which were 'My Fair Lady', 'Gigi' and 'Camelot'."
"The ""O"" in P.L.O.: Abbr..   		3 letters","ORG.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO&#8217;s early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO is recognized as the sole legitimate representative of the Palestinian people by over one hundred countries, and was granted observer status (i.e. no voting rights) at the United Nations in 1974. "
Like some workers.   		5 letters,APIAN.    	Something 'apian' is related to bees. 'Apis' is the Latin for 'bee'.
"Chippendales dancer, e.g.   		6 letters","ADONIS.    	In Greek mythology, Adonis is a beautiful young god loved by Aphrodite. Adonis dies in a hunting accident (gored by a boar), but not before he gives Aphrodite a child. Adonis was originally a Phoenician god ""absorbed"" into Greek lore (Phoenicia is modern day Lebanon). The child born of Adonis to Aphrodite was called Beroe, after which is named Beirut, the capital city of Lebanon. We also use the term 'adonis' to mean 'beautiful male'."
___ knife.   		6 letters,"X-ACTO.    	The X-Acto knife was invented in the thirties by a Polish immigrant, although his intention was to come up with a scalpel for surgeons. The knife couldn't cut it as a scalpel though (pun intended!), because it was difficult to clean. The inventor's brother-in law suggested it be used as a craft knife, and it is still around today."
Dark green?.   		5 letters,"LUCRE.    	Our word 'lucre' meaning 'money, profits' comes from the Latin 'lucrum' meaning the same thing."
Apples since 1998.   		5 letters,"IMACS.    	The iMac is a desktop computer platform from Apple introduced in 1998. One of the main features of the iMac is an ""all-in-one"" design, with the computer console and monitor integrated. The iMac also came in a range of colors, that Apple marketed as 'flavors', such strawberry, blueberry and lime."
Weather forecasting aid.   		5 letters,"RADAR.    	Scientists have been using radio waves to detect the presence of objects since the late 1800s, but it was the demands of WWII that accelerated the practical application of the technology. The British called their system RDF standing for Range and Direction Finding. The system used by the US Navy was called Radio Detection And Ranging, which was shortened to the acronym RADAR."
Boxers Muhammad and Laila.   		4 letters,"ALIS.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky. Clay changed his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
"""Right You Are, Mr.   		4 letters","MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. Mr. Moto was famously played by Peter Lorre in a series of eight films released in the 1930s."
"""Come on down!"" announcer Johnny.   		5 letters","OLSON.    	Johnny Olson was the announcer on ""The Price is Right"" from day one in 1972, until he passed away in 1985."
Certain protozoan.   		6 letters,"AMOEBA.    	An ameba (or ""amoeba"", as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
Plant used in herbal remedies.   		5 letters,SENNA.    	Sennas are used as purgatives and laxatives.
Something it's not good to go to.   		3 letters,"POT.    	The phrase 'go to pot', meaning fall into ruin, has been around since the 1500s when it really meant 'go to (the) pot', to be chopped up and boiled for food."
AOL and MSN.   		4 letters,"ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
Home to Morro Castle.   		4 letters,CUBA.    	Morro Castle is a fortress guarding the entrance to Havana Bay in Cuba. The castle was built by the Spanish in 1859. The name 'Morro' means a rock that is visible from the sea.
"""Répondez ___ vous plaît"".   		4 letters","S'IL.    	RSVP stands for ""répondez, s'il vous plaît"", which is French for ""please, answer""."
Packing a sting?.   		5 letters,APIAN.    	Something described as 'apian' is related to bees. 'Apis' is the Latin for 'bee'.
Mr.   		4 letters,"MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. Mr. Moto was famously played by Peter Lorre in a series of eight films released in the 1930s."
"Some screens, for short.   		4 letters","LCDS.    	Liquid Crystal Displays (LCDs) are the screens that are found in most laptops today, and in flat panel computer screens and some televisions. LCD monitors basically replaced Cathode Ray Tube (CRT) screens, the old television technology."
"""Bleeding Love"" singer Lewis, 2007.   		5 letters",LEONA.    	Leona Lewis rocketed to fame after winning the British TV show called 'The X Factor' (the show that spawned the UK's 'Pop Idol' and America's 'American Idol').
Model wood.   		5 letters,"BALSA.    	Balsa is a very fast growing tree that is native to parts of South America. Even though balsa wood is very soft, it is actually classified as a hardwood, the softest of all the hardwoods (go figure!). Balsa is light and strong, so is commonly used in making model airplanes. Amazingly, in WWII a full-size British plane, the de Havilland Mosquito, was built largely from balsa and plywood. No wonder they called it ""The Wooden Wonder"" and ""The Timber Terror""."
Pueblo brick.   		5 letters,"ADOBE.    	The building material known as adobe has been around a long time, and has been used in dry climates all over the world. The original form of the word ""adobe"" dates back to Middle Egyptian times, about 2000 BC. The original spelling is ""dj-b-t"", and translates as mud (sun-dried) brick."
Tribe once along the Big Blue River.   		5 letters,"OTOES.    	The Otoe (also Oto) Native American tribe originated in the Great Lakes region as part of the Winnebago or Siouan tribes. The group that would become the Otoe broke away from the Winnebago and migrated southwestwards ending up in the Great Plains. In the plains the Otoe adopted a semi-nomadic lifestyle dependent on the horse, with the American bison becoming central to their diet."
Hat with a tassel.   		3 letters,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. The fez used to be a very popular hat across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
Forerunner of Bach?.   		3 letters,"PDQ.    	P.D.Q. Bach is an alter ego used by musical satirist Peter Schickele. Schickele creates works that he bills as compositions written by P.D.Q. Bach, the 'only forgotten son' of Johann Sebastien Bach."
"Movie with the song ""I Remember It Well"".   		4 letters","GIGI.    	In the lovely musical ""Gigi"", released in 1958, the title song is sung by Louis Jourdan who plays Gaston. My favorite number though, has to be ""Thank Heaven for Little Girls"" sung by Maurice Chevalier. Many say that 'Gigi' is the last in a long line of great MGM musicals."
"""Cat ___ Hot Tin Roof"".   		4 letters","ON A.    	'Cat on a Hot Tin Roof' is the play that won Tennessee Williams the Pulitzer Prize for Drama in 1955. The play was adapted into a famous film version in 1958, with Elizabeth Taylor and Paul Newman playing the leads."
"It's ""sim"" in São Paulo.   		3 letters","YES.    	'Sim' is Portuguese for 'yes', and 'não' translates as 'no'."
Trinity member.   		3 letters,"SON.    	In the Christian tradition, the Father, Son and Holy Spirit are three persons in One Divine Being, the Holy Trinity."
Young salamanders.   		4 letters,EFTS.    	Salamanders are lizard-like amphibians found in all across the northern hemisphere. They are the only vertebrate animals that can regenerate lost limbs.
"Subject of the campaign slogan ""Fifty-four forty, or fight!"".   		6 letters","OREGON.    	The US participated in tripartite negotiations with imperial powers of Russia and Britain in the 1820s that established a boundary along the line of latitude at 54 degrees, 40 minutes north. Back then, the border separated Russian interests north of the border, and British and American interests to the south. Today, that border separates the US State of Alaska and the Canadian Province of British Columbia. The area south of the border was referred to as the Columbia District by the British, and the Oregon Country by the Americans, with the two nations disputing ownership. In the 1840s, the US Democratic Party took the position that America should annex the entire area, and coined the slogan 'Fifty-four Forty or Fight!'."
Unconscious state.   		4 letters,"COMA.    	The term ""coma"" comes from the Greek word ""koma"" meaning ""deep sleep""."
Kitty.   		3 letters,"POT.    	The ""pot"" in a card game has been referred to as the 'kitty' since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
Pop singer from 27-Down.   		6 letters,"DON HO.    	The singer and entertainer Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
Fertilizer ingredient.   		4 letters,"PEAT.    	When dead plant matter accumulates in marshy areas, it may not fully decay due to a lack of oxygen or acidic conditions. We are familiar with this in Ireland, because this decaying matter can form peat, and we have lots and lots of peat bogs."
Tennessee senator ___ Alexander.   		5 letters,"LAMAR.    	Lamar Alexander is one of the US Senators representing Tennessee. Alexander is a great classical and country piano player, and you can actually hear him playing on a re-recording that Patti Page made of her 1950 hit 'Tennessee Waltz'."
"""Hooked on Classics"" record promoter.   		5 letters","K-TEL.    	I know that a lot of people detested the ""Hooked on Classics"" albums, but to be honest, I found them to be a lot of fun. But then again, I liked disco! The original ""Hooked on Classics"" album was recorded in 1981 by the Royal Philharmonic Orchestra from London. The music was a selection of recognizable extracts from the world of classical music played over a continuous, disco beat."
Apollo plucked it.   		4 letters,"LYRE.    	The lyre is a stringed instrument most closely associated with Ancient Greece, and with the gods Hermes and Apollo in particular. According to myth, Hermes slaughtered a cow from a sacred herd belonging to Apollo and offered it to the gods but kept the entrails. Hermes used the entrails to create the first lyre. Apollo liked the sound from the lyre and agreed to accept it as a trade for his herd of cattle."
SFO opponent in the 2012 World Series.   		3 letters,"DET.    	The San Francisco Giants won the 2012 World Series by sweeping the Detroit Tigers, winning the first four of the seven games scheduled."
"Former cave dweller, informally.   		5 letters","OSAMA.    	The famous cave that almost certainly housed Osama Bin Laden for a while was in Tora Bora in eastern Pakistan. Tora Bora is not far (~ 30 mi) from what used to be an even more famous spot, the Khyber Pass. ""Tora Bora"" is a Pashto name which translates to ""black dust""."
2014 Baseball Hall of Fame inductee.   		5 letters,"TORRE.    	As a manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees baseball team. Torre is an Italian American who was born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence in Italy, handing it over to the next runner at the famous Ponte Vecchio. I'd guess that was quite a thrill for him ..."
Cleansing agent.   		5 letters,"BORAX.    	Borax is also known as sodium borate, and is a salt of boric acid. Borax is a white powder that dissolves easily in water. The compound has many uses, for example as an antifungal agent and an antiseptic."
Badly made dough?.   		5 letters,"LUCRE.    	Our word 'lucre' meaning 'money, profits' comes from the Latin 'lucrum' that means the same thing."
Latch (onto).   		4 letters,"GLOM.    	'Glom' is a slang term meaning 'steal', although it can also be used to mean 'latch onto' when used as 'glom onto'. The term probably comes from the Scots word 'glam' meaning 'to snatch at'."
Holmes of Hollywood.   		5 letters,"KATIE.    	Katie Holmes is an actress who first came to prominence in the television drama 'Dawson's Creek'. Off screen, Holmes is famous as the ex-wife of Tom Cruise."
Symbol of happiness.   		4 letters,"CLAM.    	Our phrase 'happy as a clam' dates back to the mid-1600s. Back then it was a more lengthy expression: 'happy as a clam in the mud at high tide'. The idea was that a clam would be happy in its muddy home at high tide, because no one from land could get to it and eat it."
"Actor John of ""American Pie"" films.   		3 letters","CHO.    	John Cho is an actor and musician who was born in Seoul, South Korea but who has lived in the US since he was a young boy. Cho's break in movies came in playing Harold Lee in the 'Harold & Kumar' films. He is now making a name for himself playing Mr. Sulu in the latest 'Star Trek' movies."
"De la Garza of ""Law & Order"".   		5 letters","ALANA.    	Alana de la Garza is an actress from Columbus, Ohio. De la Garza is perhaps best known for her recurring role as Connie Rubirosa on television's 'Law & Order'."
"Beyoncé, to Solange, or vice versa.   		3 letters","SIS.    	Solange Knowles is a singer/songwriter, and the younger sister of the incredibly successful singer Beyoncé. Solange was in the news recently when security camera footage was released showing her punching and kicking Beyoncé's husband Jay-Z in an elevator."
___ neanderthalensis.   		4 letters,"HOMO.    	The Homo genus includes the species Homo sapiens (modern humans), but we're the only species left in that genus. The last known species related to humans was Homo neanderthalensis (Neanderthal Man) which died off about 24,000 years ago. However, another species was discovered in Indonesia in 2003 that has been dubbed Homo floresiensis (Flores Man ... sometimes called ""hobbit""), and it may possibly have lived as recently as 12,000 years ago. Watch this space ..."
H*MES.   		7 letters,"ONTARIO.    	HOMES is a famous mnemonic for remembering the names of the Great Lakes, i.e. Huron, Ontario, Michigan, Erie and Superior."
Woodworking tool.   		4 letters,"ADZE.    	An adze (also adz) is similar to an axe, but is different in that the blade of an adze is set at right angles to the tool's shaft. An axe's blade is set in line with the shaft."
Biting remark?.   		7 letters,"SIC 'EM.    	'Sic 'em' is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
"Actress Christine of ""Chicago Hope"".   		5 letters","LAHTI.    	Christine Lahti is an actress probably best known for playing Dr. Kate Austen on the TV medical drama 'Chicago Hope'. If you read 'The Huffington Post' you might run across her as well, as Lahti is a contributing blogger."
Novelist Allende.   		6 letters,"ISABEL.    	Isabel Allende is a Chilean writer, apparently the world's most widely-read, Spanish-language author. Isabel is related to Salvador Allende, the ex-President of Chile."
Sports champion whose father twice represented Iran as an Olympic boxer.   		6 letters,"AGASSI.    	Renowned tennis professional Andre Agassi wrote an autobiography called ""Open"", published in 2009. An amazing revelation in the book is that Agassi's famous head of hair was actually a wig for much of his playing career. Can you imagine how hard it must have been to play tennis at his level with a rug stuck on?"
Obstacle for Odysseus.   		5 letters,"SIREN.    	In Greek mythology, the Sirens were seductive bird-women who lured men to their deaths with their song. When Odysseus sailed closed to the island home of the Sirens he wanted to hear their voices, but in safety. He had his men plug their ears with beeswax and then ordered them to tie him to the mast and not to free him until they were safe. On hearing their song Odysseus begged to be let loose, but the sailors just tightened his bonds and and the whole crew sailed away unharmed."
"Actress Cuthbert of ""24"".   		6 letters","ELISHA.    	Elisha Cuthbert is a Canadian actress who came to world attention playing Kim Bauer, Jack Bauer's daughter on TV's '24'. After '24', Cuthbert played one of the lead characters on the sitcom 'Happy Endings' that ran from 2011 to 2013."
Brit.   		3 letters,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
Like shellfish.   		4 letters,"TREF.    	According to Jewish dietary law, ""kosher"" food is ""fit"" to eat, and food that is not kosher is called ""treif"" (or tref)."
Icelandic saga.   		4 letters,"EDDA.    	The Poetic Edda and Prose Edda are two ancient works that are the source for much of Norse mythology. Both Eddas were written in the 13th century, in Iceland."
Rice ___ (dish).   		5 letters,"PILAF.    	'Pilaf' is a Persian word, and we use it to describe rice that is browned in oil and then cooked in a seasoned broth."
"Jack of ""Twin Peaks"".   		5 letters","NANCE.    	Jack Nance was an American actor who worked a lot with director David Lynch. He was one of the stars of the TV series ""Twin Peaks"" in which he played Pete Martell, a henpecked lumberjack. Coincidentally, the Log Lady in ""Twin Peaks"" was played by Catherine E. Coulson, one-time wife of Nance."
"San ___, Italy.   		4 letters","REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
Don-turned-con.   		5 letters,"GOTTI.    	John Gotti was the boss of the Gambino crime family from 1985. Gotti was known as the Teflon Don and took over leadership of the family from Paul Castellano when he was gunned down, allegedly on Gotti's orders. Gotti remained head of the New York family until he was sentenced to life in prison in 1992. Gotti died of throat cancer after ten years behind bars."
Plaid-clad miss.   		4 letters,"LASS.    	Tartan is sometimes called ""plaid"" over here in the US, a word not used in the same sense outside of this country. In Scotland a ""plaid"" is a blanket or a tartan cloth slung over the shoulder."
Physics Nobelist Niels.   		4 letters,"BOHR.    	The physicists Niels Bohr and Albert Einstein had a series of public debates and disputes in the twenties and thirties. Although the two respected each other very highly, they held very different views on quantum theory, different views on the laws of physics at the atomic level. The passage of time has shown that Einstein lost these debates."
Seductive singer.   		5 letters,"SIREN.    	In Greek mythology, the Sirens were seductive bird-women who lured men to their deaths with their song. When Odysseus sailed closed to the island home of the Sirens he wanted to hear their voices, but in safety. He had his men plug their ears with beeswax and then ordered them to tie him to the mast and not to free him until they were safe. On hearing their song Odysseus begged to be let loose, but the sailors just tightened his bonds and and the whole crew sailed away unharmed."
Dutch painter Vermeer.   		3 letters,"JAN.    	Johannes (also 'Jan') Vermeer was born in the city of Delft in 1632, and died there some 43 years later. I just love Vermeer's paintings, and his wonderful use of light. A great example of such a work is his ""Girl with a Pearl Earring"". If you haven't seen it, I thoroughly recommend the 2003 movie ""Girl with a Pearl Earring"" starring Scarlett Johansson as the girl in the painting, and Colin Firth as Vermeer. The movie is based on a novel of the same name by Tracy Chevalier, so it's all just a great story as opposed to a documentary. The way the movie is shot really reflects the qualities of a Vermeer work of art. And, my wife and i are planning on taking a peek at the original painting 'Girl with a Pearl Earring' in a couple of weeks as it is visiting one of our galleries here in San Francisco."
"""Check and ___"".   		4 letters","MATE.    	In the game of chess, when the king is under immediate threat of capture it is said to be ""in check"". If the king cannot escape from check, then the game ends in ""checkmate"" and the player in check loses. In the original Sanskrit game of chess, the king could actually be captured. Then a rule was introduced requiring that a warning be given if capture was imminent (today we announce ""check!"") so that an accidental and early ending to the game doesn't occur."
First name in footwear.   		4 letters,"THOM.    	Thom McAn footwear was introduced in 1922 by the Melville Corporation (now CVS Caremark). The brand was named after a Scottish golfer called Thomas McCann. The Thom McAn line is epitomized by the comfortable leather casual and dress shoe, so sales have really been hurt in recent decades by the growing popularity of sneakers."
Pink slip.   		3 letters,"AXE.    	The term ""pink-slip"" can be used as a verb meaning ""to terminate an employee"". No one really seems to know for sure where the term originated, but there are lots of stories."
Circa-W.W.   		4 letters,"DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe. According to the Dada Manifesto of 1918:"
Skewered fare.   		5 letters,"KEBAB.    	The name ""kebab"" (also 'kabob') covers a wide variety of meat dishes that originated in Persia. In the West, we usually use ""kebab"" when talking about shish kebab, which is meat (often lamb) served on a skewer. 'Shish' comes from the Turkish word for 'skewer'."
Blob that divides.   		6 letters,"AMOEBA.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
"""The Gondoliers"" girl.   		5 letters","TESSA.    	""The Gondoliers"" is a delightful operetta by Gilbert & Sullivan, first performed in 1889 at the Savoy Theatre in London. Tessa is a maiden selected as a bride in a ""line up"" by one of the gondoliers. I last saw ""The Gondoliers"" decades ago, an amateur production in the small town where I was living at the time in Ireland. Great fun!"
Valentine letters.   		4 letters,"XOXO.    	In the sequence XOX, I think the X represents a kiss, and the O a hug. Hugs and kisses ..."
"""Charlotte's Web"" girl.   		4 letters","FERN.    	""Charlotte's Web"" is a children's novel by author E. B. White. Charlotte is a barn spider, who manages to save the life of a pig named Wilbur. Wilbur is a pet pig, owned by the farmer's daughter, Fern Arable."
Eastern hereditary title.   		5 letters,RAJAH.    	Raja' (also 'rajah') is word derived from Sanskrit that is used particularly in India for a monarch or princely ruler. The female form is 'rani' (also 'ranee') and is used for a raja's wife.
Map showing property divisions.   		4 letters,"PLAT.    	A plat is a map showing actual and planned features, so a town might have a plat showing existing and intended buildings."
