MS_,MSS.    	Editors work with manuscripts.
AM_K,"AMOK.    	The phrase ""to run amok"" (sometimes 'to run amuck') has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
GI_,"GIS.    	The initials G.I. stand for ""Government Issue"" and not ""General Infantry"" as is often believed. G.I. was actually first used in the military to denote equipment made from Galvanized Iron. During WWII, incoming German shells were nicknamed ""GI cans"". Soon after, the term GI came to be associated with ""Government Issue"" and became an adjective to describe anything associated with the Army."
AMO_,"AMOK.    	The phrase ""to run amok"" (sometimes 'to run amuck') has been around since the 1670s and is derived from the Malay word for ""attacking furiously"", ""amuk"". The word ""amok"" was also used as a noun to describe Malay natives who were ""frenzied"". Given Malaya's troubled history, the natives probably had good reason for that frenzy ..."
SHE_,SHEA.    	(24D. See 50-Across : TORRE)
TSE_SE,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name 'tsetse' comes from Tswana, a language of southern Africa, and translates simply as 'fly'. Tsetse flies are famous for being carriers of the disease known as 'sleeping sickness'. Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
_ARA,"TARA.    	Scarlett O'Hara's home is the Tara plantation, in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald won the square mile of land on which Tara was built in an all-night poker. He named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
T_J,TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in Atlantic City in 1990.
Z_E,"ZEE.    	In the (American) English alphabet, the letter Y (wye) is followed by the letter Z (zee)."
_AMA,"LAMA.    	""Lama"" is a Tibetan word, meaning ""chief"" or ""high priest""."
M_SO,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
ORON_,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
U_E,UAE.    	Umm al-Quwain is the least populous of the sovereign emirates in the Middle East country called the United Arab Emirates (UAE). The name 'Umm al-Quwain' translates from Arabic as 'Mother of the Two Powers'.
A_OM,ATOM.    	One atom may be bonded to another to form a molecule.
A_T,ATT.    	Attempts (Att.)
_SETSE,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name ""tsetse"" comes from Tswana, a language of southern Africa, and translates simply as ""fly"". Tsetse flies are famous for being carriers of the disease known as ""sleeping sickness"". Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
I_E,"IRE.    	The island of Ireland is politically divided between the the Republic of Ireland in the south and Northern Ireland in the north. Northern Ireland is part of the United Kingdom, and covers about one-sixth of the island."
TA_,TAJ.    	The luxury hotel known today as the Taj Boston was opened in 1927 as the Ritz Carlton.
LI_N,LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid.
O_S,"OSS.    	The Office of Strategic Services was formed during WWII in order to carry out espionage behind enemy lines. Within a few years of the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
NEI_,"NEIL.    	Neil Armstrong is the most private of individuals. You don't often see him giving interviews, unlike so many of the more approachable astronauts of the Apollo space program. His famous, ""That's one small step for (a) man, one giant leap for mankind"" statement, that was something that he came up with himself while Apollo 11 was making its way to the moon."
_DIN,"AD IN.    	In tennis, ""as in"" is an informal way of saying ""advantage"" when announcing the score."
_ON,"NON.    	Tours is the largest city in the Centre region of France. It is said that the people of Tours speak the ""purest"" form of French in the whole country, and when spoken by a local it is also said to be free of any accent."
UT_E,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
AL_A,"ALMA.    	Alma Gluck was the stage name of Romanian-born American soprano Reba Feinsohn. Gluck's second marriage was to violinist Efrem Zimbalist. Gluck and Zimbalist's son was Efrem Zimbalist, Jr. the noted actor and star of television's '77 Sunset Strip'."
TABO_,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
_NITA,"ANITA.    	In Leonard Bernstein's 'West Side Story', the female lead character is Maria and her older friend, also in the gang called the Sharks, is Anita."
S_AH,"SHAH.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
A_B,APB.    	All Points Bulletins.
_SARS,"TSARS.    	The term czar (also tsar) is a Slavic word, and was first used as a title by Simeon I of Bulgaria in 913 A.D. It is derived from the word Caesar, which was synonymous with emperor at that time."
_ONIA,IONIA.    	(71A. Like Zeus and Hera : GREEK)
R_SA,"ROSA.    	Santa Rosa is the largest city in California's Wine Country, and the county seat of Sonoma County. The epicenter of the so-called 1906 San Francisco Earthquake was located near Santa Rosa, so there was actually more damage in Santa Rosa, for the size of the city, than there was in San Francisco."
ORON_,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
K_T,"KAT.    	""Krazy Kat"" was a successful comic strip that ran from 1913-1944, drawn by George Herriman."
R_N,"REN.    	The 1984 musical drama 'Footloose' tells the story of a Chicago teen (played by Kevin Bacon) who moves to a small town in which dancing and rock music has been banned. The storyline is loosely based on real events in the Oklahoma City of Elmore. Dancing was banned in Elmore for almost 100 years, with the ban eventually being lifted in 1980."
_AJ,TAJ.    	Donald Trump's Taj Mahal Casino Resort opened up for business in Atlantic City in 1990.
_SS,"OSS.    	The Office of Strategic Services (OSS) was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
_NA,"ENA.    	Ena was Bambi's aunt in the 1942 Disney film of the same name. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, published in 1923."
RENE_,"RENEE.    	'René' and 'Renée' are French for the adjective 'reborn', when applied to masculine and feminine nouns respectively."
UBE_,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Uber's main competitor is Lyft. Personally, I love the service and have only had good experiences ..."
_DO,"ADO.    	'Kerfuffle' comes from the Scottish 'curfuffle', with both words meaning 'disruption'."
ES_ES,"ESTES.    	Simon Estes is an African-American baritone bass, and is considered one of a small group of performers that broke through a racial barrier that was present in the world of opera. He moved to Europe in the sixties to try to launch his career in an environment that was perhaps a little less prejudicial to people of African descent. There he performed in all the great opera houses including La Scala and Covent Garden. He did some guest performances in the US though the sixties and seventies, but it wasn't until 1981 that he was offered a contract to sing with the Metropolitan Opera in New York City."
N_E,"NAE.    	'Nae' is the Scottish vernacular for ""no""."
GI_,"GIN.    	An Alexander is a cocktail made from gin, a chocolate liqueur and cream. Nowadays one tends to hear of the Brandy Alexander more often than the original gin version."
_OS,"LOS.    	Los Lonely Boys is a rock band from San Angela, Texas. The three band members are three brothers."
I_NIA,"IONIA.    	Ephesus was an Ancient Greek city on the Ionian coast in present-day Turkey. Ephesus was home to the Temple of Artemis, which was one of the Seven Wonders of the Ancient World."
R_E,RYE.    	The bagel was invented in the Polish city of Kraków in the 16th century. Bagels were brought to this country by Jewish immigrants from Poland who mainly established homes in and around New York City.
L_S,"LOS.    	The town of Los Alamos, New Mexico takes its name from the Spanish for ""the poplars"". Famously it is home to Los Alamos National Laboratory which was founded during WWII to work on the Manhattan Project, development of an atomic bomb. The town of Los Alamos didn't exist as such, until it was planned and constructed to support the employees working on development of the bomb."
_ORA,"HORA.    	The hora (also ""horah"") is a circle dance that originated in the Balkans. The hora was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The dance is a regular sight at Jewish weddings and at bar and bat mitzvahs. At such events, it is common for the honorees to be raised on chairs during the dance."
IR_,"IRE.    	Waterford is in the southeast of Ireland It is the oldest city in the whole country, having been founded by the Vikings in 914CE. Waterford&#8217;s most famous business entity is Waterford Crystal."
NO_,"NON.    	'Oui' is 'yes' in French, and 'non' is 'no'."
IR_,IRE.    	(16A. Not exactly old money : EURO)
_CD,LCD.    	Liquid crystal display (LCD)
ATO_,"ATOM.    	Quantum mechanics is a branch of physics dealing with processes involving 'the very small', atoms photons and the like."
_BS,"TBS.    	Before Conan O'Brien came to fame as a late night talk show host, he was a writer. O'Brien wrote for both ""Saturday Night Live"" and ""The Simpsons""."
AN_L,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. And that blue is relatively close to ""navy"" blue."
OME_A,"OMEGA.    	Omega is the last letter of the Greek alphabet and is the one that looks like a horseshoe. The word ""omega"" literally means ""great O"" (O-mega). Compare this with the Greek letter Omicron meaning ""little O"" (O-micron)."
I_O,"IWO.    	Iwo Jima today is an uninhabited volcanic island located south of Tokyo, Japan. There were about a thousand Japanese civilians living in the island prior to WWII. In 1944, there was a massive influx of military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out, and no one has lived there ever since."
LEV_,"LEVI.    	Primo Levi was an Italian chemist and writer. His best known work is ""If This Is a Man"", a biographical account of the year he spent in Auschwitz. He was one of 650 Jews transported to the camp in 1944, and was one of only 20 who survived imprisonment."
OD_S,"ODES.    	John Keats wrote a whole series of odes in 1819, including the very famous ""Ode on a Grecian Urn"" and Ode to a Nightingale"". The first in this series of poems was ""Ode to Psyche"". In this case the Ode is to Psyche, the mortal girl who was loved by Cupid."
TB_,"TBS.    	Before Conan O'Brien came to fame as a late night talk show host he was a writer. He wrote for both ""Saturday Night Live"" and ""The Simpsons""."
_LE,CLE.    	'Clé' is the French word for 'key'.
_NTS,"ENTS.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth, in his series of books ""The Lord of the Rings""."
AM_R,"AMOR.    	In Latin, 'amor' (love) conquers 'omnia' (all)."
RY_,"RYE.    	Don McLean released his greatest hit, 'American Pie', back in 1971. Despite the song's iconic position in the pop repertoire, McLean has been remarkably reticent about its origins and the meaning of the lyrics. We do know that it was inspired by the death of Buddy Holly in a plane crash ('the day the music died'). McLean has also told us that he first read about the death of his idol when delivering newspapers the day after the crash ('February made me shiver/with every paper I'd deliver'). Although the lyrics have been analyzed and interpreted in depth by many, McLean's stance remains that it is just a poem set to music."
_RE,"IRE.    	""Dudgeon"" is a noun describing a state of sullen, ill humor."
OS_,"OSS.    	The Office of Strategic Services (OSS) was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war, the OSS functions were taken up by a new group, the Central Intelligence Agency (CIA)."
AM_NO,"AMINO.    	Amino acids are essential to life in many ways, not least of which is their use as the building blocks of proteins."
UB_R,"UBER.    	""California Über Alles"" is a 1979 song and debut single for the Dead Kennedys. The title of the song is a play on the opening words of the German national anthem 'Deutschland, Deutschland über alles'. So, the title of the Dead Kennedys' song translates as 'California above All'."
_OSA,"ROSA.    	Rosa Parks was one of a few brave women in days gone by who refused to give up their seats on a bus to white women. It was the stand taken by Rosa Parks on December 1, 1955 that sparked the Montgomery, Alabama Bus Boycott. President Clinton presented Ms. Parks with the Presidential Medal of Freedom in 1996. When she died in 2005, Rosa Parks became the first ever woman to have her body lie in honor in the US Capitol Rotunda."
A_MA,"ALMA.    	The literal translation for the Latin term ""alma mater"" is ""nourishing mother"". 'Alma mater' was used in Ancient Rome to refer to mother goddesses, and in Medieval Christianity the term was used to refer to the Virgin Mary. Nowadays, one's alma mater is the school one attended, either high school or college, usually one's last place of education."
_EB,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
AL_A,"ALBA.    	Actress Jessica Alba got her big break when she was cast in the Fox science fiction show 'Dark Angel'. Alba had a tough life growing up as she spent a lot of time in hospital and so found it difficult to develop friendships. As a youngster she twice had a collapsed lung, frequently caught pneumonia, suffered from asthma, had a ruptured appendix and a tonsular cyst. On top of all that she acknowledges that she suffered from obsessive-compulsive disorder as a child. It seems that she has really turned her life around ..."
L_EN,LIEN.    	A lien is the right that one has to retain/secure someone's property until a debt is paid.
UA_,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
ALB_,"ALBA.    	Terra alba (Latin for 'white earth') is a finely pulverized gypsum. It is used as a clay to make ceramics, and as a pigment for paper and paints."
_NA,"ENA.    	Princess Victoria Eugenie of Battenberg was the queen consort of King Alfonso XIII of Spain. Princess Beatrice was actually born in Scotland, and given the Gaelic name for Eva: ""Eua"". Eua, was written on the official documents, but the clergyman presiding at the christening misread the name as ""Ena"". Her family stuck with ""Ena"", and it was adopted by the public."
R_N,"REN.    	'The Ren and Stimpy Show' is an animated television show that ran on Nickelodeon from 1991 to 1996. The title characters are Marland ""Ren"" Höek, a scrawny Chihuahua, and Stimpson J. Cat, a rotund Manx cat. Not my cup of tea ..."
IO_IA,IONIA.    	Lydia and Ionia were ancient territories in land now covered by modern-day Turkey. Both territories eventually fell under Greek and then Roman rule.
O_EL,"OPEL.    	Adam Opel founded his company in 1863, first making sewing machines in a cowshed. Commercial success brought new premises and a new product line in 1886, namely penny-farthing bicycles. Adam Opel died in 1895, leaving his two sons with a company that made more penny-farthings and sewing machines than any other company in the world. In 1899 the two sons partnered with a locksmith and started to make cars, but not very successfully. Two years later, the locksmith was dropped in favor of a licensing arrangement with a French car company. By 1914, Opel was the largest manufacturer of automobiles in Germany. My Dad had an Opel in the seventies, a station wagon (we'd say ""estate car"" in Ireland) called an Opel Kadett."
TAB_O,"TABOO.    	""Verboten"" is the German word for ""forbidden"", a word that we have imported into English."
_EE,ZEE.    	The first letter in the word 'Zodiac' is a letter Z (zee).
ANT_,"ANTE.    	The ""pot"" in a card game has been referred to as the kitty since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
AM_E,AMIE.    	In France a female friend (amie) might be a confidante.
NE_AL,"NEPAL.    	Nepal lies to the northeast of India. Today, the state is known as the Federal Democratic Republic of Nepal. In 2008, the Communist Party of Nepal won the country's general election. Soon after, the Assembly voted to change the form of government, moving away from a monarchy and creating a secular republic."
L_N,LIN.    	Justin Lin is an American movie director who was born in Taiwan. Lin directed three of the six films in 'The Fast and the Furious' series. I'm not really a fan of 'The Fast and the Furious' films ...
R_TA,"RITA.    	Rita Hayworth was born in Brooklyn as Margarita Carmen Cansino. Her father was a flamenco dancer from Spain and so his daughter fell naturally into dancing. The family moved to Hollywood where Hayworth's father set up a dance studio, and there worked with the likes of James Cagney and Jean Harlow. The young Hayworth had a slow start in movies, finding herself typecast because of her Mediterranean features. When she underwent extensive electrolysis to change her forehead and dyed her hair red, she started to get more work (how sad is that?). In 1941 she posed for that famous pin-up picture which accompanied GIs all over the world."
D_B,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
ET_,"ETO.    	Dwight D. Eisenhower was in command of the European Theater of Operations during WWII. If you're a WWII buff like me, then I recommend you take a look at a great made-for-TV movie starring Tom Selleck as Eisenhower called ""Ike: Countdown to D-Day"" which came out in 2004."
OM_GA,"OMEGA.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every school kid knows as Ohm's Law."
GI_,"GIN.    	A sling is a cocktail made of brandy, whiskey or gin, sweetened and flavored with lemon. The most famous version of the sling is the Singapore Sling, invented by a bartender at the wonderful Raffles Hotel in Singapore."
L_N,LIN.    	Jeremy Lin is a professional basketball player with the Houston Rockets. Lin is the first American of Chinese descent to play in the NBA.
L_S,LOS.    	The town of Los Gatos is in the San Francisco Bay Area in California. The town's name translates from Spanish to 'the Cats' and comes from the old name for the area 'Cat's Corner'. That name is a reference to the cougars that roamed the foothills in which the town is located.
AS_,"ASU.    	Arizona State University has a long history, founded as the Tempe Normal School for the Arizona Territory in 1885."
_PEL,"OPEL.    	Adam Opel founded his company in 1863, first making sewing machines in a cowshed. Commercial success brought new premises and a new product line in 1886, namely penny-farthing bicycles. Adam Opel died in 1895, leaving his two sons with a company that made more penny-farthings and sewing machines than any other company in the world. In 1899 the two sons partnered with a locksmith and started to make cars, but not very successfully. Two years later, the locksmith was dropped in favor of a licensing arrangement with a French car company. By 1914, Opel was the largest manufacturer of automobiles in Germany. My Dad had an Opel in the seventies, a station wagon (we'd say ""estate car"" in Ireland) called an Opel Kadett."
_ENE,"GENE.    	A gene is a section of a chromosome that is responsible for a particular characteristic in an organism. For example, one gene may determine eye color and another balding pattern. We have two copies of each gene, one from each of our parents, with each copy known as an allele."
_STES,"ESTES.    	Estes Park is a town in a beautiful part of the US, in northern Colorado. Estes Park is home to the headquarters of Rocky Mountain National Park. My forest firefighter brother-in-law was based at that park, so I've visited and can attest that it is a gorgeous place to live. He lives in Omaha now. The geography in Omaha is a little different ..."
_YET,"NYET.    	Russian for ""no""."
AET_A,"AETNA.    	When the healthcare management and insurance company known as Aetna was founded, the name was chosen to evoke images of Mt. Etna, the European volcano."
AC_I,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years as its juice is a very fashionable addition to juice mixes and smoothies.
E_N,"EIN.    	""Ein"" is German for ""one"", sort of. One can also be ""eine"" or ""eins"" depending on the context."
TH_R,"THOR.    	In Norse mythology, Thor was the son of Odin. Thor wielded a mighty hammer and was the god of thunder, lightning and storms. Our contemporary word 'Thursday' comes from 'Thor's Day'."
MS_,MSN.    	The Microsoft Network.
A_INO,"AMINO.    	Ribonucleic Acid (RNA) is an essential catalyst in the manufacture of proteins in the body. The genetic code in DNA determines the sequence of amino acids that make up each protein. That sequence is read in DNA by messenger RNA, and amino acids are delivered for protein manufacture in the correct sequence by what is called transfer RNA. The amino acids are then formed into proteins by ribosomal RNA."
TS_TSE,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name ""tsetse"" comes from Tswana, a language of southern Africa, and translates simply as ""fly"". Tsetse flies are famous for being carriers of the disease known as ""sleeping sickness"". Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
E_C,ETC.    	Et cetera (etc.)
A_V,ATV.    	An all terrain vehicle tends to go off the road a lot.
_IN,"GIN.    	Gin rummy is a variant of the slower game of standard rummy, introduced in 1909 by Elwood Baker and his son."
_IEN,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
_AE,"UAE.    	The United Arab Emirates (UAE) is a federation of seven emirates (states) in the Middle East. Included in the seven are Abu Dhabi and Dubai, with the city of Abu Dhabi being the UAE capital and cultural center."
U_ER,"UBER.    	Uber is a ridesharing service that was founded in 2009 and is based in San Francisco. The service is somewhat controversial and has been described as an illegal taxicab operation. Central to Uber's service is the company's mobile app, which can use the client's GPS location to help find the nearest available ride. Uber's main competitor is Lyft. Personally, I love the service and have only had good experiences ..."
OMEG_,"OMEGA.    	Omega is the last letter of the Greek alphabet and is the one that looks like a horseshoe. The word ""omega"" literally means ""great O"" (O-mega). Compare this with the Greek letter Omicron meaning ""little O"" (O-micron)."
AL_RO,"ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand, produced from 1999 to 2004."
HO_A,"HORA.    	The hora is circle dance that originated in the Balkans. It was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The hora (also horah) is a regular sight at Jewish weddings."
_MG,OMG.    	OMG is text-speak for Oh My Gosh! Oh My Goodness! or any other G words you might think of ...
AD_,ADO.    	Our word 'hullabaloo' meaning a 'commotion' is a derivative of an older term 'hollo-ballo'. 'Hollo-ballo' was a word used for an uproar in the north of England and Scotland.
L_VI,"LEVI.    	Primo Levi was an Italian chemist and writer. His best known written work is ""If This Is a Man"", a biographical account of the year he spent in Auschwitz. He was one of 650 Jews transported to the camp in 1944, and was one of only 20 who survived imprisonment."
NO_,"NON.    	In French, no (non) is a negative response (réponse négative)."
SHA_,"SHAH.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
SAMO_,"SAMOA.    	""Coming of Age in Samoa"" sounds like a fascinating book. It was written by American cultural anthropologist Margaret Mead and published in 1928. In it she examines the behavior of youths in Samoa, making some comparisons with youths in America. One major observation was the smooth transition made from childhood to adulthood of Samoan girls, compared to the more troublesome histories observed in the US."
T_LC,TALC.    	The Mohs scale of mineral hardness was developed in 1812 by Friedrich Mohs. Basically Mohs took minerals and scratched them with other minerals. In this way he was able to determine which minerals were hardest (most scratch resistant) and which softest.
_AMA,"LAMA.    	""Lama"" is a Tibetan word, meaning ""chief"" or ""high priest""."
_EA,"KEA.    	Mauna Kea is a dormant volcano on the Big Island of Hawaii, the peak of which is the highest point in the whole state. Mauna Kea is in effect the tip of a gigantic volcano rising up from the seabed."
TE_LA,"TESLA.    	Elon Musk is successful businessman who has founded or led some very high-profile companies, namely PayPal, Tesla Motors and SpaceX."
G_S,"GIS.    	A PX is a Post Exchange, a retail store operating on a US Army Base. The equivalent on an Air Force Base is a Base Exchange (BX). At a Navy installation it's a Navy Exchange (NEX), at a Marine Corps installation it's a Marine Corps Exchange (MCX) and at a Coast Guard Installation it's a CGX."
_IEN,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
_DO,"ADO.    	The word 'hoopla' means 'boisterous excitement'. The term probably comes from 'houp-là', something the French say instead of 'upsy-daisy'. Then again, 'upsy-daisy' probably isn't something said very often here in the US ..."
M_LI,"MALI.    	The Republic of Mali is a landlocked country in western Africa, south of Algeria. The flag of Mali is identical with the flag of Guinea, except that orders of the colors are reversed."
HO_A,"HORA.    	In Spanish, an hour (hora) is a division of the day (división del día)."
_NKA,"ANKA.    	Canadian-born Paul Anka's big hit was in 1957, the song entitled ""Diana"". Anka was the subject of a much-lauded documentary film in 1962 called ""Lonely Boy""."
_IN,"NIN.    	Anaïs Nin was a French writer, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. She also wrote highly regarded erotica, and cited D. H. Lawrence as one author from whom she drew inspiration."
O_LA,"OLLA.    	An olla is a ceramic jar, usually used for cooking stews."
DE_,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
_EDAN,"SEDAN.    	The American ""sedan"" car is the equivalent of the British ""saloon"" car. By definition, a sedan car has two rows of seating and a separate trunk (boot in the UK), although in some models the engine can be at the rear of the car."
_TAD,"A TAD.    	Back in the 1800s ""tad"" was used to describe a young child, and this morphed into our usage of ""small amount"" in the early 1900s. The original use of ""tad"" for a child is very likely a shortened version of ""tadpole""."
REA_,"REAM.    	A ream is 500 sheets of paper. As there were 24 sheets in a quire, and 20 quires made up a ream, there used to be 480 sheets in a ream. Ever since the standard was changed to 500, a 480-sheet packet of paper has been called a ""short ream""."
_TNE,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
AM_E,"AMIE.    	Savoie (Savoy in English) is a region in the western Alps, straddling the border between France and Italy. And ""amie"" is French for a girlfriend, or sweetheart."
N_N,NON.    	The French Senate (Sénat) sometimes votes 'yes' (oui) and sometimes 'no' (non).
_AST,"EAST.    	The BIG EAST collegiate athletic conference was founded in 1979. The conference went through a major realignment between 2010 and 2013 with 14 schools departing, 15 schools joining the lineup."
AE_NA,"AETNA.    	When the health care management and insurance company known as Aetna was founded, the name was chosen to evoke images of Mt. Etna, the European volcano."
_TO,"GTO.    	John DeLorean was an American engineer and executive who worked at General Motors for many years, and was responsible for the design of the Pontiac GTO in particular. His career in the automotive industry really took off, and he began to lead the jet-setter lifestyle. DeLorean left GM in 1973 and formed his own company, eventually manufacturing the famous 'DeLorean' car in Northern Ireland. The DeLorean was a V6 with a distinctive stainless steel body and two gull wings (and was chosen as the car for the 'Back to the Future' movies). But the DeLorean was a flop, and the company went in receivership. In a bid to save his company, DeLorean spent three months trying to set up a deal that involved smuggling cocaine. He fell foul of an FBI sting operation and was arrested. He was found not guilty though, due to entrapment."
ASA_,ASAP.    	As soon as possible (ASAP)
RY_,"RYE.    	The New York city of Rye is the youngest in the state, having received its charter in 1942. Rye is home to the historic amusement park called Playland, which in 1987 was designated a National Historic Landmark. Opened in 1928, today's Playland is actually owned and operated by Westchester County, making it one of the only government-operated amusement parks in the whole country."
KEN_,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game, however, originated in China. It was introduced to the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
OA_,"OAR.    	To put in one's oar is to meddle, to interfere."
RE_,REN.    	'The Ren and Stimpy Show' ran on Nickelodeon from 1991 to 1996. Not my cup of tea ...
IONI_,"IONIA.    	Asia Minor is also known as Anatolia, and is the geographic part of Asia that protrudes out into the west, towards Europe. It is roughly equivalent to modern-day Turkey."
MI_O,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!), producing a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
A_AP,"ASAP.    	Pretty darn quick (PDQ) or, as soon as possible (ASAP)."
N_IL,NEIL.    	Neil O'Donnell played for various teams in the NFL from 1990-2003. When O'Donnell retired he had the lowest interception percentage in NFL history (a record that has since been surpassed though).
_BM,"IBM.    	I don't think my kids really know what a floppy disk is. A floppy disk is made up of a thin and flexible magnetic material that can store data, enclosed in a protective case. I've used 8-inch floppies in my time, and many 5.25-inch floppy disks. Until fairly recently, I had a desktop that would take 3.5-inch disks, although I think the last 3.5-inch floppy disappeared from the house several years ago ..."
A_KA,"ANKA.    	Canadian-born Paul Anka's big hit was in 1957, ""Diana"". He followed this up with ""It's Time to Cry"" in 1958. Paul Anka was the subject of a much-lauded documentary film in 1962, called ""Lonely Boy""."
GI_,GIS.    	Army Post Office (APO)
A_AP,"ASAP.    	'Lickety-split' is the latest in a line of terms that derived from the word 'lick', which was used in the sense of a 'fast sprint in a race' back in the early 1800s. From 'lick' there evolved 'licketie', 'lickety-click', 'lickety-cut' and finally 'lickety-split', all just colorful ways to say 'fast'."
HOR_,"HORA.    	The hora is circle dance that originated in the Balkans. It was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The hora (also horah) is a regular sight at Jewish weddings."
