Sautéed seafood dish.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
Restaurant reading.   		5 letters,CARTE.    	Carte is a word sometimes used in French for a menu.
Nephew of Abraham.   		3 letters,"LOT.    	Lot is a character appearing in the Book of Genesis. At one point Lot had to flee the doomed city of Sodom with his wife. God gave instructions that the couple should not look back as they left the city, but Lot's wife disobeyed and she was turned into a pillar of salt."
"The so-called ""blue marble"".   		5 letters","EARTH.    	In 192, the astronauts of Apollo 17, the last manned mission to the Moon, took a beautiful photograph of the Earth from space. The photograph is unusual in that the whole planet is illuminated (the sun was behind the spacecraft). The astronauts remarked that Earth looked like a marble, giving the photo its name, ""Blue Marble""."
Indo-European.   		5 letters,ARYAN.    	The term Aryan can be used to describe the Indo-European languages or the peoples who speak them. The underlying assumption in this grouping is that Indian languages (based on Sanskrit) and the major European languages have the same root.
"Reeves of ""The Matrix"".   		5 letters","KEANU.    	Keanu Reeves is a Canadian actor whose most celebrated roles were a metalhead in ""Bill & Ted's Excellent Adventure"" (1989), a cop in ""Speed"" (1994) and the main antagonist in ""The Matrix"" series of films. Although Reeves is a Canadian national, he was born in Beirut, Lebanon. Reeves has some Hawaiian descent and the name ""Keanu"" is Hawaiian for ""the coldness""."
"Bugs, e.g.   		3 letters","VWS.    	VW stands for Volkswagen, which translates from German into ""people's car"". The original ""Volkswagen"" was built under a directive from Adolf Hitler, who wanted a cheap car built that ordinary people could afford to purchase. He awarded the contract to engineer Ferdinand Porsche, whose name (paradoxically) would forever be associated with high performance, expensive cars."
Provider of punch at brunch?.   		6 letters,"MIMOSA.    	Where I come from, the cocktail known in North America as a mimosa is called a Buck's Fizz, named after the club where it was introduced in 1921. The mimosa came along a few years later, apparently first being served in the Paris Ritz. If you want to make one, it's a 50-50 mix of champagne and orange juice, and is very tasty ..."
Violinist/bandleader ___ Light.   		5 letters,"ENOCH.    	Enoch Light was a classical violinist, and a bandleader. He was also quite the recording engineer and went to great lengths (starting as early as the late fifties) to get the best sound experience for listeners to his recordings. In particular he was one of the first to use stereo effects to create an apparent spatial separation between instruments Unfortunately, he didn't get much air time on the radio, as AM stations only broadcast in mono back then."
"Minderbinder of ""Catch-22"".   		4 letters","MILO.    	Milo Minderbinder is the mess officer in Joseph Heller's 1961 novel ""Catch-22"". In the 1970 film adaptation of the book, the Minderbinder character is played by Jon Voight."
Trinity part.   		3 letters,"SON.    	In the Christian tradition, the Father, Son and Holy Spirit are three persons in One Divine Being, the Holy Trinity."
Drug in a sci-fi novel series.   		3 letters,"TEK.    	The 'Tekwar' series of science-fiction novels was co-authored by Ron Goulart and the actor William Shatner, although it's only Shatner's name who appears on the covers. The stories center around the microchip 'drug' called 'tek' which dominates the Tekwar universe."
"Body designs, informally.   		4 letters","TATS.    	The word ""tattoo"" was first used in English, as far as can be told, in the writings of Captain Cook. In his descriptions of the marks made on the skin of Polynesian natives, he anglicized the Tahitian word ""tatau"" into ""tattoo""."
"""Understood,"" to a radioer.   		5 letters","ROGER.    	The term 'roger', meaning 'yes' or 'acknowledged', comes from the world of radiotelephony. The British military used a phonetic alphabet in the fifties that included ""Roger"" to represent the letter 'R'. As such, it became customary to say 'Roger' when acknowledging a message, with R (Roger) standing for 'received'."
*Fitting.   		7 letters,APROPOS.    	APR-OPOS
Circle measures.   		5 letters,"RADII.    	""Radius"" is a Latin word, as one might expect, for the ""spoke of a wheel"". Makes sense, huh?"
Eight minutes/mile in a marathon is a good one.   		4 letters,"PACE.    	The marathon is run over 26 miles and 385 yards, and of course commemorates the legendary messenger run by Pheidippides from the site of the Battle of Marathon back to Athens. The distance run today was decided in 1921, and matches the route of the modern-day Marathon-Athens highway."
Pinup's leg.   		3 letters,"GAM.    	The American slang term ""gams"" is used for a woman's legs, but the term goes back to the 18th century ""gamb"" meaning the leg of an animal on a coat of arms."
Brunonian rival.   		5 letters,"YALIE.    	The eight Ivy League Schools are: Brown, Columbia, Cornell, Dartmouth, Harvard, Princeton, the University of Pennsylvania, and Yale. Yalies got to Yale, and Brunonians go to Brown."
Holiday Inn alternative.   		6 letters,"RAMADA.    	The Ramada Inn hotel chain takes its name from the Spanish word for a shady resting place. A ramada is a shelter, with a rook and no walls, mainly found in the American southwest. Nowadays, the shelter can be temporary or permanent, but originally ramadas were makeshift shelters constructed by aboriginal Indians from branches or bushes."
Blunder.   		5 letters,"GAFFE.    	Our word ""gaffe"" , meaning a social blunder, comes from the French word ""gaffe"" meaning ""clumsy remark"", although it originally was the word for ""boat hook"". The exact connection between a boat hook and a blunder seems to be unclear."
Kind of chart.   		5 letters,NATAL.    	A natal chart is an astrological chart that is based on the exact time that a person is born.
"Prison, informally.   		4 letters","STIR.    	The slang word ""stir"", meaning a prison, probably has its roots in Start Newgate prison in London, where it was a nickname for the establishment."
Les États-___.   		4 letters,"UNIS.    	Les États-Unis, is what French speakers call the United States."
Polar region phenomenon.   		6 letters,"AURORA.    	The spectacular aurora phenomenon is seen lighting up the night sky at both poles of the earth (the Aurora Borealis in the north, and the Aurora Australis in the south). The eerie effect is caused by charged particles colliding with atoms at high latitudes."
Month after Av.   		4 letters,ELUL.    	Elul is the month in the Hebrew calendar that occurs in August-September.
Mr.   		5 letters,"MAGOO.    	Mr. Quincy Magoo is a wonderful cartoon character voiced by Jim Backus. Backus is probably equally well-known for playing Mr. Magoo and that of Thurston Howell, III on ""Gilligan's Island"". Mr. Magoo first appeared on the screen in a short called ""The Ragtime Bear"" in 1949. His persona was at least in part based on the antics of W. C. Fields. Backus originally used a fake rubber nose that pinched his nostrils in order to create the distinctive voice, although in time he learned to do without the prop. My absolute favorite appearance by Mr. Magoo is in ""Mr Magoo's Christmas Carol"", a true classic from the sixties."
Mexican shawl.   		6 letters,"SERAPE.    	'Serape' is the English pronunciation and spelling of the Spanish word 'zarape'. A zarape is like a Mexican poncho, a soft woolen blanket with a hole in the middle for the head. Most serapes have colorful designs that use traditional Mayan motifs."
"""Swan Lake"" swan.   		5 letters","ODILE.    	""Swan Lake"" is such a delightfully light and enjoyable ballet. It tells the story of Odette, a princess turned into a swan by a sorcerer. The ballet also features Odile, Odette's ""evil twin"". Odile is disguised to look like Odette with the goal of tricking the prince to fall in love with her. In the ballet, the roles of Odette and Odile are played by the same ballerina."
"When doubled, island near Tahiti.   		4 letters","BORA.    	Bora Bora is one of the Society Islands of French Polynesia. The name Bora Bora is imitative of the Tahitian name for the island and should really be pronounced ""pora pora"". ""Bora bora"" translates as ""first born""."
Record label for Booker T.   		4 letters,"STAX.    	Booker T. & the M.G.'s were in effect the house band at Stax Records, and so appeared on loads of famous recordings, including some by Wilson Pickett and Otis Redding. As such, they became synonymous with what became known as the Stax Sound. One of the unique things about the band was that it was racially integrated, with two white guys making a name for themselves in the soul music, which at the time was the domain of black culture."
Part of Fla.   		3 letters,"CST.    	The Florida Panhandle is in the Central Time Zone, whereas the rest of the state is of course in the Eastern Time Zone."
Radio reply.   		5 letters,"WILCO.    	In the world of radio telephony, 'wilco' is short for 'I understand and will comply'."
Springblade producer.   		6 letters,ADIDAS.    	Springblade is a line of running shoes made by Adidas.
"""The Legend of ___"".   		5 letters",ZELDA.    	The Legend of Zelda' is a video game. Apparently it's very successful.
Person often pictured with crossed legs.   		5 letters,SWAMI.    	A swami is a religious teacher in the Hindu tradition.
"Specter of the Senate, once.   		5 letters","ARLEN.    	Arlen Specter was the US Senator for Pennsylvania, famous for switching from the Republican to the Democratic Party in 2009. In 2010 he lost the Democratic primary and his seat went to Pat Toomey, a Republican. Spector developed a reputation for himself of being hard to work with over the years, earning the nickname ""Snarlin' Arlen""."
Robert W.   		5 letters,"MCGEE.    	""The Cremation of Sam McGee"" is a famous poem penned by Robert W. Service. It tells the story of the cremation of a prospector who froze to death in the Yukon. First published in 1907, the poem became a popular reading around campfires."
Pace in dressage.   		4 letters,TROT.    	The equestrian sport of dressage involves demonstration of how well as horse responds to training. 'Dressage' is a French word meaning 'training'.
Trojan War hero.   		6 letters,"AENEAS.    	The Aeneid is Virgil's epic poem that tells of the journey of Aeneas, a Trojan that traveled to Italy to become the ancestor of all Romans."
Network for political junkies.   		6 letters,"C-SPAN.    	C-SPAN is a privately-funded, non-profit cable channel that broadcasts continuous coverage of government proceedings."
"""Los Olvidados"" director Buñuel.   		4 letters","LUIS.    	""Los Olvidados"" is a Mexican film, directed by Spanish-Mexican filmmaker Luis Buñuel. The film follows a group of destitute children in the slums of Mexico City, and the violent life to which they are destined."
Extra Dry brand.   		5 letters,"ARRID.    	Arrid is an antiperspirant deodorant brand introduced in the thirties. Slogans associated with Arrid have been ""Don't be half-safe - use Arrid to be sure"", ""Stress stinks! Arrid works!"" and ""Get a little closer""."
Tarkenton of three Super Bowls.   		4 letters,"FRAN.    	Fran Tarkenton is a former football player who played for the Minnesota Vikings and the New York Giants. Tarkenton has had quite the life after retiring from football in 1978. He co-wrote a murder-mystery novel, several self-help books and started his own software company."
"People for whom ""tena koe"" means ""hello"".   		6 letters","MAORIS.    	The Māori are the indigenous people of New Zealand. The Māori are eastern Polynesian in origin and began arriving in New Zealand relatively recently, starting sometime in the late 13th century. The word ""māori"" simply means ""normal"", distinguishing the mortal human being from spiritual entities."
Morse bits.   		4 letters,"DAHS.    	Samuel Morse was a very accomplished and reputable painter (he was engaged to paint a portrait of President John Adams, for example). In 1825 he was in Washington working on a commissioned painting when he received a one-line letter by horse messenger telling him that his wife was ill. He immediately left for his home in New Haven, Connecticut but by the time he arrived she had already died and had been buried. This single event spurred him to move from painting to the development of a rapid means of long distance communication, leading to the single-wire telegraph and Morse code."
___ soprano.   		4 letters,"MALE.    	For an adult male to be a true male soprano, without singing in a falsetto voice, there usually has to be some endocrinological or physical aberration."
Great Lakes natives.   		5 letters,"ERIES.    	Lake Erie is the fourth largest of the five Great Lakes (Lake Ontario is the smallest). The lake takes its name from the Erie tribe of Native Americans that used to live along its southern shore. Erie is the shallowest of the Great Lakes, something for which nearby residents must be quite grateful. Being relatively shallow, Erie freezes over part way through most winters putting an end to the lake effect snow that falls in the snow belt extending from the lake's edge."
"Mel with ""1,000 voices"".   		5 letters","BLANC.    	Mel Blanc is known as ""The Man of a Thousand Voices"". We've all heard Mel Blanc at one time or another, I am sure. His was the voice behind such cartoon characters as Bugs Bunny, Daffy Duck, Porky Pig, Tweety Bird, Woody Woodpecker and Barney Rubble. And the words on Blanc's tombstone are ... ""That's All Folks""."
Whit.   		3 letters,"FIG.    	Both ""whit"" and ""fig"" are used to describe a trivial amount, a mere trifle."
Nation near Fiji.   		5 letters,"TONGA.    	The Kingdom of Tonga is made up of 176 islands in the South Pacific, 52 of which are inhabited and scattered over an area of 270,000 square miles. Tonga was given the name Friendly Islands in 1773 when Captain James Cook first landed there, a reference to the warm reception given to the visitors."
Honeydew producer.   		5 letters,APHID.    	Honeydew is a sugary liquid secreted by some insects (such as aphids) when they feed on plant sap.
"""Whither thou goest, I will go"" speaker.   		4 letters","RUTH.    	The Book of Ruth in the Hebrew Bible and the Christian Old Testament tells the story of Ruth. Ruth was one of two women who married the two sons of Elimelech and Naomi. Father and sons died, leaving the three widows to fend for themselves. Naomi decided that it was best to go to Bethlehem. Orpah was Naomi's second daughter-in-law, and she decided to return to her home. Ruth decided to stick with her mother-in-law, using the words 'Whither thou goest, I will go'."
River along Avignon.   		5 letters,RHONE.    	Avignon is a city in the southeast of France on the Rhône river. Avignon is sometimes called the 'City of Popes' as it was home to seven popes during the Catholic schism from 1309 to 1423.
Actor Jack of oaters.   		4 letters,"ELAM.    	Jack Elam was a movie actor noted for playing the bad guy in Westerns. When Elam was a boy scout, he was accidentally stabbed in the eye with a pencil. The incident left him blind in that eye, and the iris remained skewed to the outside of his face. This gave him a crazed, wide-eyed look that helped add a sense of menace to the characters Elam played."
Quarterly magazine published by Boeing.   		4 letters,AERO.    	'Aero' magazine is a quarterly publication issued by Boeing to its customers.
Diamond-shaped pattern.   		6 letters,"ARGYLE.    	The argyle pattern is based on the Campbell tartan. The Campbell clan is based in the Argyll region (note the spelling) in the west of Scotland, giving the Argyle pattern its name."
Green gem.   		4 letters,"JADE.    	Jade is actually the name given to two different mineral rocks, both of which are used to make gemstones. The first is nephrite, a mineral with a varying degree of iron content, the more iron the greener the color. The second is jadeite, a sodium and aluminum-rich pyroxene. As well as being used for gemstones, both jade minerals can be carved into decorative pieces."
Way in Québec.   		3 letters,"RUE.    	""Rue"" is the French word for ""road""."
Timmy's TV dog.   		6 letters,"LASSIE.    	We owe the character Lassie to one Eric Knight who wrote a short story that he expanded into a novel called ""Lassie Come Home"", published in 1940. ""Lassie Come Home"" was turned into a movie three years later, the first of a very successful franchise. The original Lassie (a female) was played by a dog called Pal, a male dog. In fact, all of the dogs that played Lassie over the years were males, because they looked better on camera, retaining a thick coat even during the summer months."
Something that's stamped.   		4 letters,"VISA.    	A visa is a usually a stamp in one's passport, an indication that one is authorized to enter a particular country. The word ""visa"" comes into English via French, from the Latin expression ""charta visa"" meaning ""paper that has been seen"", or ""verified paper""."
Dweller along the Volga.   		5 letters,"TATAR.    	Tatars are an ethnic group of people, mainly residing in Russia (a population of about 5 1/2 million). Actor Charles Bronson had a Tatar heritage. Bronson's real name was Charles Buchinsky."
1920-24 owner of Metro Pictures.   		4 letters,"LOEW.    	Marcus Loew was a New Yorker, born into a poor Jewish family. He started out in a penny arcade business and used its profits to buy into a nickelodeon. He built a whole chain of movie theaters, and then moved into the production of films so that he could guarantee supply of features that he could show in his theaters. Eventually he pulled together the Metro-Goldwyn-Mayer (MGM) film production company, and sadly passed away just three years after he inked the deal."
"""Last Time I Saw ___"" (Diana Ross song).   		3 letters","HIM.    	'Last Time I Saw Him' is an unusual song for Diana Ross in that has a country theme, Indeed, the song was released the same year by country singer Dottie West."
"The Beatles' ""___ Mine"".   		4 letters","I ME.    	""I Me Mine"" is one of the relatively few Beatles songs to have been written by George Harrison (and indeed performed by him). Harrison chose the same title for his autobiography published in 1980, just a few weeks before John Lennon was assassinated in New York City."
Blood donation unit.   		4 letters,"PINT.    	Traditionally a unit of blood is about a pint, or more likely a half-liter these days."
Deadly African biter.   		5 letters,"MAMBA.    	The mamba, and most famously the black mamba, is a highly venomous snake, that used to be responsible for a great number of fatalities, before anti-venoms became available. Mamba enom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart, so a bite if untreated causes the lungs and the heart to shut down."
Feature of Africa ...   		4 letters,"HORN.    	The Horn of Africa is that horn-shaped peninsula at the eastern most tip of the continent. The Horn of Africa contains the countries Eritrea, Djibouti, Ethiopia as well as Somalia, so it sometime called the Somali Peninsula."
Like Brahms's Piano Trio No.   		4 letters,"IN B.    	Johannes Brahms was a leading German composer from the Romantic period. Brahms is one of the ""Three Bs"", often grouped with Johann Sebastian Bach and Ludwig van Beethoven."
Novelist Mary ___ Russell.   		5 letters,"DORIA.    	Mary Doria Russell is a novelist from Chicago. Russell wrote two novels that deal with the subject of first contact with aliens, namely 'The Sparrow' (1996) and a sequel 'Children of God' (1998)."
Tapenade ingredient.   		5 letters,"OLIVE.    	Tapenade is traditionally made from olives, capers, anchovies and olive oil. The name comes from the Provençal word for capers, ""tapenas""."
"""___ qué?"".   		3 letters",POR.    	'Por qué?' is Spanish for 'why?'
Concert halls.   		4 letters,"ODEA.    	In Ancient Greece, an odeon was like a small theater, literally meaning a building for musical competition. Odea were used in both Greece and Rome, for entertainments such as musical shows and poetry readings."
Star in Cygnus.   		5 letters,"DENEB.    	Deneb is the brightest star in the constellation called Cygnus, the Swan. The name ""Deneb"" comes from the Arabic word ""dhaneb"" meaning tail, as it lies at ""the tail"" of the swan."
Some ancient halls.   		4 letters,"ODEA.    	In Ancient Greece, an odeon was like a small theater, with ""odeon"" literally meaning a ""building for musical competition"". Odea were used in both Greece and Rome, for entertainments such as musical shows and poetry readings."
___ Lomond.   		4 letters,"LOCH.    	I would guess that Loch Lomond is one of the two most famous lakes in Scotland. Loch Ness is famous for its ""monster"", and Loch Lomond is famous for the lovely song ""The Bonnie Banks o' Loch Lomond"". Oh, ye'll tak' the high road, and I'll tak' the low road ..."
CBS series for 17 seasons.   		6 letters,"LASSIE.    	We owe the character Lassie to one Eric Knight who wrote a short story that he expanded into a novel called ""Lassie Come Home"", published in 1940. ""Lassie Come Home"" was turned into a movie three years later, the first of a very successful franchise. The original Lassie (a female) was played by a dog called Pal, a male dog. In fact, all of the dogs that played Lassie over the years were males because they looked better on camera, retaining a thick coat even during the summer months."
Like Bach's second violin concerto.   		4 letters,"IN E.    	Like so many of the great composers, the extent of Bach's contribution to the repertoire was only fully recognized long after his passing. Johann Sebastian Bach was undoubtedly the greatest composer of the Baroque period, and is ranked by many as the greatest classical composer of all time."
Saab model.   		4 letters,"AERO.    	The Aero-X is a concept car, produced in 2006 by Saab. Apparently lots of folks who've seen or driven it would love it go into production."
"High, in a way.   		6 letters",ON POT.    	'Potiguaya' is the Mexican-Spanish word for 'marijuana leaves'. The slang name 'pot' comes from 'potiguaya'.
Tip politely.   		4 letters,"DOFF.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off""."
Letters after pis.   		4 letters,"RHOS.    	Rho is the Greek letter that looks just like our Roman letter ""p""."
Disney title character from Hawaii.   		4 letters,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
Literary inits.   		3 letters,"EAP.    	Edgar Allan Poe lived a life of many firsts. He is considered to be the inventor of the detective-fiction genre. He was also the first notable American author to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849, he was found on the streets of Baltimore, delirious from either drugs or alcohol. He died a few days later in hospital at 39 years of age."
États-___.   		4 letters,"UNIS.    	Les États-Unis, what French speakers call the United States."
Windblown soil.   		5 letters,LOESS.    	Loess is a wind-blown accumulation of silt. The word is German in origin and was first used to describe the silt along the Rhine Valley.
British P.M.   		6 letters,"ATTLEE.    	Clement Attlee served as leader of Britain's Labour Party and as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill and was responsible for major changes not only in Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, while he was in office, with the state of Israel being declared the very next day."
Quaint letter-opening abbr.   		6 letters,"MESSRS.    	The abbreviation 'Messrs.' is used at the head of a list of male names, in place of 'Misters'. It is an abbreviation of the French 'messieurs', the plural of 'monsieur'."
Vodka source.   		6 letters,"POTATO.    	The word ""vodka"" is a Slavic word, a diminutive of the word for water, ""voda"". So ""vodka"" really translates as ""little water"". Traditionally, vodka is drunk ""straight up"" in the countries of Eastern Europe that collectively are aptly called the vodka belt. Belt ... get it?"
Compete in the Breeders Crown.   		4 letters,"TROT.    	The Breeders Crown is a whole series of harness races held annually, nowadays primarily at the Meadowlands near New York City, and Mohawk Raceway in Ontario."
Region known as the Valley of the Moon.   		6 letters,"SONOMA.    	It was author Jack London who reported that the Native American word ""Sonoma"" translated into ""Valley of the Moon"", although the derivation is disputed. The Sonoma Valley is the birthplace of the California wine industry."
Staff's partner.   		3 letters,"ROD.    	In the 23rd Psalm, David says the line ""thy rod and thy staff they comfort me""."
Hot spot.   		6 letters,"SAHARA.    	The name ""Sahara"" means ""greatest desert"" in Arabic, and it is just that, a great desert covering almost 4 million square miles of Northern Africa (which is almost the size of the whole of Europe, or the whole of the United States!)."
Some blockers.   		4 letters,ENDS.    	Ends are football players.
Month before Tishri.   		4 letters,ELUL.    	Elul is the month in the Hebrew calendar that occurs in August-September.
Green bug.   		5 letters,"APHID.    	The aphid is called ""greenfly"" back in the British Isles where I come from. The most effective way to control them in my experience is to make sure there are plenty of ladybugs (called ladybirds in Ireland!) in the garden."
Like many squares in a French crossword.   		5 letters,"BLANC.    	French crosswords, compared with American puzzles, have far fewer shaded squares, as few as 10%. This can be achieved as symmetry is not required, and two-letter words are allowed. Also, they're usually not square. Oh, ""blanc"" is the French word for ""white""."
Peter Pan rival.   		3 letters,"JIF.    	The Peter Pan brand of peanut butter is of course named after the character in the J. M. Barrie play. What we know today as Peter Pan peanut butter was introduced in 1920 as E. K. Pond peanut butter, and renamed in 1928."
Planchette holder.   		5 letters,"OUIJA.    	The Ouija board was introduced to America as a harmless parlor game at the end of the 19th century, although variations of the board date back to 1100 BC in China, where it was apparently used to ""contact"" the spirit world. The name ""Ouija"" is relatively recent, and is probably just a combination of the French and German words for ""yes"" ... ""oui"" and ""ja""."
Mongol invader.   		5 letters,"TATAR.    	Tatars are an ethnic group of people, mainly residing in Russia (a population of about 5 1/2 million). Actor Charles Bronson had a Tatar heritage. His real name was Charles Buchinsky."
Star of 4- and 37-Across.   		9 letters,"AL PACINO.    	Al Pacino seems to be best known for playing characters on either side of the law. His big break in movies came when he played Michael Corleone in 'The Godfather', a role that grew for him as the series of films progressed. But his Oscar winning role was that of a blind, ex-military officer in 'Scent of a Woman'."
"""Blues in the Night"" composer Harold.   		5 letters","ARLEN.    	Harold Arlen is a composer of popular music, forever to be associated with his composition 'Over the Rainbow' from 'The Wizard of Oz', regarded by many as the greatest song of the 20th century."
Mitchum rival.   		5 letters,"ARRID.    	Arrid is an antiperspirant deodorant brand introduced in the thirties. Slogans associated with Arrid have been ""Don't be half-safe - use Arrid to be sure"", ""Stress stinks! Arrid works!"" and ""Get a little closer""."
Turban wearer.   		4 letters,"SIKH.    	Sikhs do not cut their hair, as each hair has a nerve attached to the follicle. Sikhs regard the hair as an integral part of the body that should be respected. Sikh men tie up their hair and wear it under a turban. This is causing a problem in Oregon where a law was passed recently banning the wearing of turbans by teachers and government officials."
Courier alternative.   		5 letters,ARIAL.    	Both Courier and Arial are fonts.
Former Israeli P.M.   		5 letters,"BARAK.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. Barak left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. Barak resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security-related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party and is now the country's Minister of Defense."
Israel's Ehud.   		5 letters,"BARAK.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. He left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. He resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party, and is currently the country's Minister of Defense."
Its capital is Sana.   		5 letters,"YEMEN.    	Sana is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site."
Outmoded: Abbr..   		3 letters,OBS.    	Obsolete (obs.)
Coroner's subj.   		4 letters,ANAT.    	Coroners study anatomy.
Brasserie list.   		5 letters,"CARTE.    	A brasserie is a kind of French restaurant that's usually a step up from a bistro. 'Brasserie' is the French word for 'brewery', and the original brasseries in France served beer that was brewed on the premises."
___ Ness.   		4 letters,"LOCH.    	The Loch Ness monster has been talked about for centuries, but modern interest started in 1933 when a spate of sightings was reported. Those sightings don't seem to have stopped, with photographs really sparking the imagination."
"""You will be ___"" (last line of ""Wishin' and Hopin'"").   		3 letters","HIS.    	'Wishin' and Hopin'' is a lovely song, a hit for Dusty Springfield in 1964. 'Wishin' and Hopin'' was written by Hal David and Burt Bacharach. Springfield was the second person to record the song as Dionne Warwick had recorded it with limited success the year before."
Sweater or sock pattern.   		6 letters,"ARGYLE.    	The argyle pattern is based on the Campbell tartan. The Campbell clan is based in the Argyll region (note the spelling) in the west of Scotland, giving the Argyle pattern its name."
"""Three wishes"" granter.   		5 letters","GENIE.    	The ""genie"" in the bottle takes his name from ""djinn"". ""Djinns"" were various spirits considered lesser than angels, people who exhibit unsavory characteristics could be said to be possessed by djinn. When the book ""The Thousand and One Nights"" was translated into French, the word ""djinn"" was transformed into ""génie"", because of the similarity in sound and the related spiritual meaning. This ""génie"" from the Arabian tale became confused with the Latin-derived ""genie"". The Latin ""genius"" was a guardian spirit thought to be assigned to each person at birth. Purely as a result of that translation the word genie has come to mean the ""djinn"" that pops out of the bottle. Quite interesting ..."
San ___ (resort locale).   		4 letters,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
Org.   		3 letters,WBA.    	(5D. Supporting strip : BELT)
Metals from lodes.   		4 letters,ORES.    	A lode is metal ore deposit that's found between two layers of rock or in a fissure.
Kind of horoscope.   		5 letters,NATAL.    	A natal horoscope or natal chart is an astrological map that is built around the exact time and location of an individual's birth. The chart shows the position of the astrologically relevant celestial bodies at that time.
DreamWorks's first animated film.   		4 letters,"ANTZ.    	""Antz"" was the first feature movie released by Dreamworks SKG, the studio founded by Steven Spielberg and two partners in 1994. ""Antz"" came out in 1998, and has a stellar cast that includes Woody Allen, Sharon Stone, Sylvester Stallone, Gene Hackman and many, many other big names. The cartoon is quite unique in that the facial features of the voice actors are reflected in the animated characters."
Diamond pattern.   		6 letters,"ARGYLE.    	The argyle pattern is based on the Campbell tartan. The Campbell clan is based in the Argyll region (note the spelling) in the west of Scotland, giving the Argyle pattern its name."
Hungarian city that has hosted two World Puzzle Championships.   		4 letters,"EGER.    	Eger is a city in the northeast of Hungary that is noted for its thermal baths and for its wine production. I don't recall having tried any wines from Eger, although we do drink a fair amount of Hungarian wine back in Ireland. I just read that Eger wines bear a resemblance to wines from Burgundy."
"Quitting time in Québec, maybe.   		4 letters","CINQ.    	Here in Québec, where I happen to be spending the night, quitting time might be at five (cinq, in French)."
Lemon ___.   		4 letters,"SOLE.    	Lemon sole is also called English sole, and is native to Northern Europe. It is a flatfish, and a very popular dish in the British Isles."
Kama ___.   		5 letters,"SUTRA.    	Kama is the Hindu god of love. He is portrayed as a youth bearing a bow and arrows, much like Eros and Cupid."
Upholsterer's stock.   		5 letters,"SATIN.    	The material known as 'satin' takes its name from 'Zayton', the medieval Arabic name for the Chinese port city of Quanzhou. Quanzhou was used for the export of large amounts of silk to Europe."
"He wrote ""I will show you fear in a handful of dust"".   		8 letters","TS ELIOT.    	The line is from Eliot's celebrated 1922 poem ""The Waste Land"". Evelyn Waugh used the line when he titled his 1934 novel ""A Handful of Dust""."
Professeur's concern.   		5 letters,ELEVE.    	A professeur (teacher) in France should show concern for his eleves (pupils).
Attachments to pronator quadratus muscles.   		5 letters,"ULNAE.    	The radius and ulna are bones in the forearm. If you hold the palm of your hand up in front of you, the radius is the bone on the ""thumb-side"" of the arm, and the ulna is the bone on the ""pinkie-side""."
Religious sch.   		3 letters,SEM.    	Seminary.
1985 N.L.   		5 letters,"MCGEE.    	Willie McGee is a retired professional league baseball player, who spent most of his career with the St. Louis Cardinals."
Fragrant wood.   		5 letters,"CEDAR.    	Cedar is used for the manufacture of some wardrobes and chests as it has long been believed that the fragrant oil in the wood is a moth-repellent. However, whether or not cedar oil is actually effective at keeping moths away seems to be in doubt."
"Sibyl, for one.   		6 letters","ORACLE.    	The word, and name, sibyl, comes from the Greek word ""sibylla"" meaning ""prophetess"". There were many sibyls, but most famous is probably the Delphic Sybil."
Jazzy Jones.   		5 letters,"NORAH.    	The beguiling Norah Jones, the daughter of famous sitar virtuoso Ravi Shankar, is one of my favorite singers. If you haven't heard her sing ""Come Away with Me"", you just haven't lived ..."
