ED_,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
DO_,"DON.    	In the Mafia, a don is a head of a family, someone who might order a hit, a killing."
_DOPA,"L-DOPA.    	L-3,4-DihydrOxyPhenylAlanine, thankfully can be shortened to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
AD_AI,"ADLAI.    	Adlai Stevenson ran unsuccessfully against Eisenhower in 1952. Some years later he served under President Kennedy as Ambassador to the United Nations. He was always noted for his eloquence, and had an infamous exchange in a Security Council meeting during the Cuban missile crisis. ""I am prepared to wait for my answer until Hell freezes over!"""
ERSA_Z,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
AI_EE,"AIMEE.    	Aimee Mann is a rock singer and guitarist from Virginia. Mann is married to Michael Penn, the brother of actor Sean Penn."
DU_,"DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
S_AR,"SCAR.    	Author J. K.Rowling's famous character Harry Potter has a lightning-shaped scar on his forehead, the result of an attack on his life as a baby by the Dark wizard Lord Voldemort."
MEL_E,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means a ""confused fight""."
_LIO,"CLIO.    	In Greek mythology, the muses are the goddesses who inspire the creation of literature and the arts. The number of muses is a subject of debate at times, but the most popular view is that there are nine:"
_ENY,EENY.    	
_LG,ALG.    	Algebra (alg.)
_AF,"OAF.    	""Galoot"" is an insulting term meaning an awkward or boorish man, an ape. ""Galoot"" comes from the nautical world, where it was originally what a sailor might call a soldier or marine."
_PS,MPS.    	The Military Police (MPs) are concerned with personnel who go AWOL (Absent Without Leave).
C_A,"CTA.    	The Chicago ""L"" is the second largest rapid transit system in the US, with the New York City Subway being the largest. The ""L"" is also the second oldest, again with the New York City Subway system having the honor of being around the longest. Note that the official nickname for the system is the ""L"" (originally short for ""elevated railroad""), although the term ""El"" is also in common use (especially in crosswords as ""ELS""). The L is managed by the Chicago Transit Authority (CTA)."
H_NS,"HANS.    	Hans Asperger was a pediatrician and medical professor from Austria. Dr. Asperger achieved renown for his studies of mental disorders in children, but only after his death in 1980. In the eighties there was renewed interest in his work, and Asperger Syndrome was named after him."
_TEP,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry. The teams are also known as the UTEP Miners and Lady Miners."
_OLE,"COLE.    	Nat King Cole's real name was Nathaniel Adams Coles. Cole made television history in 1956 when his own show debuted on NBC, a first for an African-American. Cole couldn't pick up a national sponsor, so in order to save money and possibly save the show, many guest artists worked for no fee at all - the likes of Ella Fitzgerald, Harry Belafonte and Peggy Lee. The show survived for a year, but eventually Nat King Cole had to pull the plug on it himself."
GMA_,"GMAC.    	GMAC is short for General Motors Acceptance Corporation. GM has a very small stake in GMAC now, and indeed the name has been officially changed to Ally Bank. You and me, we are the biggest shareholders in GMAC/Ally now, after the US government gave the bank $12.5m to bail it out in 2008-2009."
BRI_,"BRIO.    	Brio is borrowed from the Italian, in which language it also means vigor and vivacity. ""Con brio"" is a musical direction often found on a score, instructing that the musicians play ""with energy, vigor""."
EL_ISE,"ELOISE.    	Kay Thompson wrote the ""Eloise"" series of children's books. Kay Thompson actually lived at the Plaza Hotel in New York, the setting she would choose for her ""Eloise"" stories. Eloise started out as a hit song for Thompson, a success that she parlayed into the book franchise."
S_IN,SHIN.    	Soccer players usually wear shin guards.
_MERIL,"EMERIL.    	Emeril Lagasse started using his famous, ""Bam!"" catchphrase in order to keep his crew awake during repeated tapings of his show."
COL_,"COLE.    	Nat King Cole's real name was Nathaniel Adams Coles. Cole made television history in 1956 when his own show debuted on NBC, a first for an African-American. Cole couldn't pick up a national sponsor, so in order to save money and possibly save the show, many guest artists worked for no fee at all - the likes of Ella Fitzgerald, Harry Belafonte and Peggy Lee. The show survived for a year, but eventually Nat King Cole had to pull the plug on it himself."
GEN_A,"GENOA.    	Niccolò Paganini was a famed Italian violinist and composer. Paganini was perhaps the most celebrated violinist of the 19th century. His most famous composition has to be his Caprice No. 24 in A minor, Op. 1. This work is the basis for many derivative masterpieces by other composers, including the wonderful 'Rhapsody on a Theme of Paganini' by Rachmaninoff."
_ER,"SER.    	HBO's 'Game of Thrones' is a fantasy television drama that was adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in Belfast, Northern Ireland."
ZIT_,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. For example, Ziti is a particularly large and long tube with square-cut ends."
SI_,"SIX.    	The numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. There are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
LE_TO,LENTO.    	A lento passage is a piece of music that has a slow tempo.
_FC,PFC.    	Private First Class (PFC)
_EZ,"NEZ.    	In French, the 'nez' (nose) is part of the 'visage' (face)."
P_M,"POM.    	The Pomeranian is a breed of small dog, named for the Pomerania region of Europe (part of eastern Germany and northern Poland). The breed was much loved by the royalty of Europe in the 17th and 18th centuries. In the 19th century, Queen Victoria owned a particularly small Pomeranian. Due to the notoriety of the monarch's pet, the Pomeranian was bred for small size, so that during the Queen's admittedly long reign, the size of the average ""pom"" was reduced by 50% ..."
_EV,"NEV.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
EA_S,"EATS.    	Our word ""nosh"" has been around since the late fifties, when it was imported from the Yiddish word ""nashn"" meaning ""to nibble""."
_RTS,"ARTS.    	Voldemort is the main 'bad guy' in the 'Harry Potter' series of books. I heard J. K. Rowling, the author of the books, on the radio the other day and she tells us that 'Voldemort' is supposed to be pronounced with a silent 't' on the end, so it sounds kind of French. But when the movies came out the actors went with the hard 't', and that's the pronunciation that seems to prevail now."
_ALY,"DALY.    	Tyne Daly really came into the public eye playing Detective Lacey in ""Cagney and Lacey"". More recently she played the mother of the title character in ""Judging Amy""."
U_I,"UNI.    	Some kind readers of the blog have pointed out that ""uni"" is short for unisuit or unitard."
B_LA,"BELA.    	Béla Balázs was a Hungarian film critic, although he is best remembered for writing the libretto to Béla Bartók's opera 'Bluebeard's Castle'."
S_EBA,"SHEBA.    	Sheba is referenced in the Bible several times. The ""Queen of Sheba"" is mentioned as someone who traveled to Jerusalem to behold the fame of King Solomon. No one knows for sure where the kingdom of Sheba was located, although there is evidence that it was actually the ancient Semitic civilization of Saba. The Sabeans lived in what today is Yemen, on the Arabian Peninsula."
_OCS,"ROCS.    	The mythical roc is a huge bird of prey, reputedly able to carry off and eat elephants. The roc was said to come from the Indian subcontinent. The supposed existence of the roc was promulgated by Marco Polo in the accounts that he published of his travels through Asia."
_ELI,"DELI.    	The word ""delicatessen"" came into English from the German ""Delikatessen"" meaning ""delicious (delikat-) to eat (essen)""."
B_LO,"BOLO.    	I've never worn a bolo tie, and was surprised to discover that it is a relatively recent invention. The first bolo tie was apparently produced in Wickenburg, Arizona in the late 1940s by a silversmith. The bolo takes its name from the boleadora, an Argentine lariat."
SPO_,"SPOT.    	The Dalmatian breed of dog originated in Dalmatia, in the Republic of Croatia. Here in the US, Dalmatians are known as ""firehouse dogs'. This association dates back to the use of Dalmatians in firehouses to guard the valuable horses that pulled the fire engines."
_OM,"POM.    	POM Wonderful is a privately-held company that has been making fruit juice drinks since 2002. The main product line is pomegranate juice, hence the company name."
_AROL,"CAROL.    	'Wassail' is ale or mulled wine used for toasting at festivals, especially Christmas. The term 'wassail' comes from Old Norse 'ves heill' meaning 'be healthy'. The term can also be used to describe a Christmas carol that is sung while 'wassailing', drinking wassail during the December festival."
OR_S,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
STA_,"STAG.    	When a guy heads out to a party alone, he is said to be ""going stag""."
S_AR,"SCAR.    	The appendix is a small tube that is connected to the cecum in the large intestine. The tube is more correctly called the 'vermiform appendix', with the term 'vermiform' meaning 'worm-shaped'. It is generally accepted that the appendix no longer has a meaningful function in humans, and has lost its function through the process of evolution."
U_URA,"UHURA.    	Lt. Nyota Uhura was the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role was significant in that it was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
_TAIL,"ETAIL.    	""Etail"" is the term used these days for online shopping. Etail is often compared to regular shopping in the ""real world"" by juxtaposing it with a ""brick and mortar"" store."
STA_S,"STANS.    	The suffix '-stan' in many place names is Persian for 'place of'. One example is 'Pakistan', the Place of the Pure. 'Pakistan' is a relatively recent name, first coined in 1933. It comes from the abbreviation PAKSTAN, standing for Punjab - Afghan Province - Kashmir - Sindh - BaluchisTAN, all regions in the north of India. The 'I' was added to Pakistan to make it easier to pronounce, and to fit the translation 'Land of the Pure'."
MEL_E,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means ""confused fight""."
_AEN,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
I_K,"INK.    	Quills have been used as writing implements since the 6th century. Historically, goose, swan and turkey feathers have been the quills of choice. A bird's feather is well suited for writing, as the hollow shaft acts as a reservoir for ink which then flows to the tip due to capillary action. Choice of feather is important. Right-handed writers are best served by feathers from the left wing, as the feather curves away from the palm of the hand when writing. The tip of the quill is sharpened using a ""quill knife"". This quill knife is the ancestor of what we know today as a ""penknife""."
XEN_N,"XENON.    	Metal halide lamps that are called xenons don't actually rely on the incorporated xenon gas to generate light. The xenon gas is added so that the lamp comes on ""instantly"". Without the xenon, the lamp would start up rather like a street lamp, flickering and sputtering for a while before staying alight."
SMO_E,"S'MORE.    	S'mores are treats peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called 'Tramping and Trailing with the Girl Scouts'. Girl Scouts always did corner the market on cookies and the like!"
ASC_,"ASCH.    	Sholem Asch was a Polish-born American novelist and dramatist who published his work in Yiddish. One of his plays was ""God of Vengeance"", a highly regarded work performed all over Europe and translated into many languages. It opened on Broadway in 1923, but the adult themes (it was set in a brothel, and featured a lesbian relationship) led to the entire cast being arrested and convicted on obscenity charges."
_BAS,"MBAS.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia."
WI_,"WIS.    	Wisconsin is named for the Wisconsin River, the longest river in the state. The famous missionary, Father Jacques Marquette, recorded the Algonquian name for the river as 'Meskousing'. This was modified by French explorers to 'Ouisconsin', with the first syllable pronounced just like the French word for 'yes' &#8230; 'oui&#8217;. In the early 1800s this was anglicized to 'Wisconsin'."
_ELEE,"MELEE.    	A 'donnybrook' is a free-for-all, named after a famous historic fair in Donnybrook, a district in Dublin, Ireland. Donnybrook Fair had the reputation as a place where there was lots of drinking and fighting. I used to hang out a lot in Donnybrook in my student days and didn't see any fighting. Lots of drinking, but no fighting ..."
SPI_L,"SPIEL.    	A spiel is a lengthy speech or argument designed to persuade, like a sales pitch. ""Spiel"" comes to us from German, either directly (""spiel"" is the German for ""play"") or via the Yiddish ""shpil""."
T_RAH,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
_RAU,"FRAU.    	In Germany, a 'Mr.' (Herr) is married to a 'Mrs.' (Frau), and they live together in a house (Haus)."
UTE_,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry. The teams are also known as the UTEP Miners and Lady Miners."
_YRA,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. She hosts, and indeed created, the hit show 'America's Next Top Model ', and has her own talk show. Banks was the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
_SAS,PSAS.    	Public service announcement (PSA)
VIOL_,"VIOLA.    	The viola looks like and is played like a violin, but is slightly larger. It is referred to as the middle voice in the violin family, between the violin and the cello."
_ATS,"EATS.    	""Chow"" is an American slang term for food that originated in California in the mid-1800s. ""Chow"" comes from the Chinese pidgin English ""chow-chow"" meaning ""food""."
_YST,"SYST.    	GPS stands for Global Positioning System. The US military have been working on the satellite technology used in GPS since the days of the first Russian satellite in space, Sputnik. The modern GPS system that we use today was built by the military who received the massive funding needed because of fears during the Cold War of the use of Intercontinental Ballistic Missiles. We civilians, all round the world, owe a lot to President Ronald Reagan because he directed the military to make GPS available to the public for the common good. He was moved to do so after the Soviet Union shot down KAL flight 007 carrying 269 people, when it accidentally strayed into Soviet airspace."
ASCI_,"ASCII.    	ASCII (American Standard Code for Information Interchange) lists codes for 32 ""control"" characters, as well as the 95 printable characters (like a, A, b, B, 1, 2, etc). These binary ASCII codes are the way that our computers can understand what we mean when we type say a letter, or a number."
N_P,"NAP.    	We use the word 'siesta' to describe a short nap in the early afternoon, taking the word from the Spanish. In turn, the Spanish word is derived from the Latin 'hora sexta' meaning 'the sixth hour'. The idea is that the nap is taken at 'the sixth hour' after dawn."
T_V,"TOV.    	Mazel tov is the Yiddish term for ""good luck!"". I believe that mazel tov is used in the sense that good fortune has already occurred and is being acknowledged, whereas in English our wish of ""good luck"" is for the future."
DA_E,"DAME.    	The American slang 'broad' is a rather offensive term for 'woman'. It is possible that 'broad' comes from the noun 'abroadwife', once used for a woman, often a slave woman, who was living away from her husband. The term was considered so offensive that the athletic event formerly called the 'broad jump' had its name changed to 'long jump' in 1967."
DR_NO,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
O_SIE,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. In the CBS sitcom ""Evening Shade"", Davis played the narrator."
H_I,"HOI.    	""Hoi polloi"" is a Greek term, literally meaning ""the majority, the many"". In English, ""hoi polloi"" has come to mean ""the masses"" and is often used in a derogatory sense."
OILE_,"OILER.    	The National Hockey League's Edmonton Oilers are so called because they are located in Alberta, Canada ... oil country."
_AK,"OAK.    	The oak depicted on the Connecticut quarter is the Charter Oak. The tree earned its name from the legend that the original Royal Charter for the colony was hidden in a cavity of the tree for a while. The tree no longer exists, as it went down in a storm in the early 1800s."
_APO,"CAPO.    	More properly called a ""caporegime"", a ""capo"" is high-ranking member of the Mafia (Cosa Nostra)."
_ARSI,"TARSI.    	The tarsals (also 'tarsi') are the ankle bones, equivalent to the carpals in the wrist."
AC_A,"ACTA.    	Actum (plural 'acta') is the Latin word for 'deed'. 'Acta' is used in English to describe many official records, including minutes, proceedings etc."
ME_EE,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means ""confused fight""."
D_LY,"DALY.    	Tyne Daly really came into the public eye playing Detective Lacey in ""Cagney and Lacey"". More recently she played the mother of the title character in ""Judging Amy""."
I_EX,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
DO_,"DON.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off"". The opposite of 'doff' is 'don' meaning 'to put on'."
AI_EE,"AIMEE.    	Anouk Aimée is a French film actress. Aimée's most famous film outside of France is probably the internationally successful 1966 French hit ""A Man and a Woman"", in which she played the female lead."
HO_A,"HOYA.    	The athletic teams of Georgetown University are known as the Hoyas. The name is derived from a traditional ""cheer"" yelled out at Georgetown games, as far back as 1893: ""Hoya Saxa"". The term is a mixture of Greek and Latin, with the Greek word ""hoya"" meaning ""such"" or ""what"", and ""saxa"" translating from Latin as ""rocks"" or ""small stones"". The cheer is usually rendered into English as ""what rocks!""."
D_ME,DAME.    	The actress and singer Julie Andrews was made a Dame in 2000 by Queen Elizabeth II. The most famous roles played by Andrews were probably the leads in 'Mary Poppins' (1964) and 'The Sound of Music' (1965). More recently she has had a recurring role in 'The Princess Diaries' (2001) and the film's 2004 sequel.
M_AT,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say. The moat may or may not be filled with water."
_EN,"E'EN.    	John Donne is one of England's most celebrated poets, working at the start of the 17th century. He spent much of his life in poverty and even spent a short time in prison for having married his wife without procuring the appropriate permissions. After his release, his wife bore him 12 children in 16 years, passing away a few days after the twelfth child was born."
ARAPA_O,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
CAN_O,"CANTO.    	A canto is a section of a long poem, and is a term first used by the Italian poet Dante. ""Canto"" is the Italian for ""song""."
CA_OL,"CAROL.    	The word ""carol"" came into English via the Old French word ""carole"", which was a ""dance in a ring"". When ""carol"" made it into English, about 1300 AD, the term was used to describe a dance as well as a joyful song. Around 1500 AD, carols that were sung came to be associated with Christmas."
"I,_INA","I, TINA.    	""I, Tina"" is the 1986 autobiography of Tina Turner. The book was so successful it was adapted into a movie called ""What's Love Got to Do With It?"" The film version was released in 1993 and starring Angela Bassett as Tina Turner."
EVIA_,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As one might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
UH_RA,"UHURA.    	Lt. Nyota Uhura is the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role is significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
_DD,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'. Hall replaced Ed McMahon when Johnny Carson retired from the show.
_ND,UND.    	'Und' is the German for 'and'.
E_AIL,"ETAIL.    	Amazon.com is the largest online retailer in the world. The company was founded in 1994 by Jeff Bezos, in his garage in Bellevue, Washington. I'm a big fan of Amazon's approach to customer service ..."
_POT,"SPOT.    	People at the gym who are doing weight training will often ""spot"" for each other. This means that the person who is spotting assists in the lift, allowing the 'lifter' to work with more weight than usual."
SHEB_,"SHEBA.    	Sheba is referenced in the Bible several times. The ""Queen of Sheba"" is mentioned as someone who traveled to Jerusalem to behold the fame of King Solomon. No one knows for sure where the kingdom of Sheba was located, although there is evidence that it was actually the ancient Semitic civilization of Saba. The Sabeans lived in what today is Yemen, on the Arabian Peninsula."
_SSIE,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. In the CBS sitcom ""Evening Shade"", Davis played the narrator."
_RERE,FRERE.    	In Paris sometimes a business partner is one's brother (frere).
MILN_,"MILNE.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
A_/FM,"AM/FM.    	The radio spectrum is divided into bands based on frequency. ""High band"" is composed of relatively high frequency values, and ""low band"" is composed of frequencies that are relatively low. FM radio falls into the band called Very High Frequency, or VHF. Television signals use frequencies even higher than VHF, frequencies in the Ultra High Frequency band (UHF). AM radio uses lower frequencies that fall into the relatively low bands of Low, Medium and High Frequency (LF, MF, and HF)."
_OT,"TOT.    	Back in 1966, the Carnegie Institute allocated money to study the use of television to help young children prepare for school. The institute gave an $8million grant to set up the Children's Television Workshop with the task of creating an educational TV program for young people. The program began to come together, especially after Jim Henson (of Muppet fame) got involved. The name ""Sesame Street"" was chosen simply because it was the ""least disliked"" of all names proposed just before the program went on the air."
_OT,"ROT.    	It's not really known how the word 'malarkey' came to mean 'lies and exaggeration', although 'Malarkey' is also used as a family name."
MOT_,"MOTH.    	The larvae of several types of moth are noted for eating fabrics made from natural fibers such as wool or cotton. Many people store woolens in cedar chests believing that the scent of the wood prevents a moth infestation. In fact, the only known effective repellent is the naphthalene found in mothballs, which might be a health concern for humans. One way to kill moth larvae in fabric is to freeze the garment for several days at a temperature below 8 degrees centigrade."
RA_MI,"RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others and TV series' such as ""Xena: Warrior Princess""."
_LES,"OLES.    	Flamenco is a style of Spanish music and dance. The origin of the word ""flamenco"" isn't clearly understood, but the explanation that seems most credible to me is that it comes from Flanders in Northern Europe. Given that ""flamenco"" is the Spanish word for ""Flemish"" and Flanders is home to the Flemish people it makes perfect sense, doesn't it?"
AU_O,"AUTO.    	Louis-Joseph Chevrolet was a Swiss race car driver who co-founded the Cevrolet Motor Car Company in 1911. The company logo to this day is a stylized Swiss cross, in honor of Chevrolet's Swiss roots."
OP_ATE,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
_LEUT,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
SER_NA,SERENA.    	Serena Williams is the younger of the two Williams sisters playing professional tennis. Serena has won more prize money in her career than any other female athlete.
WI_,"WIS.    	'That &#8216;70s Show' is a sitcom that originally aired from 1998 to 2006. As the title suggests, it is set in the 1970s and explores the issues of the time. Two actors that made it particularly big from the show are Mila Kunis and Ashton Kutcher. "
_IP,RIP.    	I guess we're talking about a rip in one of those expensive gowns that are display on the red carpet.
LI_N,"LION.    	The Royal Arms of England is the coat of arms that is used as a symbol for the country and for the English monarchy. The design of the coat of arms features three golden lions in a column on a red shield. The first use of the three-lions symbol on a shield goes back to King Richard I, also known as Richard the Lionheart."
M_TH,"MOTH.    	It isn't really understood why moths are attracted to artificial lights. There is one theory that sounds plausible to me though. It is suggested that moths navigate at night by maintaining the moon (the brightest celestial object) at a fixed angle. When a moth finds a brighter light source, like an artificial light, it gets confused."
EAT_,"EATS.    	'Victuals' is a term for food that is fit for consumption. We tend to pronounce 'victuals' as 'vittles', and we use the term 'vittles' and 'victuals' interchangeably."
_ORT,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
ANA_,"ANAS.    	Santa Ana is the county seat of Orange County, California and takes its name from the Santa Ana River that runs through the city. The Santa Ana winds are the very dry air currents that sweep offshore late in the year in Southern California. Because these air currents are so dry, they are noted for their influence over forest fires in the area, especially in the heat of the fall. The winds arise from a buildup of air pressure in the Great Basin that lies between the Rocky Mountains and the Sierra Nevada. Under the right conditions, that air spills over the peaks of the Sierra Nevada and basically ""falls"" down the side of the Sierra range, heading for the ocean. As the air falls it becomes drier and heats up, so that relative humidity can fall to below 10% by the time it hits the coast."
AN_SY,"ANTSY.    	The word ""antsy"" embodies the concept of ""having ants in one's pants"", meaning being nervous and fidgety. However, ""antsy"" has been used in English since the 1830s, whereas ""ants in the pants"" originated a century later."
UN_,UND.    	'Und' is the German word for 'and'.
AR_,"ARM.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
MOT_,"MOTH.    	It isn't really understood why moths are attracted to artificial lights. There is one theory that sounds plausible to me though. It is suggested that moths navigate at night by maintaining the moon (the brightest celestial object) at a fixed angle. When a moth finds a brighter light source, like an artificial light, it gets confused."
_ASS,"TASS.    	TASS is the abbreviation used for the former news agency, the Telegraph Association of the Soviet Union (Telegrafnoye Agentstvo Sovetskovo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed, along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
G_ODE,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
_ALAMI,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
STL_O,ST LEO.    	The first pope named Leo is now known as Pope Saint Leo the Great. Leo I is famous for meeting with the feared Attila the Hun and persuading him to turn back his invading force that was threatening to overrun Western Europe.
EO_,EOE.    	An Equal Opportunity Employer.
TARS_,"TARSI.    	The tarsals (also 'tarsi') are the ankle bones, equivalent to the carpals in the wrist."
SE_,"SER.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of Tijuana's growth took place in the twenties as tourists flocked south of the border during the days of prohibition in the US. One of the many casinos and hotels that flourished at that time was Hotel Caesar's in the Avenida Revolución area. Hotel Caesar's claims to be the birthplace of the now ubiquitous Caesar Salad."
PA_ST,"PABST.    	Pabst Blue Ribbon is the most recognizable brand of beer from the Pabst Brewing Company. There appears to be some dispute over whether or not Pabst beer ever won a ""blue ribbon"" prize, but the company claims that it did so at the World's Columbian Exposition in Chicago in 1893. The beer was originally called Pabst Best Select, and then just Pabst Select. With the renaming to Blue Ribbon, the beer was sold with an actual blue ribbon tied around the neck of the bottle until it was dropped in 1916 and incorporated into the label."
RO_,"ROT.    	""Balderdash"" means 'senseless jumble of words'. The original balderdash (back before the late 1600s) was a jumbled mix of liquids, like maybe beer and wine, or even beer and milk!"
_GUANA,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from a UV lamp to maintain body temperature."
_BAS,"MBAS.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
