Part of P.D.A.: Abbr..   		4 letters,ASST.    	Personal Digital Assistant (PDA)
Weapons stockpile.   		7 letters,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
Online identity.   		6 letters,"AVATAR.    	The Sanskrit word ""avatar"" describes the concept of a deity descending into earthly life and taking on a persona. It's easy to see how in the world of ""online presences"" one might use the word avatar to describe one's online identity."
Savings acct.   		4 letters,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
Boehner's successor as House minority leader.   		6 letters,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
Weekly Comedy Central host.   		4 letters,"TOSH.    	Daniel Tosh is a stand-up comedian and host of 'Tosh.0', a video clip show on Comedy Central."
"Gomer Pyle, e.g.: Abbr..   		3 letters",PFC.    	Private First Class (PFC)
2009 and '13 sci-fi role for Zoë Saldana.   		5 letters,"UHURA.    	American actress Zoe Saldana played the Na'vi princess in 'Avatar', and Uhura in the 2009 movie 'Star Trek'. Saldana seems to pick the right movies, as she is the only actress to have three different films in the top twenty at the box office for three consecutive weeks ('Avatar', 'The Losers' and 'Death at a Funeral')."
Indy 500 entry.   		3 letters,"CAR.    	The first Indy 500 race was held on Memorial Day in 1911. The winner that day was one Ray Harroun. He had seen someone using a rear view mirror on a horse-drawn vehicle, and decided to fit one on his Marmon ""Wasp"" motor car. Supposedly that was the first ever use of a rear view mirror on a motor vehicle."
"Gloaming, to a sonneteer.   		4 letters","E'EN.    	'Gloaming' is an alternative word for twilight or dusk, and is often used poetically. The word is particularly associated with Scottish poetry, and notably the work of Robert Burns."
Messy Halloween missiles.   		4 letters,"EGGS.    	All Saints' Day is November 1st each year. The day before All Saints' Day is All Hallows Eve, better known by the Scottish term ""Halloween""."
City near the only remaining wonder of the ancient world.   		5 letters,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
Banks of daytime TV.   		4 letters,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. She hosts, and indeed created, the hit show 'America's Next Top Model ', and has her own talk show. Banks was the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
Crane construction?.   		7 letters,ORIGAMI.    	Origami is the traditional Japanese art form of paper folding. The best-known example of the craft is the paper crane. The word 'origami' is derived from 'ori' (folding) and 'kami' (paper).
Hebrew school reading.   		5 letters,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
Tolkien creatures.   		4 letters,"ORCS.    	According to the author Tolkien, Orcs are small humanoids that live in his fantasy world of Middle-earth (also called 'Mordor'). They are very ugly and dirty, and are fond of eating human flesh."
Heavy cart.   		4 letters,"DRAY.    	A dray is a side-less, 4-wheeled cart used for hauling goods."
Hold 'em alternative.   		4 letters,"STUD.    	Stud poker is the name given to many variants of the game, all characterized by the dealer giving each player a mix of cards face-down and face-up. The cards facing downwards are called ""hole cards"", cards only visible to the individuals who hold that particular hand. That gives rise to the phrase ""ace in the hole"", a valuable holding that only the player with the ace is aware of."
Capital on the Nile.   		5 letters,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
Omnivorous lizard or its genus.   		6 letters,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from an IR lamp to maintain body temperature."
One of two components of the drug Sinemet.   		6 letters,"L-DOPA.    	L-3,4-DihydrOxyPhenylAlanine, thankfully can be shortened to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
Announcer Hall.   		3 letters,EDD.    	Edd Hall is most famous as a former announcer for Jay Leno on 'The Tonight Show'.
Baked ___.   		4 letters,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. Ziti is a particularly large and long tube, with square-cut ends."
Reform Party founder.   		5 letters,"PEROT.    	Ross Perot graduated from the US Naval Academy in 1953, as president of his class. Perot served his 4-year commitment but then resigned his commission, apparently having become somewhat disillusioned with the navy. He was ranked number 101 on the Forbes 400 List of Richest Americans in 2012, and at that time was worth about $3.5 billion. Back in 1992, Perot ran as an independent candidate for US president. He founded the Reform Party in 1995, and ran as the Reform Party candidate for president in 1996."
"Greek capital, to airlines.   		3 letters","ATH.    	Athens is the capital city of Greece and is one of the world's oldest cities, with a history that goes back around 3,400 years. In its heyday, Classical Athens was a remarkable center for the arts and philosophical debate, and was home to Plato and Aristotle. Athens is often called 'the cradle of Western civilization' and 'the birthplace of democracy'. The city was named for the Greek goddess Athena."
Wyoming people.   		7 letters,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
Parts of an ovo-lacto vegetarian's diet.   		4 letters,"EGGS.    	A lacto-ovo vegetarian is someone who does not consume meat or fish, but does eat eggs (ovo) and dairy (lacto) products."
City on the Nile.   		5 letters,"ASWAN.    	The Egyptian city of Aswan lies in the south of the country, on the River Nile. Aswan is famous for its stone quarries, going back to ancient times. The most celebrated granite rock from the area is called syenite. Stone from Aswan was shipped northwards along the Nile and used in the construction of the pyramids."
Renault model with a mythological name.   		4 letters,"CLIO.    	The Renault Clio is a small car first produced in 1990. It is still being manufactured, now in its third generation. It is hugely successful for Renault, helping to restore its reputation after a difficult time in the 1980s."
Sail the seven ___.   		4 letters,"SEAS.    	The phrase 'the seven seas' has been used for centuries by many different peoples. The actual definition of what constitutes the collection of seven has varied depending on the period and the culture. Nowadays we consider the seven largest bodies of water as the seven seas, namely:"
Part of N.B.   		4 letters,"NOTA.    	'Nota bene' is the Latin for ""note well"""
Purchase of 1867.   		6 letters,"ALASKA.    	Alaska was never a profitable colony for Russia, so the empire was probably glad to receive the $7.2 million forked out by the US in 1867. The US military ran Alaska for a while, until it was made officially into a territory in 1884."
"Athlete's wear, informally.   		3 letters","UNI.    	A unitard is like a leotard, except that it has long legs and sometime long sleeves. It wouldn't be a good look for me ..."
Ankle bones.   		5 letters,"TARSI.    	The tarsals (also 'tarsi') are the ankle bones, equivalent to the carpals in the wrist."
Descendant.   		5 letters,"SCION.    	Scion comes from the old French word ""sion"" or ""cion"", meaning ""a shoot or a twig"". In botanical terms today, a scion is used in grafting two compatible plants together. In grafting, one plant is selected for its root system (the 'rootstock'), and the other plant is selected for its stems, leaves and fruit (the ""scion""). The term scion migrated naturally into the world of family history. A scion is simply a descendant, a son or a daughter and therefore a branching point in the family tree."
Taste.   		5 letters,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
Roush of the Baseball Hall of Fame.   		3 letters,"EDD.    	Edd Roush was a big hitter who played Major League Baseball, starting in 1913 for the Chicago White Sox. He jumped ship to the Federal League in 1914, a league set up to compete with the already well-established National and American Leagues. The upstart league only lasted a couple of seasons. When Edd Roush passed away in 1988 at the age of 94, he was the last surviving player from the short-lived Federal League."
Vittles.   		4 letters,"EATS.    	'Victuals' is a term for food that is fit for consumption. We tend to pronounce 'victuals' as 'vittles', and we use the term 'vittles' and 'victuals' interchangeably."
Turkish moolah.   		5 letters,"LIRAS.    	The currency of Turkey is the Turkish lira, which is divided into 100 kuruş."
Western accessory.   		4 letters,"BOLO.    	I've never worn a bolo tie, and was surprised to discover that it is a relatively recent invention. The first bolo tie was apparently produced in Wickenburg, Arizona in the late 1940s by a silversmith. The bolo takes its name from the boleadora, an Argentine lariat."
House of Commons figs.   		3 letters,MPS.    	Member of Parliament (MP)
"""Tristan ___ Isolde"".   		3 letters","UND.    	""Tristan und Isolde"" is an epic opera by Richard Wagner (Wagner ... not one of my favorites!). Many see it as the first serious move away from the traditional harmony and tonality of the classical and romantic eras."
Text with Numbers.   		5 letters,TORAH.    	The Book of Numbers in the Hebrew and Christian Bibles relates much of the journey of Moses and the Israelites from Egypt to the promised land. The title comes from the numbering of the people that is described in the beginning of the book.
Big name in speakers.   		4 letters,"BOSE.    	Bose Corporation was founded in 1964 by Amar G. Bose, and is a company that specializes in manufacture of audio equipment."
"With 24-Across, item of western haberdashery.   		4 letters",BOLO.    	(24A. See 17-Down : TIE)
D-Day locale.   		4 letters,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
Life of Riley.   		4 letters,"EASE.    	The phrase ""life of Reilly"" dates back to at least 1919. It may have originated in a song from the 1880s about a man called O'Reilly and how he became rich and lived an easy life."
Dam on the Nile.   		5 letters,"ASWAN.    	From ancient times right up to 1970 the annual flooding of the Nile was a significant event in Egypt. The flooding allowed the deposition of fertile silt far beyond the banks of the river, helping the region's agriculture. However, the flooding was unpredictable. So the Aswan Dam was built in the sixties and from 1970 the flooding was brought under control."
___ Juan (ladies' man).   		3 letters,"DON.    	Don Juan is a flighty character who has been featured by a number of authors, poets and composers, including Moliere, Byron, and Mozart. In the underlying legend, Don Juan ends up talking to the statue of the dead father of one of his conquests. Don Juan dines with the ghost of the dead man and when shaking the hand of the ghost he is dragged away to hell."
Tin or titanium.   		5 letters,"METAL.    	The Latin word for tin is 'stannum', and so tin's atomic symbol is 'Sn'. One of the ores used as a source of tin is 'stannite'."
Foozle.   		3 letters,"ERR.    	Foozle, such a lovely word. It means to manage something poorly, or to bungle. In golf a poor stroke might be called a foozle."
What a needle may indicate: Abbr..   		3 letters,MPH.    	Miles per hour (mph)
Site of Tiberius' Villa Jovis.   		5 letters,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave."
Life of Riley.   		4 letters,"EASE.    	The phrase ""life of Reilly"" dates back to at least 1919. It may have originates in a song from the 1880s about a man called O'Reilly and how he became rich and lived an easy life."
Actor Lugosi.   		4 letters,"BELA.    	Bela Lugosi was a Hungarian stage and screen actor, best known for playing the title role in the 1931 film 'Dracula' and for playing the same role on Broadway. Lugosi found himself typecast for the rest of his career and almost always played the role of the villain, often in horror movies. When he passed away in 1956, his wife had him buried in the costume he wore playing Count Dracula on Broadway."
Part of a baby's daily schedule.   		3 letters,NAP.    	And mine ...
Danger on der Autobahn.   		3 letters,EIS.    	'Eis' is the German word for 'ice'.
Kind of tie.   		4 letters,"BOLO.    	I've never worn a bolo tie, and was surprised to discover that it is a relatively recent invention. The first bolo tie was apparently produced in Wickenburg, Arizona in the late 1940s by a silversmith. The bolo takes its name from the boleadora, an Argentine lariat."
"Comedy Central's ""___.0"".   		4 letters","TOSH.    	Daniel Tosh is a stand-up comedian and host of 'Tosh.0', a video clip show on Comedy Central."
Tree used in bow-making.   		3 letters,"YEW.    	Yew is the wood of choice for the longbow, a valued weapon in the history of England. The longbow is constructed with a core of yew heartwood (as the heartwood resists compression) that has a sheath of yew sapwood (as the sapwood resists stretching). The yew was in such demand for longbows that for centuries yew trees were in short supply in Britain and the wood had to be imported from all over Europe."
Gen.   		5 letters,"E LEE.    	Robert E. Lee is of course renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state."
It's widely hailed as a convenient way to get around.   		3 letters,"CAB.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The ""cab"" in the name is short for ""cabriolet"", a prior design of carriage on which the hansom was based. It's from ""hansom cab"" that we get our modern term ""cab""."
Blue wear.   		5 letters,"DENIM.    	Denim fabric originated in Nimes in France. The French phrase ""de Nimes"" (from Nimes) gives us the word ""denim"". Also, the French phrase ""bleu de Genes"" (blue of Genoa) gives us our word ""jeans""."
Body part detecting odeurs.   		3 letters,"NEZ.    	In French, a nose (nez) can detect odors (odeurs)."
Rapscallion.   		3 letters,"IMP.    	We might call a little imp a rapscallion, an evolution from 'rascallion', which in turn comes from 'rascal'."
"Giants of the sky, in myth.   		4 letters","ROCS.    	The mythical roc is a huge bird of prey, reputedly able to carry off and eat elephants."
Mafia big.   		3 letters,DON.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. The Italian authorities established that 'Cosa Nostra' was also used in Sicily when they penetrated the Sicilian Mafia in the 1980s. The term 'mafia' seems to be just a literary invention that has become popular with the public.
Part of M.F.A.   		4 letters,ARTS.    	Master of Fine Arts (MFA)
Fake.   		6 letters,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
Part of CBS: Abbr..   		4 letters,"SYST.    	CBS used to be called the Columbia Broadcasting System. CBS is the second-largest broadcaster in the world, second only to the BBC in the UK. CBS introduced its 'eye' logo in 1951."
Teriyaki go-with.   		4 letters,"SAKE.    	We refer to the Japanese alcoholic beverage made from rice as ""sake"". We've gotten things a bit mixed up in the West. ""Sake"" is actually the word that the Japanese use for all alcoholic drinks. What we know as sake, we sometimes refer to as 'rice wine'. It is indeed made from rice, but it is a brewed rather than fermented and so is more like a beer than a wine."
"Sealer, maybe.   		5 letters","ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
Boulder-to-Little Rock dir.   		3 letters,"ESE.    	The Colorado city of Boulder is located in the foothills of the Rocky Mountains about 25 miles northwest of Denver. Boulder is a college town, and is home to the main campus of the University of Colorado."
Gilbert Grape portrayer.   		4 letters,"DEPP.    	What's Eating Gilbert Grape' is a 1993 film adapted from a 1991 novel of the same name by Peter Hedges. The film stars Johnny Depp in the title role, and Leonardo DiCaprio as Gilbert's mentally disabled brother."
Part of GPS: Abbr..   		4 letters,"SYST.    	GPS stands for Global Positioning System. The modern GPS system that we use today was built by the military who received the massive funding needed because of fears during the Cold War of the use of Intercontinental Ballistic Missiles. We civilians, all round the world, owe a lot to President Ronald Reagan because he directed the military to make GPS technology available to the public for the common good. He was moved to do so after the Soviet Union shot down KAL flight 007 carrying 269 people, just because it accidentally strayed into Soviet airspace."
"Subject of the 2008 biography ""Woman of the House"".   		6 letters","PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
Teen's facial blemish.   		3 letters,"ZIT.    	The slang term 'zit', meaning ""a pimple"", came into the language in 1966, but no one seems to know its exact derivation."
Rock with a glittery inside.   		5 letters,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
Former House leader Nancy.   		6 letters,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
"This, in Taxco.   		4 letters","ESTO.    	Taxco de Alarcón is a small city in southern Mexico. Taxco is a center for silver mining, and is also well known for the production of silverware and fine items made using silver."
Artist's stand.   		5 letters,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would carry its load."
"""Star Trek"" crew member.   		5 letters","UHURA.    	Lt. Nyota Uhura is the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role was significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
Carne ___ (burrito filling).   		5 letters,"ASADA.    	Carne Asada translates from Spanish as ""roasted meat"", and is a roast beef dish."
Et ___.   		4 letters,"ALII.    	Et alii (et al.) is the equivalent of et cetera (etc.), with et cetera being used in place of a list of objects, and et alii used for a list of names. In fact ""et al."" can stand for et alii (for a group of males, or males and females), aliae (for a group of women) and et alia (for a group of neuter nouns, or for a group of people where the intent is to retain gender-neutrality)."
Paganini's birthplace.   		5 letters,"GENOA.    	Niccolò Paganini was a famed Italian violinist and composer. Paganini was perhaps the most celebrated violinist of the 19th century. His most famous composition has to be his Caprice No. 24 in A minor, Op. 1. This work is the basis for many derivative masterpieces by other composers, including the wonderful 'Rhapsody on a Theme of Paganini' by Rachmaninoff."
"Military order, after ""at"".   		4 letters",EASE.    	The military parade command 'Parade Rest!' is similar to the command 'Stand at Ease!' The only difference is that when given the 'Stand at Ease!' command a soldier must turn the head to look at whoever is addressing him or her.
Material for Voldemort's wand.   		3 letters,"YEW.    	Voldemort is the main 'bad guy' in the 'Harry Potter' series of books. I heard J. K. Rowling, the author of the books, on the radio the other day and she tells us that 'Voldemort' is supposed to be pronounced with a silent 't' on the end, so it sounds kind of French. But when the movies came out the actors went with the hard 't', and that's the pronunciation that seems to prevail now."
Nixon pal Rebozo.   		4 letters,"BEBE.    	Charles ""Bebe"" Rebozo was a banker, and a longtime friend of President Richard Nixon. The two met when US Representative Nixon was vacationing in Key Biscayne in 1950, as Rebozo was asked to take Nixon deep sea fishing. A friendship developed that lasted the whole of Nixon's lifetime. Rebozo was a banker living in Florida, and so the two friends often saw each at the President's Key Biscayne compound."
King of verse.   		4 letters,COLE.    	
Spanish skating figure.   		4 letters,OCHO.    	A figure skater might carve out a figure eight ('ocho' in Spanish) in the ice.
"World capital whose name means ""victorious"".   		5 letters","CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
Banks on a runway.   		4 letters,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. She hosts, and indeed created, the hit show 'America's Next Top Model ', and has her own talk show. Banks was the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
Guarantor of financial accts.   		4 letters,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
"Aron's girlfriend in ""East of Eden"".   		4 letters","ABRA.    	Abra Bacon is a character in John Steinbeck's novel, 'East of Eden'."
Shipmate of Spock.   		5 letters,"UHURA.    	Lt. Nyota Uhura is the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role is significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
Court records.   		4 letters,"ACTA.    	Actum (plural acta) is the Latin word for ""deed"". It is used in English to describe many official records, including minutes, proceedings etc."
Fake.   		6 letters,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
Drink served in a masu.   		4 letters,"SAKE.    	We refer to the Japanese alcoholic beverage made from rice as ""sake"". We've gotten things a bit mixed up in the West. ""Sake"" is actually the word that the Japanese use for all alcoholic drinks. What we know as sake, we sometimes refer to as 'rice wine'. It is indeed made from rice, but it is a brewed rather than fermented and so is more like a beer than a wine."
Typical prerequisite to geom.   		3 letters,"ALG.    	Algebra is a branch of mathematics that is similar to arithmetic, but using symbols in place of numbers. 'Algebra' is a Medieval Latin term that comes from the Arabic 'al jebr' meaning 'reunion of broken parts'."
English pop singer Goulding.   		5 letters,ELLIE.    	Ellie Goulding is a singer-songwriter from England. One of Goulding's claims to fame is that she sang at the wedding reception of Prince William and Kate Middleton at Buckingham Palace in 2011.
"Banjo's place in ""Oh! Susanna"".   		4 letters","KNEE.    	""Oh! Susanna"" is a song that was published in 1848, written by Stephen Foster. The song is often called ""Banjo on My Knee"", an understandable slip given the words of the chorus. 'Oh! Susanna' came to be associated with the Forty-Niners, the miners who travelled to California in the 1849 Gold Rush. The lyrics were changed to suit the Gold rush theme with 'Alabama' being replaced by 'California', and 'banjo' being replaced by 'washpan'."
Headbanging music.   		5 letters,"METAL.    	Headbanging is a practice engaged in by many players and followers of hard rock and heavy metal music. It involves shaking and nodding of the head energetically in time to the music. It's a dangerous practice. Terry Balsamo is a guitarist with the band Evanescence, and in 2005 he suffered a stroke, apparently from a blood clot that formed in his neck due due headbanging during performances."
Bear of children's lit.   		4 letters,"POOH.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
Tiny storage unit.   		4 letters,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. It has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text. The prefix mega- stands for 10 to the power of 6, so a megabyte (meg) is 1,000,000 bytes. And the prefix giga- means 10 to the power of 9, so a gigabyte (gig) is 1,000,000,000 bytes. Well, those are the SI definitions of megabyte and kilobyte. The purists still use 2 to the power of 20 for a megabyte (i.e. 1,048,576), and 2 to the power of 30 for a gigabyte."
Hrs.   		3 letters,"AST.    	Atlantic Standard Time is four hours behind Greenwich Mean Time, and one hour ahead of Eastern Standard Time. Puerto Rico is the Spanish for ""rich port"". The locals often call the island Puerto Rico Borinquen, the Spanish form of the original name used by the natives, Boriken."
Free-for-all.   		5 letters,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means a ""confused fight""."
Longtime Tanglewood figure.   		5 letters,"OZAWA.    	Seiji Ozawa is most famous for his work as music director of the Boston Symphony Orchestra, although he is also the principal conductor of the Vienna State Opera. Ozawa is renowned for wearing a white turtleneck under his dress suit when he conducts, rather than the traditional starched shirt and white tie."
Alpine goat.   		4 letters,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
Number two: Abbr..   		4 letters,ASST.    	Assistant (asst.)
Blue material.   		5 letters,"DENIM.    	Denim fabric originated in Nimes in France. The French phrase ""de Nimes"" (from Nimes) gives us the word ""denim"". Also, the French phrase ""bleu de Genes"" (blue of Genoa) gives us our word ""jeans""."
Heckelphone cousins.   		5 letters,"OBOES.    	A heckelphone is a musical instrument like an oboe, but pitched an octave lower. The heckelphone was invented in 1904 by a manufacturer of woodwind instruments in Germany called Wilhelm Heckel."
Med.   		3 letters,"EKG.    	An EKG measures electrical activity in the heart. Back in my homeland of Ireland, an EKG is known as an ECG (for electrocardiogram). We use the German name in the US, Elektrokardiogramm, giving us EKG. Apparently the abbreviation EKG is preferred as ECG might be confused (if poorly handwritten, I guess) with EEG, the abbreviation for an electroencephalogram."
Class with many unknowns: Abbr..   		3 letters,ALG.    	Algebra (alg.)
"Subject of the documentary ""An Unreasonable Man"".   		5 letters","NADER.    	Ralph Nader has run as a third-party candidate for the office of President of the United States four times now, in every election from 1996 to 2008. Nader's name was first first linked with the presidential race in 1971, when the famous Dr. Benjamin Spock offered to stand aside as candidate in the 1972 race if Nader would agree to run, but he declined."
James ___ Garfield.   		5 letters,"ABRAM.    	James Abram Garfield, the 20th President, was of course assassinated in office. He was shot twice, and one bullet could not be found (it was lodged in his spine). The inventor Alexander Graham Bell developed a metal detector in an attempt to locate the bullet, but apparently he was unsuccessful because of interference from the metal bed frame on which the president lay. Garfield died two months after being shot."
Patriot Day's mo.   		3 letters,"SEP.    	Patriot Day has been held on September 11th annually since 2002, after President George W. Bush declared Friday September 14, 2001 a National Day of Prayer and Remembrance for the Victims of the Terrorist Attacks on September 11, 2001."
Group surrounding a star.   		5 letters,POSSE.    	A rap star's entourage is usually called his or her 'posse'.
Shakespeare character with a magic aphrodisiac.   		6 letters,"OBERON.    	Oberon and Titania are the King and Queen of the fairies in Shakespeare's ""A Midsummer Night's Dream""."
Mysterious sightings that hover.   		4 letters,"UFOS.    	In 1952, the USAF revived its studies of reports of UFO sightings in a program called Project Blue Book. There were two prior USAF studies of the UFO phenomenon, namely Project Sign and Project Grudge. Project Blue Book ran from 1952 until it was shut down in 1969 with the conclusion that there was no threat to national security, and that there were no sightings that could not be explained within the bounds of modern scientific knowledge."
What may give an artistic bias?.   		5 letters,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would be made to carry a load."
"Banks of ""America's Next Top Model"".   		4 letters","TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. Banks created and hosts the hit show 'America's Next Top Model ', and also has her own talk show. She was also the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
Many a French business partner.   		5 letters,FRERE.    	In Paris sometimes a business partner is one's brother (frère).
Lustful Le Pew.   		4 letters,"PEPE.    	Pepé Le Pew is a very likeable cartoon character from the Looney Tunes and Merrie Melodies series. Pepé is a French skunk, first introduced way back in 1945. He is always thinking of ""l'amour"" and chases the lady skunks, or a black cat with a white stripe painted down her back accidently."
Marie et Thérèse: Abbr..   		4 letters,"STES.    	In French, Mary and Teresa (Marie et Thérèse) are saints (saintes, the feminine form)."
Crude conveyance.   		5 letters,OILER.    	An 'oiler' is an oil tanker.
Laughable.   		5 letters,"INANE.    	Our word 'inane', meaning silly or lacking substance, comes from the Latin 'inanitis' meaning 'empty space'."
___ incognita.   		5 letters,"TERRA.    	'Terra incognita' is a Latin term meaning 'unknown land', a term one might see on an old map. One might also see 'mare ingognitum', meaning 'unknown sea'."
"Future counselor's challenges, for short.   		5 letters",LSATS.    	The Law School Admission Test (LSAT) has been around since 1948.
