Reggae/dancehall artist ___ Paul.   		4 letters,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
Crime novelist McDermid.   		3 letters,"VAL.    	Val McDermid is a crime writer from Scotland. Her most famous protagonist is Dr. Tony Hill. Her books have are noted for graphic descriptions of violence and torture, so probably aren't my cup of tea ..."
Pontiac model discontinued in '74.   		3 letters,GTO.    	GTO stands for Gran Turismo Omologato.
Mateus ___.   		4 letters,"ROSE.    	Mateus is a sparkling rosé wine from Portugal. It was very popular in North America and northern Europe from after WWII, when it was introduced, right up to the eighties. At one point Mateus alone accounted for more than 40% of the wine exported from Portugal."
Rapper Combs a k a Diddy.   		4 letters,"SEAN.    	When Sean John Combs started his rapping career, he used the stage name Puff Daddy. Then he went with P. Diddy, and is now recording simply as Diddy. Having said that, he has to stick with P. Diddy in some countries as he lost a legal battle over use of the simpler ""Diddy"" name as there is another artist called Richard ""Diddy"" Dearlove. There's now talk of Mr. Combs going with the name ""Ciroc Obama""."
DKNY competitor.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. A remarkable story ..."
"Loop setting, briefly.   		3 letters","CHI.    	The Loop is the name given to the historic downtown area of Chicago. More correctly it is defined as the area inside a specific loop of public transit lines, but the name tends to be used for the whole of the city's central business district."
Monk's title.   		3 letters,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
Salinger heroine.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Pennsylvania Dutch speakers.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
Figure in Tom Thumb tales.   		4 letters,"OGRE.    	""Tom Thumb"" was originally published in 1621, making it the first fairy tale ever printed in English."
English derby site.   		5 letters,"EPSOM.    	The Surrey town of Epsom in England is most famous for its racecourse, at which is run the Epsom Derby every year, one of the three races that make up the English Triple Crown. You might also have heard of Epsom salt. Epsom salt is magnesium sulfate, originally prepared by boiling down mineral waters (Epsom was indeed a spa town at one time)."
Marshal played in film by Kurt Russell and Kevin Costner.   		4 letters,"EARP.    	The legendary Western gunfighter and lawman Wyatt Earp has been portrayed on the big and small screen many, many times. Kevin Costner played the title role in 1994's 'Wyatt Earp', and Val Kilmer played Earp in 2012's 'The First Ride of Wyatt Earp'. Joel McCrea had the part in 1955's 'Wichita', and Kurt Russell was Earp in 1993's 'Tombstone'."
Part of the American Greetings logo.   		4 letters,"ROSE.    	American Greetings is the world's largest (publicly traded) greeting card company. The company was founded in 1906 by a Polish immigrant Jacob Sapirstein, who started out selling cards from a horse-drawn cart."
Prey for a cheetah.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
"Bert of ""The Wizard of Oz"".   		4 letters","LAHR.    	Bert Lahr's most famous role was that of the cowardly lion in ""The Wizard of Oz"". Lahr had a long career in burlesque, vaudeville and on Broadway. Remember the catchphrase made famous by the cartoon character Snagglepuss, ""Heavens to Murgatroyd!"". Snagglepuss stole that from a 1944 movie called, ""Meet the People"" where it was first uttered by Bert Lahr."
1994 Jodie Foster title role.   		4 letters,"NELL.    	""Nell"" is a thoughtful drama film from 1994 starring Jodie Foster in the title role, playing a young woman who had been raised by her mother in isolation, away from all human contact. She is discovered as an untamed child and gradually introduced into society. The movie is a screen adaptation of a play by Mark Handley called ""Idioglossia""."
Blue ball.   		3 letters,"TWO.    	In pocket billiards, the 2-ball is colored blue."
"It's ""really lookin' fine"" in a 1964 hit.   		3 letters","GTO.    	Little GTO, you're really lookin' fine' is the first line of the hit 'GTO' recorded by Ronny & the Daytonas."
Blood-typing system.   		3 letters,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which a different set of antigens is labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-Neg can be accepted by recipients with all blood types, A, B, AB or O, and positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
Old Olds.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
Sauce brand.   		4 letters,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
Actor Bert.   		4 letters,"LAHR.    	Bert Lahr's most famous role was that of the cowardly lion in ""The Wizard of Oz"". Lahr had a long career in burlesque, vaudeville and on Broadway. Remember the catchphrase made famous by the cartoon character Snagglepuss, ""Heavens to Murgatroyd!""? Snagglepuss stole that line from a 1944 movie called, ""Meet the People"" where it was first uttered by Bert Lahr."
Rhine tributary.   		4 letters,"AARE.    	The Aar (also called the ""Aare"" in German) is the longest river entirely in Switzerland. A famous spot along the Aar is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are renowned in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
Part of a buzzing swarm.   		4 letters,"GNAT.    	Gnats are attracted to the smell of rotting food, and to vinegar. Simple homemade traps that use vinegar are often constructed to attract and kill gnats."
"Wheel of Fortune, e.g.   		5 letters","TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future. The list of tarot cards includes the Wheel of Fortune, the Hanged Man and the Lovers."
Indigo dye.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
English racing town.   		5 letters,"EPSOM.    	Epsom is most famous for its racecourse, at which is run the Epsom Derby every year, one of the three races that comprise the English Triple Crown. You might also have heard of Epsom salts. Epsom salts are magnesium sulfate, originally prepared by boiling down mineral waters (Epsom was indeed a spa town at one time)."
"The Cardinals, on scoreboards.   		3 letters","STL.    	The St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. The new name obviously didn't go down well with the locals, as the owners changed it one year later to the Cardinals."
Org.   		3 letters,FDA.    	The Food and Drug Administration (FDA) was in effect created by the Food and Drug Act signed into law by President Theodore Roosevelt in 1906.
"Bosnian, e.g.   		4 letters",SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
W.W.   		3 letters,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there since."
1958-61 political alliance: Abbr..   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
"Junior's challenge, for short.   		4 letters",PSAT.    	Preliminary Scholastic Aptitude Test (PSAT)
Ute relative.   		3 letters,ATV.    	All-terrain vehicle (ATV)
"""Delta of Venus"" author.   		3 letters","NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica, and cited D. H. Lawrence as someone from whom she drew inspiration."
TV warrior for good.   		4 letters,"XENA.    	Lucy Lawless is a New Zealand actress (and singer), famous for playing the title role in TV's ""Xena: Warrior Princess"". Lawless first played the Xena character in a made-for-TV movie called ""Hercules and the Amazon Women"", and later reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the role."
"""Home Invasion"" rapper.   		5 letters","ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow. Then again, maybe not ..."
Source of indigo.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue. The main coloring agent in indigo dye is a crystalline powder called indigotin."
Noted second-place finisher.   		4 letters,"HARE.    	""The Tortoise and the Hare"" is perhaps the most famous fable attributed to Aesop. The cocky hare takes a nap during a race against the tortoise, and the tortoise sneaks past the finish line for the win while his speedier friend is sleeping."
"Anka's ""___ Beso"".   		3 letters","ESO.    	Canadian-born Paul Anka's big hit was in 1957, ""Diana"". He was the subject of a much-lauded documentary film in 1962, called ""Lonely Boy""."
Prey for a lion.   		3 letters,"GNU.    	The gnu is also known as the wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
SoHo loft output.   		3 letters,"ART.    	The Manhattan neighborhood known today as SoHo was very fashionable in the early 1900s, but as the well-heeled started to move uptown the area became very run down and poorly maintained. Noted for the number of fires that erupted in derelict buildings, it earned the nickname ""Hell's Hundred Acres"". The area was zoned for manufacturing and became home to many sweatshops. In the mid-1900s artists started to move into open loft spaces and renovating old buildings as the lofts were ideal locations in which an artist could both live and work. In 1968, artists and others organized themselves so that they could legalize their residential use of an area zoned for manufacturing. The group they formed took its name from the name given to the area by the city's Planning Commission i.e ""South of Houston"". This was shortened from So-uth of Ho-uston to SoHo, as in the SoHo Artists Association, and the name stuck."
Grp.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
Writer Jong.   		5 letters,"ERICA.    	The author Erica Jong's most famous work is her first, 'Fear of Flying', a novel published in 1973. Over twenty years later she wrote 'Fear of Fifty: a midlife memoir', published in 1994."
Lines on some maps: Abbr..   		3 letters,RRS.    	Railroad (RR)
Contents of el océano.   		4 letters,"AGUA.    	In Spanish, the ocean (El océano) contains lots of water (agua)."
Rarity in un desierto.   		4 letters,"AGUA.    	In Spanish, a desert (un desierto) lacks water (agua)."
Bailiwick.   		4 letters,"AREA.    	Bailiwick is a word dating back to the mid-1600s, and originally meant the ""district of a bailiff""."
Government auction action.   		4 letters,REPO.    	Repossession (repo)
Title biblical character played by Russell Crowe.   		4 letters,"NOAH.    	The 2014 epic film 'Noah' stars Russell Crowe in the title role, and is based on the biblical story of 'Noah's Ark'. The film was largely shot in Southern Iceland. Scenes that included the ark itself were shot in Upper Brookville, New York at the Planting Fields Arboretum."
Inits.   		3 letters,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut). MTA might also refer to the Los Angeles County Metropolitan Transportation Authority, which is known as the Metro and sometimes the MTA."
M.D.   		3 letters,HMO.    	Health Maintenance Organization (HMO)
Dickens heroine ___ Trent.   		4 letters,"NELL.    	""The Old Curiosity Shop"" by Charles Dickens tells the story of little 14-year-old Nell Trent and her grandfather, who live in the Old Curiosity Shop in London. The novel was first released in serial form, in 1840-1841, and then as a complete book. If you visit London, there actually is an ""Old Curiosity Shop"", in Westminster. It is a shop selling odds and ends, old curiosities, and is believed to have been the inspiration for the shop in the Dickens story. The building has been around since the 1500s, but the name ""The Old Curiosity Shop"" was added after the book was published."
Probably not Mr.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". Cad was first used for a servant, and then students at British universities used ""cad"" as a name for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Suffix with ethyl.   		4 letters,"-ENE.    	An alkene is an organic compound made up of carbon and hydrogen atoms. It differs from an alkane in that it has at least one C=C double bond. The simplest alkene is the gas ethylene, a major raw material used in the manufacture of plastics (like polyethylene)."
Overseer of N.Y.C.   		3 letters,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut). MTA might also refer to the Los Angeles County Metropolitan Transportation Authority, which is known as the Metro and sometimes the MTA."
What makes blue jeans blue.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
Locale of the Île de la Cité.   		5 letters,"SEINE.    	There are two famous islands (îles, in French) in the middle of la Seine (the River Seine) in Paris, one being the Île de la Cité, and the other Île Saint-Louis. Île de la Cité is the most famous of the two, as it is home to the cathedral of Notre Dame."
Wee bit.   		3 letters,"TAD.    	Back in the 1800s ""tad"" was used to describe a young child, and this morphed into our current usage meaning a small amount in the early 1900s. The original use of ""tad"" for a child is very likely a shortened version of ""tadpole""."
Suffocating blanket.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
What a line drive lacks.   		3 letters,"ARC.    	In baseball, a line drive is a ball that is hit low, hard and straight."
Kindergarden song beginning.   		3 letters,"ABC.    	'The Alphabet Song' was copyrighted in 1835 in the US. The tune that goes with the words is the French folk song 'Ah! vous dirai-je, Maman', used by Mozart for a set of piano variations. The same tune is used for the nursery rhyme 'Twinkle Twinkle Little Star'."
Suffix with ethyl.   		4 letters,"-ENE.    	Ethylene (also called ethene) has a gazillion uses, including as an anesthetic and an aid to hastening the ripening of fruit. It's most common use though is as a major raw material in the manufacture of plastics (like polyethylene)."
Valentine's Day flower.   		4 letters,"ROSE.    	Saint Valentine's Day was chosen by Pope Gelasius I in 496 AD to honor various martyrs with the name Valentine. However, the saints' day was dropped by the Catholic church in 1969, by Pope Paul VI. Try telling that to Hallmark though ..."
Game with Ping-Pong-like balls.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
"""The Daily Show"" host Trevor.   		4 letters","NOAH.    	'The Daily Show"" is a satirical news program on the Comedy Central that first aired in 1996. The show was presented by Craig Kilborn from 1996 until 1998, and then very successfully by Jon Stewart from 1999 until 2015. Trevor Noah has been hosting the show since Jon Stewart left."
Muscat native.   		5 letters,"OMANI.    	Oman lies on the southeast coast of the Arabian Peninsula and is neighbored by the OAE, Saudi Arabia and Yemen. The capital city of Muscat has a strategic location on the Gulf of Oman and has a history of invasion and unrest. Centuries of occupation by the Persians ended in 1507 when the Portuguese took the city in a bloody attack. The Portuguese held Muscat for much of the next one hundred years until finally being ousted by local Omani forces in 1648. A Yemeni tribe invaded the area in 1741 and set up a monarchy that has been in place in Oman ever since."
___ diavolo.   		3 letters,"FRA.    	Fra diavolo is a spicy sauce used for pasta and seafood, usually made with chili peppers in a tomato base. The name 'Fra diavolo' translates to 'Brother devil'. The sauce may be named for the Italian revolutionary Michele Pezza who was also known as Fra Diavolo."
White House girl.   		5 letters,"SASHA.    	Sasha is the younger of the two Obama children, born in 2001. She is the youngest child to reside in the White House since John F. Kennedy, Jr. moved in with his parents as a small infant. Sasha's Secret Service code name is ""Rosebud"", and her older sister, Malia, has the code name ""Radiance""."
"""Spartacus"" attire.   		4 letters","TOGA.    	""Spartacus"" is a famous 1960 historical dram directed by Stanley Kubrick. It is based on the true story of Spartacus, and his role in the Third Servile War, the last of the unsuccessful slave rebellions of Ancient Rome. In the movie of course, Spartacus was played by Kirk Douglas. Douglas was very much the driving force behind making the movie. He had failed to win the title role in ""Ben-Hur"", losing out to Charlton Heston. He decided to make a competing film, with a similar theme and setting. You judge which is best ..."
Italian soup pasta.   		4 letters,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
QB Tebow.   		3 letters,TIM.    	Tim Tebow is a quarterback playing for the Denver Broncos. Tebow was the first college sophomore to win the Heisman Trophy.
Business end?: Abbr..   		3 letters,"LTD.    	In Britain and Ireland the most common type of business (my perception anyway) is one that has private shareholders whose liability is limited to the value of their investment. Such a company is known as a private limited company, and has the letters ""Ltd"" after the name. If the shares are publicly traded, then the company is a public limited company, and has the letters ""plc"" after the name."
Old English spa town.   		5 letters,"EPSOM.    	The Surrey town of Epsom in England is most famous for its racecourse, at which is run the Epsom Derby every year, one of the three races that make up the English Triple Crown. You might also have heard of Epsom salt. Epsom salt is magnesium sulfate, originally prepared by boiling down mineral waters. Epsom was indeed a spa town at one time."
Laguna composition.   		4 letters,"AGUA.    	Laguna is the Spanish (and Italian) word for lagoon, and a lagoon is filled with agua (water)."
Article in Arles.   		3 letters,"UNE.    	A few years ago I had the privilege of living just a short car-ride from the beautiful city of Arles in the South of France. Although Arles has a long and colorful history, the Romans had a prevailing influence over the city's design. Arles has a spectacular Roman amphitheater, arch, circus as well as old walls that surround the center of the city. In more modern times, it was a place Vincent van Gogh often visited, and where he painted his famous ""Cafe Terrace at Night"", as well as ""Bedroom in Arles""."
Hydrocarbon suffix.   		4 letters,"-ENE.    	An alkene is an organic compound made up of carbon and hydrogen atoms. It differs from an alkane in that it has at least one C=C double bond. The simplest alkene is the gas ethylene, a major raw material used in the manufacture of plastics (like polyethylene)."
Pesticide banned in 1972.   		3 letters,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
Actor Penn with two 23-Across.   		4 letters,"SEAN.    	Actor Sean Penn is a two-time Oscar winner, for his roles in ""Mystic River"" released in 2003 and ""Milk"" released in 2008. His celebrity on screen is only matched with his fame off the screen. Apart from his ""big name"" marriages to singer Madonna and actress Robin Wright, Penn is also well known for political and social activism. He perhaps inherited some of his political views from his father, actor and director Leo Penn. As an actor, Leo refused to ""name names"" in front of the House Un-American Activities Committee and so was black-listed in Hollywood, and had to move into directing to put bread on the table. In later years as a director he gave his son Sean his first acting role, in a 1974 episode of ""Little House on the Prairie""."
Director Guillermo ___ Toro.   		3 letters,DEL.    	Guillermo del Toro is film director from Guadalajara in Mexico who has had a of success directing and producing American films. His best-known works are probably action movies like 'Blade II' (2002) and 'Hellboy' (2004).
Predatory seabird.   		4 letters,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
"Maureen of ""Miracle on 34th Street"".   		6 letters","O'HARA.    	The beautiful and talented Maureen O'Hara is an Irish actress, famous for her films made with fellow actor John Wayne and the director John Ford. O'Hara was born in a suburb of Dublin called Ranelagh (where many of my own ancestors were born)."
Bert's sister in children's literature.   		3 letters,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979. The title characters were two sets of fraternal twins, one called Bert and Nan (who were 12) and the other called Flossie and Freddie (who were 6)."
A corrosive.   		3 letters,"LYE.    	Historically, lye was hydrated potash (potassium hydroxide). Nowadays when we purchase lye it caustic soda (sodium hydroxide)."
Salinger girl.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Legendary siege site.   		4 letters,"TROY.    	The ancient city of Troy was located on the west coast of modern-day Turkey. The Trojan War of Greek mythology was precipitated by the elopement of Helen, the wife of the king of Sparta, with Paris of Troy. The war itself largely consisted of a nine-year siege of Troy by the Greeks. We know most about the final year of that siege, as it is described extensively in Homer's 'Iliad'. The city eventually fell when the Greeks hid soldiers inside the Trojan Horse, which the Trojans brought inside the city's walls. Beware of Greeks bearing gifts ..."
"Drink that may feature ""foam art"".   		5 letters","LATTE.    	The term 'latte' is an abbreviation of the Italian ""caffelatte"" meaning ""coffee (and) milk"". Note that in the correct spelling of ""latte"", the Italian word for milk, there is no accent over the ""e"". An accent is often added by mistake when we use the word in English, perhaps meaning to suggest that the word is French."
Mideast grp.   		3 letters,"PLO.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO's early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO is recognized as the sole legitimate representative of the Palestinian people by over one hundred countries, and was granted observer status (i.e. no voting rights) at the United Nations in 1974."
N.Y.C.   		3 letters,"IRT.    	The Interborough Rapid Transit Company was the original, private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the original lines operated by the IRT are still known by the IRT moniker."
Modern yogurt flavor.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years and its juice is a very fashionable addition to juice mixes and smoothies.
Campaign pro.   		3 letters,POL.    	Politician (pol.)
Actress Ward.   		4 letters,"SELA.    	Sela Ward turns up in crosswords a lot. She played Teddy Reed in the TV show ""Sisters"" in the nineties, and was in ""Once and Again"" from 1999-2002. I don't know either show, but I do know her from the medical drama ""House"" in which she played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought. Now she has turned up on ""CSI: NY"", a very welcome and much-needed addition to the cast ..."
Holder of The Sun and The World.   		5 letters,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
Quai d'Orsay setting.   		5 letters,"SEINE.    	The Quai d'Orsay in Paris is a quay and street along the left bank of the River Seine. The Ministry of Foreign Affairs is located there, and the French commonly use 'Quai d'Orsay' as a nickname for the Ministry."
"City in which ""One Flew Over the Cuckoo's Nest"" is set.   		5 letters","SALEM.    	Ken Kesey's 1962 novel 'One Flew Over the Cuckoo's Nest"" is a set in a psychiatric hospital in Salem, Oregon. The novel was adapted into a stage play in 1963, starring Kirk Douglas who had purchased the rights to produce it on stage and screen. The film version was finally made in 1975, with Kirk Douglas's son Michael Douglas as co-producer."
Beaver State capital.   		5 letters,"SALEM.    	Salem is the state capital of Oregon. It is thought that the city takes its name from the older city of Salem, Massachusetts."
Subject for gossip.   		4 letters,"ITEM.    	An unmarried couple known to be involved with each other might appear in the gossip columns. This appearance as ""an item"" in the papers, led to the use of ""item"" to refer to such a couple, but only since the very early seventies."
English Channel feeder.   		5 letters,"SEINE.    	Honfleur is a port town at in France on the Normandy coast, sitting right at the estuary of the Seine river (that runs through Paris). On the other side of the Seine estuary is the more famous city of Le Havre."
"TV's ""warrior princess"".   		4 letters","XENA.    	The Xena character, famously played by New Zealander Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the title role."
A.L.   		3 letters,"TOR.    	The Toronto Blue Jays baseball franchise was founded in 1977. The Blue Jays are the only team based outside the US to have won a World Series, doing so in 1992 and 1993. And since the Montreal Expos relocated to Washington, the Blue Jays are the only Major League Baseball team now headquartered outside of the US."
N.Y.C.   		3 letters,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
Driller's letters.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be a part of a new school's curriculum."
Pharma fraud police.   		3 letters,"FDA.    	The Food and Drug Administration (FDA) started out as the Food, Drug and Insecticide organization in 1906, after President Theodore Roosevelt signed into law the Food and Drug Act. The main driver behind the Act was concern over public hygiene."
___ state.   		3 letters,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
California's Big ___.   		3 letters,"SUR.    	Big Sur is a lovely part of the California Coast, south of Monterey and Carmel. The name ""Big Sur"" comes from the original Spanish description of the area as ""el sur grande"" meaning ""the big south""."
Marseille mates.   		4 letters,"AMIS.    	Marseille (often written 'Marseilles' in English) is the second largest city in France, after Paris. Marseille is also the largest commercial port in the country. I used to live nearby, and it's a lovely, lovely place."
Chemical suffix.   		4 letters,"-ENE.    	An alkene is an organic compound made up of carbon and hydrogen atoms. It differs from an alkane in that it has at least one C=C double bond. The simplest alkene is the gas ethylene, a major raw material used in the manufacture of plastics (like polyethylene)."
Large crock.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews.
J.F.K.   		3 letters,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
Oregon's capital.   		5 letters,"SALEM.    	Salem is the state capital of Oregon. It is thought that the city takes its name from the older city of Salem, Massachusetts."
"""___ Rosenkavalier"".   		3 letters","DER.    	'Der Rosenkavalier' is a comic opera composed by Richard Strauss, with the title translating as 'The Knight of the Rose'."
Go ballistic?.   		3 letters,ARC.    	'Ballistics' is the study of the projectiles in movement.
"Kit ___ Club (""Cabaret"" setting).   		3 letters","KAT.    	The musical ""Cabaret"" is based on ""I Am a Camera"", a 1951 play written by John Van Druten. In turn, the play was adapted from a novel ""Goodbye to Berlin"" written by Christopher Isherwood. ""Cabaret"" is a great musical, although the 1972 film of the musical isn't one of my favorites."
"Mastoiditis specialists, for short.   		4 letters","ENTS.    	Ear, Nose and Throat specialist (ENT)"
"""Dragnet"" message, for short.   		3 letters",APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Cantina vessel.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
"Smokey the Bear spot, e.g., for short.   		3 letters",PSA.    	Public service announcement (PSA).
"Like Elvis Costello, but not Elvis Presley: Abbr..   		3 letters","ENG.    	Elvis Costello is an English singer and songwriter whose real name is Declan MacManus.&nbsp;Although Costello is more associated with the punk rock music scene, he is very active with the Jazz Foundation of America. He does a lot of work with the foundation to help jazz and blues musicians in need, especially after Hurricane Katrina."
Means of enlightenment.   		3 letters,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
Kind of state that's peaceful.   		3 letters,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
Young-sounding wildebeest.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
Lotto variant.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game originated in China and was introduced into the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
Veracruz vane direction.   		4 letters,ESTE.    	'Este' is the Spanish word for 'east'.
