ACR_,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
RO_,"RON.    	Ron Howard sure has come a long way since playing Opie Taylor on 'The Andy Griffith Show'. He has directed some fabulous movies including favorites of mine like ""Apollo 13"", ""A Beautiful Mind"" and ""The Da Vinci Code""."
NEM_,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne, the fate of Nemo and his crew isn't quite so cut and dry, although the assumption is perhaps that they did indeed head for Davy Jones's Locker."
_LSA,"ELSA.    	""Lohengrin"" is a very popular opera by Richard Wagner, first performed in 1850. Many arias from ""Lohengrin"" are staples on ""Opera's Greatest Hits"" collections."
AHA_,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
M_SA,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the term ""mesa"" that describes a geographic feature. ""What's the difference between a butte and a mesa?"" I hear you cry! Both are hills with flat tops, but a mesa has a top that is wider than it is tall. A butte is a much narrower formation, taller than it is wide."
UZ_,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
_SA,"USA.    	The 1994 FIFA World Cup was held in the US, with nine cities across the country acting as host. The average attendance at the games was about 69,000, which set a record for a FIFA World Cup that persists to this day. Brazil won the tournament, beating Italy in a penalty shootout."
DS_,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
ETR_,ETRE.    	The French for 'to be' is 'être'.
AC_E,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
_EA,DEA.    	The Drug Enforcement Administration (DEA) was set up in 1973 while President Nixon was in office.
AB_L,"ABEL.    	According to the Bible's Book of Genesis, after Cain murdered his brother Abel, he fled to the Land of Nod located ""east of Eden"" (from which John Steinbeck got the title for his celebrated novel ""East of Eden"")."
_NN,"CNN.    	Anderson Cooper is a great news personality on CNN, and on other shows around the dial. My favorite appearances of his, although he would call them trivial I am sure, was as host of a great reality game show called ""The Mole"" that aired in 2001."
RO_,RON.    	'Da Doo Ron Ron' was a big hit in 1963 for the Crystals.
ERS_,"ERSE.    	There are actually three Erse languages. Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
_AS,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden."
MI_,"MIA.    	""Mia"" is the Italian for ""my""."
N_MO,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
AS_ER,"ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild, and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact, one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever) found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day."
U_E,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
U_E,"UKE.    	The ukulele originated in the 1800s, and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants."
U_A,"USA.    	The Great Seal of the United States is a device used to authenticate some US federal documents. The obverse (front) of the Great Seal is used as the coat of arms of the US, a design that can seen on all American passports."
ERS_,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
EL_O,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
AB_L,"ABEL.    	Enoch was the great-grandfather of Noah, and the great-grandson of Adam. Cain was Enoch's father and Abel was his uncle."
N_EL,NOEL.    	NOEL/LONE
ELIO_,"ELIOT.    	'Gerontion' is a poem by T. S. Eliot, published in 1920."
EA_,EAR.    	Those would be ears of corn.
_HE,"SHE.    	H. Rider Haggard wrote the famous novel ""She"", first published in serial form in 1886-87 (I remember seeing the movie version as a kid, starring Ursula Andress ... scared the daylights out of me!). Haggard published the sequel to ""She"" in 1905 called ""Ayesha, the return of She""."
_HI,"AHI.    	Yellowfin and bigeye tuna are usually marketed as ""ahi"", the Hawaiian name. They are both big fish, with yellowfish tuna often weighing over 300 pounds, and bigeye tuna getting up to 400 pounds."
A_RE,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
_EMO,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
N_EL,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
_RLE,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
_ON,"RON.    	Ron Reagan's views couldn't be any further from his father's, I think. Before Air America went bust, he had a daily 3-hour spot, and these days he makes frequent appearances on MSNBC. Reagan is also a good dancer, and for a while was a member of the Joffrey Ballet."
_OEL,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
_EM,"REM.    	R.E.M. was a rock band from Athens, Georgia formed in 1980. The name 'R.E.M.' was chosen randomly from a dictionary, apparently."
EYR_,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
I_OR,"IGOR.    	Igor Sikorsky was a Russian pioneer in the world of aviation. He designed and indeed piloted the world's first multi-engine, fixed-wing aircraft in 1913. He moved to the US in 1919 and set up his own aircraft manufacturing business. In the thirties he made the magnificent flying boats that were used by Pan Am in their Clipper era. Sikorsky also developed the world's first mass-produced helicopter, in 1942."
_TAH,"UTAH.    	'Crossroads of the West' is a nickname for Salt Lake City, and for the state of Utah. The Utah state quarter bears the words 'Crossroads of the West', and an image of the Golden Spike that marked the completion of the Transcontinental Railroad."
EO_,"EOS.    	In Greek mythology, Eos is the goddess of the dawn who lived at the edge of the ocean. Eos would wake each morning to welcome her brother Helios the sun. The Roman equivalent of Eos is Aurora."
_EN,"LEN.    	Len Goodman is a professional ballroom dancer. Goodman is the head judge on the US's 'Dancing with the Stars' as well as on the original UK version of the show, 'Strictly Come Dancing'."
_AU,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman 'T'. Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
EL_OT,"ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of his college education was at Oxford, and clearly he became comfortable with life in England. In 1927 he became a British citizen, and lived the rest of life in the UK."
RO_,"RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
ET_S,"ETAS.    	Los Angeles International Airport is the sixth busiest airport in the world in terms of passenger traffic, and the busiest here on the West Coast of the US. The airport was opened in 1930 as Mines Field and was renamed to Los Angeles Airport in 1941. On the airport property is the iconic white structure that resembles a flying saucer. This is called the Theme Building and I believe it is mainly used as a restaurant and observation deck for the public. The airport used to be identified by the letters 'LA', but when the aviation industry went to a three-letter standard for airport identification, this was changed to 'LAX'. Apparently the 'X' has no significant meaning."
C_N,"CNN.    	CNN (Cable News Network) was launched in 1980, the first television channel in the world to provide news coverage 24 hours a day."
N_EL,NOEL.    	The First Noel the angel did say
A_RE,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
LSA_,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
DS_,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
_TO,"ITO.    	In the 1880s, Japanese leaders were concerned that their system of government was not defined well enough, leading to ambiguity about areas of responsibility and authority. One of the leaders at the time was Ito Hirobumi, and he took himself and his staff over to Europe to examine the systems of government across that continent, especially those of the British and German Empires. On returning to Japan he lobbied for and was successful in the adoption of a constitution for Japan and a modern system of government. Ito became the country's first Prime Minister in 1885."
_BEL,ABEL.    	Abel Ferrara is a screenwriter and film director noted for his work on independent movies. Ferrara's best-known film is probably the 1990 crime drama 'King of New York' starring Christopher Walken.
ERS_,"ERSE.    	There are three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
_AU,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
OLI_,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
_RLE,"ERLE.    	Erle Kenton was a film director from Norbro, Montana. Kenton directed 131 films between 1916 and 1957, including 'The Ghost of Frankenstein', 'House of Frankenstein' and 'House of Dracula'."
DT_,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
TD_,"TDS.    	In American football, quarterbacks (QBs) sometimes score touchdowns (TDs)."
NO_L,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"", ""natalis"". Noel has come to be used as an alternative name for a Christmas carol."
UK_,"UKE.    	Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
A_RIA,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
M_E,"MOE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe and Shemp Howard (two brothers) and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and Shemp stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry Fine had a stroke in 1970, it effectively marked the end of the act."
UT_H,"UTAH.    	When Mormon pioneers were settling what is today the state of Utah, they referred to the area as Deseret, a word that means 'beehive' according to the Book of Mormon. Today Utah is known as the Beehive State and there is a beehive symbol on the Utah state flag."
_LSA,"ELSA.    	Elsa's life story was told by game warden Joy Adamson, who had a very close relationship with the lioness from when she was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which told the story of Elsa and her three lion cubs. In the 1966 film ""Born Free"" Adamson is played by actress Virginia McKenna."
_EO,"EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
EA_,EAR.    	Ear buds are headphones.
ER_E,"ERSE.    	There are actually three Erse languages. Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
ER_T,"ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
ME_A,"MESA.    	The city of Mesa, Arizona is in effect a suburb of Phoenix."
_EL,"CEL.    	In the world of animation a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
OL_O,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
CH_,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
H_R,"HER.    	Hannah and Her Sisters' is a 1986 comedy-drama film that was written and directed by Woody Allen. Hannah is played by Mia Farrow, and Hannah's two sisters are played by Barbara Hershey and Dianne Wiest."
_SL,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
_LR,"SLR.    	SLR: Single Lens Reflex. Usually cameras with changeable lenses are SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
E_RE,"EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Bronte under the pen name Currer Bell. Over the years, I've shared here on the blog that the storyline is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC very recently, and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the performance. I thoroughly recommend this 2006 BBC adaptation to fans of the novel."
C_A,"CPA.    	Back in 1913, 'Tax Day' was March 1st, and this was moved to March 15th in 1918. We've been filing returns by April 15th since 1955."
_SAT,LSAT.    	Law School Admission Test (LSAT)
_ST,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall, so that afternoons have more daylight."
DS_,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
U_E,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
INR_,"IN RE.    	The term ""in re"" is Latin in origin. ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
AS_,"ASS.    	The word ""nincompoop"", meaning a fool, seems to have been around for quite a while. It has been used since the 1670s, but no one appears to know its origins."
LA_A,"LARA.    	""Doctor Zhivago"" is of course the epic novel by Boris Pasternak, first published in 1957. I haven't tried to read it but the 1965 film version is a must-see, directed by David Lean and starring Omar Sharif in the title role. The story centers on Yuri Zhivago, a doctor and poet, and how he is affected by the Russian Revolution and the Russian Civil War."
_LR,"SLR.    	SLR stands for Single Lens Reflex. Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
EI_E,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
REES_,REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
DS_,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
AP_,APR.    	Annual percentage rate (APR)
KI_,"KIA.    	The Kia Soul is a compact car produced in South Korea, although it was designed by Kia here in Irvine, California. Yep, the Kia Soul is from Seoul ..."
TA_,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
TBA_,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skier who remains standing on his/her skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
ETE_,"ETES.    	""Vous êtes"" is the French for ""you are""."
YS_R,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
OMAH_,"OMAHA.    	Omaha is the largest city in the state of Nebraska. It is located on the Missouri River, about 10 miles north of the mouth of the Platte River When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
_PA,CPA.    	Certified public accountant (CPA)
_AB,"TAB.    	When we 'run a tab' at a bar say, we are 'running a tabulation', a listing of what we owe. Such a use of 'tab' is American slang that originated in the 1880s."
YS_R,"YSER.    	The Yser originates in northern France and flows though Belgium into the North Sea. The Yser name is oft associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium, across France in a ""race to the sea"". But, the Belgians, with the help of its Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful, and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
L_N,"LEN.    	Len Ford was one of the most dominant defensive professional football players of his time, and yet he had been passed over in every round of the 1948 NFL draft. He played for two years with the rival All-America Football Conference before joining the NFL's Cleveland Browns and the the Green Bay Packers."
OPE_,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But we all probably knew that already ..."
B_A,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breastplate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
UK_,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
ETR_,ETRE.    	The French for 'to be' is 'être'.
E_AT,"ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
_URO,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. Of course the Irish euro features a harp."
EI_E,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
_SA,"CSA.    	The Confederate States of America (CSA) had its own Great Seal, with the motto 'Deo Vindice' that can be translated from Latin as 'With God as Our Judge'."
US_,USA.    	Part in the USA' is a 2009 song recorded by Miley Cyrus. The lyrics refer to the singer's real-life relocation from her home in Nashville to Hollywood.
LS_T,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
CE_,CEO.    	Chief executive officer (CEO)
AL_A,"ALDA.    	'Canadian Bacon' is a 1995 Michael Moore movie that is a satire of Canada-US relations, especially along the border between the two countries. 'Canadian Bacon' is the only film that Moore has made to date that is not a documentary."
ET_S,ETAS.    	Expected time of arrival (ETA)
BR_,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
AS_,ASS.    	(48D. Imbeciles : IDIOTS)
C_O,"CEO.    	Mary Barra is the chief executive officer of General Motors (GM). Barra is the first woman to hold the top position in a global automotive manufacturing company. She truly served her apprenticeship with GM, having joined the company in 1980 as a co-op student. She was promoted to her first VP position in 2008, and took over the top spot early in 2014."
A_S,"ASS.    	A ""bozo"" is a man with a low IQ, and one who is usually quite muscular. We've been using the word since the early 1900s and it possibly comes from the Spanish ""bozal"" that was used to describe someone who speaks Spanish poorly."
E_RL,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
UZ_,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
_MI,EMI.    	The Big Four recording labels were (until EMI was broken up in 2012 and absorbed by what became 'the Big Three'):
ET_S,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character ""H""."
_AT,"TAT.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
NOE_,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
LE_,"LEN.    	I used to walk my dog right past author Len Deighton's house years ago, as we lived in the same village in Ireland (probably my only claim to fame!). Deighton wrote the excellent espionage thriller ""The IPCRESS File"", made into a 1965 movie starring Michael Caine."
_TRIA,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
A_R,APR.    	The phenomenon of 'April Showers' really applies to the UK and Ireland. Increased occurrence of rain during April is largely due to an annual change in the position of the jet stream.
TA_,"TAB.    	The oldest method of opening a can with a device included in the can's design is the pull-tab or ring pull, invented in Canada in 1956. The design was long-lived but it had its problems, so the world heaved a sigh of relief with the invention of the stay-on-tab in 1975. The new design led to less injuries and eliminated all those used pull-tabs that littered the streets."
_LR,"SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
ER_E,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
E_LE,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
M_E,"MOE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe and Shemp Howard (two brothers), and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and he stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry had a stroke in 1970, it effectively marked the end of the act."
A_E,"APE.    	""The Hairy Ape"" is a play by Eugene O'Neill, and tells of a laborer on an ocean liner who leaves the ship and tries to make his way in Manhattan. He finds it hard to fit in, and finds most empathy with a gorilla in the zoo who he regards as a kindred spirit. At the end of the play, the hero dies in the arms of the gorilla."
_MT,EMT.    	Emergency medical technician (EMT)
E_ES,ETES.    	One might spend the summer (été) under the sun (le soleil) on the Seine in Paris.
K_A,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
OLI_,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
_EA,DEA.    	Drug Enforcement Agency (DEA)
E_RO,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. Of course the Irish euro features a harp."
_PR,APR.    	Annual percentage rate (APR)
EE_O,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
