NAI_,"NAIF.    	A naïf is someone who is naive, as ""naïf"" is the French word for ""naive""."
_ETTY,"GETTY.    	The J. Paul Getty Museum in Los Angeles is one of the most visited museums in the country. Like many museums in developed countries these days, the Getty has been embroiled in disputes about ownership of artifacts. The curators of the Getty have gone so far as to repatriate some items in recent years, especially to Greece and Italy. The J. Paul Getty Museum has to locations. The Getty Center is the primary location, and houses art from the Middle Ages to the present. The associated (and beautiful) Getty Villa displays art from ancient Greece, Rome and Etruria."
EST_RS,"ESTERS.    	An ester is an organic compound created by combing an organic acid and an alcohol. In the case of aspirin, the acid is salicylic acid, and the ""alcohol"" is acetic anhydride. The resulting ester is acetylsalicylic acid."
SE_D,"SEND.    	Thrill me, send me ..."
B_HA,"BAHA.    	The Baha Men are so called because they hail from, the Bahamas. Their big hit ""Who Let the Dogs Out?"" was ranked third in a list of the world's most annoying songs!"
ORTI_,"ORTIZ.    	The Dominican American baseball player David Ortiz has the nickname 'Big Papi'. After each home run that Ortiz scores, he looks upwards and points to the sky, a tribute to his mother who died in a car crash in 2002 when she was only 46 years old."
O_ORTO,"OPORTO.    	Oporto is Portugal's second largest city, after the capital of Lisbon. The Latin name for the city is Portus Cale, Port of Cale. The name ""Portucale"" evolved into ""Portugale"" which eventually gave the name to the whole country, Portugal. Oporto gave its name to port wine in the late 1600s, as it was the seaport through which most of the fortified wine was exported."
SON_ETS,"SONNETS.    	English poet John Milton is best known for his epic poem ""Paradise Lost"". He also wrote several sonnets, the most famous of which is probably ""On His Blindness"". Milton developed glaucoma which rendered him completely blind, so used to dictate a lot of his work, including the whole of ""Paradise Lost""."
_RAZE,"CRAZE.    	Arthur Wynne is generally credited with the invention of what we now known as a crossword puzzle. Wynne was born in Liverpool, England and emigrated to the US when he was 19-years-old. He worked as a journalist and was living in Cedar Grove, New Jersey in 1913 when he introduced a 'Word-Cross Puzzle' in his page of puzzles written for the 'New York World'. The first book of crossword puzzles was published by Shuster & Shuster, in 1924. The collection of puzzles was a huge hit, and crosswords were elevated to the level of 'a craze' in 1924 and 1925."
AR_ADIA,"ARCADIA.    	Pan was the god of shepherds in Greek mythology, and lived in the rustic surroundings of Arcadia. Arcadia was a mountainous region of Ancient Greece, well known for the innocence and contentment of its people who lived a simple, pastoral life. Arcadia has been used ever since as the name of a place offering peace and simplicity."
_ON,"YON.    	""Yon"" is a variant of ""yonder""."
_RMY,"ARMY.    	West Point is a military reservation in New York State, located north of New York City. West Point was first occupied by the Continental Army way back in 1778, making it the longest, continually-occupied military post in the country. Cadet training has taken place at the garrison since 1794, although Congress funding for a US Military Academy (USMA) didn't start until 1802. The first female cadets were admitted to West Point in 1976, and today about 15% of all new cadets are women."
F_RY,"FURY.    	The Furies in Roman mythology were the female personification of vengeance. They were also known as the Dirae, ""the terrible"". There were at least three Furies:"
I_SET,"INSET.    	Cartography, the art or technique of making maps."
_BBES,ABBES.    	Abbé is the French word for an abbot.
ASI_NS,"ASIANS.    	The Golden Horde was a group of Mongols who ruled over what is now Russia, Ukraine, Kazakhstan, Moldova and the Caucasus, from the 1240s until 1502. It has been suggested that the name of the group derives from the yellow tents used by the rulers of the Golden Horde. And, the Golden Horde's influence and rule led to the term 'horde' entering the English language, via many languages spoken in Slavic Eastern Europe."
_ALON,"SALON.    	""Salon"" is the French word for a large room, usually the largest room in a house, and often the room in which one sits with guests. The word was brought into English with the same meaning in the late 17th century. It wasn't until early in the 20th century that ""salon"" came to mean an establishment for hairdressing and beauty care."
TS_RAP,"T-STRAP.    	A pump is a woman's shoe that doesn't have a strap. Such shoes are probably called ""pumps"" because of the sound they make while walking in them."
EPP_E,"EPPIE.    	Silas Marner: The Weaver of Raveloe' is a novel written by George Eliot and first published in 1861. There's an excellent BBC TV version of the tale (shown on PBS) starring Ben Kingsley in the title role, with Patsy Kensit playing Eppie, the young orphaned child that Marner takes under his wing."
ITAL_ANO,"ITALIANO.    	""Arrivederci"" is the Italian for ""goodbye""."
OZA_K,"OZARK.    	Missouri's Ozark Trail is a hiking, backpacking, biking and equestrian trail that started to come together in the seventies, and is still under construction. When completed, it should stretch over 700 miles, from St. Louis into Arkansas."
U_CLELEO,"UNCLE LEO.    	On the sitcom ""Seinfeld"", Jerry's eccentric, maternal uncle is Leo, played by actor Len Lesser. Lesser has been acting in movies and television for many years, alongside some of the greats of stage and screen. He is fond of telling a great story about acting in the marvelous 1973 film ""Papillon"" starring Steve McQueen and Dustin Hoffman. In his role as a prison guard Lesser was required to shove McQueen, but McQueen didn't think that Lesser was pushing him roughly enough. He turned to Lesser and told him ""Don't think of me as a movie star. Think of me as a character in a show"", encouraging him to be more aggressive. When McQueen walked away, Hoffman was left standing there beside Lesser. He paused, and quietly said to Lesser, ""Think of me as a movie star ..."""
BE_LE,"BELLE.    	A 'beau' is the boyfriend of a 'belle', a young lady. 'Beau' and 'belle' are the masculine and feminine forms of the French word for 'handsome, beautiful'."
RO_IN,ROSIN.    	Rosin is a solid form of resin derived from plant sources. Rosin is formed into cakes that players of stringed instruments use to rub along the hairs of their bows to help improve sound quality. The rosin increases the degree of friction between the strings and the bow. That same friction-increasing property comes into play when baseball pitchers use rosin to get a better grip on the ball.
VO_,VOL.    	The Tennessee Volunteers (the Vols) is the name given to the men's sports teams at the University of Tennessee in Knoxville. The women's teams are called the Lady Volunteers.
_MAIN,"AMAIN.    	""Amain"" is an old term meaning at great speed, or of great strength."
TRIV_A,TRIVIA.    	Trivia are things of little consequence. 'Trivia' is the plural of the Latin word 'trivium' which means 'a place where three roads meet'. Now that's what I call a trivial fact ...
L_EZA,"LEEZA.    	Leeza Gibbons has her own radio show called ""Hollywood Confidential"", and used to have her own talk show on NBC television that aired from 1994 to 2000. She is the founder of a nonprofit group called Leeza's Place which supports people giving care to patients with memory disorders. Since 2007 she has been a board member of California's stem cell research agency, appointed by Governor Arnold Schwarzenegger."
ENTREE_,"ENTREES.    	Entree of course means ""entry"" in French. In Europe, even in English speaking parts, the entree is the name for the ""entry"" to the meal, the first course. I found it very confusing to order meals when I first came to America!"
JU_D,"JUDD.    	Judd Apatow is known for producing the TV series ""Freaks and Geeks"" and ""Undeclared"". Those shows aren't my cup of tea, but he also collaborated with Lena Dunham to create the show 'Girls'. 'Girls' is my cup of tea ..."
RIMI_I,RIMINI.    	Rimini is the most famous resort city on the Adriatic Riviera.
_NDORA,"ENDORA.    	In the television sitcom ""Bewitched"", Endora was Samantha's mother, with both mother, daughter, and indeed granddaughter having the magical powers accorded to witches. Endora was played flamboyantly by Agnes Moorehead."
ATW_,"A-TWO.    	The full name for the highway connecting the Ruhr area of Germany with Berlin is the Bundesautobahn 2 (i.e. Federal Motorway 2), usually abbreviated to A2. The A2 is part of a major commercial route connecting western parts of Germany with Poland and other central European countries, so it is nicknamed ""Warsaw Avenue""."
YELL_,"YELLO.    	Like so many beverages introduced by the Coca-Cola Company, Mello Yello was launched to compete against a successful drink already on the market. Mello Yello first hit the shelves in 1979, and was designed to take market share from Pepsico's ""Mountain Dew""."
K_VA,"KAVA.    	Kava is a plant found in the western Pacific. Its roots are used to make an intoxicating drink also called kava, which acts as a sedative."
SKEE_S,SKEETS.    	There are three types of competitive shotgun target shooting sports:
_UNNE,"DUNNE.    	Dominick Dunne was a writer and investigative journalist. One of his more cathartic works must have been an article he wrote for ""Vanity Fair"" titled ""Justice: A Father's Account of the Trial of his Daughter's Killer"". Dunne wrote this after attending the trial of John Sweeney, the one-time boyfriend of his daughter Dominique, whom Sweeney strangled in 1982. Dominique was an actress, and had just finished filming ""Poltergeist"" when she was murdered."
LAS_,"LAST.    	""In the cellar"" is a familiar phrase meaning ""in last place""."
_EES,"VEES.    	Apparently, geese fly in a V-formation for a couple of reasons. One is that it makes for efficient flight and conserves energy. The leading bird gets no advantage, but every following bird gets to ""slipstream"" a little. It has been noted that the lead bird drops to the back of the formation when he/she gets fatigued. It's also thought that the flock can stick together more easily when in formation, so it is more difficult to lose someone along the way."
A_FS,"ARFS.    	The schnauzer breed of dog originated in Germany in the 1600s. The name 'schnauzer' is a colloquial term meaning 'moustache', derived from the German for 'snout'. The name is apt, given the breed's distinctive snout."
CO_,"COX.    	The coxswain of a boat is one in charge, particularly of its steering and navigation. The name is shortened to ""cox"" particularly when used for the person steering and calling out the stroke in a competition rowing boat."
ENI_LE,"ENISLE.    	To maroon: to enisle, to leave on an island."
STON_S,"STONES.    	Even though Mick Jagger and Keith Richards have been the driving force behind the Rolling Stones for decades, they didn't start the group. The band was the idea of guitarist and harmonica player, Brian Jones, and it was he who invited Richards and Jagger as well as Ian Stewart with Bill Wyman and Charlie Watts rounding out the original lineup of six musicians. Jones called the band ""Rollin' Stone"" back then in 1962, named for the song by Muddy Waters. Jones was the leader, manager and decision maker for the first few years, until songs written by Richards and Jaggers became hits, and he started to lose artistic control. In 1967, Jones was arrested for drug possession, and again in 1968. When his trouble with the law prevented him from getting a US work visa, Jones wasn't able to accompany the Stones on a 1969 US tour. That was the last straw, it seems, and Jones and the Stones parted company. Famously, one month later, Jones was found dead, at the bottom of his swimming pool."
G_NG,"GANG.    	In ""West Side Story"", the two opposing gangs were the Sharks and the Jets. The Sharks were first-generation Americans youngsters of Puerto Rican descent. The Jets were working-class white youths."
H_MI,"HEMI.    	""Hemi"" is short for ""hemisphere"", and is the name given to an internal combustion engine with hemispherical combustion chambers. Chrysler is famous for using Hemi engines in many of its models."
REE_,REEL.    	A 'juicer' or 'tosspot' is a drunk.
BOA_ER,"BOATER.    	A boater is a straw hat often associated with boating, hence the name."
CU_S,CUBS.    	Clever wording ...
GOA_,"GOAD.    	The verb 'edge' has been used to mean to incite, to urge on, from the 16th century. Somewhere along the way 'edge' was mistakenly replaced with 'egg', giving us our term 'to egg on' meaning 'to goad'."
IONIAN_EA,"IONIAN SEA.    	The Ionian Sea is the part of the Mediterranean that lies between Greece and the southern part of Italy (under the sole of the ""boot""). It is one of the most seismically active areas on the planet."
_ONES,"SONES.    	In the acoustic world, the sone was introduced as a unit of perceived loudness in 1936."
DR_HO,"DR WHO.    	Dr Who is an iconic BBC sci-fi television series, first broadcast in 1963, and it is still running today. As such it is the longest running sci-fi television show in the world. Dr. Who is a time traveler from the planet Gallifrey, who travels in his famous TARDIS spacecraft, that outwardly looks llike a police call box from the 1950s. TARDIS is an acronym for Time And Relative Dimensions In Space. The doctor ""regenerates"" from time to time (pun intended!) so that a new actor fits seamlessaly into the storyline. We are just being introduced to a new doctor on BBC America this month."
_TYLE,"STYLE.    	Perm' is the name given to a permanent wave, a chemical or thermal treatment of hair to produce waves or curls. I don't worry about such things, as it's a number-one all over for me ..."
_HINOS,"RHINOS.    	There are five types of rhinoceros that survive today, and the smaller Javan Rhino is the most rare. The rhinoceros is probably the rarest large mammal on the planet, thanks to poaching. Hunters mainly prize the horn of the rhino as it is used in powdered form in traditional Chinese medicine."
LATO_A,"LA TOYA.    	La Toya Jackson was very close to her brother Michael, both in age and temperament. It seems to me that La Toya's obsession with the plastic surgeon's knife was second only to that of her younger brother."
IMD_,"IMDB.    	The website called the Internet Movie Database (IMDb) was launched in 1990, and is now owned by Amazon.com. It's a great site for answering question one has about movies and actors."
DI_,"DIO.    	""Dio"" is Italian for ""God""."
_YE,"PYE.    	Henry James Pye was an English poet who held the post of Poet Laureate from 1790 until his death in 1813. As Poet Laureate, Pye was the first with the title to receive an annual cash stipend, albeit a modest one. Prior to Pye, England's Poet Laureates were given a annual stipend of a barrel of wine."
PENNA_E,"PEN NAME.    	""Ask Ann Landers"" was an advice column written by Eppie Lederer from 1995 to 2002. Eppie was the twin sister to Pauline Phillips, the person behind ""Dear Abby"". Eppie took over the ""Ask Ann Landers"" column from Ruth Crowley who started it in 1943."
_UBE,"TUBE.    	The official name 'London Underground', used for the city's train-based mass transit system, is a little deceptive. In fact, over half of the network's track is 'over ground', with the underground sections reserved for the central areas. It is the oldest subway system in the world, opening in 1863. It was also the first system to use electric rolling stock, back in 1890. 'The Tube', as it is known by Londoners, isn't the longest subway system in the world though. That honor belongs to the Shanghai Metro. My personal favorite part of the Tube is the Tube map! It is a marvel of design ..."
L_ZA,"LIZA.    	The actress and singer Liza Minnelli is the daughter of Judy Garland and movie director Vincente Minnelli. Liza won her only Oscar for her lead performance in 1972's 'Cabaret'. She has also won an Emmy, Grammy and Tony, and is one of the very few entertainers to have made that 'sweep'."
_TAIL,"E-TAIL.    	E-tail is the term used these days for online shopping. The term developed for comparison to describe ""real world"" shopping is a ""brick and mortar"" store."
VI_L,"VIOL.    	The viola da gamba (also called simply the viol) is a bass instrument in what is known as the viol family, with a tonal range that about matches that of the modern-day cello. It is the second largest of all the viols, so is played resting on the floor between the legs. In fact, ""viola da gamba"" is Italian translating into ""viol for the leg""."
_NV,"ENV.    	An SAE is a 'stamped, addressed envelope'. An SASE is a 'self-addressed, stamped envelope'."
YA_,"YAK.    	The English word 'yak' is an Anglicized version of the Tibetan name for the male of the species. Yak milk is much prized in the Tibetan culture. It is made into cheese and butter, and the butter is used to make a tea that is consumed in great volume by Tibetans. The butter is also used as a fuel in lamps, and during festivals the butter is even sculpted into religious icons."
_OBERTA,"ROBERTA.    	I suppose the most famous song released by American singer Roberta Flack is her 1972 hit ""The First Time Ever I Saw Your Face""."
OM_NS,"OMENS.    	The verb ""to augur"" means ""to bode"", to serve as an omen. The term comes from the name of religious officials in Ancient Rome called augurs whose job it was to interpret signs and omens."
C_METS,"COMETS.    	The famed rock & roll singer and songwriter Bill Haley started out his career as the frontman of Bill Haley and the Saddlemen, playing country and western music. The name was changed to Bill Haley and His Comets in 1952 as the band started performing rock & roll songs. The name ""Comets"" was imitative of the common mispronunciation of the famous Halley's comet (sometimes written incorrectly as ""Haley's"" comet). The group recorded ""Rock Around the Clock"" a year later, in 1953."
AC_P,"A-COP.    	""Rent-a-cop"" is a derogatory term for a security guard."
P_S,"PXS.    	A PX is a Post Exchange, a retail store operating on a US Army Base. The equivalent store on an Air Force Base is called a Base Exchange (BX). At a Navy installation it's a Navy Exchange (NEX), at a Marine Corps installation it's a Marine Corps Exchange (MCX) and at a Coast Guard Installation it's a CGX."
E_TANT,"EXTANT.    	Extant ... it's not lost, it's still in existence. It comes from the Latin ""exstare"", to stand out."
MARNE_,"MARNER.    	""Silas Marner: The Weaver of Raveloe"" was written by George Eliot and published in 1861. There's an excellent BBC TV version of the tale (shown on PBS) starring Ben Kingsley in the title role."
S_IKE,"SPIKE.    	To lace a drink, is to spike it, by adding perhaps some alcohol or other strong substance."
YUL_S,"YULES.    	""Yule"" celebrations coincide with Christmas, and the words have become synonymous in much of the world. However, Yule was originally a pagan festival celebrated by Germanic peoples. The name ""yule"" comes from the Old Norse word ""jol"" that was used to describe the festival."
DOSI_O,"DO-SI-DO.    	The term do-si-do is actually a corruption of a French phrase ""dos-a-dos"", meaning back-to-back. And parenthetically, this is just the opposite to the familiar French term ""vis-a-vis"", meaning face-to-face. In the dance move, the partners start facing each other, then advance past each other's right shoulder, and then move to the right without turning so that they are now facing away from each other (back-to-back). They complete the move facing in the same directing, passing each other's left shoulders by moving backwards until they return to the starting position."
YEO_AN,"YEOMAN.    	""The Yeomen of the Guard"" is an operetta by Gilbert & Sullivan, first performed in 1888. The work was immediately a big hit, and ran for 423 performances. Many regard the score to ""The Yeomen of the Guard"" as Arthur Sullivan's finest."
PAPAD_C,"PAPA DOC.    	The dictatorial President of Haiti known as ""Papa Doc"" was in fact a medical doctor. Francois Duvalier graduated with a medical degree from the University of Haiti in 1934, and even spent a year studying public health at the University of Michigan. It was his grateful patients who used to call him Papa Doc. When he came to power as President, he was less caring, and ruled with an iron fist until he died in office in 1971."
_ISK,"RISK.    	Risk is a fabulous board game, first sold in France in 1957. Risk was invented by a very successful French director of short films called Albert Lamorisse. Lamorisse called his new game ""La Conquête du Monde"", which translates into English as ""The Conquest of the World"". A game of Risk is a must during the holidays in our house ..."
NI_OLE,"NICOLE.    	""The Simple Life"" is a reality TV show that ran from 2003 to 2007. It showed little rich girls Paris Hilton and Nicole Richie trying to do manual labor and working ""real"" jobs. I wonder how they'd do writing a crossword blog?"
BLO_,"BLOG.    	Many folks who visit this website regard it as just that, a website. That is true, but more correctly it is referred to as a blog, as I make regular posts (actually daily posts) which then occupy the ""front page"" of the site. The blog entries are in reverse chronological order, and one can just look back day-by-day, reading older and older posts. 'Blog' is a contraction of the term ""web log""."
BACAR_I,"BACARDI.    	The Bacardi company is still family owned and operated, based in Hamilton, Bermuda. The company was originally based in Santiago de Cuba, and became successful by selling a refined refined form of rum, something new to a market that was used to a crude, dark rum. The Bacardi family opposed the Castro regime as it came to power, so the company was relocated to Bermuda."
REC_N,RECON.    	A scout engages in reconnaissance ...
SOWE_O,"SOWETO.    	Soweto is an urban are in the city of Johannesburg, South Africa. The name comes from SOuth WEstern TOwnship, a black township that was set up the days of apartheid South Africa. The Soweto Uprising took place in 1976, triggered by government policy forcing education in Afrikaans rather than English."
L_SPS,"LISPS.    	Sylvester J. Pussycat was also known as Puddy Tat, and was a character who appeared in 'Looney Tunes' and 'Merrie Melodies' cartoons. Sylvester was the cat who was often trying to get the better of Tweety Bird, Speedy Gonzales and Hippety Hopper. Sylvester's trademark line is the exclamation 'Sufferin' succotash!', which emphasizes the characters pronounced lisp."
PY_EX,"PYREX.    	Pyrex is a brand of glassware that was developed by Corning. As well as being used in bakeware and laboratory glassware, Pyrex is often the material of choice for optics in large telescopes used in astronomy. Corning's PYREX (note the capital letters) is made from borosilicate glass, the main ingredients of which are silica and boron trioxide. Such Corning products are only available now outside of the US. Corning divested its consumer products division in 1998, resulting in the formation of World Kitchen. World Kitchen purchased the rights to the ""Pyrex"" name in the US, and market it as ""pyrex"" (all lowercase letters). So ""PYREX"" glassware is made from borosilicate glass, and ""pyrex"" products are made from cheaper tempered soda-lime glass."
B_Y,"BLY.    	Nellie Bly was a pen name of an American journalist whose real name was Elizabeth Cochran. In 1888, Bly took a trip around the world, emulating the fictional trip of Phileas Fogg in ""Around the World in Eighty Days"". She departed from New York and arrived back in San Francisco two days behind schedule, jeopardizing her goal of beating the ""eighty days"". The owner of her newspaper chartered a private train for her and she made it back to New York in just over 72 days. Quite a woman ..."
_BQ,BBQ.    	It is believed that our word 'barbecue' (BBQ) comes from the Taíno people of the Caribbean in whose language 'barbacoa' means 'sacred fire pit'.
SE_,SEG.    	Segment (seg.)
MAM_,MAME.    	'Auntie Mame' is a 1955 novel by Patrick Dennis that was adapted for the Broadway stage in 1958 with Rosalind Russell playing the title role. There is also a 1958 movie adaption that also stars Russell.
H_ZE,"HAZE.    	The main cause of hangover symptoms seems to be dehydration. Ethanol causes increased urine production, leaving the body short of water and resulting in headaches, dry mouth and a lack of energy. The symptoms can be alleviated by drinking a lot of water."
LIONIZ_,"LIONIZE.    	The term ""lionize"" dates back to the late 1700s when there were lions kept in the Tower of London. The lions were quite famous, and attracted many visitors. Hence, the term ""lionize"" means to treat someone as a celebrity."
_ERRA,"SERRA.    	Junípero Serra was a Spanish missionary, a founder of several missions out here in California. Among those associated with Serra is the Mission in Carmel, where Serra's remains are buried, and Mission San Juan Capistrano, the chapel of which is believed to be the oldest standing building in the state."
_OLOS,"ROLOS.    	Rolo was a hugely popular chocolate candy in Ireland when I was growing up. Rolo was introduced in the thirties in the UK, and is produced under license in the US by Hershey. I was a little disappointed when I had my first taste of the American version as the center is very hard and chewy. The recipe used on the other side of the Atlantic calls for a soft gooey center."
AVA_,"AVAS.    	Ava Gardner is perhaps notable not only for her association with some big movies, but also for her association with some big names when it came to the men in her life. In the world of film, she appeared in the likes of ""Mogambo"" (1953), ""On the Beach"" (1959), ""The Night of the Iguana"" (1964) and ""Earthquake"" (1974). The men in her life included husbands Mickey Rooney, Artie Shaw and Frank Sinatra. After her marriages had failed (and perhaps before!) she had long term relationship with Howard Hughes, as well bullfighter Luis Miguel Dominguin whom she met through her friend Ernest Hemingway."
DEN_E,"DENTE.    	The Italian expression 'al dente' literally means 'to the tooth' or 'to the bite' and is used to describe not only pasta, but also vegetables that are cooked so that they are tender and yet still crisp."
_ELENE,"HELENE.    	Helene Hanff was an American writer, whose most famous work was ""84 Charing Cross Road"", first published in 1970. The book is somewhat biographical, telling of Hanff's 20-year correspondence with Frank Doel, a buyer of books who worked for a bookstore at 84 Charing Cross Road, in London. The book was made into a very successful stage play, television play as well as a 1987 film starring Anne Bancroft and Anthony Hopkins. The irony is, that despite the close relationship that developed between Hanff and Doel, they never met. When Hanff eventually made it to England, Doel had passed away."
A_PH,"ALPH.    	""Kubla Khan"" by Samuel Taylor Coleridge is my wife's favorite poem. Coleridge wrote the masterpiece one night in 1797, after a vivid dream heavily influenced by opium."
_AVA,FAVA.    	Fava bean is an alternative name for the broad bean.
KE_,"KEG.    	Gunpowder is the earliest known explosive chemical. Also called 'black powder', it is a mixture of sulfur, charcoal and saltpeter (i.e. potassium nitrate). The saltpeter is a powerful oxidizing agent, providing the oxygen to burn the sulfur and charcoal, which acts as the fuel in the mixture. Gunpowder was invented by the Chinese in 8th century."
_AS,"WAS.    	The omnipresent doodle and graffiti 'Kilroy was here' dates back to WWII, although the exact origins are in doubt. A similar character exists in other countries, with a different name. In Australia, 'Foo was here' and in Britain 'Chad was here'. It's felt that Chad might have been the original, and he probably pre-dated the Second World War."
_HUE,"SHUE.    	""Hamlet 2"" is a comedy film released in 2008. In the movie, Elisabeth Shue actually plays herself, the favorite actress of the Dana Marschz, the film's hero. I've always enjoyed Elisabeth Shue's movies, and my favorite is ""Adventures in Babysitting"" from 1987, her first starring role."
_RO,"GRO.    	Scotts Miracle-Gro Company was founded in 1868 by one Orlando Scott, initially selling seed to the agricultural industry. In the early 1900s, Scotts started to sell to homeowners, mainly supplying lawn seed. The company merged with the gardening company Miracle-Gro in 1955."
_EZA,REZA.    	Yasmina Reza is a playwright from Paris best known for her plays 'Art' and 'God of Carnage'.
MOON_IE,"MOON PIE.    	Marshmallow cream was developed in 1927. Soon after, workers in the coal mines around Chattanooga, Tennessee started dipping graham crackers in marshmallow cream as a snack. Then a local baker jumped on the idea, and came up with a sandwich made with a marshmallow filling between two round graham crackers. His young grandson remarked that the popped bubbles in the marshmallow (from baking) looked like moon craters, and the Moon Pie was born. I used to love them as a kid, although we called them ""Wagon Wheels"" in our part of the world."
RAVI_LI,"RAVIOLI.    	Kreplach is a Yiddish word, the name for small, filled dumplings, usually boiled and served in chicken soup."
_ONK,"CONK.    	The phrase 'conk out' was coined by airmen during WWI, and was used to describe the stalling of an engine."
C_AY,"CLAY.    	The building material known as adobe has been around a long time, and has been used in dry climates all over the world. The original form of the word 'adobe' dates back to Middle Egyptian times, about 2000 BC. The original spelling is 'dj-b-t', and translates as mud (sun-dried) brick."
ECO_,ECOL.    	Ecology is a Life Sciences course.
SEGE_,SEGEL.    	Actor Jason Segel is best known for playing Marshall on the sitcom 'How I Met Your Mother'. Marshall is an ordained minister with the Universal Life Church and performed a wedding ceremony on 'The Tonight Show' in 2010.
_UEVO,"NUEVO.    	Nuevo Laredo lies on the banks of the Rio Grande, directly across the US-Mexico border from American city of Laredo, Texas. Nuevo Laredo is a younger city than Laredo, but is larger than its US counterpart."
R_RAL,"RURAL.    	Mayberry is the fictional North Carolina town in which the 'The Andy Griffith Show' is set. Mayberry is said to based on Griffith's own hometown of Mount Airy, North Carolina."
E_V,ENV.    	Envelope (env.)
_RATIA,"GRATIA.    	It seems that the phrase ""art for art's sake"" has its origins in France in the nineteenth century, where the slogan is expressed as ""l'art pour l'art"". The Latin version came much later, in 1924, when MGM's publicist chose it for the studio's logo, sitting under Leo the lion. Who'd o' thunk it?"
_BSEN,"EBSEN.    	The actor Buddy Ebsen was best known for playing Jed Clampett in television's 'The Beverly Hillbillies'. Ebsen had been cast in the role of the Tin Man in the 1939 movie 'The Wizard of Oz', but he developed an allergy to the aluminium dust that was used in the makeup. He ended up in hospital and had to walk away from the part. Ebsen blamed 'The Wizard of Oz' on persistent problems that he had with his lungs in subsequent years. But Ebsen lived 16 years longers that any of the other major cast members of the film, so maybe he got the last laugh!"
AIR_,"AIRE.    	Knottingly is in Yorkshire in the north of England, not far from where I went to graduate school (lucky for me doing this puzzle). The biggest city on the River Aire in Yorkshire is Leeds."
ODOU_,"O'DOUL.    	Lefty O'Doul was from San Francisco. He owned a restaurant in the city that bears his name, and it still operates today (near Union Square). There's a bridge near AT&T Park, the Giant's relatively new ball park, that's called Lefty O'Doul Bridge."
LUC_A,"LUCIA.    	'Lucia di Lammermoor' is an 1835 opera by Gaetano Donizetti, which is loosely based on the historical novel 'The Bride of Lammermoor' written by Sir Walter Scott."
_XY,"OXY.    	Oxy-10 is a brand name for a medication with the active ingredient benzoyl peroxide. Benzoyl peroxide is used as an ace treatment, dyeing hair, whitening teeth, and is used in the preparation of flour."
DION_,"DIONE.    	Dione is a moon of Saturn discovered in 1684 by Cassini. Originally, Cassini named the four satellites of Saturn that he discovered ""Sidera Lodoicea"" (the stars of Louis). In so doing he was honoring King Louis XIV of France. These ""stars of Louis"" were individually named after Greek gods in 1847."
ACH_SON,ACHESON.    	Dean Acheson was the Secretary of State in President Truman's administration. Perhaps his most important contribution was convincing the president to get the US involved in the Korean War in 1950.
_AIF,"NAIF.    	A naïf is someone who is naive, as ""naïf"" is the French word for ""naive""."
T_ERAVEN,"THE RAVEN.    	""The Raven"" is a narrative poem by Edgar Allen Poe, and tells of a student who has lost the love of his life, Lenore. A raven enters his bedchamber and perches on a bust of Pallas. The raven can talk, to the student's surprise, but says nothing but the word, 'nevermore'. As the student questions all aspects of his life, the raven taunts him with the same comment, 'nevermore'. Finally the student decides that his soul is trapped beneath the raven's shadow and shall be lifted ""nevermore"" ..."
_ECTIN,PECTIN.    	Pectin is a starch-like material found in the cell walls of plants. It can be extracted from plants (usually citrus fruit) and then is used in cooking as a gelling agent.
TR_TT,"TRITT.    	Travis Tritt is a country singer from Marietta, Georgia. T-R-O-U-B-L-E was the third album he released, in 1992."
IA_BIC,"IAMBIC.    	An iamb is a general term for metrical foot in poetry. Iamb was originally the name of a particular meter, a short unstressed syllable followed by a stressed syllable, as in the word itself, i-amb."
AL_,"ALD.    	The term ""alderman"" comes from English law, and is used for a member of a municipal assembly or council. In some locations in the US, instead of a city council, some cities have a Board of Aldermen."
P_DUA,"PADUA.    	The city of Padua is in northern Italy, not far from Venice. Padua has many claims to fame. Galileo was one of the lecturers at the University of Padua, for example. And, William Shakespeare chose the city as the setting for his play 'The Taming of the Shrew'."
E_LIPSE,"ECLIPSE.    	A lunar eclipse occurs when the moon passes into the shadow cast by the earth from the light of the sun, in other words when the earth is positioned directly between the sun and the moon. The more spectacular solar eclipse takes place when moon passes in front of the sun, so that the earth falls into the shadow cast by the moon."
APHI_,"APHIS.    	What we commonly call aphids belong to the genus ""aphis""."
DANS_,"DANSK.    	Dansk is actually an American company, founded in 1954 by an American couple in the garage of their home in Great Neck, New York. The company was set up to showcase the flatware designs of Danish designer Jens Quistgaard. The name ""Dansk"" is Danish for ""Danish""!"
ROS_N,ROSEN.    	A wormhole is a theoretical shortcut that connecting two points in the space-time continuum. Got that ...?
SAG_S,"SAGAS.    	HBO's 'Game of Thrones' is a fantasy television drama that is adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually filmed in and around Belfast, Northern Ireland."
A_IEUX,"ADIEUX.    	In French, adieux (goodbyes) may evoke tristesse (sadness)."
A_YLUM,"ASYLUM.    	""Asylum"" is a Latin word, meaning ""sanctuary""."
STAM_,"STAMP.    	Postage stamps were first introduced in 1840 in the UK, with the first stamp sold being the famous penny black, adorned with the head of Queen Victoria. Perforations weren't added to stamps for some time, first being used in 1854."
AX_NS,"AXONS.    	A nerve cell is more correctly called a neuron, and the long nerve fiber that forms part of the neuron is called the axon."
