Lollapalooza.   		4 letters,"ONER.    	A lollapalooza is something outstanding, one of a kind."
Artist's base.   		5 letters,GESSO.    	Gesso is the Italian word for 'chalk' and gives its name to the powdered calcium carbonate that is used as a primer coat under artistic panel paintings. The gesso is mixed with a glue and applied to wood so that it acts as an absorbent surface for paint.
Quaint literary work.   		4 letters,"IDYL.    	An idyl is a short poem with a pastoral theme, usually depicting the scene in romantic and idealized terms. The word comes from the Greek ""eidyllion"", which literally translates to ""little picture"" but was a word describing a short, poem with a rustic theme."
Pearl Buck heroine.   		5 letters,"O-LAN.    	Pearl S. Buck's novel ""The Good Earth"" won a Pulitzer in 1932, and helped Buck win the Nobel Prize for literature a few years later. The story tells of life in a Chinese village, and follows the fortunes of Wang Lung and his wife O-Lan. Although ""The Good Earth"" has been around a while, it hit the best seller list again in 2004 when it was picked by Oprah's Book Club."
One side of the Detroit River.   		7 letters,"ONTARIO.    	The Canadian province of Ontario takes its name from the Great Lake. In turn, Lake Ontario's name is thought to be derived from ""Ontari:io"", a Huron word meaning ""great lake"". Ontario is home to the nation's capital, Ottawa, as well as Toronto, Canada's most populous city (and capital of the province)."
___ Pieces.   		7 letters,"REESE'S.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'pieces' ..."
Riemann ___ function.   		4 letters,"ZETA.    	The Riemann zeta function has a significant place in mathematics, primarily (pun!) due to its relation to the distribution of prime numbers. The function was introduced by Leonhard Euler, but was extended by Bernhard Riemann after whom the function is named."
Ancient Persian.   		4 letters,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-claimed ""king of all media""!)."
TV announcer Johnny.   		5 letters,"OLSON.    	Johnny Olson was the announcer on ""The Price is Right"" from day one in 1972, until he passed away in 1985."
Resort near Venice.   		4 letters,"LIDO.    	The Lido di Venezia is a famous sandbar, about 11 km long, in Venice, Italy. It may be a sandbar, but it is home to about 20,000 residents, as well as the Venice Film Festival that takes place there every September. The Lido is also the setting for Thomas Mann's famous novel ""Death in Venice"". The name 'lido' has become a term for any fashionable beach resort."
"Supposed ""fifth taste"".   		5 letters","UMAMI.    	Umami is one of the five basic tastes, along with sweet, sour, bitter and salty. 'Umami' is a Japanese word used to describe ""a pleasant savory taste'. Umami was proposed as a basic taste in 1908, but it wasn't until 1985 that the scientific community finally accepted it as such."
"Where ""Otello"" premiered, with ""La"".   		5 letters","SCALA.    	Giuseppe Verdi's opera ""Otello"" was first performed in 1887 at the La Scala Theater in Milan. It is based on Shakespeare's ""Othello"" and is considered by many to be Verdi's greatest work."
Rap's ___ Kim.   		4 letters,"LIL'.    	Lil' Kim is the stage name of rap artist Kimberly Denise Jones from Brooklyn, New York. Lil' Kim spent a year in jail in 2005 for lying to a jury in a case about a shooting."
Civil rights grp.   		5 letters,"NAACP.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by three white people: suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz."
"End of an alphabet that begins Alpha, Bravo, Charlie.   		4 letters","ZULU.    	The NATO phonetic alphabet is also called the International Civil Aviation Organization (ICAO) phonetic alphabet. It goes Alfa, Bravo, Charlie etc."
Only U.S. state in which the name of the state and its capital share no letters: Abbr..   		5 letters,"S DAK.    	This is an old chestnut in the world of trivia ... what's the only state capital in the Union in which the name of the capital and the name of its state share no common letters? You guessed it ... Pierre, South Dakota ..."
"Wake-up times, for short.   		3 letters","AMS.    	The 12-hour clock has been around a long time, and was even used in sundial format in Ancient Egypt. Our use of AM and PM dates back to Roman times, with AM standing for Ante Meridiem (before noon) and PM standing for Post Meridiem (after noon). However, the Romans originally used the AM concept a little differently, by counting backwards from noon. So, 2AM to the Romans would be two hours before noon, or 10AM as we would call it today."
"Actress De La Garza of ""Law & Order"".   		5 letters","ALANA.    	Alana de la Garza is an actress from Columbus, Ohio. De la Garza is perhaps best known for her recurring role as Connie Rubirosa on television's 'Law & Order'."
[See instructions].   		3 letters,BAT.    	
Big ones can impede progress.   		4 letters,"EGOS.    	""Ego"" is another word for ""the self"", and is used to distinguish oneself from others and the world around one. In psychoanalysis, the ego is that division of the psyche that is most in touch with external reality, the part that is conscious. ""Ego"" is a Latin word meaning ""I""."
A giraffe might be seen on one.   		6 letters,"SAFARI.    	""Safari"" is a Swahili word, meaning ""journey"" or ""expedition""."
1985 John Malkovich drama.   		5 letters,"ELENI.    	Nicholas Gage is a Greek-American author and investigative journalist. He wrote two memoirs, ""Eleni"" and ""A Place for Us"". ""Eleni"" tells of his life in Greece during WWII and the Greek Civil War. The title is a tribute to his mother, Eleni, who was executed by Communists who occupied her village simply because she helped her children escape from the ravages of a war of occupation. ""Eleni"" was adapted into a movie in 1985, and starred John Malkovitch as Gage."
Second word in many limericks.   		4 letters,ONCE.    	There once was a ...'
Bernard formerly of CNN.   		4 letters,"SHAW.    	Bernard Shaw was a longtime news anchor for CNN, who retired in 2001. I remember his vivid reports from Baghdad during the 1991 Gulf War when he described cruise missiles flying past the window of his hotel room."
Halloween follower: Abbr..   		3 letters,"NOV.    	All Saints' Day is November 1st each year. The day before All Saints' Day is All Hallows Eve, better known by the Scottish term, ""Halloween"". "
Sicilian tourist attraction.   		7 letters,"MT ETNA.    	Mt Etna is the largest of three active volcanoes in Italy, about 2 1/2 times the height of its equally famous sister, Mt Vesuvius."
Flying Pan.   		5 letters,"PETER.    	Peter Pan' is a musical adaptation of J.M. Barrie's 1904 play of the same name. The musical opened on Broadway in 1954, famously starring Mary Martin in the title role. NBC recorded three separate telecasts of the stage production with the original cast, in 1955, 1956 and 1960. NBC broadcast a revived version of the musical in 2014 called 'Peter Pan Live!' with Allison Williams playing Peter, and Christopher Walken playing Captain Hook. Unlike the earlier recordings, the 2014 version was not well received."
Amount subtracted from gross weight.   		4 letters,"TARE.    	""Tare"" is the weight of a container that is deducted from the gross weight to determine the net weight, the weight of the container's contents."
"Wall Street overseer, for short.   		3 letters",SEC.    	The US Securities and Exchange Commission (SEC).
"Here, in Juárez.   		3 letters","ACA.    	""Aca"" is Spanish for ""here""."
King of Portugal.   		3 letters,REI.    	'Rei' is the Portuguese word for 'king'.
Black Knights' home: Abbr..   		4 letters,"USMA.    	The Army Black Knights is the name given to the athletic teams of the United States Military Academy. The name was originally ""The Black Knights of the Hudson"", given as the academy's football team wore black uniforms, and West Point is situated on the Hudson River in New York State."
"Letters in the Greek spelling of ""Parthenon"".   		3 letters","NUS.    	The Latin equivalent of the Greek letter nu is ""N"". An uppercase nu looks just like the Latin capital N, however, the lowercase nu looks like our lowercase ""v"". Very confusing ..."
"""House"" actor.   		4 letters","EPPS.    	Omar Epps is the actor who plays Dr. Eric Foreman on the excellent television series ""House"". Prior to playing Dr. Foreman, Epps had a recurring role playing Dr. Dennis Grant on ""ER"". And, in another link to the world of medicine, Epps was born in Savannah, Georgia to single mom, Dr. Bonnie Epps."
"Prop in ""Snow White and the Seven Dwarfs"".   		5 letters","APPLE.    	In the original Brothers Grimm fairy tale called ""Snow White"", the seven dwarfs were not given any names. The names were added for the 1937 classic Disney film ""Snow White and the Seven Dwarfs"". The seven dwarfs are:"
"The ""thee"" in ""Get thee to a nunnery"".   		7 letters","OPHELIA.    	In Shakespeare's ""Hamlet"", Ophelia is courted by Hamlet. In Act III, Hamlet is pretty depressed and upset, and addresses Ophelia with the famous line ""Get thee to a nunn'ry, why woulds't thou be a breeder of sinners?"" In this scene, Hamlet is denying that he ever loved Ophelia, and exorts her to ""become a nun"", so that she may never have to give birth to someone as pitiful and sinful as he himself is."
Jason of the N.B.A.   		4 letters,KIDD.    	Jason Kidd is a point guard playing for the Dallas Mavericks NBA team.
Orpheus' instrument.   		4 letters,"LYRE.    	Orpheus is a figure from Greek mythology, very often associated with poetry, singing, music and the lyre in particular. In ancient Greece there was even an Orphic cult that in effect adopted the poetry ascribed to Orpheus as central to the cult's belief system. The adjectives ""Orphic"" and ""Orphean"" describe things pertaining to Orpheus, and because of his romantic, musical bent, the term has come to mean something melodious or enchanting."
Where somebody might be spotted.   		3 letters,"GYM.    	People at the gym who are doing weight training will often ""spot"" for each other. This means that the person who is spotting assists in the lift, allowing the 'lifter' to work with more weight than usual."
"Number crunchers, for short.   		4 letters",CPAS.    	Certified Public Accountants.
"""Sketches by ___"" (1830s work).   		3 letters","BOZ.    	Sketches by 'Boz'' is a book of short pieces by Charles Dickens that was first published in 1836, with illustrations by George Cruikshank."
"Sloth, e.g.   		3 letters","SIN.    	""Sloth"", meaning ""indolence, sluggishness"", comes from the Middle English word ""slowe"", wich is also the root of our contemporary word ""slow"". The animal called a sloth is named for its slow-moving behavior."
Dough.   		5 letters,"MOOLA.    	Lettuce, cabbage, kale, dough, scratch, simoleons, clams and moola are all slang terms for money."
Beast on Botswana's coat of arms.   		5 letters,"ZEBRA.    	Botswana is a country in southern Africa, located just north of South Africa. Someone from Botswana is called a ""Motswana"" (yes, with an M), with the plural being ""Batswana"" (yes, with a B)."
First name among celebrity chefs.   		6 letters,"EMERIL.    	Emeril Lagasse is an American chef, born in Massachusetts. Lagasse first achieved notoriety as executive chef in Commander's Palace in New Orleans. Now famous for his television shows, his cuisine still showcases New Orleans ingredients and influences. Lagasse started using his famous ""Bam!"" catchphrase in order to keep his crew awake during repeated tapings of his show."
D-Day transports: Abbr..   		4 letters,"LSTS.    	LST stands for Landing Ship, Tank. LSTs were the large vessels used mainly in WWII that had doors at either ends through which tanks and other vehicles could roll off and onto beaches. The design concept persists to this day in the huge fleet of commercial roll-on/roll-off car ferries, all inspired by the LST."
Frittata alternative.   		5 letters,"CREPE.    	The word ""frittata"" is Italian, and comes from ""fritto"" meaning ""fried""."
"D-Day refuges for the wounded, for short.   		4 letters","LSTS.    	LST stands for Landing Ship, Tank. LSTs were the large vessels used mainly in WWII that had doors at either ends from which tanks and other vehicles could roll off and onto beaches. The design concept persists to this day in the huge fleet of commercial roll-on/roll-off ferries, all inspired by the LST."
Kentucky Derby winner's wreath.   		5 letters,"ROSES.    	The first Kentucky Derby was run in 1875, and is a race modelled on the Epsom Derby in England and the Grand Prix de Paris (now called the 'Prix de l'Arc de Triomphe'). As such, The Kentucky Derby was run over 1&#189; miles, although in 1896 this was shortened to 1&#188; miles. The winning horse is presented with a very elaborate blanket made of red roses."
Once-popular Olds.   		5 letters,"CIERA.    	Oldsmobile made the Cutlass Ciera from 1982 to 1996, the brand name's most successful model."
Vampire ___ (fanged fish).   		5 letters,"TETRA.    	The Payara is also known as the ""vampire fish"", as it has two long fangs that protrude upwards from the bottom jaw. Paradoxically, the main part of the Payara's diet is the so-called man-eating piranha."
"The ""S"" in E.S.T.: Abbr..   		3 letters",STD.    	Eastern Standard Time (EST)
"Brand once advertised with the jingle ""We wear short shorts ..."".   		4 letters","NAIR.    	Nair is a hair removal product that has some pretty harsh ingredients. The most important active constituents are calcium hydroxide (""slake lime"") and sodium hydroxide (""caustic soda""). The balance of the ingredients seem to be there to soothe the skin after the harsher chemicals have done their job. The name ""Nair"" probably comes from combining ""no"" and ""hair""."
Ty with batting titles.   		4 letters,"COBB.    	Ty Cobb was one of the richest baseball players of all times. When he retired he was a major stockholder of the Coca-Cola Corporation, and when he passed away he had an even bigger investment in General Electric. He left and estate worth about $86m in 2008 dollars."
"Pastor, for short.   		3 letters","REV.    	A pastor might be called Reverend. The title Very Reverend is reserved for Deans, Right Reverend for bishops, and Most Reverend for archbishops."
"""Streamers"" playwright.   		4 letters","RABE.    	David Rabe is an American playwright, a veteran of Vietnam. He is the author of a Vietnam War Trilogy of plays:"
Many an email attachment.   		3 letters,"PDF.    	Portable Document Format (PDF) is a file format introduced by Adobe Systems in 1993. PDF documents can be shared between users and read using many different applications, making them more universally accessible than documents saved by one particular program."
Person under the Union Jack.   		4 letters,"BRIT.    	The Union Jack is a ""jack"" (a flag) representing the ""Union"" (the United Kingdom of Great Britain and Northern Ireland). The flag is made up of three crosses:"
"Uncle on ""The Fresh Prince of Bel-Air"".   		4 letters","PHIL.    	On the nineties sitcom 'The Fresh Prince of Bel-Air', the patriarch Philip Banks was played by James Avery."
Big maker of microchips.   		5 letters,"INTEL.    	Intel is the world's largest manufacturer of semiconductor chips. The company was founded in 1968, and the name 'Intel' is a derived from the term ""int(egrated) el(ectronics)""."
___ McAn shoes.   		4 letters,"THOM.    	Thom McAn footwear was introduced in 1922 by the Melville Corporation (now CVS Caremark). The brand was named after a Scottish golfer called Thomas McCann. The Thom McAn line is epitomized by the comfortable leather casual and dress shoe, so sales have really been hurt in recent decades by the growing popularity of sneakers."
Not kosher.   		4 letters,"TREF.    	According to Jewish dietary law, kosher food is ""fit"" to eat, and food that is not kosher is called treif (or tref)."
One subjugated by Cyrus the Great.   		4 letters,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-claimed ""king of all media""!)."
"Chevrolet Equinox, e.g.   		3 letters","SUV.    	The term SUV, for Sports Utility Vehicle, was introduced by our marketing friends. Using the term Sports Utility Vehicle was a very clever way to get us to pay a lot of money for what was essentially a station wagon on a truck chassis, or at least it was back then."
Intl.   		6 letters,"N-TEST.    	There are two classes of nuclear weapons, both of which get the energy for the explosion from nuclear reactions. The first nuclear bombs developed, called atomic bombs (A-bombs), use fission reactions. In an atomic bomb, uranium nuclei are split into smaller nuclei with the release of an awful lot of energy in the process. The second class of nuclear weapons are fusion bombs. Fusion devices are also called thermonuclear weapons or hydrogen bombs (H-bombs). In a fusion reaction, the nuclei of hydrogen isotopes are fused together to form bigger nuclei, with the release of even greater amounts of energy than a fission reaction."
Portuguese king.   		3 letters,REI.    	'Rei' is the Portuguese word for 'king'.
Fruit related to cherry plums.   		5 letters,"SLOES.    	The sloe is the fruit of the blackthorn bush, and is the flavoring that gives gin its distinctive taste."
Black flower in a Dumas title.   		5 letters,TULIP.    	The Black Tulip' is an 1850 novel by the French author Alexandre Dumas. Part of the novel's storyline is a competition in the Netherlands among the nation's best gardeners to grow a black tulip.
Lane in a strip.   		4 letters,LOIS.    	Lois Lane has been the love interest of Superman/Clark Kent since the comic series was first published in 1938. Lois and Clark both work for the big newspaper in the city of Metropolis called 'The Daily Planet'. The couple finally got hitched in the comics (and on television's 'Lois and Clark') in 1996. But never mind all that ... one has to wonder how challenging the crossword is in 'The Daily Planet' ...
Yorke of rock's Radiohead.   		4 letters,"THOM.    	Radiohead is an alternative rock band from England, formed in 1985."
Feds.   		5 letters,"G-MEN.    	The nickname G-men is short for ""Government Men""."
"""___ Little Teapot"".   		5 letters","I'M A.    	The children's song 'I'm a Little Teapot' was written and published in 1939, composed by a married couple who ran a dance school for children. They needed a simple tune that young ones could use to learn a simple tap routine, and came up with this:"
One of a deadly seven.   		3 letters,SIN.    	The seven deadly sins are:
"""The Godfather"" actress Shire.   		5 letters","TALIA.    	The actress Talia Shire is best-known for playing Rocky's wife Adrian in the 'Rocky' series of movies. She also played Connie, the daughter of Don Corleone, in 'The Godfather' films. Shire is the sister of movie director Francis Ford Coppola and the aunt of actor Nicolas Cage. Her son is the actor Jason Schwartzman."
Cutesy sign-off.   		4 letters,"XOXO.    	In the sequence XOXO, I think the X represents a kiss, and the O a hug. Hugs and kisses ..."
Offering from the Brothers Grimm.   		4 letters,"TALE.    	The Brothers Grimm (Jacob and Wilhelm) were two German academics noted for collecting and publishing folk tales. Among the tales in their marvelous collection are 'Snow White and the Seven Dwarfs', 'Sleeping Beauty' and 'Cinderella'."
Mythical abductee.   		5 letters,"HELEN.    	According to Greek mythology, Helen was the daughter of Zeus and Leda. When Helen reached the age of marriage, she had many suitors as she was considered the most beautiful woman in the world. Menelaus was chosen as her husband, and he took her back to his home of Sparta. Paris, a Trojan prince, seduced Helen, as she eloped with him and travelled to Troy. This event sparked the Trojan War that waged between the city of Troy and Greece. Because of this war, Helen was said to have 'the face that launched a thousand ships'. And because of this phrase, it has been suggested, probably by author Isaac Asimov, that the amount of beauty needed launch a single ship is one 'millihelen'."
"Sufficiently, in poetry.   		4 letters","ENOW.    	'Enow' is an archaic form of the word ""enough""."
Actress Berry.   		5 letters,"HALLE.    	The beautiful and talented actress Halle Berry was the first African American woman to win a Best Actress Oscar, which she received for her performance in the 2001 movie ""Monster's Ball"". Berry also won a Golden Raspberry Award for Worst Actress in 2005 for playing the title role in ""Catwoman"", and she very graciously accepted that award in person. Good for her!"
"Potential landfill pollutants, for short.   		4 letters",PCBS.    	Polychlorinated biphenyl (PCB) ...
2011 International Tennis Hall of Fame inductee.   		6 letters,"AGASSI.    	""Open"" is the autobiography of tennis professional Andre Agassi, published in 2009. An amazing revelation in the book is that Agassi's famous head of hair was actually a wig for much of his playing career. Can you imagine how hard it must have been to play tennis at his level, with a rug stuck on?"
"Cameron and Blair, for short.   		3 letters","PMS.    	The Prime Minister (PM) of the UK has powers equivalent to the US President, but with major differences. The office of prime minister exists by convention and not by any constitution. The convention is that the King or Queen of England appoints as PM the person most likely to have the confidence of the House of Commons, and that person is usually the leader of the party with the most seats in the Commons. There is no term limit and the PM serves 'at his/her majesty's pleasure'. The first UK PM wasn't actually called 'Prime Minister' and the person first attributed with the equivalent powers was Sir Robert Walpole, the First Lord of the Treasury in 1721. The incumbent PM is David Cameron, the leader of the Conservative Party."
"When doubled, cry before ""pants on fire"".   		4 letters",LIAR.    	The full rhyme used by children to deride someone not telling the truth is:
Grps.   		4 letters,PTAS.    	Parent-Teacher Association (PTA)
Michelle on a fairway.   		3 letters,WIE.    	Michelle Wie is an American golfer on the LPGA Tour. She began playing golf at the age of four and was the youngest player ever to qualify for an LPGA tour event. Wie turned pro just before her 16th birthday ...
"Peace, to Pliny.   		3 letters",PAX.    	'Pax' is the Latin word for 'peace'.
"Duchess of Cambridge, to friends.   		4 letters","KATE.    	Kate Middleton is the wife of Prince William of the UK. Middleton is what one might call a commoner, although since her marriage she is known as the Duchess of Cambridge. She was born to parents who had worked together as flight attendants before becoming quite wealthy running their own mail-order business. As is so often the case in Britain, Kate's ancestry can be traced back far enough to show that she and William do have common ancestors, dating back to the 1500s on her mother's side and to the 1400s on her father's side."
Leftover bit.   		3 letters,ORT.    	Orts are small scraps of food left after a meal. 'Ort' comes from Middle English and originally described scraps left by animals.
Builder's map.   		4 letters,"PLAT.    	A plat is a map showing actual and planned features, so a town might have a plat showing existing and intended buildings. New to me ... I thought it had to be PLAN."
Small concession.   		4 letters,BONE.    	Throw me a bone ...
"Enchanted world in ""Return of the Jedi"".   		5 letters","ENDOR.    	The Ewoks are creatures that live on the moon of Endor, first appearing in ""Star Wars Episode VI: Return of the Jedi"". They're the cute and cuddly guys that look like teddy bears."
Monica who won nine tennis majors.   		5 letters,"SELES.    	Monica Seles has a Hungarian name as she was born to Hungarian parents in former Yugoslavia. Seles was the World No. 1 professional tennis player in 1991 and 1992 before being forced from the sport when she was stabbed by a spectator at a match in 1993. She did return to the game two years later, but never achieved the same level of success."
"DiMag, e.g., for his entire career.   		4 letters","ALER.    	Joe DiMaggio was born not too far from here, in Martinez, California, the son of Italian immigrants. The family moved to San Francisco when Joltin' Joe was just a baby. Joe's Dad was a fisherman, and it was his hope that all his sons would follow him into his trade. But Joe always felt sick at the smell of fish, so fishing's loss was baseball's gain."
High-performance cars.   		3 letters,"GTS.    	GT stands for ""Grand Touring"" or ""Gran Turismo""."
File name ending in Adobe Acrobat.   		3 letters,"PDF.    	Portable Document Format (PDF) is a file format introduced by Adobe Systems in 1993. PDF documents can be shared between users and read using many different applications, making them more universally accessible than documents saved by one particular program."
"Katharine of ""The Graduate"".   		4 letters","ROSS.    	The actress Katharine Ross is best known for two major roles, playing Elaine Robinson in 'The Graduate', and Etta Place in 'Butch Cassidy and the Sundance Kid'. Ross is married to the actor Sam Elliott. Although the couple both appeared in 'Butch Cassidy ...' , in different scenes, they didn't actually meet and start dating until 1978, almost ten years later."
Kids' building toys.   		5 letters,"LEGOS.    	Lego is manufactured by Lego Group, a privately held company headquartered in Billund, Denmark. The company was founded by a carpenter called Ole Kirk Christiansen in 1934 and the now-famous plastic interlocking blocks were introduced in 1949. The blocks were originally sold under the name ""Automatic Binding Bricks"" but I think ""Lego"" is easier to remember! The name ""Lego"" comes from the Danish term ""leg godt"" meaning ""play well""."
Claptrap.   		5 letters,"TRIPE.    	'Tripe' is an informal term meaning 'rubbish, of little value'. Tripe is actually the rubbery lining of say a cow, that in the UK is traditionally eaten with onions."
"Us, e.g.   		3 letters","MAG.    	'Us Weekly' is a celebrity gossip magazine, first published in 1977."
Republican candidate between Bush and Bush.   		4 letters,"DOLE.    	Despite all Bob Dole's success in the world of politics, he is remembered by many as the VP candidate who lost to Walter Mondale (and Jimmy Carter) and the presidential candidate who lost to incumbent Bill Clinton. The man is a true war hero. He joined up in 1942 and fought with the Army's 10th Mountain Division in Italy. In 1945 he was hit by machine gun fire in his right arm and back, so badly injured that his comrades could only dose him up with morphine, write ""M"" on his forehead with his own blood (so that another, fatal dose of morphine would not be administered) and continue fighting the battle. Dole had to wait nine hours to be evacuated from the battlefield, and wait another three years before being discharged from hospital back in the States."
F.D.R.   		5 letters,"NANCE.    	John Nance Garner was Speaker of the House when he ran against New York Governor, Franklyn Roosevelt for the nomination for the presidential race in 1932. When it was clear that Roosevelt was to win the nomination, he cut a deal with FDR and joined the ticket as candidate for Vice President. When the two Democrats won, they were sworn into office on March 4, 1933. As Garner was still Speaker of the House at the time, he is the only person to have held the office of Speaker and Vice President on the same day."
Who says?.   		5 letters,"SIMON.    	Simon Says' is a kids' game. The idea is for the players of the game to obey the 'controller' who gives instructions. But the players should only obey when the controller uses the words, 'Simon says ...'. The game has very old roots, with a Latin version that uses the words 'Cicero dicit fac hoc' (Cicero says do this)."
Five Jacksons.   		6 letters,"C-NOTE.    	The 20-dollar bill is called a ""Jackson"" as it bears the portrait of President Andrew Jackson on the front side of the bill. Over one-fifth of all notes printed today are 20-dollar bills, and the average life of a ""Jackson"" is a little over 2 years after which it is replaced due to wear."
"Benjamin Franklin's ""The Morals of ___"".   		5 letters","CHESS.    	Benjamin Franklin was an enthusiastic and able chess player, and was the first American lauded as a chess player in the New World. He wrote an essay called ""The Morals of Chess"" published in 1786, making it the second-oldest American publication on the subject. It took him a while to get into the US Chess Hall of Fame though, being inducted in 1999, over 200 years after his death."
Some expensive hors d'oeuvres.   		4 letters,"ROES.    	An hors d'oeuvre is the first course in a meal. 'Hors d'oeuvre' translates from French as 'apart from the work', really meaning 'not the main course'."
"""Sesame Street"" subjs.   		3 letters","RRR.    	Reading, 'riting and 'rithmetic ..."
Old Olds.   		5 letters,"CIERA.    	Oldsmobile made the Cutlass Ciera from 1982 to 1996, the brand name's most successful model."
Actress Daniels or Neuwirth.   		4 letters,"BEBE.    	Bebe Daniels was a singer, dancer and a prolific actress. Starting in the silent movie era, Daniels made over 230 films."
R.S.V.P.   		4 letters,"S'IL.    	RSVP stands for ""Répondez s'il vous plaît"", which is French for ""please, answer""."
Late-night host before Carson.   		4 letters,"PAAR.    	Jack Paar was most famous as the host of 'The Tonight Show', from 1957 to 1962. When he died in 2004, 'Time' magazine wrote that Paar was 'the fellow who split talk show history into two eras: Before Paar and Below Paar'. Very complimentary ..."
They may fall apart under cross-examination.   		6 letters,"ALIBIS.    	""Alibi"" is the Latin word for ""elsewhere"" as in, ""I claim that I was 'elsewhere' when the crime was committed ... I have an 'alibi'""."
Gaelic speaker.   		4 letters,"CELT.    	The Celts were a very broad group of people across Europe, linked by common languages. The Celts were largely absorbed by other cultures, although a relatively modern revival of the ""Celtic identity"" is alive and well in the British Isles. Such Celtic peoples today are mainly found in Ireland, Scotland, Wales."
"Capital One competitor, for short.   		4 letters","AMEX.    	'Amex' is short for American Express. In dollar terms, there are more transactions conducted in the US using American Express than any other card."
Antifur org.   		4 letters,"PETA.    	People for the Ethical Treatment of Animals (PETA) is a very large animal rights organization, with 300 employees and two million members and supporters worldwide. Although the group campaigns for animal rights across a broad spectrum of issues, it has a stated focus in opposition of four practices:"
Org.   		4 letters,"PETA.    	People for the Ethical Treatment of Animals (PETA) is a very large animal rights organization, with 300 employees and two million members and supporters worldwide. Although the group campaigns for animal rights across a broad spectrum of issues, it has a stated focus in opposition of four practices:"
"Bears, in Baja.   		4 letters","OSOS.    	Oso, the Spanish for ""bear"". Baja California is both the most northern, and the most western of the Mexican states."
Mr.   		4 letters,"MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. In the movies, Mr. Moto was famously played by Peter Lorre in a series of eight films from the 1930s."
"Night to watch ""The Office"": Abbr..   		3 letters","THU.    	The excellent sitcom ""The Office"" is set in a branch of a paper company in Scranton, Pennsylvania. If you haven't seen the original UK version&nbsp;starring Ricky Gervais, I do recommend you check it out. Having said that, the US cast has taken the show to a whole new level. Great television &#8230;"
Antipoverty agcy.   		3 letters,"OEO.    	The Office of Economic Opportunity (OEO) was created during the Lyndon Johnson administration. The agency was responsible for administering the War on Poverty programs that were part of the President Johnson's Great Society agenda. The OEO was shut down by President Nixon, although some of the office's programs were transferred to other agencies. A few of the OEO's programs are still around today, like Head Start for example."
College sci.   		4 letters,ASTR.    	Astronomy can be a college science class.
Feds.   		5 letters,"G-MEN.    	The nickname 'G-men' is short for ""Government Men"" and refers to agents of the Federal Bureau of Investigation."
FedEx rival.   		3 letters,"DHL.    	Back in the sixties, Larry Hillblom was making pocket money as a Berkeley law student by doing courier runs between San Francisco and Los Angeles. After law school, he decided to parlay his experience into his own business, and set up a courier service flying bills of lading ahead of freight from San Francisco to Honolulu. Hillblom brought in two buddies, Adrian Dalsey and Robert Lynn as partners, and the three were soon hopping on and off commercial flights, gradually making more and more money. And DHL was born ... D (Dalsey) H (Hillblom) L (Lynn)."
Tenure (Neuter).   		4 letters,"SPAY.    	Our verb 'to spay', meaning 'to surgically remove the ovaries of' (an animal) comes from an old Anglo-French word 'espeier' meaning 'to cut with a sword'."
End it with suddenly.   		4 letters,"JILT.    	To ""jilt"" someone with whom you have a relationship is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
Migratory seabird.   		4 letters,"TERN.    	Terns are seabirds that are found all over the world. The Arctic Tern makes a very long-distance migration. One Arctic Tern that was tagged as a chick in Great Britain in the summer of 1982, was spotted in Melbourne, Australia just three months later. The bird had traveled over 14,000 miles in over those three months, an average of about 150 miles a day. Remarkable ..."
Units of resistance.   		4 letters,"OHMS.    	The unit of electrical resistance is the ohm (with the symbol omega) named after German physicist Georg Simon Ohm. Ohm was the guy who established experimentally that the amount of current flowing through a circuit is directly proportional to the voltage applied, (V=IR) a relationship that every schoolkid knows as Ohm's Law."
Bosox legend.   		3 letters,YAZ.    	Yaz was the nickname for Carl Yastrzemski who played his whole career with the Boston Red Sox.
"Dallas cager, for short.   		3 letters","MAV.    	The Mavericks is the name of the NBA franchise in Dallas, Texas. The team was founded in 1980, and the Mavericks name was chosen by fan votes. The choice of 'Mavericks' was helped on by the fact that the actor James Garner was a part-owner of the team, and Garner of course played the title role in the 'Maverick' television series."
Stop on many a Caribbean cruise.   		6 letters,"NASSAU.    	Nassau, the capital of the Bahamas, used to be called Charles Town. After having been burnt to the ground by the Spanish in 1684, it was rebuilt and named Nassau in honor of King William III of England, a Dutchman from the House of Orange-Nassau (aka William of Orange). Nassau is a favored location for the James Bond series of movies. The city and surroundings feature in ""Thunderball"", ""Never Say Never Again"", ""Casino Royale"" and ""For Your Eyes Only""."
