One-sixth of diciotto.   		3 letters,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
Actor Mineo.   		3 letters,"SAL.    	The actor Sal Mineo's most famous role was John 'Plato' Crawford, the kid who was in awe of the James Dean character in 'Rebel Without a Cause'. Sadly, Mineo was murdered in 1976 when he was just 37 years old. He was attacked in the alley behind his Los Angeles apartment and stabbed through the heart. When an arrest was made it was discovered that the murderer had no idea that his victim was a celebrity, and that his plan was just to rob anyone who came along."
___ Noticias (New York Hispanic paper).   		3 letters,"LAS.    	'Las Noticias' is a Hispanic publication serving the Latino community in Kingston, New York."
[Ignore prior marks].   		4 letters,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
Writer James.   		4 letters,"AGEE.    	James Agee was a noted American film critic. He wrote an autobiographical novel ""A Death in the Family"" that won him his Pulitzer in 1958, albeit posthumously."
[Ignore edit].   		4 letters,"STET.    	Stet is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change, and then underscoring the change with a line of dots (or dashes)."
Pre-1917 autocrat.   		4 letters,"TSAR.    	The term czar (also tsar) is a Slavic word that was first used as a title by Simeon I of Bulgaria in 913 AD. ""Czar"" is derived from the word ""Caesar"", which was synonymous with ""emperor"" at that time."
Shade similar to camel.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
Genesis grandson.   		4 letters,ENOS.    	Enos was the son of Seth and the grandson of Adam and Eve.
Beats by ___ (headphones brand).   		3 letters,DRE.    	Beats by Dre is a brand of audio products that was founded by rapper Dr. Dre.
"""___ Is Betta Than Evvah!"" (1976 album).   		4 letters","ETTA.    	Etta James is best known for her beautiful rendition of the song ""At Last"". Sadly, as she discloses in her autobiography, James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
Canadian gas brand.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company, as it uses the initial letters of Standard and Oil (ESS-O). The Esso brand was replaced by Exxon in the US, but it is still used all over the rest of the world."
"""The King and I"" heroine.   		4 letters","ANNA.    	The King and I' is a Rodgers and Hammerstein musical based on a book by Margaret Landon called 'Anna and the King of Siam' first published in 1944. Landon's book is based on a true story, told in the memoirs of Anna Leonowens. Leonowens was the governess of the children of King Mongkut of Siam in the 1860s, and she also taught the king's wives."
Shelfmate of Vogue.   		4 letters,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
Number on un orologio.   		3 letters,"TRE.    	In Italian, one can find the number 'tre' (three) on 'un orologio' (a clock)."
Card game akin to crazy eights.   		3 letters,"UNO.    	In my youth I remember being taught a great card game by a German acquaintance of mine called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
Altar constellation.   		3 letters,"ARA.    	The constellation of Ara takes its name from the Latin word for ""altar""."
James of jazz.   		4 letters,"ETTA.    	Etta James was best known for her beautiful rendition of the song ""At Last"". Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
Ready to serve.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System. In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Heckelphone lookalike.   		4 letters,"OBOE.    	A heckelphone is a musical instrument like an oboe, but pitched an octave lower. The heckelphone was invented in 1904 by a manufacturer of woodwind instruments in Germany called Wilhelm Heckel."
Chain of life?.   		3 letters,"DNA.    	Francis Crick and James Watson discovered that DNA had a double-helix, chain-like structure, publishing their results in Cambridge in 1953. To this day the discovery is mired in controversy, as some crucial results collected by fellow researcher Rosalind Franklin were used without her permission or even knowledge."
"""The Lord of the Rings"" tree creature.   		3 letters","ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth, in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
"2009 Grammy winner for ""Crack a Bottle,"" briefly.   		3 letters","DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as producing records and starting the careers of others such Snoop Dog, Eminem and 50 Cent."
Color of raw silk.   		4 letters,"ECRU.    	The shade of ecru is a grayish, yellowish brown. The word ""ecru"" comes from French, and means ""raw, unbleached"", and has the same roots as our word ""crude""."
Neutral tone.   		4 letters,"ECRU.    	The Goodyear tire company was founded in 1898. The company was named for Charles Goodyear, the man who invented vulcanized rubber in 1839. Despite the Goodyear name, Charles Goodyear himself had no connection with the company."
Fit to serve.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System (SSS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objectors available for noncombatant service), 4-A (registrants who have completed military service) and 4-D (ministers of religion)."
"Michael, e.g.   		4 letters","TSAR.    	The first Tsar of the famous House of Romanov was Mikhail I, coming to power in 1613."
"O, in a phonetic alphabet.   		4 letters","OBOE.    	Nowadays we tend to use the NATO Phonetic Alphabet (Alfa, Bravo, Charlie etc.) but before this was introduced in 1956, the Joint Army/Navy Phonetand P represented by Oboe. The NATO equivalent for O is Oscar."
Gillette product.   		4 letters,"ATRA.    	Fortunately for crossword constructors, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Retired fleet.   		4 letters,"SSTS.    	SuperSonic Transports, like the Concorde, broke Mach 1, the speed of sound."
Dr.   		3 letters,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as for producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
Razor brand.   		4 letters,"ATRA.    	The Atra was introduced by Gillette in 1977, and sold as the Contour in some markets, and its derivative products are still around today."
Pizarro's gold.   		3 letters,"ORO.    	Spanish conquistador Francisco Pizarro discovered the Incas in 1526, marking the beginning of the end for an ancient civilization that was to be ravaged by brutal Spanish colonists and by imported smallpox. The last leader of the Inca was Atahualpa. Pizarro staged a mock trial and then condemned Atahualpa to execution by burning. A Spanish friar intervened on behalf of the condemned man, as Atahualpa believed that if he was burned his soul would not move on to the afterlife. Pizarro, was kind enough to have Atahualpa garroted instead."
Jazzy James.   		4 letters,"ETTA.    	Etta James was best known for her beautiful rendition of the song 'At Last'. Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
Singer Guthrie.   		4 letters,"ARLO.    	Arlo Guthrie is the son of Woody Guthrie. Both father and son are renowned for their singing of protest songs about social injustice. Arlo is most famous for his epic ""Alice's Restaurant Massacree"", a song that lasts a full 18m 34s. In the song Guthrie tells how, after being drafted, he was rejected for service in the Vietnam War based on his criminal record. He had only one incident on his public record, a Thanksgiving Day arrest for littering and being a public nuisance when he was 18-years-old."
Self-assembly retail chain.   		4 letters,IKEA.    	Did you know that IKEA was founded by Ingvar Kamprad in 1943 .... when he was just 17-years-old??!!
Jazzy James.   		4 letters,"ETTA.    	Etta James is best known for her rendition of ""At Last"". Sadly, she discloses in her autobiography, Etta James has lived a life that has been ravaged by drug addiction, leading to numerous legal and health problems."
Standard offshoot.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
Neutral color.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
___ Blue (old kerosene brand).   		4 letters,"ESSO.    	I don't think Esso Blue was sold over here in the US, but it was very big back in Ireland and the UK. We called it paraffin oil, our name for kerosene, and used it in domestic heaters."
U.S.   		4 letters,"ASHE.    	The 37c commemorative postal stamp was released in 2005, and did indeed bear the image of Arthur Ashe."
"Stephen of ""The Crying Game"".   		3 letters","REA.    	Stephen Rea is an Irish actor from Belfast. Rea's most successful role was Fergus in 1992's 'The Crying Game', for which performance he was nominated for the Best Actor Oscar. In 'The Crying Game', Fergus was a member of the IRA. In real life, Rea was married to IRA bomber and hunger striker Dolours Price at the time he made the movie."
One of a race in Middle-earth.   		3 letters,"ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
"Florida's Sanibel, e.g.   		4 letters","ISLE.    	Sanibel Island is on the Gulf coast of Florida and is just offshore of the city of Fort Myers. The island is home to the city of Sanibel, a city which takes up the whole of the island."
"The so-called ""path of virtue"".   		3 letters","TAO.    	The Chinese character ""tao"" translates as ""path"", but the concept of Tao signifies the true nature of the world."
Part of the eye.   		4 letters,IRIS.    	The iris is the colored part of the eye with an aperture in the center that can open or close depending on the level of light hitting the eye.
1-Across ingredient.   		4 letters,ALOE.    	1. Healing ointment : BALM
1968 U.S.   		4 letters,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth he found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African America player to be so honored. He continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery. He had further heart surgery in 1983, and contracted HIV from blood transfusions during the procedure. Ashe passed away in 1993, due to complications from AIDS."
Pimienta's partner.   		3 letters,"SAL.    	In Spanish, one might partner set the pepper (pimienta) by the salt (sal)."
Actor Stephen.   		3 letters,"REA.    	Stephen Rea is an Irish actor, whose most famous role was that of the ""retired"" IRA man in the brilliant 1992 film ""The Crying Game"". He also starred in the chilling movie ""Stuck"", a 2007 film that is based on a true story about a woman who commits a hit and run on a homeless man. The woman leaves the scene of the crime with the victim still ""stuck"" in her windshield. The woman leaves the man to die in her garage. Chilling, eh? But as I said, a true story ..."
Singer Guthrie.   		4 letters,"ARLO.    	Arlo Guthrie is the son of Woody Guthrie. Both father and son are renowned for their singing of protest songs about social injustice. Arlo is most famous for his epic ""Alice's Restaurant Massacree"", a song that lasts a full 18m 34s. In the song Guthrie tells how, after being drafted, he was rejected for service in the Vietnam War based on his criminal record. He had only one incident on his public record, a Thanksgiving Day arrest for littering and being a public nuisance when he was 18-years-old."
"""The African Queen"" screenwriter James.   		4 letters","AGEE.    	James Agee was a noted American film critic and screenwriter. Agee wrote an autobiographical novel ""A Death in the Family"" that won him his Pulitzer in 1958, albeit posthumously. He was also one of the screenwriters for the 1951 classic movie 'The African Queen'."
Dr.   		3 letters,DRE.    	(19D. Commercials : ADS)
Kazakhstan's ___ Sea.   		4 letters,"ARAL.    	The Aral Sea is a great example of how man can have a devastating effect on his environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
Memorable hurricane of 2011.   		5 letters,"IRENE.    	Hurricane Irene caused extensive flooding in 2011 as it travelled through the Caribbean, up the East Coast of the United States and into the Atlantic seaboard of Canada. The hurricane was unusual in that it came so far up north. Fifty-five deaths were attributed to Irene."
Author who won a posthumous Pulitzer in 1958.   		4 letters,"AGEE.    	James Agee was a noted, American film critic. He wrote an autobiographical novel ""A Death in the Family"" that won him his Pulitzer in 1958, albeit posthumously."
"Frequent ""S.N.L."" host Baldwin.   		4 letters","ALEC.    	Alec is the oldest of the acting Baldwin brothers. I think Alec's big break was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin made a name for himself in recent times playing Jack Donaghy on ""30 Rock"", opposite Tina Fey. He has also hosted the sketch show 'Saturday Night Live' on more occasions than anyone else (16 times)."
Biblical figure said to have married his sister Noam.   		4 letters,"ENOS.    	According to the Book of Jubilees, Adam's grandson Enos married his sister Noam."
Mark in a margin.   		4 letters,"STET.    	""Stet"" is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change and then underscoring the change with a line of dots (or dashes)."
Hydrocortisone additive.   		4 letters,"ALOE.    	Hydrocortisone is also known as Cortisol. Cortisol is a naturally occurring chemical, a hormone produced by the adrenal glands. In the body it is produced as a response to stress or when there is low blood sugar, and is primary purpose is to increase blood sugar levels. Cortisol also has the effect of suppressing the bodies immune response. As such, the pharmaceutical form of cortisol (usually called hydrocortisone) is used to treat allergic reactions. Hydrocortisone can calm down skin irritation if applied as a cream (usually mixed with aloe)."
"James who sang ""At Last"".   		4 letters","ETTA.    	Etta James was best known for her beautiful rendition of the song ""At Last"". Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
Oaxaca article.   		3 letters,"LAS.    	In general, the definite article is 'el' for masculine nouns (plural 'los'), and 'la' for feminine nouns (plural 'las')."
Furniture giant.   		4 letters,"IKEA.    	Did you know that IKEA was founded by Ingvar Kamprad in 1943 .... when he was just 17-years-old??!! IKEA is an acronym that stands for Ingvar Kamprad Elmtaryd Agunnaryd. Elmtaryd was the name of the farm where Ingvar Kamprad grew up, and Agunnaryd is his home parish in Sweden."
Pac-12 player.   		3 letters,"UTE.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
___ of Man.   		4 letters,"ISLE.    	The Isle of Man is a large island located in the middle of the Irish Sea between Great Britain and Ireland. I used to spend a lot of time there in my youth, and a very interesting place it is indeed. The Isle of Man is classed as a British Crown Dependency and isn't part of the United Kingdom at all. It is self-governing and has its own parliament called the Tynwald. The Tynwald was created in AD 979 and is arguably the oldest continuously-running parliament in the world. The inhabitants of the island speak English, although they do have their own language as well called Manx, which is very similar to Irish Gaeilge and Scottish Gaelic. And then there are those Manx cats, the ones without any tails. I've seen lots of them, and can attest that they are indeed found all over the island."
Bathroom tile shade.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word 'ecru' comes from French and means 'raw, unbleached'. 'Ecru' has the same roots as our word 'crude'."
Slightly open.   		4 letters,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
"Captains on The Atlantic, briefly?.   		3 letters",EDS.    	Editors (eds.)
Beats by ___ (audio brand).   		3 letters,"DRE.    	Beats by Dre is a brand of audio products made by Beats Electronics, a company that was co-founded by rapper Dr. Dre. Apple bought Beats for $3 billion in 2014, the largest acquisition by far in the company's history."
Lotion ingredient.   		4 letters,"ALOE.    	The so called ""true aloe"" is aloe vera, a succulent plant native to Africa that grows in relatively dry climates. The plant's leaves are full of biologically active compounds that have been extensively studied. Even before all the modern research, aloe vera was used for centuries in herbal medicine, mainly for topical treatment of wounds."
"Mule on a canal, in song.   		3 letters","SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaning the introduction of the fast-moving engine-powered barges. The first line is ""I've got an old mule and her name is Sal""."
"Mythical father of Harmonia, strangely enough.   		4 letters","ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos (Fear), Deimos (Terror) and Eros (Desire). The Roman equivalent to Ares was Mars."
Gas brand in Canada.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
"Actor Jeong of ""The Hangover"".   		3 letters",KEN.    	Ken Jeong is an actor from Detroit who is perhaps best known for playing the gangster Leslie Chow in the 'The Hangover' series of films. Jeong isn't only an actor; he has an M.D. degree and is a licensed physician in California.
Neutral shade.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word 'ecru' comes from French and means 'raw, unbleached'. 'Ecru' has the same roots as our word 'crude'."
"""The Lord of the Rings"" creature.   		3 letters","ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
___ of Wight.   		4 letters,"ISLE.    	The Isle of Wight is the largest island in England, and lies about five miles off the south coast of the country. The Isle of Wight is its own county, and is the smallest county in the whole of England, but only at high tide! At low tide, the island's area increases so that it becomes larger than the landlocked county of Rutland in central England."
"The Legend of Zelda platform, briefly.   		3 letters",NES.    	Nintendo Entertainment System (NES)
One of the Baldwin brothers.   		4 letters,"ALEC.    	Alec Baldwin is the oldest of the acting Baldwin brothers. I think Alec's big break was playing Tom Clancy's Jack Ryan in 'The Hunt for Red October', but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. Baldwin also made a name for himself playing Jack Donaghy on '30 Rock', opposite Tina Fey."
"""Michael Collins"" actor Stephen.   		3 letters","REA.    	Stephen Rea is an Irish actor from Belfast. Rea's most successful role was Fergus in 1992's 'The Crying Game', for which performance he was nominated for the Best Actor Oscar. In 'The Crying Game', Fergus was a member of the IRA. In real life, Rea was married to IRA bomber and hunger striker Dolours Price at the time he made the movie."
Pac-12 player.   		3 letters,"UTE.    	The Runnin' Utes are the basketball team of the University of Utah. The team was given the nickname the Runnin' Redskins back when Jack Gardner was the head coach from 1953 to 1971. The ""Runnin'"" part of the name was chosen because Gardner was famous for playing quick offenses. The ""Redskins"" name was later dropped in favor of the less controversial ""Utes""."
Works in the music business.   		5 letters,"OPERA.    	""Opera"" is the plural of the Latin word ""opus"" meaning ""work""."
Monterrey gold.   		3 letters,"ORO.    	Monterrey is a Mexican city, the capital of the state of Nuevo Leon in the northeast of the country. Monterrey is the second largest city in Mexico in terms of area, but third largest in terms of population (the largest area city in the country is Mexico City, and the most populous are Mexico City and Guadalajara)."
Jazzy Jones.   		4 letters,"ETTA.    	Etta Jones was a jazz singer, sometimes known as the ""jazz musician's jazz singer"". Because she has a similar name to Etta James, Jones was often confused with the more popular singer. Jones never really had any huge commercial success though, despite the respect that she engendered within the inner sanctums of the jazz world."
Mail abbr.   		3 letters,RTE.    	Route (rte.)
"Watanabe of ""The Last Samurai"".   		3 letters","KEN.    	Ken Watanabe is an actor from Japan known mainly for his roles in the films 'Letters from Iwo Jima' and 'The Last Samurai'. My favorite of Watanabe's movies though, is 'Inception'. Great film ..."
"Velázquez's ""___ Meninas"".   		3 letters","LAS.    	'Las Meninas' is a painting by Diego Velázquez, the name of which translates to 'The Maids of Honor'. 'Las Meninas' is the most famous painting owned by the Museo del Prado in Madrid."
Conquistador's goal.   		3 letters,"ORO.    	Conquistador is the Spanish for ""conqueror""."
Best Foreign Language Film of 2014.   		3 letters,IDA.    	The 2013 Polish film 'Ida' won the Academy Award for Best Foreign Film in 2014. The film tells the story of a young woman and her aunt on a road trip investigating the death of the younger's parents during the Holocaust.
Game with command cards.   		3 letters,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck used for Mau Mau."
Double-reed woodwind.   		4 letters,"OBOE.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
Succulent houseplant.   		4 letters,"ALOE.    	Aloe vera is a succulent plant that grows in relatively dry climates. The plants leaves are full of biologically active compounds that have been extensively studied. Regardless of the studies, aloe vera has been used for centuries in herbal medicine, mainly for topical treatment of wounds."
She outwitted Sherlock.   		5 letters,"IRENE.    	The character Irene Adler only appeared in one of the Sherlock Holmes stories by Sir Arthur Conan Doyle. In that story, 'A Scandal in Bohemia', Holmes expresses remarkable admiration for Adler as a woman and as a foe. As a result, derivative works in the Holmes genre often feature Adler as something of a romantic interest for Sherlock."
Companion of Butch and Sundance.   		4 letters,ETTA.    	Etta Place is the schoolteacher character played by the lovely Katharine Ross in the 1969 movie 'Butch Cassidy and the Sundance Kid'.
Indication to leave something in.   		4 letters,"STET.    	""Stet"" is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change and then underscoring the change with a line of dots or dashes."
Rap's Dr.   		3 letters,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as for producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
Nintendo's Super ___.   		3 letters,NES.    	The acronym stands for Super Nintendo Entertainment System. The kids probably have one. I wouldn't know ...
___ the Orange (Syracuse mascot).   		4 letters,"OTTO.    	The current Syracuse mascot Otto the Orange was introduced unofficially in 1980, and gained official recognition by the University in 1995."
Actor Guinness.   		4 letters,"ALEC.    	Sir Alec Guinness played many great roles over a long and distinguished career, but nowadays is best remembered for playing the original Obi-Wan Kenobi in ""Star Wars""."
"Setting for the movie ""Sister Act"".   		4 letters","RENO.    	In the 1992 comedy ""Sister Act"" starred Whoopi Goldberg as lounge singer from Reno who hides out in a San Francisco convent disguised as a nun. It's a funny, funny film."
"""CSI"" test subject.   		3 letters","DNA.    	I've always been fascinated by the fact that the DNA of living things is so very similar across different species. Human DNA is almost exactly the same for every individual (to the degree of 99.9%). However, those small differences are sufficient to distinguish one individual from another, and to determine whether or not individuals are close family relations."
Attraction for a butterfly.   		4 letters,IRIS.    	Iris is a genus of flowering plants that come in a wide variety of flower colors. The term 'iris' is a Greek word meaning 'rainbow'.
Knowledge range.   		3 letters,"KEN.    	Ken' is a noun meaning 'understanding, perception'. One might say, for example, 'half the clues in Saturday's crossword are beyond my ken, beyond my understanding'."
Court inits.   		3 letters,ABA.    	The American Bar Association (ABA)
Health org.   		3 letters,"AMA.    	The American Medical Association (AMA) was founded in 1847 at the Academy of Natural Sciences in Philadelphia. The first female member was allowed to join the AMA in 1868, but the first African American members weren't admitted until one hundred years later, in 1968."
Half of a comic strip duo.   		4 letters,"ARLO.    	The comic strip ""Arlo and Janis"" is written by Jimmy Johnson. Introduced in 1985, Arlo and Janis are a baby booming couple with an easy approach to life, and who are very much in love."
Genesis grandson.   		4 letters,"ENOS.    	Enos was the son of Seth, and therefore the grandson of Adam and Eve. According to the Book of Jubilees, Enos married his sister Noam."
"Leave in, to a proofreader.   		4 letters","STET.    	""Stet"" is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
"The duck in ""Peter and the Wolf"".   		4 letters","OBOE.    	As is the case for many I am sure, Prokofiev's ""Peter and the Wolf"" was my introduction to the world of classical music, as it was played for us at school many, many moons ago. Prokofiev wrote the piece as a commissioned work for the Central Children's Theater in Moscow, in 1936. He loved the idea of the project, and wrote the story and music in just four days!"
"Mars, to the Greeks.   		4 letters","ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos (Fear), Deimos (Terror) and Eros (Desire). The Roman equivalent to Ares was Mars."
Pizazz.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning to ours i.e ""style"" or ""flair""."
Prime draft status.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Kournikova of tennis.   		4 letters,"ANNA.    	Not only is Anna Kournikova a world-class tennis player, but she is also a model. She apparently has a lot of fans because ""Kournikova"" is one of the most commonly Googled words on the Internet ..."
"""The Lord of the Rings"" tree creature.   		3 letters","ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
Scuba tank meas.   		3 letters,PSI.    	The pressure of the air in the SCUBA tank is measured in Pounds per Square Inch.
"Apnea diagnoser, briefly.   		3 letters","ENT.    	Sleep apnea can be caused by an obstruction in the airways, possible due to obesity or enlarged tonsils."
Surgeon's org.   		3 letters,"AMA.    	The American Medical Association (AMA) was founded in 1847 at the Academy of Natural Sciences in Philadelphia. The first female member was allowed to join the AMA in 1868, but the first African American members weren't admitted until one hundred years later, in 1968."
"Tina's ""30 Rock"" co-star.   		4 letters","ALEC.    	Alec is the oldest of the acting Baldwin brothers. I think his big break really was playing Tom Clancy's Jack Ryan in ""The Hunt for Red October"", but thank goodness that role was taken over by Harrison Ford for the subsequent Jack Ryan movies. He is making a name for himself these days playing Jack Donaghy on ""30 Rock"", opposite Tina Fey."
High wind?.   		4 letters,"OBOE.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
Writer Quindlen.   		4 letters,"ANNA.    	Anna Quindlen is an author, journalist and columnist who won the Pulitzer Prize for Commentary in 1992 for her 'New York Times' column 'Public and Private'."
Arthur of tennis.   		4 letters,"ASHE.    	Arthur Ashe was a professional tennis player from Richmond, Virginia. In his youth, Ashe found himself having to travel great distances to play against Caucasian opponents due to the segregation that still existed in his home state. He was rewarded for his dedication by being selected for the 1963 US Davis Cup team, the first African American player to be so honored. Ashe continued to run into trouble because of his ethnicity though, and in 1968 was denied entry into South Africa to play in the South African Open. In 1979 Ashe suffered a heart attack and had bypass surgery, with follow-up surgery four years later during which he contracted HIV from blood transfusions. Ashe passed away in 1993 due to complications from AIDS. Shortly afterwards, Ashe was posthumously awarded the Presidential Medal of Freedom by President Bill Clinton."
Place with robes.   		3 letters,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
___ of Man.   		4 letters,"ISLE.    	The Isle of Man is a large island located in the middle of the Irish Sea between Great Britain and Ireland. I used to spend a lot of time there in my youth, and a very interesting place it is indeed. The Isle of Man is classed as a British Crown Dependency and isn't part of the United Kingdom at all. It is self-governing and has its own parliament called the Tynwald. The Tynwald was created in AD 979 and is arguably the oldest continuously-running parliament in the world. The inhabitants of the island speak English, although they do have their own language as well called Manx, which is very similar to Irish Gaeilge and Scottish Gaelic. And then there are those Manx cats, the ones without any tails. I've seen lots of them, and can attest that they are indeed found all over the island."
Neighbor of Scorpius.   		3 letters,"ARA.    	The constellation of Ara takes its name from the Latin word for ""altar""."
