ERN_T,ERNST.    	(61A. See 13-Down : MACH)
DO_,"DOE.    	Though the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. Joe Blow is just a variant of John Doe, and Jane Doe is an unknown female."
LT_,"LTD.    	In Britain and Ireland the most common type of business (my perception anyway) is one that has private shareholders whose liability is limited to the value of their investment. Such a company is known as a private limited company, and has the letters ""Ltd"" after the name. If the shares are publicly traded, then the company is a public limited company, and has the letters ""plc"" after the name."
LA_,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" came to mean a washroom, and in the 1920s a toilet."
MS_,"MSN.    	My research shows that Hotmail was indeed introduced in 1996, but Microsoft didn't acquire the service until the following year. Soon after the acquisition in 1997, Microsoft made Hotmail part of its MSN group of services."
ICE_,"ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow? Then again, maybe not ..."
_EAN,SEAN.    	Seán O'Casey was an Irish playwright noted for his works exploring the plight of the working class in Dublin. O'Casey's most famous works are 'Juno and the Paycock' and 'The Plough and the Stars'.
F_A,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
_SO,"ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and is the name of a hit song recorded by Canadian-born singer Paul Anka."
TAR_T,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
E_NST,"ERNST.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
D_N,"DAN.    	Steely Dan's heyday was in the seventies when they toured for a couple of years, although the group mainly focused on studio work. The band was formed in 1972 and broke up in 1981. The core of the band reunited in 1993 and they are still going strong today."
ES_E,"ESTE.    	The Villa d'Este is a beautiful villa located in Tivoli near Rome, Italy."
CE_,"CEE.    	The euro sign (&#8364) looks like a letter C, but with two horizontal lines drawn across the middle. Inspiration for the design comes from the Greek letter epsilon."
ETU_,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
Y_L,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. Remarkable ..."
_EINE,"SEINE.    	Paradoxically, Pont Neuf is the oldest bridge standing today that crosses the River Seine in Paris. The paradox is that the name translates to 'new bridge'. The bridge is in two parts, as it crosses from the Left Bank to the Île de la Cité (on which stands Notre Dame) and then from the Île de la Cité to the Right Bank."
A_IA,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
SP_M,"SPAM.    	I think it may be true that the term SPAM for unwanted email is taken from a ""Monty Python"" sketch. In the sketch, the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets in Britain after WWII. So SPAM is a term for emails that take over online communication. I can just imagine nerdy Internet types adopting something from a ""Monty Python"" sketch to describe an online phenomenon."
AT_,ATV.    	All-terrain vehicle (ATV)
_UR,"SUR.    	Big Sur is lovely part of the California Coast, south of Monterrey and Carmel. The name ""Big Sur"" comes from the original Spanish description of the area as ""el sur grande"" meaning ""the big south""."
EN_ON,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. Fastow plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved, and was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty and before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
CA_,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
O_RE,"OGRE.    	The Brothers Grimm (Jacob and Wilhelm) were two German academics noted for collecting and publishing folk tales. Among the tales in their marvelous collection are 'Snow White and the Seven Dwarfs', 'Sleeping Beauty' and 'Cinderella'."
SE_N,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
AB_,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which a different set of antigens is labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-Neg can be accepted by recipients with all blood types, AB or O, positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
_ENA,"XENA.    	The Xena character, famously played by actress Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the role."
AST_O,ASTRO.    	Astro is the pet dog on the animated television show 'The Jetsons'.
_LAV,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
E_ME,"ESME.    	J. D. Salinger wrote a short story called ""For Esmé - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
_EINE,"SEINE.    	The Seine is the river that flows through Paris. The Seine empties into the English Channel to the north, at the port city of Le Havre."
NE_L,"NEIL.    	Neil Young is a singer and songwriter from Toronto, Ontario. Young is known for his solo work, as well as his earlier recordings with Buffalo Springfield and as the fourth member of Crosby, Stills & Nash. Young is also a successful movie director, although he uses the pseudonym 'Bernard Shakey' for his movie work. Included in his filmography are 'Human Highway' and 'Greendale'."
HM_,HMO.    	Health Maintenance Organization (HMO).
E_IL,"EMIL.    	Emil Jannings, an actor from Switzerland, was the first person to receive an Oscar. He was the star of the 1928 silent movie called ""The Last Command""."
OA_,"OAT.    	The Quaker Oats Company was founded in 1901 when four oat mills merged, including the Quaker Mill Company of Ravenna, Ohio. Quaker Mill's owner Henry Parsons Crowell played the key role in the new company and remained at the helm until 1943."
_MAM,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
_BI,RBI.    	Run batted in (RBI)
A_IL,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
_DYS,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
E_Y,"ELY.    	Ely Cathedral is a famous and beautiful church in the city of Ely in the county of Cambridgeshire. There is a Gothic door on the north face of the cathedral that was designed by Sir Christopher Wren, the man famous as the architect of St. Paul's Cathedral in London. Christopher Wren had a personal link to the church, as his uncle was the Bishop of Ely."
_YE,"LYE.    	What we call 'lye' is usually sodium hydroxide (NaOH), although historically the term was used for potassium hydroxide (KOH). Lye has many uses, including to cure several foodstuffs. Lye can make olives less bitter, for example. The chemical is also found in canned mandarin oranges, pretzels and Japanese ramen noodles. More concentrated grades of lye are used to clear drains and clean ovens. Scary ..."
DA_,"DAN.    	Actor John Goodman will forever be remembered as Dan Conner, the on-screen husband of Roseanne Barr in the sitcom ""Roseanne"". Goodman went to Missouri State University where he studied drama and was a compatriot of Kathleen Turner. The role that I most enjoyed played by Goodman was Speaker of the House Glen Allen Walken on the great show 'The West Wing'. And right now I am really lapping up his latest show, the Amazon sitcom 'Alpha House'."
_OG,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
TO_,"TOR.    	A tor is a high rocky hill. 'Tor' comes from the Old English 'torr', the word for a tower or rock, which in turn comes from the Old Welsh 'twrr' meaning a heap or a pile."
MS_,MSS.    	An editor (Ed.) has to wade his or her way through a manuscript (MS) that has been submitted.
M_A,"MTA.    	""M.T.A."" was a 1958 hit for the Kingston Trio. The song tells of a man called Charlie who is stuck on board an MTA subway car in Boston. His problem is that ""exit fares"" had been introduced on the system to supplement ""entrance fares"" (true story!), and the man didn't have the extra nickel needed to get off the train."
GN_,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
_AD,"TAD.    	Back in the 1800s a ""tad"" was used to describe a young child, and this morphed into our usage meaning a small amount in the early 1900s. The original use of tad to mean a child is very likely a shortened version of ""tadpole""."
_AL,CAL.    	CAL: calories.
OV_D,"OVID.    	J. M. W. Turner was an English painter, notably of watercolor landscapes. Turner had an uncanny ability to portray light in his works, earning him the moniker 'the painter of light'."
_OTC,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
_PB,APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
MT_,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut). MTA might also refer to the Los Angeles County Metropolitan Transportation Authority, which is known as the Metro and sometimes the MTA."
S_RA,"SARA.    	Fleetwood Mac was founded in 1967 in London. The band was started by Peter Green, and he chose the name from two friends in former bands (named Fleetwood and McVie). This is despite the fact the drummer's name happens to be Mick Fleetwood."
F_A,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
E_NE,"ERNE.    	The ern (sometimes 'erne') is also called the white-tailed eagle, or the sea-eagle."
P_L,"POL.    	I've always thought of 'pol' as an abbreviated form for 'politician'. I would have described David Axelrod and Karl Roves as 'pundits' or 'political advisors', and not 'pols', but I suppose a politician is anyone who is actively involved in party politics ..."
SEIN_,"SEINE.    	A seine is a type of fishing net. It is long, and thin, with floats along one long edge (the top) and weights along the bottom edge so that it hangs down in the water. A seine is usually let out into the water from a boat, as the vessel moves slowly in a circle driving fish into the center of the net."
O_ID,"OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. He is usually listed alongside the two other great Roman poets, Horace and Virgil."
SE_,"SES.    	'Ses' is the French word for 'his', 'her' or 'its', when referring to a group of items."
RA_I,"RAVI.    	Ravi Shankar was perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and was noted for his sitar playing. Shankar was the father of the beautiful singer Norah Jones."
LT_,"LTD.    	There has been a lot of speculation about what the acronym LTD stands for in the car model known as ""Ford LTD"". Many say it stands for Luxury Trim Decor, and others that it is an abbreviation for ""limited"". Although the car was produced in Australia with the acronym meaning Lincoln Type Design, it seems LTD was originally chosen as just three meaningless letters that sound well together."
EN_S,"ENTS.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
NAOM_,NAOMI.    	The actress Naomi Watts was born in the UK and moved to Australia when she was 14 years of age. It was in Australia that Watts got her break in television and movies. Probably her most acclaimed role was in the 2003 film '21 Grams' with Sean Penn and Benicio del Toro. Watts is best friends with fellow Australian actress Nicole Kidman.
NEI_,"NEIL.    	Neil Young is a singer and songwriter from Toronto, Ontario. Young is known for his solo work, as well as his earlier recordings with Buffalo Springfield and as the fourth member of Crosby, Stills & Nash. Young is also a successful movie director, although he uses the pseudonym 'Bernard Shakey' for his movie work. Included in his filmography are 'Human Highway' and 'Greendale'."
_NISE,"ANISE.    	Liquorice (also licorice) and aniseed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
_SN,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
SE_NE,"SEINE.    	Joan of Arc (also 'Jeanne d'Arc', her birth name) led the French Army successfully into battle a number of times during the Hundred Years War with England. When she was eventually captured, Joan was tried in Rouen, the seat of the occupying English government in France at that time. There she was burned at the stake having been found guilty of heresy. In fact, after the fire died down, the executioner raked the coals to display the charred body, proving Joan had died, and then burned the corpse again, twice, so that relics could not be collected. The remaining ashes were then cast into the Seine River. Joan of Arc was canonized some 600 years later, in 1920, and is now one of the patron saints of France."
UN_,"UNE.    	Lancôme Paris is a brand of makeup. Founded in 1935, the name Lancôme comes from the name of an old French castle, the Château de Lancosme."
ESSE_,ESSEX.    	The title of Earl of Essex has been in use in England since the 12th century.
SAR_,SARA.    	'Sara Smile' was the first US Top 10 hit for the duo Hall & Oates.
ST_,"STA.    	There are quite a few railroad stations called ""Union Station"" in the US. This is because the generic ""union station"" is one built by two or more railroad companies acting in concert or ""union"", sharing tracks and facilities. "
_C/DC,"AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
E_RP,"EARP.    	Wyatt Earp is famous as one of the participants in the gunfight at the O.K. Corral. Earp was a city policeman in Wichita, Kansas and also in Dodge City, Kansas. Earp was also deputy sheriff in Tombstone, Arizona where the O.K. Corral gunfight took place. Years later, Earp joined the Alaska Gold Rush and with a partner built and operated the Dexter Saloon in Nome."
ES_E,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
IMA_,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
_NISE,"ANISE.    	Liquorice (also licorice) and aniseed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
TI_,TIM.    	(110A. See 44-Across : APPLE)
_OTC,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
_RT,"ART.    	Frank Zappa was an American composer and guitarist, a solo artist as well as the founding member of the rock band Mothers of Invention. You might like to meet his four children: Moon Unit, Dweezil, Ahmet Emuuka Rodan, and Diva Thin Muffin Pigeen."
CL_,"CLE.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970. The team plays at the Quicken Loans Arena in downtown Cleveland, a facility that the locals refer to as 'the Q'."
I_O,ILO.    	'World of Work' magazine is a periodic publication of the International Labor Organization (ILO).
A_T,"ART.    	Art Linkletter hosted ""House Party"" for 25 years, starting out on radio before it became established on television. Linkletter also had a strong connection with the world of Disney. He provided commentary for the opening day celebrations of Disneyland in 1955, and then in 2005 opened the celebrations for the park's fiftieth anniversary, when he was 93 years old. Linkletter was also a personal friend of Walt Disney."
ICE_,"ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow? Then again, maybe not ... Ice-T has been interested in acting for decades and made his film debut in the 1984 movie about break-dancing called 'Breakin''. He has also played Detective Fin Tutuola in the TV show 'Law & Order: Special Victims Unit' since the year 2000."
US_,"USO.    	The United Service Organization was founded in 1941 at the request of FDR, ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is a tour by a troupe of entertainers, many celebrities, to troop locations, often including combat zones."
AB_,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which other antigens are labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same as that of the recipient, as incompatible blood cells can be rejected by the recipient. However, blood type O-Neg can be accepted by recipients with all blood types, AB or O, positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
_PM,"RPM.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
F_A,"FAA.    	The Federal Aviation Administration (FAA) was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
N_TE,"NATE.    	Nate Solver is a statistician who first gained notoriety by developing a forecasting system that predicted the future performance of baseball players. He then made a name for himself in the world of politics by predicting the outcome of the 2008 US presidential race. Silver successfully predicted the outcome of the election in 49 of the 50 states, missing out on Indiana, which Barack Obama won by less than 1% of the vote."
ER_E,"ERNE.    	The ern (sometimes 'erne') is also called the white-tailed eagle, or the sea-eagle."
F_A,FDA.    	The Food and Drug Administration (FDA) was in effect created by the Food and Drug Act signed into law by President Theodore Roosevelt in 1906.
KA_,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
ICE_,"ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow? Then again, maybe not ... Ice-T has been interested in acting for decades and made his film debut in the 1984 movie about break-dancing called 'Breakin''. He has also played Detective Fin Tutuola in the TV show 'Law & Order: Special Victims Unit' since the year 2000."
EL_,"ELY.    	Ely is a city in the county of Cambridgeshire in England, and home to the beautiful Ely Cathedral."
_AROT,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future. The list of tarot cards includes the Wheel of Fortune, the Hanged Man and the Lovers."
AR_,ART.    	A 'mural' is a painting that is applied directly to a wall or a ceiling. The term comes from the Latin 'murus' meaning 'wall'.
P_L,POL.    	Politician (pol.)
_AR,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
C_E,CEE.    	C (cee) is the opening letter of the word 'can'.
_IN,"NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
_OL,POL.    	A politician (pol) usually runs for a seat.
OG_E,"OGRE.    	The word ""ogre"" comes from a 1713 translation of ""The Arabian Nights"" in which there figures a ""hogre"", a man-eating giant."
SM_G,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
U_O,"USO.    	The United Service Organization (USO) was founded in 1941 at the request of FDR ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is undertaken by a troupe of entertainers, many of whom are big-name celebrities. A USO tour usually includes troop locations in combat zones."
SL_V,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
NAT_,"NATE.    	Nate Dogg was the stage name of rapper Nathaniel Hale from Clarksdale,Mississippi. Nate Dogg is no longer with us as he died at the age of 41 after suffering multiple strokes."
_TUI,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
_HARA,"O'HARA.    	The beautiful and talented Maureen O'Hara is an Irish actress, famous for her films made with fellow actor John Wayne and the director John Ford. O'Hara was born in a suburb of Dublin called Ranelagh (where many of my own ancestors were born)."
Z_N,"ZEN.    	Japanese Zen gardens are inspired by the meditation gardens of Zen Buddhist temples. Zen gardens have no water in them, but often there is gravel and sand that is raked in patterns designed to create the impression of water in waves and ripples."
_RE,"ERE.    	The poem ""A Visit from St. Nicholas"" was published anonymously in 1823, and is better known today by its first line ""'Twas the night before Christmas"". Most scholars believe the poem was written by Clement Clark Moore, a theologian from New York City. Others say that it was written by Henry Livingston, Jr. a poet from Upstate New York."
_AOMI,NAOMI.    	Naomi Watts was born in the UK and moved to Australia when she was 14 years of age. It was in Australia that Watts got her break in television and movies. Probably her most acclaimed role was in the 2003 film '21 Grams' with Sean Penn and Benicio del Toro. Watts is best friends with fellow Australian actress Nicole Kidman.
F_A,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
_PAM,"SPAM.    	I think that the oft-quoted story may be true that the term SPAM, used for unwanted email, is taken from a ""Monty Python"" sketch. In the famous sketch the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets in Britain after WWII. So SPAM is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
AMI_H,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
I_AM,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
ALER_,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
RP_,"RPM.    	The first standard set for rotational speed of gramophone records was 78 rpm, but like so many things it seems, the US version of ""78"" was slightly different from that for the rest of the world. The US record was designed to play at 78.26 rpm, whereas the standard in the rest of the world was 77.92 rpm. So, imported records played on American equipment didn't sound quite as they were intended."
PL_,"PLO.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO's early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO was granted observer status (i.e. no voting rights) at the United Nations in 1974."
E_YS,"EDY'S.    	Dreyer's ice cream sells it's products under the name Dreyers in Western United States, and Edy's in the Eastern states."
G_O,GTO.    	GTO stands for Gran Turismo Omologato.
SL_V,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
O_ARA,"O'HARA.    	Kelley O'Hara is soccer player who was a member of the national team when the US won the FIFA World Cup in 2015, and Olympic gold in 2012."
_ROY,"TROY.    	Priam was king of Troy during the Trojan War. Reputedly, Priam was father to fifty sons and many daughters with his many wives. His eldest son and heir to the throne was Hector. Paris was another of Priam's sons, the man who caused the Trojan War by eloping with Helen, Queen of Sparta."
ER_ST,"ERNST.    	Max Ernst was a painter and sculptor, a pioneer in the Dada movement and Surrealism. Ernst was born near Cologne in Germany in 1891 and he was called up to fight in WWI, as were most young German men at that time. In his autobiography he writes ""Max Ernst died the 1st of August, 1914"" a statement about his experiences in the war. In reality, Ernst died in 1976 having lived to the ripe old age of 85."
_RT,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
RA_,"RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
C_L,"CAL.    	The University of California, Berkeley (Cal) is the most difficult public university to get into in the world. It opened in 1869 and is named for Anglo-Irish philosopher George Berkeley."
_AR,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
_EIL,"NEIL.    	I saw Neil Diamond in concert about 15 years ago, and I must say he does put on a great show. His voice is cracking a bit, but that didn't seem to spoil anyone's enjoyment. I've also seen Diamond interviewed a few times on television, and I wouldn't say he has the most scintillating personality."
AGU_,"AGUA.    	In Spanish, the sea (la mar) is full of water (agua)."
TW_,TWO.    	(22. See 4-Down : IRON)
_ELA,"SELA.    	Sela Ward turns up in crosswords a lot. She played Teddy Reed in the TV show ""Sisters"" in the nineties, was in ""Once and Again"" from 1999-2002. I don't know either show. I do know her from ""House"" though. She played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought."
ES_,"ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and was the name of a hit for Canadian-born singer Paul Anka."
_LO,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
TI_A,"TINA.    	The TV show called ""Glee"" has proven to be very popular. The storyline focuses on a high school glee club in Lima, Ohio called New Directions."
ROS_,"ROSE.    	Saint Valentine's Day was chosen by Pope Gelasius I in 496 AD to honor various martyrs with the name Valentine. However, the saints' day was dropped by the Catholic church in 1969, by Pope Paul VI. Try telling that to Hallmark though ..."
SE_A,"SELA.    	The actress Sela Ward turns up in crosswords a lot. Ward played Teddy Reed in the TV show ""Sisters"" in the nineties, and was in ""Once and Again"" from 1999-2002. I don't know either show, but I do know her from the medical drama ""House"" in which she played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought. More recently Ward has been playing a lead role on ""CSI: NY"" and is a very welcome and much-needed addition to the cast ..."
F_A,FDA.    	Food and Drug Administration (FDA)
G_O,GTO.    	The 1964 song 'G.T.O' was the debut recording for the surf rock group from the sixties known as Ronny & the Daytonas.
_LO,"PLO.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO's early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO is recognized as the sole legitimate representative of the Palestinian people by over one hundred countries, and was granted observer status (i.e. no voting rights) at the United Nations in 1974."
_DA,FDA.    	Food and Drug Administration (FDA)
ER_ST,ERNST.    	Ernst Stavro Blofeld is a villain in the James Bond universe. Blofeld has been played on the big screen several times by different actors. My favorite is Donald Pleasance in 1967's 'You Only Live Twice'.
KA_,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
_RZO,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
_MAM,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
SAR_,"SARA.    	Sara Delano Roosevelt Park is in the Lower East Side of Manhattan. The park is named for Sara, the mother of President Franklin D. Roosevelt."
_MOG,"SMOG.    	""Smog"" is a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s. Several cities around the world have a reputation of being particularly smoggy. For example, the most smog-plagued city in Latin America is Mexico City, which is located in a highland 'bowl' that traps industrial and vehicle pollution."
_TA,STA.    	A station is a stop on a railroad line.
