Announcer Hall.   		3 letters,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
Parkinson's treatment.   		6 letters,"L-DOPA.    	The name of the drug L-3,4-DihydrOxyPhenylAlanine can be shortened, thankfully, to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
Temporarily formed.   		6 letters,"AD HOC.    	The Latin phrase ""ad hoc"" means ""for this purpose""."
Social stratum.   		5 letters,"CASTE.    	Many creatures organize themselves into a social structure, a phenomenon known as ""eusociality"". Examples of such creatures would be ants, bees and wasps, where there are queens, workers and soldiers. The groups within such a hierarchical structure are known as castes. The word ""caste"" was borrowed from the class divisions in Indian society (although the word ""caste"" and hierarchical concept was actually introduced by the Portuguese)."
Holy Land.   		4 letters,"ZION.    	The name 'Zion' first turns up in the Book of Solomon in the Bible. Zion is commonly used to refer to Jerusalem, and sometimes the Biblical land of Israel."
"""Chicago"" director/choreographer.   		5 letters","FOSSE.    	Bob Fosse won more Tony Awards for choreography than anyone else, a grand total of eight. He also won an Oscar for Best Director for his 1972 movie ""Cabaret"", even beating out the formidable Francis Ford Coppola who was nominated that same year for ""The Godfather""."
Cartoon skunk Le Pew.   		4 letters,"PEPE.    	Pepé Le Pew is a very likeable cartoon character from the Looney Tunes and Merrie Melodies series. Pepé is a French skunk, first introduced way back in 1945. He is always thinking of ""l'amour"" and chases the lady skunks, or a black cat with a white stripe painted down her back accidently."
Like Beethoven's Symphony No.   		4 letters,IN F.    	Beethoven's Symphony No. 6 is also known as the Pastoral Symphony.
Alien craft.   		4 letters,"UFOS.    	In 1952, the USAF revived its studies of reports of UFO sightings, in a program called Project Blue Book. There were two prior USAF studies of the UFO phenomenon, namely Project Sign and Project Grudge. Project Blue Book ran from 1952 until it was shut down in 1969, concluding that there was no threat to national security, and that there were no sightings that could not be explained within the bounds of modern scientific knowledge."
"""The Zoo Story"" playwright Edward.   		5 letters","ALBEE.    	Edward Albee's most famous play is ""Who's Afraid of Virginia Woolf?"" Albee's first play, a one-acter, was ""The Zoo Story""."
On an ___ basis.   		6 letters,"AD HOC.    	The Latin phrase ""ad hoc"" means ""for this purpose""."
People's Sexiest Man Alive ...   		4 letters,"DEPP.    	Johnny Depp had his big break as an actor on television, in the eighties television show '21 Jump Street'. Depp's first film success came when he played the title role in 1990's 'Edward Scissorhands'. He has twice been named Sexiest Man Alive by 'People' magazine. I don't see it myself ..."
Money due in Monopoly.   		4 letters,"RENT.    	The commercial game of Monopoly is supposedly a remake of 'The Landlord's Game' created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
Draft org.   		3 letters,SSS.    	Selective Service System(SSS)
Overly anxious.   		5 letters,"ANTSY.    	The word ""antsy"" embodies the concept of ""having ants in one's pants"", meaning being nervous and fidgety. However, ""antsy"" has been used in English since the 1830s, whereas ""ants in the pants"" originated a century later."
Gold units: Abbr..   		3 letters,"KTS.    	A karat (also 'carat', the spelling outside North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold. "
Siouan tongue.   		5 letters,TETON.    	Teton Sioux is alternative name for the Lakota language.
James ___ Garfield.   		5 letters,"ABRAM.    	James Abram Garfield, the 20th President, was assassinated in office. Garfield was shot twice, and one bullet could not be found (it was lodged in his spine). The inventor Alexander Graham Bell developed a metal detector in an attempt to locate the bullet, but apparently he was unsuccessful because of interference from the metal bed frame on which the president lay. Garfield died two months after being shot."
Person behind the hits?.   		3 letters,"DON.    	In the Mafia, a don is a head of a family, someone who might order a hit, a killing."
Anti-Parkinson's prescription.   		6 letters,"L-DOPA.    	L-3,4-DihydrOxyPhenylAlanine, thankfully can be shortened to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
Dwight's two-time opponent.   		5 letters,"ADLAI.    	Adlai Stevenson ran unsuccessfully against Eisenhower in 1952. Some years later he served under President Kennedy as Ambassador to the United Nations. He was always noted for his eloquence, and had an infamous exchange in a Security Council meeting during the Cuban missile crisis. ""I am prepared to wait for my answer until Hell freezes over!"""
Like Splenda vis-à-vis sugar.   		6 letters,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
Musical Mann.   		5 letters,"AIMEE.    	Aimee Mann is a rock singer and guitarist from Virginia. Mann is married to Michael Penn, the brother of actor Sean Penn."
"A .08% reading may lead to it, for short.   		3 letters","DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
Harry Potter mark.   		4 letters,"SCAR.    	Author J. K.Rowling's famous character Harry Potter has a lightning-shaped scar on his forehead, the result of an attack on his life as a baby by the Dark wizard Lord Voldemort."
Knuckle-bruiser.   		5 letters,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means a ""confused fight""."
Historian's Muse.   		4 letters,"CLIO.    	In Greek mythology, the muses are the goddesses who inspire the creation of literature and the arts. The number of muses is a subject of debate at times, but the most popular view is that there are nine:"
Choice word?.   		4 letters,EENY.    	
What factoring is a factor in: Abbr..   		3 letters,ALG.    	Algebra (alg.)
Galoot.   		3 letters,"OAF.    	""Galoot"" is an insulting term meaning an awkward or boorish man, an ape. ""Galoot"" comes from the nautical world, where it was originally what a sailor might call a soldier or marine."
AWOL chasers ...   		3 letters,MPS.    	The Military Police (MPs) are concerned with personnel who go AWOL (Absent Without Leave).
It runs the 'L'.   		3 letters,"CTA.    	The Chicago ""L"" is the second largest rapid transit system in the US, with the New York City Subway being the largest. The ""L"" is also the second oldest, again with the New York City Subway system having the honor of being around the longest. Note that the official nickname for the system is the ""L"" (originally short for ""elevated railroad""), although the term ""El"" is also in common use (especially in crosswords as ""ELS""). The L is managed by the Chicago Transit Authority (CTA)."
Eponymous Dr.   		4 letters,"HANS.    	Hans Asperger was a pediatrician and medical professor from Austria. Dr. Asperger achieved renown for his studies of mental disorders in children, but only after his death in 1980. In the eighties there was renewed interest in his work, and Asperger Syndrome was named after him."
The Miners of the N.C.A.A.   		4 letters,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry. The teams are also known as the UTEP Miners and Lady Miners."
Singer Nat King ___.   		4 letters,"COLE.    	Nat King Cole's real name was Nathaniel Adams Coles. Cole made television history in 1956 when his own show debuted on NBC, a first for an African-American. Cole couldn't pick up a national sponsor, so in order to save money and possibly save the show, many guest artists worked for no fee at all - the likes of Ella Fitzgerald, Harry Belafonte and Peggy Lee. The show survived for a year, but eventually Nat King Cole had to pull the plug on it himself."
Auto financing inits.   		4 letters,"GMAC.    	GMAC is short for General Motors Acceptance Corporation. GM has a very small stake in GMAC now, and indeed the name has been officially changed to Ally Bank. You and me, we are the biggest shareholders in GMAC/Ally now, after the US government gave the bank $12.5m to bail it out in 2008-2009."
Vigor.   		4 letters,"BRIO.    	Brio is borrowed from the Italian, in which language it also means vigor and vivacity. ""Con brio"" is a musical direction often found on a score, instructing that the musicians play ""with energy, vigor""."
Plaza girl of fiction.   		6 letters,"ELOISE.    	Kay Thompson wrote the ""Eloise"" series of children's books. Kay Thompson actually lived at the Plaza Hotel in New York, the setting she would choose for her ""Eloise"" stories. Eloise started out as a hit song for Thompson, a success that she parlayed into the book franchise."
One guarded in soccer.   		4 letters,SHIN.    	Soccer players usually wear shin guards.
"""Bam!"" man in the kitchen.   		6 letters","EMERIL.    	Emeril Lagasse started using his famous, ""Bam!"" catchphrase in order to keep his crew awake during repeated tapings of his show."
Nat or Natalie.   		4 letters,"COLE.    	Nat King Cole's real name was Nathaniel Adams Coles. Cole made television history in 1956 when his own show debuted on NBC, a first for an African-American. Cole couldn't pick up a national sponsor, so in order to save money and possibly save the show, many guest artists worked for no fee at all - the likes of Ella Fitzgerald, Harry Belafonte and Peggy Lee. The show survived for a year, but eventually Nat King Cole had to pull the plug on it himself."
Italian birthplace of Paganini.   		5 letters,"GENOA.    	Niccolò Paganini was a famed Italian violinist and composer. Paganini was perhaps the most celebrated violinist of the 19th century. His most famous composition has to be his Caprice No. 24 in A minor, Op. 1. This work is the basis for many derivative masterpieces by other composers, including the wonderful 'Rhapsody on a Theme of Paganini' by Rachmaninoff."
"Title for knights on ""Game of Thrones"".   		3 letters","SER.    	HBO's 'Game of Thrones' is a fantasy television drama that was adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in Belfast, Northern Ireland."
Tubes on the dinner table.   		4 letters,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. For example, Ziti is a particularly large and long tube with square-cut ends."
Top roll of a die.   		3 letters,"SIX.    	The numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. There are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
"Slow, musically.   		5 letters",LENTO.    	A lento passage is a piece of music that has a slow tempo.
Enlistee with a chevron above an arc: Abbr..   		3 letters,PFC.    	Private First Class (PFC)
Part of le visage.   		3 letters,"NEZ.    	In French, the 'nez' (nose) is part of the 'visage' (face)."
"Toy type, for short.   		3 letters","POM.    	The Pomeranian is a breed of small dog, named for the Pomerania region of Europe (part of eastern Germany and northern Poland). The breed was much loved by the royalty of Europe in the 17th and 18th centuries. In the 19th century, Queen Victoria owned a particularly small Pomeranian. Due to the notoriety of the monarch's pet, the Pomeranian was bred for small size, so that during the Queen's admittedly long reign, the size of the average ""pom"" was reduced by 50% ..."
Las Vegas's home: Abbr..   		3 letters,"NEV.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
Noshes.   		4 letters,"EATS.    	Our word ""nosh"" has been around since the late fifties, when it was imported from the Yiddish word ""nashn"" meaning ""to nibble""."
Dark ___ (Voldemort's practice in the Harry Potter books).   		4 letters,"ARTS.    	Voldemort is the main 'bad guy' in the 'Harry Potter' series of books. I heard J. K. Rowling, the author of the books, on the radio the other day and she tells us that 'Voldemort' is supposed to be pronounced with a silent 't' on the end, so it sounds kind of French. But when the movies came out the actors went with the hard 't', and that's the pronunciation that seems to prevail now."
"Tyne of ""Cagney & Lacey"".   		4 letters","DALY.    	Tyne Daly really came into the public eye playing Detective Lacey in ""Cagney and Lacey"". More recently she played the mother of the title character in ""Judging Amy""."
"Athlete's wear, informally.   		3 letters","UNI.    	Some kind readers of the blog have pointed out that ""uni"" is short for unisuit or unitard."
"""Bluebeard's Castle"" librettist Balázs.   		4 letters","BELA.    	Béla Balázs was a Hungarian film critic, although he is best remembered for writing the libretto to Béla Bartók's opera 'Bluebeard's Castle'."
Biblical queendom.   		5 letters,"SHEBA.    	Sheba is referenced in the Bible several times. The ""Queen of Sheba"" is mentioned as someone who traveled to Jerusalem to behold the fame of King Solomon. No one knows for sure where the kingdom of Sheba was located, although there is evidence that it was actually the ancient Semitic civilization of Saba. The Sabeans lived in what today is Yemen, on the Arabian Peninsula."
"Birds in the ""Arabian Nights"".   		4 letters","ROCS.    	The mythical roc is a huge bird of prey, reputedly able to carry off and eat elephants. The roc was said to come from the Indian subcontinent. The supposed existence of the roc was promulgated by Marco Polo in the accounts that he published of his travels through Asia."
Store where you might take a number.   		4 letters,"DELI.    	The word ""delicatessen"" came into English from the German ""Delikatessen"" meaning ""delicious (delikat-) to eat (essen)""."
String tie.   		4 letters,"BOLO.    	I've never worn a bolo tie, and was surprised to discover that it is a relatively recent invention. The first bolo tie was apparently produced in Wickenburg, Arizona in the late 1940s by a silversmith. The bolo takes its name from the boleadora, an Argentine lariat."
Good name for a Dalmatian.   		4 letters,"SPOT.    	The Dalmatian breed of dog originated in Dalmatia, in the Republic of Croatia. Here in the US, Dalmatians are known as ""firehouse dogs'. This association dates back to the use of Dalmatians in firehouses to guard the valuable horses that pulled the fire engines."
*Fruit juice brand.   		3 letters,"POM.    	POM Wonderful is a privately-held company that has been making fruit juice drinks since 2002. The main product line is pomegranate juice, hence the company name."
"""Here We Come a-Wassailing,"" for one.   		5 letters","CAROL.    	'Wassail' is ale or mulled wine used for toasting at festivals, especially Christmas. The term 'wassail' comes from Old Norse 'ves heill' meaning 'be healthy'. The term can also be used to describe a Christmas carol that is sung while 'wassailing', drinking wassail during the December festival."
Meanies of fantasy.   		4 letters,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
Out of date?.   		4 letters,"STAG.    	When a guy heads out to a party alone, he is said to be ""going stag""."
Appendectomy memento.   		4 letters,"SCAR.    	The appendix is a small tube that is connected to the cecum in the large intestine. The tube is more correctly called the 'vermiform appendix', with the term 'vermiform' meaning 'worm-shaped'. It is generally accepted that the appendix no longer has a meaningful function in humans, and has lost its function through the process of evolution."
"""Star Trek"" role.   		5 letters","UHURA.    	Lt. Nyota Uhura was the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role was significant in that it was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
Amazon's industry.   		5 letters,"ETAIL.    	""Etail"" is the term used these days for online shopping. Etail is often compared to regular shopping in the ""real world"" by juxtaposing it with a ""brick and mortar"" store."
"Several Asian lands, informally.   		5 letters","STANS.    	The suffix '-stan' in many place names is Persian for 'place of'. One example is 'Pakistan', the Place of the Pure. 'Pakistan' is a relatively recent name, first coined in 1933. It comes from the abbreviation PAKSTAN, standing for Punjab - Afghan Province - Kashmir - Sindh - BaluchisTAN, all regions in the north of India. The 'I' was added to Pakistan to make it easier to pronounce, and to fit the translation 'Land of the Pure'."
Big scrap.   		5 letters,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means ""confused fight""."
City east of St.-Lô.   		4 letters,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
Quill fluid.   		3 letters,"INK.    	Quills have been used as writing implements since the 6th century. Historically, goose, swan and turkey feathers have been the quills of choice. A bird's feather is well suited for writing, as the hollow shaft acts as a reservoir for ink which then flows to the tip due to capillary action. Choice of feather is important. Right-handed writers are best served by feathers from the left wing, as the feather curves away from the palm of the hand when writing. The tip of the quill is sharpened using a ""quill knife"". This quill knife is the ancestor of what we know today as a ""penknife""."
Searchlight element.   		5 letters,"XENON.    	Metal halide lamps that are called xenons don't actually rely on the incorporated xenon gas to generate light. The xenon gas is added so that the lamp comes on ""instantly"". Without the xenon, the lamp would start up rather like a street lamp, flickering and sputtering for a while before staying alight."
Campfire treat.   		6 letters,"S'MORE.    	S'mores are treats peculiar to North America, usually eaten around a campfire. A s'more consists of a roasted marshmallow and a layer of chocolate sandwiched between two graham crackers. The earliest written reference to the recipe is in a 1927 publication called 'Tramping and Trailing with the Girl Scouts'. Girl Scouts always did corner the market on cookies and the like!"
"""East River"" novelist, 1946.   		4 letters","ASCH.    	Sholem Asch was a Polish-born American novelist and dramatist who published his work in Yiddish. One of his plays was ""God of Vengeance"", a highly regarded work performed all over Europe and translated into many languages. It opened on Broadway in 1923, but the adult themes (it was set in a brothel, and featured a lesbian relationship) led to the entire cast being arrested and convicted on obscenity charges."
Some Wharton degs.   		4 letters,"MBAS.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia."
It borders two Great Lakes: Abbr..   		3 letters,"WIS.    	Wisconsin is named for the Wisconsin River, the longest river in the state. The famous missionary, Father Jacques Marquette, recorded the Algonquian name for the river as 'Meskousing'. This was modified by French explorers to 'Ouisconsin', with the first syllable pronounced just like the French word for 'yes' &#8230; 'oui&#8217;. In the early 1800s this was anglicized to 'Wisconsin'."
Donnybrook.   		5 letters,"MELEE.    	A 'donnybrook' is a free-for-all, named after a famous historic fair in Donnybrook, a district in Dublin, Ireland. Donnybrook Fair had the reputation as a place where there was lots of drinking and fighting. I used to hang out a lot in Donnybrook in my student days and didn't see any fighting. Lots of drinking, but no fighting ..."
Pitcher's delivery.   		5 letters,"SPIEL.    	A spiel is a lengthy speech or argument designed to persuade, like a sales pitch. ""Spiel"" comes to us from German, either directly (""spiel"" is the German for ""play"") or via the Yiddish ""shpil""."
Bat mitzvah reading.   		5 letters,"TORAH.    	The word ""Torah"" best translates as ""teaching"", I am told."
Lady of the Haus.   		4 letters,"FRAU.    	In Germany, a 'Mr.' (Herr) is married to a 'Mrs.' (Frau), and they live together in a house (Haus)."
Sch.   		4 letters,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry. The teams are also known as the UTEP Miners and Lady Miners."
Banks raking in the money?.   		4 letters,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. She hosts, and indeed created, the hit show 'America's Next Top Model ', and has her own talk show. Banks was the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
"Pro bono spots, briefly.   		4 letters",PSAS.    	Public service announcement (PSA)
Relative of a cello.   		5 letters,"VIOLA.    	The viola looks like and is played like a violin, but is slightly larger. It is referred to as the middle voice in the violin family, between the violin and the cello."
Chow.   		4 letters,"EATS.    	""Chow"" is an American slang term for food that originated in California in the mid-1800s. ""Chow"" comes from the Chinese pidgin English ""chow-chow"" meaning ""food""."
"The ""S"" in GPS: Abbr..   		4 letters","SYST.    	GPS stands for Global Positioning System. The US military have been working on the satellite technology used in GPS since the days of the first Russian satellite in space, Sputnik. The modern GPS system that we use today was built by the military who received the massive funding needed because of fears during the Cold War of the use of Intercontinental Ballistic Missiles. We civilians, all round the world, owe a lot to President Ronald Reagan because he directed the military to make GPS available to the public for the common good. He was moved to do so after the Soviet Union shot down KAL flight 007 carrying 269 people, when it accidentally strayed into Soviet airspace."
PC character set.   		5 letters,"ASCII.    	ASCII (American Standard Code for Information Interchange) lists codes for 32 ""control"" characters, as well as the 95 printable characters (like a, A, b, B, 1, 2, etc). These binary ASCII codes are the way that our computers can understand what we mean when we type say a letter, or a number."
Siesta.   		3 letters,"NAP.    	We use the word 'siesta' to describe a short nap in the early afternoon, taking the word from the Spanish. In turn, the Spanish word is derived from the Latin 'hora sexta' meaning 'the sixth hour'. The idea is that the nap is taken at 'the sixth hour' after dawn."
"""Mazel ___!"".   		3 letters","TOV.    	Mazel tov is the Yiddish term for ""good luck!"". I believe that mazel tov is used in the sense that good fortune has already occurred and is being acknowledged, whereas in English our wish of ""good luck"" is for the future."
Broad.   		4 letters,"DAME.    	The American slang 'broad' is a rather offensive term for 'woman'. It is possible that 'broad' comes from the noun 'abroadwife', once used for a woman, often a slave woman, who was living away from her husband. The term was considered so offensive that the athletic event formerly called the 'broad jump' had its name changed to 'long jump' in 1967."
Liquid-Plumr rival.   		5 letters,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
"Davis of ""Bubba Ho-Tep,"" 2002.   		5 letters","OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. In the CBS sitcom ""Evening Shade"", Davis played the narrator."
___ polloi.   		3 letters,"HOI.    	""Hoi polloi"" is a Greek term, literally meaning ""the majority, the many"". In English, ""hoi polloi"" has come to mean ""the masses"" and is often used in a derogatory sense."
Edmonton hockey player.   		5 letters,"OILER.    	The National Hockey League's Edmonton Oilers are so called because they are located in Alberta, Canada ... oil country."
Rendering on Connecticut's state quarter.   		3 letters,"OAK.    	The oak depicted on the Connecticut quarter is the Charter Oak. The tree earned its name from the legend that the original Royal Charter for the colony was hidden in a cavity of the tree for a while. The tree no longer exists, as it went down in a storm in the early 1800s."
Mafia bigwig.   		4 letters,"CAPO.    	More properly called a ""caporegime"", a ""capo"" is high-ranking member of the Mafia (Cosa Nostra)."
Podiatrist's concern.   		5 letters,"TARSI.    	The tarsals (also 'tarsi') are the ankle bones, equivalent to the carpals in the wrist."
Official records.   		4 letters,"ACTA.    	Actum (plural 'acta') is the Latin word for 'deed'. 'Acta' is used in English to describe many official records, including minutes, proceedings etc."
Brawl.   		5 letters,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means ""confused fight""."
Tony-winning Tyne.   		4 letters,"DALY.    	Tyne Daly really came into the public eye playing Detective Lacey in ""Cagney and Lacey"". More recently she played the mother of the title character in ""Judging Amy""."
Wild Alpine goat.   		4 letters,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
Slip into.   		3 letters,"DON.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off"". The opposite of 'doff' is 'don' meaning 'to put on'."
Actress Anouk.   		5 letters,"AIMEE.    	Anouk Aimée is a French film actress. Aimée's most famous film outside of France is probably the internationally successful 1966 French hit ""A Man and a Woman"", in which she played the female lead."
Georgetown athlete.   		4 letters,"HOYA.    	The athletic teams of Georgetown University are known as the Hoyas. The name is derived from a traditional ""cheer"" yelled out at Georgetown games, as far back as 1893: ""Hoya Saxa"". The term is a mixture of Greek and Latin, with the Greek word ""hoya"" meaning ""such"" or ""what"", and ""saxa"" translating from Latin as ""rocks"" or ""small stones"". The cheer is usually rendered into English as ""what rocks!""."
"Julie Andrews, for one.   		4 letters",DAME.    	The actress and singer Julie Andrews was made a Dame in 2000 by Queen Elizabeth II. The most famous roles played by Andrews were probably the leads in 'Mary Poppins' (1964) and 'The Sound of Music' (1965). More recently she has had a recurring role in 'The Princess Diaries' (2001) and the film's 2004 sequel.
Water under the bridge?.   		4 letters,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say. The moat may or may not be filled with water."
"When the day's done, to Donne.   		4 letters","E'EN.    	John Donne is one of England's most celebrated poets, working at the start of the 17th century. He spent much of his life in poverty and even spent a short time in prison for having married his wife without procuring the appropriate permissions. After his release, his wife bore him 12 children in 16 years, passing away a few days after the twelfth child was born."
Wyoming tribe.   		7 letters,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
"Part of Dante's ""Inferno"".   		5 letters","CANTO.    	A canto is a section of a long poem, and is a term first used by the Italian poet Dante. ""Canto"" is the Italian for ""song""."
Yule song.   		5 letters,"CAROL.    	The word ""carol"" came into English via the Old French word ""carole"", which was a ""dance in a ring"". When ""carol"" made it into English, about 1300 AD, the term was used to describe a dance as well as a joyful song. Around 1500 AD, carols that were sung came to be associated with Christmas."
Singer Turner's memoir.   		7 letters,"I, TINA.    	""I, Tina"" is the 1986 autobiography of Tina Turner. The book was so successful it was adapted into a movie called ""What's Love Got to Do With It?"" The film version was released in 1993 and starring Angela Bassett as Tina Turner."
Aquafina rival.   		5 letters,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As one might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
Kirk's partner in a groundbreaking 1968 interracial kiss.   		5 letters,"UHURA.    	Lt. Nyota Uhura is the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role is significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
Hall of fame on TV.   		3 letters,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'. Hall replaced Ed McMahon when Johnny Carson retired from the show.
German connection.   		3 letters,UND.    	'Und' is the German for 'and'.
Amazon.com's line.   		5 letters,"ETAIL.    	Amazon.com is the largest online retailer in the world. The company was founded in 1994 by Jeff Bezos, in his garage in Bellevue, Washington. I'm a big fan of Amazon's approach to customer service ..."
"Help at the gym, say.   		4 letters","SPOT.    	People at the gym who are doing weight training will often ""spot"" for each other. This means that the person who is spotting assists in the lift, allowing the 'lifter' to work with more weight than usual."
Queendom in I Kings.   		5 letters,"SHEBA.    	Sheba is referenced in the Bible several times. The ""Queen of Sheba"" is mentioned as someone who traveled to Jerusalem to behold the fame of King Solomon. No one knows for sure where the kingdom of Sheba was located, although there is evidence that it was actually the ancient Semitic civilization of Saba. The Sabeans lived in what today is Yemen, on the Arabian Peninsula."
Actor Davis.   		5 letters,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. In the CBS sitcom ""Evening Shade"", Davis played the narrator."
"Parisian business partner, maybe.   		5 letters",FRERE.    	In Paris sometimes a business partner is one's brother (frere).
Heffalump's creator.   		5 letters,"MILNE.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
Band options.   		5 letters,"AM/FM.    	The radio spectrum is divided into bands based on frequency. ""High band"" is composed of relatively high frequency values, and ""low band"" is composed of frequencies that are relatively low. FM radio falls into the band called Very High Frequency, or VHF. Television signals use frequencies even higher than VHF, frequencies in the Ultra High Frequency band (UHF). AM radio uses lower frequencies that fall into the relatively low bands of Low, Medium and High Frequency (LF, MF, and HF)."
"""Sesame Street"" viewer.   		3 letters","TOT.    	Back in 1966, the Carnegie Institute allocated money to study the use of television to help young children prepare for school. The institute gave an $8million grant to set up the Children's Television Workshop with the task of creating an educational TV program for young people. The program began to come together, especially after Jim Henson (of Muppet fame) got involved. The name ""Sesame Street"" was chosen simply because it was the ""least disliked"" of all names proposed just before the program went on the air."
