E_UC,EDUC.    	Parent-Teacher Association (PTA)
_PIAN,APIAN.    	Something described as 'apian' is related to bees. 'Apis' is the Latin for 'bee'.
SIN_S,"SINES.    	The most familiar trigonometric functions are sine, cosine and tangent (abbreviated to 'sin, cos and tan'). Each of these is a ratio, a ratio of two sides of a right-angled triangle. The 'reciprocal' of these three functions are secant, cosecant and cotangent. The reciprocal functions are simply the inverted ratios, the inverted sine, cosine and tangent. These inverted ratios should not be confused with the 'inverse' trigonometric functions e.g. arcsine, arccosine and arctangent. These inverse functions are the reverse of the sine, cosine and tangent. For example, the arctangent can be read as 'What angle is equivalent to the following ratio of opposite over adjacent?'"
_ONHO,"DON HO.    	The singer and entertainer Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
CI_E,CINE.    	'Cine' is the French for 'cinema'.
I_A,"IPA.    	India Pale Ale (IPA) is a style of beer that originated in England. The beer was originally intended for transportation from England to India, hence the name."
T_UT,T-NUT.    	A T-nut is so called because it has a t-shape when viewed from the side.
_NP,"GNP.    	A country's Gross National Product (GNP) is the value of all services and products produced by its residents in a particular year. GNP includes all production wherever it is in the world, as long as the business is owned by residents of the country concerned. Gross Domestic Product (GDP) is different, and is the value of all services and goods produced within the borders of the country for that year."
S_CEM,"SIC 'EM.    	'Sic 'em' is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
CAR_,"CARL.    	Carl Carlson is a friend of Homer's on ""The Simpsons"", and one of his co-workers at the Springfield Nuclear Power Plant. Carl is voiced by actor Hank Azaria."
S_ISS,"SWISS.    	The third largest group of exported goods from Switzerland is watches (after chemicals and machines/electronics). Over half the watches made in the world are made by Swiss companies such as Omega, Swatch, Rolex and TAG Heuer."
C_OTE,"C-NOTE.    	Lettuce, cabbage, kale, dough and moola (also moolah) are all slang terms for money."
_ANES,"DANES.    	In William Shakespeare's ""Hamlet"", Hamlet's nemesis is King Claudius, his father's brother. It's felt that Shakespeare chose the name ""Claudius"" as in those days the Roman Emperor Claudius was considered to be the archetype of an evil ruler."
ACI_S,"ACIDS.    	As we all recall from chemistry class, a pH of 7 is considered neutral, and water is the primary example of a substance with a pH equal to seven. Anything less than 7 is an acid, and anything above 7 is a base."
_NACIN,"ANACIN.    	Anacin is a pain reliever, with aspirin and caffeine as active ingredients."
EMILI_,"EMILIO.    	Emilio Barzini (aka 'the Wolf') is the main antagonist in Mario Puzo's 'The Godfather'. In the film adaptation, Barzini is played by actor Richard Conte."
E_LEEN,EILEEN.    	The actress Eileen Brennan was best known for her portrayal of the commanding officer in 'Private Benjamin'. I also remember her playing the brothel madam in the great 1973 movie 'The Sting'.
_CALA,"SCALA.    	The La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: ""Teatro alla Scala"" in Italian."
D_CE,"DICE.    	As we all know, the numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. Now, there are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
_EESE,"MEESE.    	Ed Meese was born in Oakland, California just down the road here and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service, Meese earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
C_EPE,CREPE.    	'Crêpe' is the French word for 'pancake'.
ALUMN_,"ALUMNA.    	An ""alumnus"" (plural ... alumni) is a graduate or former student of a school or college. The female form is ""alumna"" (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil. 'Alum' is an informal term used for either an alumna or an alumnus."
ED_C,"EDUC.    	The Educational Testing Service (ETS) was founded in 1947, and produces standardized tests for students from kindergarten through college. Perhaps most famously, ETS operates the SAT testing process."
PE_NS,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
RA_A,RAJA.    	A raja might be described as a big cheese in India.
LOEW_,"LOEWE.    	Frederick Loewe was a composer best known for his collaborations with the lyricist Alan Jay Lerner, the most famous of which were 'My Fair Lady', 'Gigi' and 'Camelot'."
O_G,"ORG.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO&#8217;s early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO is recognized as the sole legitimate representative of the Palestinian people by over one hundred countries, and was granted observer status (i.e. no voting rights) at the United Nations in 1974. "
APIA_,APIAN.    	Something 'apian' is related to bees. 'Apis' is the Latin for 'bee'.
ADO_IS,"ADONIS.    	In Greek mythology, Adonis is a beautiful young god loved by Aphrodite. Adonis dies in a hunting accident (gored by a boar), but not before he gives Aphrodite a child. Adonis was originally a Phoenician god ""absorbed"" into Greek lore (Phoenicia is modern day Lebanon). The child born of Adonis to Aphrodite was called Beroe, after which is named Beirut, the capital city of Lebanon. We also use the term 'adonis' to mean 'beautiful male'."
XAC_O,"X-ACTO.    	The X-Acto knife was invented in the thirties by a Polish immigrant, although his intention was to come up with a scalpel for surgeons. The knife couldn't cut it as a scalpel though (pun intended!), because it was difficult to clean. The inventor's brother-in law suggested it be used as a craft knife, and it is still around today."
_UCRE,"LUCRE.    	Our word 'lucre' meaning 'money, profits' comes from the Latin 'lucrum' meaning the same thing."
_MACS,"IMACS.    	The iMac is a desktop computer platform from Apple introduced in 1998. One of the main features of the iMac is an ""all-in-one"" design, with the computer console and monitor integrated. The iMac also came in a range of colors, that Apple marketed as 'flavors', such strawberry, blueberry and lime."
RADA_,"RADAR.    	Scientists have been using radio waves to detect the presence of objects since the late 1800s, but it was the demands of WWII that accelerated the practical application of the technology. The British called their system RDF standing for Range and Direction Finding. The system used by the US Navy was called Radio Detection And Ranging, which was shortened to the acronym RADAR."
AL_S,"ALIS.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky. Clay changed his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
M_TO,"MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. Mr. Moto was famously played by Peter Lorre in a series of eight films released in the 1930s."
OL_ON,"OLSON.    	Johnny Olson was the announcer on ""The Price is Right"" from day one in 1972, until he passed away in 1985."
AMO_BA,"AMOEBA.    	An ameba (or ""amoeba"", as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
SE_NA,SENNA.    	Sennas are used as purgatives and laxatives.
P_T,"POT.    	The phrase 'go to pot', meaning fall into ruin, has been around since the 1500s when it really meant 'go to (the) pot', to be chopped up and boiled for food."
I_PS,"ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
CU_A,CUBA.    	Morro Castle is a fortress guarding the entrance to Havana Bay in Cuba. The castle was built by the Spanish in 1859. The name 'Morro' means a rock that is visible from the sea.
S_L,"S'IL.    	RSVP stands for ""répondez, s'il vous plaît"", which is French for ""please, answer""."
AP_AN,APIAN.    	Something described as 'apian' is related to bees. 'Apis' is the Latin for 'bee'.
_OTO,"MOTO.    	The mysterious Mr. Moto is a Japanese secret agent who appears in six novels by American author, John P. Marquand. Mr. Moto was famously played by Peter Lorre in a series of eight films released in the 1930s."
_CDS,"LCDS.    	Liquid Crystal Displays (LCDs) are the screens that are found in most laptops today, and in flat panel computer screens and some televisions. LCD monitors basically replaced Cathode Ray Tube (CRT) screens, the old television technology."
L_ONA,LEONA.    	Leona Lewis rocketed to fame after winning the British TV show called 'The X Factor' (the show that spawned the UK's 'Pop Idol' and America's 'American Idol').
BAL_A,"BALSA.    	Balsa is a very fast growing tree that is native to parts of South America. Even though balsa wood is very soft, it is actually classified as a hardwood, the softest of all the hardwoods (go figure!). Balsa is light and strong, so is commonly used in making model airplanes. Amazingly, in WWII a full-size British plane, the de Havilland Mosquito, was built largely from balsa and plywood. No wonder they called it ""The Wooden Wonder"" and ""The Timber Terror""."
ADOB_,"ADOBE.    	The building material known as adobe has been around a long time, and has been used in dry climates all over the world. The original form of the word ""adobe"" dates back to Middle Egyptian times, about 2000 BC. The original spelling is ""dj-b-t"", and translates as mud (sun-dried) brick."
OT_ES,"OTOES.    	The Otoe (also Oto) Native American tribe originated in the Great Lakes region as part of the Winnebago or Siouan tribes. The group that would become the Otoe broke away from the Winnebago and migrated southwestwards ending up in the Great Plains. In the plains the Otoe adopted a semi-nomadic lifestyle dependent on the horse, with the American bison becoming central to their diet."
FE_,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. The fez used to be a very popular hat across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
PD_,"PDQ.    	P.D.Q. Bach is an alter ego used by musical satirist Peter Schickele. Schickele creates works that he bills as compositions written by P.D.Q. Bach, the 'only forgotten son' of Johann Sebastien Bach."
_IGI,"GIGI.    	In the lovely musical ""Gigi"", released in 1958, the title song is sung by Louis Jourdan who plays Gaston. My favorite number though, has to be ""Thank Heaven for Little Girls"" sung by Maurice Chevalier. Many say that 'Gigi' is the last in a long line of great MGM musicals."
_NA,"ON A.    	'Cat on a Hot Tin Roof' is the play that won Tennessee Williams the Pulitzer Prize for Drama in 1955. The play was adapted into a famous film version in 1958, with Elizabeth Taylor and Paul Newman playing the leads."
_ES,"YES.    	'Sim' is Portuguese for 'yes', and 'não' translates as 'no'."
S_N,"SON.    	In the Christian tradition, the Father, Son and Holy Spirit are three persons in One Divine Being, the Holy Trinity."
_FTS,EFTS.    	Salamanders are lizard-like amphibians found in all across the northern hemisphere. They are the only vertebrate animals that can regenerate lost limbs.
OREG_N,"OREGON.    	The US participated in tripartite negotiations with imperial powers of Russia and Britain in the 1820s that established a boundary along the line of latitude at 54 degrees, 40 minutes north. Back then, the border separated Russian interests north of the border, and British and American interests to the south. Today, that border separates the US State of Alaska and the Canadian Province of British Columbia. The area south of the border was referred to as the Columbia District by the British, and the Oregon Country by the Americans, with the two nations disputing ownership. In the 1840s, the US Democratic Party took the position that America should annex the entire area, and coined the slogan 'Fifty-four Forty or Fight!'."
CO_A,"COMA.    	The term ""coma"" comes from the Greek word ""koma"" meaning ""deep sleep""."
P_T,"POT.    	The ""pot"" in a card game has been referred to as the 'kitty' since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
DONH_,"DON HO.    	The singer and entertainer Don Ho apparently had a pretty liberal arrangement with his wife. When Ho was touring with his two backing singers, Patti Swallie and Elizabeth Guevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
PE_T,"PEAT.    	When dead plant matter accumulates in marshy areas, it may not fully decay due to a lack of oxygen or acidic conditions. We are familiar with this in Ireland, because this decaying matter can form peat, and we have lots and lots of peat bogs."
_AMAR,"LAMAR.    	Lamar Alexander is one of the US Senators representing Tennessee. Alexander is a great classical and country piano player, and you can actually hear him playing on a re-recording that Patti Page made of her 1950 hit 'Tennessee Waltz'."
_TEL,"K-TEL.    	I know that a lot of people detested the ""Hooked on Classics"" albums, but to be honest, I found them to be a lot of fun. But then again, I liked disco! The original ""Hooked on Classics"" album was recorded in 1981 by the Royal Philharmonic Orchestra from London. The music was a selection of recognizable extracts from the world of classical music played over a continuous, disco beat."
_YRE,"LYRE.    	The lyre is a stringed instrument most closely associated with Ancient Greece, and with the gods Hermes and Apollo in particular. According to myth, Hermes slaughtered a cow from a sacred herd belonging to Apollo and offered it to the gods but kept the entrails. Hermes used the entrails to create the first lyre. Apollo liked the sound from the lyre and agreed to accept it as a trade for his herd of cattle."
_ET,"DET.    	The San Francisco Giants won the 2012 World Series by sweeping the Detroit Tigers, winning the first four of the seven games scheduled."
_SAMA,"OSAMA.    	The famous cave that almost certainly housed Osama Bin Laden for a while was in Tora Bora in eastern Pakistan. Tora Bora is not far (~ 30 mi) from what used to be an even more famous spot, the Khyber Pass. ""Tora Bora"" is a Pashto name which translates to ""black dust""."
_ORRE,"TORRE.    	As a manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees baseball team. Torre is an Italian American who was born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence in Italy, handing it over to the next runner at the famous Ponte Vecchio. I'd guess that was quite a thrill for him ..."
BORA_,"BORAX.    	Borax is also known as sodium borate, and is a salt of boric acid. Borax is a white powder that dissolves easily in water. The compound has many uses, for example as an antifungal agent and an antiseptic."
LU_RE,"LUCRE.    	Our word 'lucre' meaning 'money, profits' comes from the Latin 'lucrum' that means the same thing."
GLO_,"GLOM.    	'Glom' is a slang term meaning 'steal', although it can also be used to mean 'latch onto' when used as 'glom onto'. The term probably comes from the Scots word 'glam' meaning 'to snatch at'."
KAT_E,"KATIE.    	Katie Holmes is an actress who first came to prominence in the television drama 'Dawson's Creek'. Off screen, Holmes is famous as the ex-wife of Tom Cruise."
CLA_,"CLAM.    	Our phrase 'happy as a clam' dates back to the mid-1600s. Back then it was a more lengthy expression: 'happy as a clam in the mud at high tide'. The idea was that a clam would be happy in its muddy home at high tide, because no one from land could get to it and eat it."
C_O,"CHO.    	John Cho is an actor and musician who was born in Seoul, South Korea but who has lived in the US since he was a young boy. Cho's break in movies came in playing Harold Lee in the 'Harold & Kumar' films. He is now making a name for himself playing Mr. Sulu in the latest 'Star Trek' movies."
A_ANA,"ALANA.    	Alana de la Garza is an actress from Columbus, Ohio. De la Garza is perhaps best known for her recurring role as Connie Rubirosa on television's 'Law & Order'."
SI_,"SIS.    	Solange Knowles is a singer/songwriter, and the younger sister of the incredibly successful singer Beyoncé. Solange was in the news recently when security camera footage was released showing her punching and kicking Beyoncé's husband Jay-Z in an elevator."
_OMO,"HOMO.    	The Homo genus includes the species Homo sapiens (modern humans), but we're the only species left in that genus. The last known species related to humans was Homo neanderthalensis (Neanderthal Man) which died off about 24,000 years ago. However, another species was discovered in Indonesia in 2003 that has been dubbed Homo floresiensis (Flores Man ... sometimes called ""hobbit""), and it may possibly have lived as recently as 12,000 years ago. Watch this space ..."
ONTARI_,"ONTARIO.    	HOMES is a famous mnemonic for remembering the names of the Great Lakes, i.e. Huron, Ontario, Michigan, Erie and Superior."
A_ZE,"ADZE.    	An adze (also adz) is similar to an axe, but is different in that the blade of an adze is set at right angles to the tool's shaft. An axe's blade is set in line with the shaft."
_ICEM,"SIC 'EM.    	'Sic 'em' is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
L_HTI,"LAHTI.    	Christine Lahti is an actress probably best known for playing Dr. Kate Austen on the TV medical drama 'Chicago Hope'. If you read 'The Huffington Post' you might run across her as well, as Lahti is a contributing blogger."
IS_BEL,"ISABEL.    	Isabel Allende is a Chilean writer, apparently the world's most widely-read, Spanish-language author. Isabel is related to Salvador Allende, the ex-President of Chile."
AGAS_I,"AGASSI.    	Renowned tennis professional Andre Agassi wrote an autobiography called ""Open"", published in 2009. An amazing revelation in the book is that Agassi's famous head of hair was actually a wig for much of his playing career. Can you imagine how hard it must have been to play tennis at his level with a rug stuck on?"
SI_EN,"SIREN.    	In Greek mythology, the Sirens were seductive bird-women who lured men to their deaths with their song. When Odysseus sailed closed to the island home of the Sirens he wanted to hear their voices, but in safety. He had his men plug their ears with beeswax and then ordered them to tie him to the mast and not to free him until they were safe. On hearing their song Odysseus begged to be let loose, but the sailors just tightened his bonds and and the whole crew sailed away unharmed."
_LISHA,"ELISHA.    	Elisha Cuthbert is a Canadian actress who came to world attention playing Kim Bauer, Jack Bauer's daughter on TV's '24'. After '24', Cuthbert played one of the lead characters on the sitcom 'Happy Endings' that ran from 2011 to 2013."
D_O,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
_REF,"TREF.    	According to Jewish dietary law, ""kosher"" food is ""fit"" to eat, and food that is not kosher is called ""treif"" (or tref)."
EDD_,"EDDA.    	The Poetic Edda and Prose Edda are two ancient works that are the source for much of Norse mythology. Both Eddas were written in the 13th century, in Iceland."
_ILAF,"PILAF.    	'Pilaf' is a Persian word, and we use it to describe rice that is browned in oil and then cooked in a seasoned broth."
NAN_E,"NANCE.    	Jack Nance was an American actor who worked a lot with director David Lynch. He was one of the stars of the TV series ""Twin Peaks"" in which he played Pete Martell, a henpecked lumberjack. Coincidentally, the Log Lady in ""Twin Peaks"" was played by Catherine E. Coulson, one-time wife of Nance."
_EMO,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
GOT_I,"GOTTI.    	John Gotti was the boss of the Gambino crime family from 1985. Gotti was known as the Teflon Don and took over leadership of the family from Paul Castellano when he was gunned down, allegedly on Gotti's orders. Gotti remained head of the New York family until he was sentenced to life in prison in 1992. Gotti died of throat cancer after ten years behind bars."
LAS_,"LASS.    	Tartan is sometimes called ""plaid"" over here in the US, a word not used in the same sense outside of this country. In Scotland a ""plaid"" is a blanket or a tartan cloth slung over the shoulder."
_OHR,"BOHR.    	The physicists Niels Bohr and Albert Einstein had a series of public debates and disputes in the twenties and thirties. Although the two respected each other very highly, they held very different views on quantum theory, different views on the laws of physics at the atomic level. The passage of time has shown that Einstein lost these debates."
_IREN,"SIREN.    	In Greek mythology, the Sirens were seductive bird-women who lured men to their deaths with their song. When Odysseus sailed closed to the island home of the Sirens he wanted to hear their voices, but in safety. He had his men plug their ears with beeswax and then ordered them to tie him to the mast and not to free him until they were safe. On hearing their song Odysseus begged to be let loose, but the sailors just tightened his bonds and and the whole crew sailed away unharmed."
_AN,"JAN.    	Johannes (also 'Jan') Vermeer was born in the city of Delft in 1632, and died there some 43 years later. I just love Vermeer's paintings, and his wonderful use of light. A great example of such a work is his ""Girl with a Pearl Earring"". If you haven't seen it, I thoroughly recommend the 2003 movie ""Girl with a Pearl Earring"" starring Scarlett Johansson as the girl in the painting, and Colin Firth as Vermeer. The movie is based on a novel of the same name by Tracy Chevalier, so it's all just a great story as opposed to a documentary. The way the movie is shot really reflects the qualities of a Vermeer work of art. And, my wife and i are planning on taking a peek at the original painting 'Girl with a Pearl Earring' in a couple of weeks as it is visiting one of our galleries here in San Francisco."
MAT_,"MATE.    	In the game of chess, when the king is under immediate threat of capture it is said to be ""in check"". If the king cannot escape from check, then the game ends in ""checkmate"" and the player in check loses. In the original Sanskrit game of chess, the king could actually be captured. Then a rule was introduced requiring that a warning be given if capture was imminent (today we announce ""check!"") so that an accidental and early ending to the game doesn't occur."
_HOM,"THOM.    	Thom McAn footwear was introduced in 1922 by the Melville Corporation (now CVS Caremark). The brand was named after a Scottish golfer called Thomas McCann. The Thom McAn line is epitomized by the comfortable leather casual and dress shoe, so sales have really been hurt in recent decades by the growing popularity of sneakers."
AX_,"AXE.    	The term ""pink-slip"" can be used as a verb meaning ""to terminate an employee"". No one really seems to know for sure where the term originated, but there are lots of stories."
D_DA,"DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe. According to the Dada Manifesto of 1918:"
KE_AB,"KEBAB.    	The name ""kebab"" (also 'kabob') covers a wide variety of meat dishes that originated in Persia. In the West, we usually use ""kebab"" when talking about shish kebab, which is meat (often lamb) served on a skewer. 'Shish' comes from the Turkish word for 'skewer'."
_MOEBA,"AMOEBA.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
_ESSA,"TESSA.    	""The Gondoliers"" is a delightful operetta by Gilbert & Sullivan, first performed in 1889 at the Savoy Theatre in London. Tessa is a maiden selected as a bride in a ""line up"" by one of the gondoliers. I last saw ""The Gondoliers"" decades ago, an amateur production in the small town where I was living at the time in Ireland. Great fun!"
XOX_,"XOXO.    	In the sequence XOX, I think the X represents a kiss, and the O a hug. Hugs and kisses ..."
F_RN,"FERN.    	""Charlotte's Web"" is a children's novel by author E. B. White. Charlotte is a barn spider, who manages to save the life of a pig named Wilbur. Wilbur is a pet pig, owned by the farmer's daughter, Fern Arable."
RAJ_H,RAJAH.    	Raja' (also 'rajah') is word derived from Sanskrit that is used particularly in India for a monarch or princely ruler. The female form is 'rani' (also 'ranee') and is used for a raja's wife.
PL_T,"PLAT.    	A plat is a map showing actual and planned features, so a town might have a plat showing existing and intended buildings."
STE_LE,STEELE.    	Michael Steele served as Chairman of the Republican National Committee from 2009 to 2011 and was the first African American to fill the post.
_HU,"THU.    	The remarkably successful sitcom 'Friends' was created by David Crane and Marta Kauffman. For the first season, the six lead characters were each paid $22,500 per episode. That salary had increased to $1 million per episode by the show's last season. "
_AT,"BAT.    	A 'dugout' is an underground shelter. The term was carried over to baseball because the dugout is slightly depressed below the level of the field. This allows spectators behind the dugout to get a good view of home plate, where a lot of the action takes place."
NAAC_,"NAACP.    	The NAACP Image Awards are presented annually to recognise people of color in the worlds of film, television, music and literature. The first awards were presented in 1967, and the ceremony usually takes place in Los Angeles."
N_DIA,NADIA.    	Nadia Petrova is a tennis player from Moscow who has ranked third in the world in doubles. Petrova has a good complement of athletic genes as her father was a successful hammer thrower and her mother won an Olympic bronze in the 400m track relay.
PIP_,"PIPE.    	An appurtenance is an accessory, perhaps a piece of equipment for a specific task. It might also be an appendage, a suffix to a word, for example."
_REI,"DREI.    	The German for 'one, two, three' is ""eins, zwei, drei""."
O_AMA,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base. It was originally the name of a training camp set up for mujahedin fighters opposing the Russians who occupied Afghanistan at the time."
B_CA,"BOCA.    	The name of the city of Boca Raton in Florida translates from Spanish as 'Mouse Mouth'. There doesn't seem to be a definitive etymology of the name but one plausible explanation is a nautical one. 'Boca', as well as meaning 'mouth' can mean 'inlet'. 'Ratón', as well as meaning 'mouse' was also used to describe rocks that chewed away at a ship's anchor cable. So possibly Boca Raton was named for a rocky inlet."
ETD_,ETDS.    	Estimated time of departure (ETD)
SI_,SIS.    	Khloé Kardashian managed to parlay her exposure on the reality show 'Keeping Up with the Kardashians' into spin-offs called 'Kourtney and Khloé Take Miami' and 'Khloé & Lamar'. Guess how many episodes of those three shows that I've seen ...
OR_,"ORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
D_DA,"DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe. According to the Dada Manifesto of 1918:"
CA_C,"CALC.    	The Latin word 'calculus' was originally used for a reckoning or an account, and originally applied to a pebble that was used to maintain a count. The Latin word came from the Greek for a pebble, 'khalix'."
_RAMA,"DRAMA.    	I think that 'House' is one of the best shows made by Fox television. It is fun for me to see English actor Hugh Laurie in the title role as coming from the other side of the Atlantic I have been watching him in various comedic roles for decades. Famously he played Bertie Wooster opposite Stephen Fry in P.G. Wodehouse's 'Jeeves & Wooster', as well as one of the bumbling 'bad guys' in '101 Dalmatians' (the version starring Glenn Close)."
_OT,"POT.    	The ""pot"" in a card game has been referred to as the kitty since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
GN_,"GNP.    	A country's Gross National Product (GNP) is the value of all services and products produced by its residents in a particular year. GNP includes all production wherever it is in the world, as long as the business is owned by residents of the country concerned. Gross Domestic Product (GDP) is different, and is the value of all services and goods produced within the borders of the country for that year."
OLI_S,"OLIOS.    	Crazy quilting' is the creation of a patchwork made from layers of fabric of varying design, with no particular motif. A crazy quilt isn't actually 'quilted', but is created by just sewing together patches of material."
S_S,SIS.    	'Sis boom bah' is apparently a popular cheer in American high schools and colleges (I didn't know that!). The term was also used by Johnny Carson when he was playing the character Carnac the Magnificent.
MON_E,"MONTE.    	Three-card Monte is a confidence trick in which someone is goaded into betting money on the assumption that he or she can find the 'money card' (usually a queen) among three cards placed face down. The 'mark' who is being duped has all sorts of ways to lose and there are usually several people in on the scam, including others playing who seem to be winning."
ANAC_N,"ANACIN.    	Anacin is a pain reliever, with aspirin and caffeine as active ingredients."
MAU_,"MAUI.    	Maui is the second largest of the Hawaiian islands. Maui is sometimes called the 'Valley Isle' as it is composed of two volcanoes to the northwest and southeast of the island, each with numerous beautiful valleys carved into them."
OS_MA,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base. It was originally the name of a training camp set up for mujahideen fighters opposing the Russians who occupied Afghanistan at the time."
L_DS,LCDS.    	Liquid crystal display (LCD)
_TRL,CTRL.    	The control key (Ctrl.)
THO_,"THOM.    	Radiohead is an alternative rock band from England, formed in 1985."
_EDE,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-proclaimed ""king of all media""!)."
EM_LIO,"EMILIO.    	Emilio Estevez is one of the members of Hollywood's famous 'Brat Pack', having appeared in 'The Breakfast Club' and 'St. Elmo's Fire'. Estevez's father (and can't you tell it from looking at him?) is actor Martin Sheen. Estevez decided to keep his father's real name, and not the stage name of 'Sheen'. Charlie Sheen is Emilio's brother, and Charlie's real name is Carlos Estevez."
TR_F,"TREF.    	According to Jewish dietary law, ""kosher"" food is ""fit"" to eat, and food that is not kosher is called ""treif"" (or tref)."
OSO_,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
K_NE,"KANE.    	In the 1941 film 'Citizen Kane', the newspaper magnate Charles Foster Kane builds himself an immense and opulent estate on the Florida coast called Xanadu. Xanadu boasts a Venetian-style canal, complete with gondolas, and a well-stocked zoo. There is also a championship golf course. The estate was inspired by Hearst Castle, the California mansion owned by William Randolph Hearst."
LU_E,"LUTE.    	A madrigal is a piece of vocal music, but notably a piece that is secular in content rather than religious. The madrigal originated in Italy in the early 16th century and it dominated secular music for the next one hundred years until it was gradually displaced by the aria, a product of operatic works."
_DIST,"ODIST.    	Pindar was an ancient Greek poet, best known perhaps for composing a series of Victory Odes that celebrated triumph in competition, most notably the Olympian Games of the day."
