SCAM_I,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
G_M,"GAM.    	The American slang term ""gams"" is used for a woman's legs, but the term goes back to the 18th century ""gamb"" meaning the leg of an animal on a coat of arms."
YALI_,"YALIE.    	The eight Ivy League Schools are: Brown, Columbia, Cornell, Dartmouth, Harvard, Princeton, the University of Pennsylvania, and Yale. Yalies got to Yale, and Brunonians go to Brown."
RA_ADA,"RAMADA.    	The Ramada Inn hotel chain takes its name from the Spanish word for a shady resting place. A ramada is a shelter, with a rook and no walls, mainly found in the American southwest. Nowadays, the shelter can be temporary or permanent, but originally ramadas were makeshift shelters constructed by aboriginal Indians from branches or bushes."
G_FFE,"GAFFE.    	Our word ""gaffe"" , meaning a social blunder, comes from the French word ""gaffe"" meaning ""clumsy remark"", although it originally was the word for ""boat hook"". The exact connection between a boat hook and a blunder seems to be unclear."
NATA_,NATAL.    	A natal chart is an astrological chart that is based on the exact time that a person is born.
S_IR,"STIR.    	The slang word ""stir"", meaning a prison, probably has its roots in Start Newgate prison in London, where it was a nickname for the establishment."
U_IS,"UNIS.    	Les États-Unis, is what French speakers call the United States."
AUROR_,"AURORA.    	The spectacular aurora phenomenon is seen lighting up the night sky at both poles of the earth (the Aurora Borealis in the north, and the Aurora Australis in the south). The eerie effect is caused by charged particles colliding with atoms at high latitudes."
_LUL,ELUL.    	Elul is the month in the Hebrew calendar that occurs in August-September.
MAGO_,"MAGOO.    	Mr. Quincy Magoo is a wonderful cartoon character voiced by Jim Backus. Backus is probably equally well-known for playing Mr. Magoo and that of Thurston Howell, III on ""Gilligan's Island"". Mr. Magoo first appeared on the screen in a short called ""The Ragtime Bear"" in 1949. His persona was at least in part based on the antics of W. C. Fields. Backus originally used a fake rubber nose that pinched his nostrils in order to create the distinctive voice, although in time he learned to do without the prop. My absolute favorite appearance by Mr. Magoo is in ""Mr Magoo's Christmas Carol"", a true classic from the sixties."
SERA_E,"SERAPE.    	'Serape' is the English pronunciation and spelling of the Spanish word 'zarape'. A zarape is like a Mexican poncho, a soft woolen blanket with a hole in the middle for the head. Most serapes have colorful designs that use traditional Mayan motifs."
_DILE,"ODILE.    	""Swan Lake"" is such a delightfully light and enjoyable ballet. It tells the story of Odette, a princess turned into a swan by a sorcerer. The ballet also features Odile, Odette's ""evil twin"". Odile is disguised to look like Odette with the goal of tricking the prince to fall in love with her. In the ballet, the roles of Odette and Odile are played by the same ballerina."
_ORA,"BORA.    	Bora Bora is one of the Society Islands of French Polynesia. The name Bora Bora is imitative of the Tahitian name for the island and should really be pronounced ""pora pora"". ""Bora bora"" translates as ""first born""."
S_AX,"STAX.    	Booker T. & the M.G.'s were in effect the house band at Stax Records, and so appeared on loads of famous recordings, including some by Wilson Pickett and Otis Redding. As such, they became synonymous with what became known as the Stax Sound. One of the unique things about the band was that it was racially integrated, with two white guys making a name for themselves in the soul music, which at the time was the domain of black culture."
C_T,"CST.    	The Florida Panhandle is in the Central Time Zone, whereas the rest of the state is of course in the Eastern Time Zone."
WIL_O,"WILCO.    	In the world of radio telephony, 'wilco' is short for 'I understand and will comply'."
AD_DAS,ADIDAS.    	Springblade is a line of running shoes made by Adidas.
ZEL_A,ZELDA.    	The Legend of Zelda' is a video game. Apparently it's very successful.
_WAMI,SWAMI.    	A swami is a religious teacher in the Hindu tradition.
_RLEN,"ARLEN.    	Arlen Specter was the US Senator for Pennsylvania, famous for switching from the Republican to the Democratic Party in 2009. In 2010 he lost the Democratic primary and his seat went to Pat Toomey, a Republican. Spector developed a reputation for himself of being hard to work with over the years, earning the nickname ""Snarlin' Arlen""."
MCG_E,"MCGEE.    	""The Cremation of Sam McGee"" is a famous poem penned by Robert W. Service. It tells the story of the cremation of a prospector who froze to death in the Yukon. First published in 1907, the poem became a popular reading around campfires."
T_OT,TROT.    	The equestrian sport of dressage involves demonstration of how well as horse responds to training. 'Dressage' is a French word meaning 'training'.
AENE_S,"AENEAS.    	The Aeneid is Virgil's epic poem that tells of the journey of Aeneas, a Trojan that traveled to Italy to become the ancestor of all Romans."
_SPAN,"C-SPAN.    	C-SPAN is a privately-funded, non-profit cable channel that broadcasts continuous coverage of government proceedings."
_UIS,"LUIS.    	""Los Olvidados"" is a Mexican film, directed by Spanish-Mexican filmmaker Luis Buñuel. The film follows a group of destitute children in the slums of Mexico City, and the violent life to which they are destined."
AR_ID,"ARRID.    	Arrid is an antiperspirant deodorant brand introduced in the thirties. Slogans associated with Arrid have been ""Don't be half-safe - use Arrid to be sure"", ""Stress stinks! Arrid works!"" and ""Get a little closer""."
_RAN,"FRAN.    	Fran Tarkenton is a former football player who played for the Minnesota Vikings and the New York Giants. Tarkenton has had quite the life after retiring from football in 1978. He co-wrote a murder-mystery novel, several self-help books and started his own software company."
MAO_IS,"MAORIS.    	The Māori are the indigenous people of New Zealand. The Māori are eastern Polynesian in origin and began arriving in New Zealand relatively recently, starting sometime in the late 13th century. The word ""māori"" simply means ""normal"", distinguishing the mortal human being from spiritual entities."
D_HS,"DAHS.    	Samuel Morse was a very accomplished and reputable painter (he was engaged to paint a portrait of President John Adams, for example). In 1825 he was in Washington working on a commissioned painting when he received a one-line letter by horse messenger telling him that his wife was ill. He immediately left for his home in New Haven, Connecticut but by the time he arrived she had already died and had been buried. This single event spurred him to move from painting to the development of a rapid means of long distance communication, leading to the single-wire telegraph and Morse code."
M_LE,"MALE.    	For an adult male to be a true male soprano, without singing in a falsetto voice, there usually has to be some endocrinological or physical aberration."
ERI_S,"ERIES.    	Lake Erie is the fourth largest of the five Great Lakes (Lake Ontario is the smallest). The lake takes its name from the Erie tribe of Native Americans that used to live along its southern shore. Erie is the shallowest of the Great Lakes, something for which nearby residents must be quite grateful. Being relatively shallow, Erie freezes over part way through most winters putting an end to the lake effect snow that falls in the snow belt extending from the lake's edge."
BLAN_,"BLANC.    	Mel Blanc is known as ""The Man of a Thousand Voices"". We've all heard Mel Blanc at one time or another, I am sure. His was the voice behind such cartoon characters as Bugs Bunny, Daffy Duck, Porky Pig, Tweety Bird, Woody Woodpecker and Barney Rubble. And the words on Blanc's tombstone are ... ""That's All Folks""."
FI_,"FIG.    	Both ""whit"" and ""fig"" are used to describe a trivial amount, a mere trifle."
TON_A,"TONGA.    	The Kingdom of Tonga is made up of 176 islands in the South Pacific, 52 of which are inhabited and scattered over an area of 270,000 square miles. Tonga was given the name Friendly Islands in 1773 when Captain James Cook first landed there, a reference to the warm reception given to the visitors."
_PHID,APHID.    	Honeydew is a sugary liquid secreted by some insects (such as aphids) when they feed on plant sap.
RUT_,"RUTH.    	The Book of Ruth in the Hebrew Bible and the Christian Old Testament tells the story of Ruth. Ruth was one of two women who married the two sons of Elimelech and Naomi. Father and sons died, leaving the three widows to fend for themselves. Naomi decided that it was best to go to Bethlehem. Orpah was Naomi's second daughter-in-law, and she decided to return to her home. Ruth decided to stick with her mother-in-law, using the words 'Whither thou goest, I will go'."
_HONE,RHONE.    	Avignon is a city in the southeast of France on the Rhône river. Avignon is sometimes called the 'City of Popes' as it was home to seven popes during the Catholic schism from 1309 to 1423.
EL_M,"ELAM.    	Jack Elam was a movie actor noted for playing the bad guy in Westerns. When Elam was a boy scout, he was accidentally stabbed in the eye with a pencil. The incident left him blind in that eye, and the iris remained skewed to the outside of his face. This gave him a crazed, wide-eyed look that helped add a sense of menace to the characters Elam played."
AE_O,AERO.    	'Aero' magazine is a quarterly publication issued by Boeing to its customers.
ARGYL_,"ARGYLE.    	The argyle pattern is based on the Campbell tartan. The Campbell clan is based in the Argyll region (note the spelling) in the west of Scotland, giving the Argyle pattern its name."
JA_E,"JADE.    	Jade is actually the name given to two different mineral rocks, both of which are used to make gemstones. The first is nephrite, a mineral with a varying degree of iron content, the more iron the greener the color. The second is jadeite, a sodium and aluminum-rich pyroxene. As well as being used for gemstones, both jade minerals can be carved into decorative pieces."
R_E,"RUE.    	""Rue"" is the French word for ""road""."
L_SSIE,"LASSIE.    	We owe the character Lassie to one Eric Knight who wrote a short story that he expanded into a novel called ""Lassie Come Home"", published in 1940. ""Lassie Come Home"" was turned into a movie three years later, the first of a very successful franchise. The original Lassie (a female) was played by a dog called Pal, a male dog. In fact, all of the dogs that played Lassie over the years were males, because they looked better on camera, retaining a thick coat even during the summer months."
VIS_,"VISA.    	A visa is a usually a stamp in one's passport, an indication that one is authorized to enter a particular country. The word ""visa"" comes into English via French, from the Latin expression ""charta visa"" meaning ""paper that has been seen"", or ""verified paper""."
TA_AR,"TATAR.    	Tatars are an ethnic group of people, mainly residing in Russia (a population of about 5 1/2 million). Actor Charles Bronson had a Tatar heritage. Bronson's real name was Charles Buchinsky."
LOE_,"LOEW.    	Marcus Loew was a New Yorker, born into a poor Jewish family. He started out in a penny arcade business and used its profits to buy into a nickelodeon. He built a whole chain of movie theaters, and then moved into the production of films so that he could guarantee supply of features that he could show in his theaters. Eventually he pulled together the Metro-Goldwyn-Mayer (MGM) film production company, and sadly passed away just three years after he inked the deal."
_IM,"HIM.    	'Last Time I Saw Him' is an unusual song for Diana Ross in that has a country theme, Indeed, the song was released the same year by country singer Dottie West."
_ME,"I ME.    	""I Me Mine"" is one of the relatively few Beatles songs to have been written by George Harrison (and indeed performed by him). Harrison chose the same title for his autobiography published in 1980, just a few weeks before John Lennon was assassinated in New York City."
_INT,"PINT.    	Traditionally a unit of blood is about a pint, or more likely a half-liter these days."
MA_BA,"MAMBA.    	The mamba, and most famously the black mamba, is a highly venomous snake, that used to be responsible for a great number of fatalities, before anti-venoms became available. Mamba enom is a deadly mix of neurotoxins that attack the nervous system, and cardiotoxins that attack the heart, so a bite if untreated causes the lungs and the heart to shut down."
HO_N,"HORN.    	The Horn of Africa is that horn-shaped peninsula at the eastern most tip of the continent. The Horn of Africa contains the countries Eritrea, Djibouti, Ethiopia as well as Somalia, so it sometime called the Somali Peninsula."
IN_,"IN B.    	Johannes Brahms was a leading German composer from the Romantic period. Brahms is one of the ""Three Bs"", often grouped with Johann Sebastian Bach and Ludwig van Beethoven."
_ORIA,"DORIA.    	Mary Doria Russell is a novelist from Chicago. Russell wrote two novels that deal with the subject of first contact with aliens, namely 'The Sparrow' (1996) and a sequel 'Children of God' (1998)."
OLI_E,"OLIVE.    	Tapenade is traditionally made from olives, capers, anchovies and olive oil. The name comes from the Provençal word for capers, ""tapenas""."
_OR,POR.    	'Por qué?' is Spanish for 'why?'
_DEA,"ODEA.    	In Ancient Greece, an odeon was like a small theater, literally meaning a building for musical competition. Odea were used in both Greece and Rome, for entertainments such as musical shows and poetry readings."
D_NEB,"DENEB.    	Deneb is the brightest star in the constellation called Cygnus, the Swan. The name ""Deneb"" comes from the Arabic word ""dhaneb"" meaning tail, as it lies at ""the tail"" of the swan."
_DEA,"ODEA.    	In Ancient Greece, an odeon was like a small theater, with ""odeon"" literally meaning a ""building for musical competition"". Odea were used in both Greece and Rome, for entertainments such as musical shows and poetry readings."
LOC_,"LOCH.    	I would guess that Loch Lomond is one of the two most famous lakes in Scotland. Loch Ness is famous for its ""monster"", and Loch Lomond is famous for the lovely song ""The Bonnie Banks o' Loch Lomond"". Oh, ye'll tak' the high road, and I'll tak' the low road ..."
LAS_IE,"LASSIE.    	We owe the character Lassie to one Eric Knight who wrote a short story that he expanded into a novel called ""Lassie Come Home"", published in 1940. ""Lassie Come Home"" was turned into a movie three years later, the first of a very successful franchise. The original Lassie (a female) was played by a dog called Pal, a male dog. In fact, all of the dogs that played Lassie over the years were males because they looked better on camera, retaining a thick coat even during the summer months."
_NE,"IN E.    	Like so many of the great composers, the extent of Bach's contribution to the repertoire was only fully recognized long after his passing. Johann Sebastian Bach was undoubtedly the greatest composer of the Baroque period, and is ranked by many as the greatest classical composer of all time."
A_RO,"AERO.    	The Aero-X is a concept car, produced in 2006 by Saab. Apparently lots of folks who've seen or driven it would love it go into production."
O_POT,ON POT.    	'Potiguaya' is the Mexican-Spanish word for 'marijuana leaves'. The slang name 'pot' comes from 'potiguaya'.
_OFF,"DOFF.    	One doffs one's hat, usually as a mark of respect. To doff is to take off, with ""doff"" being a contraction of ""do off""."
RH_S,"RHOS.    	Rho is the Greek letter that looks just like our Roman letter ""p""."
LI_O,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
EA_,"EAP.    	Edgar Allan Poe lived a life of many firsts. He is considered to be the inventor of the detective-fiction genre. He was also the first notable American author to make his living through his writing, something that didn't really go too well for him as he was always financially strapped. In 1849, he was found on the streets of Baltimore, delirious from either drugs or alcohol. He died a few days later in hospital at 39 years of age."
_NIS,"UNIS.    	Les États-Unis, what French speakers call the United States."
L_ESS,LOESS.    	Loess is a wind-blown accumulation of silt. The word is German in origin and was first used to describe the silt along the Rhine Valley.
AT_LEE,"ATTLEE.    	Clement Attlee served as leader of Britain's Labour Party and as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill and was responsible for major changes not only in Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, while he was in office, with the state of Israel being declared the very next day."
MESSR_,"MESSRS.    	The abbreviation 'Messrs.' is used at the head of a list of male names, in place of 'Misters'. It is an abbreviation of the French 'messieurs', the plural of 'monsieur'."
POTAT_,"POTATO.    	The word ""vodka"" is a Slavic word, a diminutive of the word for water, ""voda"". So ""vodka"" really translates as ""little water"". Traditionally, vodka is drunk ""straight up"" in the countries of Eastern Europe that collectively are aptly called the vodka belt. Belt ... get it?"
_ROT,"TROT.    	The Breeders Crown is a whole series of harness races held annually, nowadays primarily at the Meadowlands near New York City, and Mohawk Raceway in Ontario."
SO_OMA,"SONOMA.    	It was author Jack London who reported that the Native American word ""Sonoma"" translated into ""Valley of the Moon"", although the derivation is disputed. The Sonoma Valley is the birthplace of the California wine industry."
RO_,"ROD.    	In the 23rd Psalm, David says the line ""thy rod and thy staff they comfort me""."
SAH_RA,"SAHARA.    	The name ""Sahara"" means ""greatest desert"" in Arabic, and it is just that, a great desert covering almost 4 million square miles of Northern Africa (which is almost the size of the whole of Europe, or the whole of the United States!)."
END_,ENDS.    	Ends are football players.
ELU_,ELUL.    	Elul is the month in the Hebrew calendar that occurs in August-September.
AP_ID,"APHID.    	The aphid is called ""greenfly"" back in the British Isles where I come from. The most effective way to control them in my experience is to make sure there are plenty of ladybugs (called ladybirds in Ireland!) in the garden."
_LANC,"BLANC.    	French crosswords, compared with American puzzles, have far fewer shaded squares, as few as 10%. This can be achieved as symmetry is not required, and two-letter words are allowed. Also, they're usually not square. Oh, ""blanc"" is the French word for ""white""."
J_F,"JIF.    	The Peter Pan brand of peanut butter is of course named after the character in the J. M. Barrie play. What we know today as Peter Pan peanut butter was introduced in 1920 as E. K. Pond peanut butter, and renamed in 1928."
O_IJA,"OUIJA.    	The Ouija board was introduced to America as a harmless parlor game at the end of the 19th century, although variations of the board date back to 1100 BC in China, where it was apparently used to ""contact"" the spirit world. The name ""Ouija"" is relatively recent, and is probably just a combination of the French and German words for ""yes"" ... ""oui"" and ""ja""."
TAT_R,"TATAR.    	Tatars are an ethnic group of people, mainly residing in Russia (a population of about 5 1/2 million). Actor Charles Bronson had a Tatar heritage. His real name was Charles Buchinsky."
AL_ACINO,"AL PACINO.    	Al Pacino seems to be best known for playing characters on either side of the law. His big break in movies came when he played Michael Corleone in 'The Godfather', a role that grew for him as the series of films progressed. But his Oscar winning role was that of a blind, ex-military officer in 'Scent of a Woman'."
ARL_N,"ARLEN.    	Harold Arlen is a composer of popular music, forever to be associated with his composition 'Over the Rainbow' from 'The Wizard of Oz', regarded by many as the greatest song of the 20th century."
AR_ID,"ARRID.    	Arrid is an antiperspirant deodorant brand introduced in the thirties. Slogans associated with Arrid have been ""Don't be half-safe - use Arrid to be sure"", ""Stress stinks! Arrid works!"" and ""Get a little closer""."
SI_H,"SIKH.    	Sikhs do not cut their hair, as each hair has a nerve attached to the follicle. Sikhs regard the hair as an integral part of the body that should be respected. Sikh men tie up their hair and wear it under a turban. This is causing a problem in Oregon where a law was passed recently banning the wearing of turbans by teachers and government officials."
A_IAL,ARIAL.    	Both Courier and Arial are fonts.
B_RAK,"BARAK.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. Barak left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. Barak resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security-related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party and is now the country's Minister of Defense."
_ARAK,"BARAK.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. He left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. He resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party, and is currently the country's Minister of Defense."
Y_MEN,"YEMEN.    	Sana is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site."
O_S,OBS.    	Obsolete (obs.)
ANA_,ANAT.    	Coroners study anatomy.
CART_,"CARTE.    	A brasserie is a kind of French restaurant that's usually a step up from a bistro. 'Brasserie' is the French word for 'brewery', and the original brasseries in France served beer that was brewed on the premises."
L_CH,"LOCH.    	The Loch Ness monster has been talked about for centuries, but modern interest started in 1933 when a spate of sightings was reported. Those sightings don't seem to have stopped, with photographs really sparking the imagination."
_IS,"HIS.    	'Wishin' and Hopin'' is a lovely song, a hit for Dusty Springfield in 1964. 'Wishin' and Hopin'' was written by Hal David and Burt Bacharach. Springfield was the second person to record the song as Dionne Warwick had recorded it with limited success the year before."
ARGY_E,"ARGYLE.    	The argyle pattern is based on the Campbell tartan. The Campbell clan is based in the Argyll region (note the spelling) in the west of Scotland, giving the Argyle pattern its name."
G_NIE,"GENIE.    	The ""genie"" in the bottle takes his name from ""djinn"". ""Djinns"" were various spirits considered lesser than angels, people who exhibit unsavory characteristics could be said to be possessed by djinn. When the book ""The Thousand and One Nights"" was translated into French, the word ""djinn"" was transformed into ""génie"", because of the similarity in sound and the related spiritual meaning. This ""génie"" from the Arabian tale became confused with the Latin-derived ""genie"". The Latin ""genius"" was a guardian spirit thought to be assigned to each person at birth. Purely as a result of that translation the word genie has come to mean the ""djinn"" that pops out of the bottle. Quite interesting ..."
REM_,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of ""San Remo"" dates back to ancient times."
_BA,WBA.    	(5D. Supporting strip : BELT)
_RES,ORES.    	A lode is metal ore deposit that's found between two layers of rock or in a fissure.
NA_AL,NATAL.    	A natal horoscope or natal chart is an astrological map that is built around the exact time and location of an individual's birth. The chart shows the position of the astrologically relevant celestial bodies at that time.
A_TZ,"ANTZ.    	""Antz"" was the first feature movie released by Dreamworks SKG, the studio founded by Steven Spielberg and two partners in 1994. ""Antz"" came out in 1998, and has a stellar cast that includes Woody Allen, Sharon Stone, Sylvester Stallone, Gene Hackman and many, many other big names. The cartoon is quite unique in that the facial features of the voice actors are reflected in the animated characters."
ARGYL_,"ARGYLE.    	The argyle pattern is based on the Campbell tartan. The Campbell clan is based in the Argyll region (note the spelling) in the west of Scotland, giving the Argyle pattern its name."
_GER,"EGER.    	Eger is a city in the northeast of Hungary that is noted for its thermal baths and for its wine production. I don't recall having tried any wines from Eger, although we do drink a fair amount of Hungarian wine back in Ireland. I just read that Eger wines bear a resemblance to wines from Burgundy."
CI_Q,"CINQ.    	Here in Québec, where I happen to be spending the night, quitting time might be at five (cinq, in French)."
SO_E,"SOLE.    	Lemon sole is also called English sole, and is native to Northern Europe. It is a flatfish, and a very popular dish in the British Isles."
_UTRA,"SUTRA.    	Kama is the Hindu god of love. He is portrayed as a youth bearing a bow and arrows, much like Eros and Cupid."
_ATIN,"SATIN.    	The material known as 'satin' takes its name from 'Zayton', the medieval Arabic name for the Chinese port city of Quanzhou. Quanzhou was used for the export of large amounts of silk to Europe."
TSE_IOT,"TS ELIOT.    	The line is from Eliot's celebrated 1922 poem ""The Waste Land"". Evelyn Waugh used the line when he titled his 1934 novel ""A Handful of Dust""."
_LEVE,ELEVE.    	A professeur (teacher) in France should show concern for his eleves (pupils).
ULNA_,"ULNAE.    	The radius and ulna are bones in the forearm. If you hold the palm of your hand up in front of you, the radius is the bone on the ""thumb-side"" of the arm, and the ulna is the bone on the ""pinkie-side""."
S_M,SEM.    	Seminary.
_CGEE,"MCGEE.    	Willie McGee is a retired professional league baseball player, who spent most of his career with the St. Louis Cardinals."
CEDA_,"CEDAR.    	Cedar is used for the manufacture of some wardrobes and chests as it has long been believed that the fragrant oil in the wood is a moth-repellent. However, whether or not cedar oil is actually effective at keeping moths away seems to be in doubt."
ORA_LE,"ORACLE.    	The word, and name, sibyl, comes from the Greek word ""sibylla"" meaning ""prophetess"". There were many sibyls, but most famous is probably the Delphic Sybil."
NOR_H,"NORAH.    	The beguiling Norah Jones, the daughter of famous sitar virtuoso Ravi Shankar, is one of my favorite singers. If you haven't heard her sing ""Come Away with Me"", you just haven't lived ..."
S_I,"SCI.    	The Peace Prize is the most famous of the five prizes bequeathed by Alfred Nobel. The others are for Physics, Chemistry, Physiology or Medicine, and Literature. There is also a Nobel Prize in Economics that is awarded along with the original five, but it is funded separately and is awarded ""in memory of Alfred Nobel"". Four of the prizes are awarded by Swedish organizations (Alfred Nobel was a Swede) and so the award ceremonies take place in Stockholm. The Peace Prize is awarded by the Norwegian Nobel Committee, and that award is presented in Oslo."
PON_E,PONCE.    	The city of Ponce in Puerto Rico earned the nickname 'Museum City' because it has many quality museums.
C_ROB,"CAROB.    	The carob is a tree or shrub in the pea family, mainly grown for its seed pods. The carob seeds are dried or roasted, and when powdered or chipped make a good substitute for chocolate."
SO_O,"SOLO.    	The use of ""jam"", to mean an improvised passage performed by a whole jazz band, dates back to the late twenties. This gave rise to ""jam session"", a term used a few years later. The use of ""jam"" in this context probably stems from the meaning of ""jam"" as something sweet, something excellent."
TE_K,"TEAK.    	Teak is a hardwood tree in the mint family, commonly found in monsoon forests of Asia."
RA_E,"RAYE.    	Martha Raye was a comic actress as well as a singer. Strangely enough, Raye was famous for the size of her mouth, something that she used to her own advantage. As her nickname was ""The Big Mouth"", she made a little money appearing in commercials for the Polident denture cleaner in the eighties. Her line was, ""So take it from the Big Mouth: new Polident Green gets tough stains clean!"""
T_DS,"TEDS.    	Bill & Ted's Excellent Adventure' is a 1989 comedy sci-fi film, starring Alex Winter as Bill and Keanu Reeves as Ted."
T_G,"TAG.    	In the schoolyard game, if you're ""it"" you'd better go tag someone."
KOL_,"KOLA.    	The nut of the kola tree has a bitter taste, and is loaded with caffeine. So, despite the taste, the nut is habitually chewed in some cultures, especially in West Africa where the tree is commonly found in the rainforest. Of course in the US we best know the kola nut as a flavoring used in cola drinks."
N_TTI,"NITTI.    	Frank Nitti was one of the top henchmen working for Al Capone. Unlike Capone, who was born in Brooklyn, New York, Nitti was actually born in Italy, near the city of Salerno. When Capone was eventually put away for 11 years for tax evasion, Netti was convicted of the same crime. Nitti was only imprisoned for 18 months, and when released he was labelled as the new head of Capone's Chicago Outfit. However the truth seems to be that he was just a front man, with others making the decisions."
KA_EM,"KASEM.    	Not only is Casey Kasem closely associated with the radio show ""American Top 40"", but he is also well known for playing the voice of Shaggy Rogers on the ""Scooby-Doo"" animated series."
RO_ER,"ROGER.    	The term 'roger', meaning 'yes' or 'acknowledged', comes from the world of radio-telephony. The British military used a phonetic alphabet in the fifties that included Roger to represent the letter 'R'. As such, it became customary to say 'Roger' when acknowledging a message, with R (Roger) standing for 'received'."
NANETT_,"NANETTE.    	The 1925 musical ""No, No, Nanette"" spawned two famous songs, ""Tea for Two"" and ""I Want to Be Happy""."
_EFOE,"DEFOE.    	When Daniel Defoe wrote his marvelous 1719 novel called ""Robinson Crusoe"", he was likely thinking of real-life Scottish castaway, Alexander Selkirk. Selkirk lived alone on the Pacific Island called ""Mas a Tierra"" off the coast of Chile, for four years. The island was officially renamed in 1966, and is now called Robinson Crusoe Island."
YEG_,"YEGG.    	Yegg is a slang word for a burglar, and in particular a safe-cracker. The origin of the term appears to be unknown."
O_ACLE,"ORACLE.    	In Ancient Greece and Rome, an oracle was someone believed to give wise counsel, inspired by the gods. The word ""oracle"" derives from the Latin ""orare"" meaning ""to speak"", with is the same root for our word ""orator""."
ASSO_,"ASSOC.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by three white people: suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz."
_LS,"ILS.    	""Ils"" is the French word for they, when referring to masculine nouns. ""Elles"" is the word used for feminine nouns."
E_PO,"EXPO.    	Expo 2010 started in Shanghai on May 1st, 2010, the biggest World Expo in history, with 190 countries participating."
SCRI_,"SCRIP.    	Scrip isn't legal tender, but operates just like currency in specific applications. It is in effect a form of credit. Originally the word 'scrip' was used for a certificate giving one the right to receive something, often shares of a stock. 'Scrip' is probably short for (sub)script(ion) receipt."
HOTE_,"HOTEL.    	The commercial game of Monopoly is supposedly a remake of ""The Landlord's Game"" created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
_EST,"GEST.    	Our word ""gest"" meaning a great deed or an exploit has been around since about 1300, and comes from the Old French word ""geste"" meaning the same thing. These days ""geste"" can also mean ""gesture""."
GER_,"GERI.    	Geri Halliwell was called Ginger Spice because of her red hair when she was with the Spice Girls, although as she was quite a bit older than the rest of the group, she was less charitably sometimes referred to as ""Old Spice""."
_ILO,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser-known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
BAN_,BANE.    	A bane is a source of persistent annoyance.
_DROIT,"ADROIT.    	The French for ""to the right"" is ""à droit"", from which we get our word ""adroit"". The original meaning of ""adroit"" was ""rightly, properly"", but it has come to mean dexterous and skillful."
_TAVE,"STAVE.    	The word ""stave"" was originally the plural of ""staff"", a wooden rod. To ""stave off"" originated with the concept of holding off with a staff. In the world of barrel-making, a stave is a narrow strip of wood that forms part of a barrel's sides."
ATTL_E,"ATTLEE.    	Clement Attlee served was leader of Britain's Labour Party and served as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill, and was responsible for major changes not only Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, and the state of Israel was formally created the very next day."
K_PI,KEPI.    	A kepi is that circular cap with a visor that's worn in particular by the French military.
R_Y,"REY.    	In Spanish, a king (rey) sits on a throne (un trono)."
IR_NA,"IRENA.    	""The Faerie Queene"" is an epic poem by Edmund Spenser, and one of the longest poems written in English."
OSI_R,"OSIER.    	Most willows (trees and shrubs of the genus Salix) are called just that, willows. Some of the broad-leaved shrub varieties are called sallow, and the narrow-leaved shrubs are called osier."
