API_N,APIAN.    	'Apis' is the Latin for 'bee'.
PACM_N,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980 and is as popular today as it ever was, at least in some circles. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", who was known for his large appetite."
T_RE,"TARE.    	""Tare"" is the weight of a container that is deducted from the gross weight to determine the net weight, the weight of the container's contents."
P_NNE,"PENNE.    	Cylindrical pasta is known in general as 'penne', and there are many variants. For example, ziti is a particularly large and long tube with square-cut ends. ""Penne"" is the plural of ""penna"", the Italian for ""feather, quill""."
I_ST,INST.    	17. M.I.T. part: Abbr. : TECH
_MMYS,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars for film, the Grammy Awards for music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
AM_EBA,"AMOEBA.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats or reproduces."
ADOB_,"ADOBE.    	Adobe Acrobat is the software used to create .pdf files. Most of us are more familiar with the associated application called Adobe Acrobat Reader, because that's what we use to read those .pdf files."
S_AD,SHAD.    	The shad is also known as the river herring. The eggs of the female shad are prized as a delicacy in the Eastern US.
TOO_,"TOON.    	I once had the privilege of spending an afternoon in the room (Bill Hanna's den) where Bill Hanna and Joe Barbera came up with the idea of ""The Flintstones""."
CEL_,"CELT.    	Rome was founded, according to legend by Romulus, of Romulus and Remus fame, in 753 BC. The settlement expanded through conquest and assimilation of neighbors, with few setbacks. That was until 386 BC, when the Gauls briefly occupied the city, only to be ousted quite quickly. The Gauls were a Celtic race, with Gaul covering what is now known as France and Belgium."
ASC_I,"ASCII.    	ASCII (American Standard Code for Information Interchange) lists codes for 32 ""control"" characters, as well as the 95 printable characters. These binary codes are the way that our computers can understand what we mean when we type say a letter, or a number. Unicode is a more contemporary standard, and is like 'Ascii on steroids', encompassing more characters."
DH_,"DHL.    	Back in the sixties, Larry Hillblom was making pocket money as a Berkeley law student by doing courier runs between San Francisco and Los Angeles. After law school, Hillblom decided to parlay his experience into his own business and set up a courier service flying bills of lading ahead of freight from San Francisco to Honolulu. He brought in two buddies, Adrian Dalsey and Robert Lynn, as partners and the three were soon hopping on and off commercial flights and gradually making more and more money. And DHL was born ... D (for Dalsey) H (for Hillblom) L (for Lynn)."
K_RAT,"KARAT.    	A karat (also 'carat', the spelling outside North America) is a measure of the purity of gold alloys, with 24-carat representing pure gold."
_XE,AXE.    	I guess the idea is that an axe has a pointy head.
YET_S,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. Yeti is a Tibetan term for the beast, which is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot. The study of beasts whose existence has not yet been substantiated is called cryptozoology."
A_P,ATP.    	The Association of Tennis Professionals (ATP) is an organization that looks after the interests of male tennis professionals. The equivalent organization for women is the Women's Tennis Association (WTA).
TR_N,"TRON.    	Released in 1982, Disney's ""Tron"" was one of the first mainstream films to make extensive use of computer graphics. The main role in the movie is played by Jeff Bridges. The original spawned a 2010 sequel called 'Tron: Legacy', as well as a 2012 TV show called 'Tron: Uprising'."
A_ETA,"ALETA.    	Aleta is the the wife of Prince Valiant in the long-running comic strip. Edward, Duke of Windsor, called the ""Prince Valiant"" comic strip the ""greatest contribution to English Literature in the past one hundred years"". I'm not so sure ..."
_OA,"KOA.    	Kampgrounds of America (KOA) was founded in 1962 by Montana businessman Dave Drum, who opened up his first property along the Yellowstone River. His strategy was to offer a rich package of services including hot showers, restrooms and a store, which he hoped would attract people used to camping in the rough. The original campground was an immediate hit and Drum took on two partners and sold franchises all over the country. There are about 500 KOA sites today."
_HAW,"SHAW.    	Irish playwright George Bernard Shaw won the Nobel Prize for literature in 1925, and his Oscar in 1938. he won the Oscar for his work on the film adaptation of his play ""Pygmalion"". Of course years later, his screenplay was further adapted to create the musical and film ""My Fair Lady""."
SKOA_,"SKOAL.    	Skoal is a Swedish toast, with roots in the old Norse word ""skaal"" meaning ""cup""."
HAR_M,HAREM.    	Harem pants are an item of female clothing that originated in the Arabian Peninsula. They are loose fitting pants that gather at the ankle. The pants worn by belly dancers would be called harem pants.
QATA_,"QATAR.    	Qatar is a sovereign state in the Middle East occupying the Qatar Peninsula, itself located in the Arabian Peninsula. Qatar lies on the Persian Gulf and shares one land border, with Saudi Arabia to the south. Qatar has more oil and gas reserves per capita of population than any other country in the world. In 2010, Qatar had the fastest growing economy in the world, driven by the petrochemical industry. Qatar is scheduled to host the 2022 FIFA World Cup, although the nation's eligibility to do so is under question after a far-reaching bribery scandal was uncovered at the sport's governing body."
_DUE,"A DUE.    	'A due' is a musical term meaning ""together"", and literally translates from Italian as ""by two""."
RESI_,"RESIN.    	Frankincense and myrrh are both tree resins, exuded when certain species of tree are damaged. The harvested resins are used to make essentials oils for perfumes, and are also burned to give off a pleasant fragrance."
SU_,"SUV.    	The term SUV, Sports Utility Vehicle was introduced by our marketing friends. In the early days, and even for some of today's models, the SUV was a very successful way to describe what amounts to a station wagon on a truck chassis."
_ELEX,"TELEX.    	Telex grew out of the world of the telegraph. What Telex brought to telegraphy was the ability to route messages. Instead of having to talk to an operator to route a particular message to the intended party, the user of a telex could route the message directly to another telex machine by way of a rotary dial, very similar to that on a telephone."
S_AT,"SLAT.    	An Adirondack chair is a wooden chair designed for use outdoors. The original Adirondack chair was designed in 1903 by one Thomas Lee, who was vacationing in Westport, New York in the Adirondack Mountains."
_MC,"TMC.    	The Movie Channel is owned by Showtime, which in turn is subsidiary of CBS. The channel's name is often abbreviated to 'TMC', although this is informal usage."
SHA_,"SHAW.    	Artie Shaw was a composer, bandleader a jazz clarinetist. His real name was Arthur Jacob Arshawsky, born in New York City in 1910. Of his many claims to fame is the fact that he (a white bandleader) hired Billie Holiday (a black vocalist) and toured the segregated South in the late thirties. Holiday chose to leave the band though, due to hostility from audiences in the South back then."
M_UI,MAUI.    	The community of Haiku is on the northern side of the island of Maui. It is NOT the location of the Haiku Stairs (on Oahu) and it has nothing to do with the Japanese poetic form.
_XO,EXO-.    	The exosphere is the outermost layer of the atmosphere.
RE_,REB.    	'Reb' is a Yiddish term used as an equivalent of 'mister' in English.
BA_,"BAT.    	Cricket is the national game of England. The term 'cricket' apparently comes from the Old French word 'criquet' meaning 'goalpost, stick'."
O_NCE,"OUNCE.    	An ounce of prevention is worth a pound of cure, as the saying goes ..."
NR_,NRC.    	The Nuclear Regulatory Commission oversees most aspects of the safety of nuclear power plants and nuclear fuel in the US. I'd say they've been pretty busy since the onset of the tragedy in Japan after the tsunami.
A_R,AFR.    	Africa (Afr.)
_YM,GYM.    	Clever wording ...
OUS_,"OUSE.    	York is the biggest city on the River Ouse in Yorkshire. The name ""Ouse"" comes from the Celtic word ""usa"" meaning water (part of the derivation of ""whiskey"", meaning water of life)."
M_Y,MAY.    	The southernmost spot in New Jersey lies on the peninsula known as Cape May. Cape May is also home to the US Coast Guard's basic training camp.
RE_,REP.    	Your 'rep-utation'.
DEL_,"DELL.    	Dell, the computer manufacturer, is named after the company's founder, Michael Dell. Michael Dell started his company in his dorm room at college, shipping personal computers that were customized to the specific needs of his customers. He dropped out of school in order to focus on his growing business, a decision that I doubt he regrets. Michael Dell is now one of the richest people in the world."
A_ER,ALER.    	The Oakland Athletics baseball franchise was founded back in 1901 as the Philadelphia Athletics. The team became the Kansas City Athletics in 1955 and moved to Oakland in 1968.
S_UDI,"SAUDI.    	Mecca is in the Makkah province of Saudi Arabia, and is the holiest city in Islam. Several million Muslims every year perform the Hajj, a holy pilgrimage to Mecca."
EILE_N,"EILEEN.    	Eileen Collins was the first female pilot of a Space Shuttle, and the first female commander of a Space Shuttle mission. She was also the first astronaut to fly the shuttle through the 360-degree, rendezvous pitch maneuver. This maneuver became routine for Shuttles in docking with the International Space Station. The idea is to for the spacecraft to perform a back-flip so that the crew of the Space Station can photograph the Shuttle's heat-shield to verify integrity prior to reentry."
TRI_,"TRIX.    	Trix is a corn-based breakfast cereal that has been around since 1954, produced by General Mills. Ads for the cereal featured Trix Rabbit, who would try hard to get hold of bowls of the cereal. He would always get caught though, and be admonished with, ""Silly rabbit, Trix are for kids!"" With 46% sugar content, the rabbit probably wouldn't have liked it anyway ..."
STE_L,"STEEL.    	Bethlehem Steel used to be the second-largest steel producer in the country, after Pittsburgh's U.S. Steel. The company shut down its steel plants in 1995, and went bankrupt in 2001. The land where the main plant stood was purchased in 2007 and is now the site of a casino. Iron-ically (pun intended!), the developers building the casino had problems acquiring enough steel for construction due to a worldwide steel shortage ..."
DRA_A,"DRAMA.    	The term 'Thespian' is used for an actor. It derives from the name of the Greek poet of the 6th century, Thespis, known as the father of Greek tragedy."
NE_,"NEO.    	Neo is the character played by Keanu Reeves in 'The Matrix' series of films. One of Neo's actions is to to choose a red pill over a blue pill. The blue pill would have allowed him to remain in the Matrix, a fabricated reality. The red pill led to his escape into the real world, and a much more difficult life."
_NTEL,"INTEL.    	Intel is the world's largest manufacturer of semiconductor chips. The company was founded in 1968, and the name 'Intel' is a derived from INT-egrated EL-ectronics Corporation."
A_LA,"ALLA.    	The musical term 'alla breve', meaning 'at the breve (i.e. the note)', denotes a meter equivalent to 2/2. This implies quite a fast tempo, often found in military marches."
_AT,BAT.    	Nicely worded clue ...
RE_,REG.    	I always pump regular gas for my cars ...
NAAC_,"NAACP.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable I think, in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded, in 1909, by three white people: suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz."
MEES_,"MEESE.    	Ed Meese was born in Oakland, California, just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service he earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
OP_DS,"OP-EDS.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
QA_AR,"QATAR.    	Qatar is a sovereign state in the Middle East occupying the Qatar Peninsula, itself located in the Arabian Peninsula. Qatar lies on the Persian Gulf and shares one land border, with Saudi Arabia to the south. Qatar has more oil and gas reserves per capita of population than any other country in the world. In 2010, Qatar had the fastest growing economy in the world, driven by the petrochemical industry."
T_SH,"TESH.    	John Tesh is a pianist and composer, as well as a radio and television presenter."
EG_N,"EGAN.    	New York cop Eddie Egan was responsible for breaking up an organized crime ring in the city in 1961, and the seizing of a record amount of heroin (112 pounds). His exploits were chronicled in a book by Robin Moore, which in turn was the basis of the movie ""The French Connection"" released in 1971. Gene Hackman played Popeye Doyle in the movie, the character based on Egan. Paradoxically, when Egan retired from the police force he started acting and played small roles in 22 movies and television shows."
ARI_,"ARIL.    	The casing surrounding many seeds is called the aril, and it may be quite fleshy. This fruit-like characteristic makes it desirable as a food and aids in the dispersion of the seeds."
_TP,ATP.    	The Association of Tennis Professionals (ATP) is an organization that looks after the interests of male tennis professionals. The equivalent organization for women is the Women's Tennis Association (WTA).
CP_S,CPAS.    	Great clue!
C_N,"CAN.    	""The pokey, poky"" is a slang term for prison, possibly a corruption of ""pogie"", a term for a ""poorhouse""."
_ICEM,"SIC 'EM.    	Sic 'em is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
RE_,"REB.    	During the Civil War, the personification of the Southern states was 'Johnny Reb'. The northern equivalent was Billy Yank."
US_C,"USMC.    	The US Marine Corps adopted their current motto, ""Semper Fidelis"", in 1883. ""Semper Fidelis"" is Latin for ""Always Faithful""."
_ELT,"DELT.    	The deltoid 'muscle' is actually a group of muscles, the ones that cover the shoulder and create the roundness under the skin. The deltoids are triangular in shape resembling the Greek letter delta, hence the name."
_ILE,"TILE.    	In the world of tiling, a tessellation is a collection of shaped tiles (usually all the same shape) that fill the space with no gaps. Some of the shapes can be quite complex, but clever use of geometry allows them to fit together seamlessly. A simple example of a tessellated design is a collection of hexagons, in a honeycomb pattern."
EG_S,"EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
E_AN,"EWAN.    	Ewan McGregor is a very talented Scottish actor, who got his big break in the 1996 film ""Trainspotting"". His first big Hollywood role was playing the young, Obi-Wan-Kenobi in the ""Star Wars"" prequels. Less known is his televised marathon motorcycle journey from London to New York, via central Europe, Ukraine, Siberia Mongolia and Canada. The 2004 trip was shown as ""Long Way Round"" on TV. McGregor did a similar trip in 2007 called ""Long Way Down"" which took him and the same travelling companion from the north of Scotland to Cape Town in South Africa."
DI_E,"DICE.    	As we all know, the numbers on dice are arranged so that the opposite faces add up to seven. Given this arrangement, the numbers 1, 2 and 3 all meet at a common vertex. Now, there are two ways of arranging the 1, 2 and 3 around the common vertex, a so called right-handed die (clockwise 1-2-3) or a left-handed die (counterclockwise 1-2-3). Traditionally, dice used in Western cultures are right-handed, whereas Chinese dice are left-handed. Quite interesting ..."
_LIOS,"OLIOS.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew, in turn, takes its name from the Spanish ""olla"", the name of the clay pot used to make the stew."
_WEEN,"TWEEN.    	The term ""tween"" is now used to describe preadolescence, the years between 10 and 12 years of age."
UR_AH,"URIAH.    	Uriah Heep is a sniveling insincere character in the novel ""David Copperfield"" by Charles Dickens. The character is such a ""yes man"" that today, if we know someone who behaves the same way, then we might call that person a ""Uriah Heep""."
T_EF,"TREF.    	According to Jewish dietary law, kosher food is ""fit"" to eat, and food that is not kosher is called treif (or tref)."
O_IDE,OXIDE.    	Calcium oxide is known colloquially as quicklime or burnt lime. The related calcium hydroxide is traditionally called slaked lime.
RO_X,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat, sometimes) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions are being used more and more these days."
OME_RA,"O'MEARA.    	Mark O'Meara is an American golfer from Goldsboro, North Carolina. He is known as one of the American players who competes in international tournaments more than most, and has a reputation as a real gentleman all around the world."
_AZ,YAZ.    	Yaz was the nickname for Carl Yastrzemski who played his whole career with the Boston Red Sox.
E_E,EOE.    	Equal Opportunity Employer (EOE)
S_FARI,"SAFARI.    	President Theodore Roosevelt left office in March 1909, and a few days later headed off on an African safari. If you'd like a firsthand account of Roosevelt's adventures on the trip, you can read ""African Game Trails"" written by the President after he returned to the US."
T_TRA,"TETRA.    	The neon tetra is a freshwater fish, native to parts of South America. The tetra is a very popular aquarium fish and millions are imported into the US every year. Almost all of the imported tetras are farm-raised in Asia and very few come from their native continent."
KAR_T,"KARAT.    	A karat (also 'carat', the spelling outside of North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold."
PA_O,"PALO.    	The town of Palo Pinto was founded at the geographic center of Palo Pinto County when it was established in 1856. The community started to grow but was dealt a devastating blow when the railroad bypassed the town in 1880. Today Palo Pinto is one of the smaller towns in the county with a population of just over 400, but it is still the county seat."
ISL_S,"ISLES.    	The ""Pirates of the Caribbean"" series of films is of course based on the wonderful ride at the Disney theme parks. The first title in the series is ""The Curse of the Black Pearl"", released in 2003. The film is remarkable in many ways, including the fact that it was the first Disney movie to be given a PG-13 rating. If you like the series, then you'll be glad to hear that ""Pirates of the Caribbean IV"" is on its way. ""On Stranger Tides"" will hit the movie theaters in 2011."
_AEZ,"BAEZ.    	Joan Baez is an American folk singer and a prominent activist in the fields of non-violence, civil rights, human rights and environmental protection. Baez has dated some high-profile figures in her life including Bob Dylan, Steve Jobs (of Apple) and Mickey Hart of the Grateful Dead."
_HO,"CHO.    	Margaret Cho is a very successful stand-up comedian, but she is also a fashion designer with her own line of clothing. Cho also acts, and you might have seen her in the John Travolta/Nicholas Cage movie ""Face/Off"" in which she played John Travolta's FBI colleague."
FE_,"FEZ.    	""Fez"" is the name given to the red, cylindrical hat worn mainly in North Africa, and by Shriners here in the US. It used to be very popular right across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
ON_ARIO,ONTARIO.    	The Welland Canal is a part of the St. Lawrence Seaway and is a canal that allows ships to bypass Niagara Falls (which is pretty much a necessity!).
D_AMA,"DRAMA.    	Arthur Miller was a remarkable playwright, best known for his plays ""Death of a Salesman"" and ""The Crucible"". Famously, Arthur Miller left his first wife to marry Marilyn Monroe in 1956. The two divorced five years later, just over a year before Monroe died of an apparent drug overdose."
ISAB_L,"ISABEL.    	Juan Peron most famous wife, and most popular in Argentina, was of course Eva, his second wife. Peron's third wife was Isabel Martinez, a woman 35 years his younger, and a nightclub entertainer. Juan Peron was elected into his third term as President in 1974, but died only one year later. Isabel, despite her lack of experience and education, took over as President in his stead, an office she held for 21 months, before unrest in the country led to her arrest and eventual exile to Spain in 1981, where she still lives today."
AD_BE,"ADOBE.    	The building material known as adobe has been around a long time, and has been used in dry climates all over the world. The original form of the word ""adobe"" dates back to Middle Egyptian times, about 2000 BC. The original ""spelling"" is dj-b-t, and translates as mud (sun-dried) brick."
AT_ILA,"ATTILA.    	Rugila was the leader of the Huns until he died in 434 AD. At his death, he left the united Hun tribes under the control of his nephews, the brothers Bleda and Attila. About 11 years into the joint reign, Bleda was killed on a hunting trip, supposedly by his brother."
WA_,"WAC.    	The Women's Army Auxiliary Corps (WAAC) was formed in 1942, and the unit was converted to full status the following year to become the Women's Army Corps (WAC). Famously, General Douglas MacArthur referred to the WACs as his ""best soldiers"", saying they worked harder, complained less and were better disciplined than men. The WACs were disbanded in 1978 and the serving members were integrated into the rest of the army."
T_ON,"TOON.    	The word 'cartoon' was originally used for a 'drawing on strong paper', a durable drawing used as a model for another work. The term comes from the French word 'carton' meaning 'heavy paper, pasteboard'. Cartoons have been around a long time, with some of the most famous having being drawn by Leonardo da Vinci."
AL_A,"ALLA.    	The Italian term ""alla"" oft seen on a menu means ""in the style of"", and is the equivalent of the French ""à la""."
BIL_O,"BILBO.    	Bilbo Baggins is the main character in J. R. R. Tolkien's fantasy novel ""The Hobbit"", and a supporting character in his ""The Lord of the Rings"" trilogy."
_BA,"WBA.    	The World Boxing Association is linked to a group of pugilists, boxers."
NES_,NEST.    	The magnificent birds known as cranes have long legs and long necks. The species called the Sarus Crane is the world's tallest flying bird.
EM_YS,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars for film, the Grammy Awards for music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
_LEE,"KLEE.    	The artist Paul Klee was born in Switzerland, but studied art in Munich in Germany. You can see many of Klee's works in the San Francisco Museum of Modern Art. If you get to Bern in Switzerland, even more of them can be seen at the Zentrum Paul Klee that was opened in 2005."
LA_Y,"LADY.    	'Lady and the Tramp' is a classic animated feature from Walt Disney, released in 1955. The title characters are a female American Cocker Spaniel and a male stray mutt. Who can forget the scene where the Tramp and Lady are 'on a date' and together eat that one strand of spaghetti? So cute!"
H_H,HRH.    	His or Her Royal Highness ...
EL_GY,"ELEGY.    	Perhaps the most famous elegy in the English language is that written by Thomas Gray, completed in 1750. 'Elegy Written in a Country Churchyard' is the source of many oft-quoted phrases, including:"
RI_OH,"RICOH.    	Ricoh is a Japanese company that started out in 1936, and by the year 2000 was the biggest manufacturer of copiers in the world. The company is also well known as a supplier of cameras."
P_N,"PEN.    	The worldwide association of writers was founded in London in 1921, and is now called International PEN. The acronym PEN originally stood for Poets, Essayists and Novelists, but that meaning has been dropped as the association now includes writers in other fields e.g. journalists and historians. It is the oldest international writers organization and, as it fights for writers who are harassed for voicing their views. it is also the world's oldest human rights group."
_KES,"EKES.    	I believe that technically speaking one can't actually ""eke out"" an existence, as to ""eke out"" means to ""make something go further or last longer"". So, you can eke out your income by cutting back on expenses, but you can't eke out your existence, or any existence."
TE_R,"TERR.    	The State of Oklahoma was admitted to the Union in 1907, and comprised the existing Oklahoma Territory and the Indian Territory."
ON_,"ONS.    	Not only did I have to learn new spellings of words when I moved here from Ireland (here I go, whining again!) but I had to learn that down is the 'off' position for a switch most times, and up is the 'on' position. It's exactly the opposite on the other side of the pond. Have I ever told you about the steering wheel position in the car? Aaargh!"
LIL_,"LILI.    	Lili Taylor is an American actress. she had supporting roles in films like ""Mystic Pizza"" and ""Rudy"", and she had a recurring role in the HBO series ""Six Feet Under""."
PEA_,"PEAT.    	When dead plant matter accumulates in marshy areas, it may not fully decay due to a lack of oxygen or acidic conditions. We are familiar with this in Ireland, because this decaying matter can form peat, and we have lots and lots of peat bogs."
TE_NA,"TEENA.    	Teena Marie is very successful R&B singer, born Mary Christina Brockert."
SAT_EN,"SATEEN.    	Sateen is a cotton fabric, with a weave that is ""four over, one under"" meaning that most of the threads come to the surface giving it a softer feel."
DONH_,"DON HO.    	Don Ho apparently had a pretty liberal arrangement with his wife. When he was touring with his two backing singers Pattie Swallie and Elizabeth Gevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
GT_,"GTS.    	GT stands for ""Grand Touring"" or ""Gran Turismo""."
LO_I,"LORI.    	Lori Singer is an actress, and also a cellist. Singer's most famous acting role was the daughter of the Reverend Shaw Moore (played by John Lithgow) in ""Footloose""."
_EI,"REI.    	REI is a sporting goods store, the initialism standing for Recreational Equipment Inc. REI was founded in Seattle by Lloyd and Mary Anderson in 1938 as a cooperative that supplies quality climbing gear to outdoor enthusiasts. The first full-time employee hired by the Andersons was Jim Whittaker, who was the American to climb Mount Everest."
I_LAM,"ISLAM.    	Although the star and crescent emblem has been around for some centuries, it was only adopted as a symbol of Islam or the Muslim community starting in the 1950s."
RH_NE,RHONE.    	Starry Night Over the Rhone' is one of Vincent Van Gogh's series of paintings he created depicting scenes at night in the South of France. The painting is actually a view from the quay on the east side of the Rhone river as it flows through the city of Arles.
SAU_I,"SAUDI.    	Riyadh is the capital of Saudi Arabia, and is located near the center of the country. The name 'Riyadh' translates from Arabic as 'the gardens'."
OPH_LIA,"OPHELIA.    	In Shakespeare's ""Hamlet"", Ophelia is courted by Hamlet. In Act III, Hamlet is pretty depressed and upset, and addresses Ophelia with the famous line ""Get thee to a nunn'ry, why woulds't thou be a breeder of sinners?"" In this scene, Hamlet is denying that he ever loved Ophelia, and exhorts her to ""become a nun"", so that she may never have to give birth to someone as pitiful and sinful as he is himself."
IM_CS,"IMACS.    	The iMac is a desktop computer platform from Apple introduced in 1998. One of the main features of the iMac is an ""all-in-one"" design, with the computer console and monitor integrated."
ROA_,"ROAR.    	Katy Perry is an American singer who grew up listening to and singing gospel music, as she was the daughter of two Christian pastors. In fact, her first musical release was a gospel album in 2001. She has branched out since then. Her first successful single was ""Ur so Gay"", followed by ""I Kissed A Girl"". She was married (only for a year) to the British comedian Russell Brand, until 2012."
OR_,"ORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams, of course) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
S_H,"SCH.    	Duke University was founded in 1838 as Brown&#8217;s Schoolhouse. The school was renamed to Trinity College in 1859, and to this day the town where the college was located back then is known as Trinity, in honor of the school. The school was moved in 1892 to Durham, North Carolina in part due to generous donations from the wealthy tobacco industrialist Washington Duke. Duke&#8217;s donation required that the school open its doors to women, placing them on an equal footing with men. Trinity&#8217;s name was changed to Duke in 1924 in recognition of the generosity of the Duke family."
_EC,"DEC.    	The Academy Awards ceremony takes place annually in late February. To take advantage of this timing, studios release their Oscar 'candidates' in the fall of the prior year, so that they are fresh in the memories of the Academy members who will be voting. The period when the Oscar candidates are released usually lasts from November through the end of the year, and is referred to as 'Oscar season'."
G_LA,"GILA.    	A Gila monster is a venomous lizard found in the southwestern US and northern Mexico, and is the only venomous lizard native to America. Gila monsters move along at a snail's pace so aren't normally a danger to humans."
JI_T,"JILT.    	To ""jilt"" someone with whom you have a relationship is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
BB_UN,"BB GUN.    	The 1983 film ""A Christmas Story"" has become a holiday classic. The movie is based on short stories and anecdotes from Jean Shepherd, whose voice appears in the soundtrack as the adult ""Ralphie"". All young Ralphie wants for Christmas is a Red Ryder BB Gun."
_ABAR,"BABAR.    	Babar the Elephant originated in France, the creation of Jean de Brunhoff in 1931. The first book was ""Histoire de Babar"", a book so successful it was translated into English two years later for publication in the Britain and the US. Jean de Brunhoff wrote six more Babar stories before he died in 1937, and then his son Laurent continued his father's work."
R_MO,"REMO.    	The Italian city of San Remo sits on the Mediterranean, right on the border with France. In Italian the city is named Sanremo, just one word, although the spelling of San Remo dates back to ancient times."
S_SHI,"SUSHI.    	Sushi is a Japanese dish that has as its primary ingredient cooked, vinegared rice. The rice is usually topped with something, most often fish, and can be served in seaweed rolls. If you want raw fish by itself, then you have to order 'sashimi'."
_TONAL,"ATONAL.    	""Wozzeck"" is the first opera composed by Alban Berg, and it is atonal. I can't stand atonal music. It is just beyond me ..."
MU_R,"MUIR.    	Journalist and TV anchor David Muir hosts the show 'ABC World News Tonight with David Muir'. Apparently, Muir's reporting received more airtime than any other American journalist in 2012 and 2013. Muir also made it onto 'People' magazine's list of Sexiest Men Alive in 2014."
ANI_A,"ANIMA.    	The concept of anima and animus is found in the Carl Jung school of analytical psychology. The idea is that within each male their resides a feminine inner personality called the anima, and within each female there is a male inner personality known as the animus."
_OTI,"ROTI.    	In an Indian restaurant, naan bread is very popular. Roti is the unleavened cousin to naan."
ME_SE,"MEESE.    	Ed Meese was born in Oakland, California just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service he earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
GRO_,"GROG.    	Edward Vernon was a naval officer with the nickname ""Old Grog"". In 1740, Vernon ordered that the daily ration of rum for his sailors should be watered down, in order to reduce discipline problems caused by drunkenness. The diluted rum was sweetened with sugar, and lemon or lime added to help preserve it on long voyages. This recipe, found to reduce scurvy among sailors (because of the citrus) spread throughout the Royal Navy, and ""grog"" was born."
E_ISE,"ELISE.    	""Fur Elise"" is a beautiful piece of music by Beethoven, also known as Bagatelle in A Minor. ""Fur Elise"" means simply ""For Elise"", but sadly, no one knows who Elise was."
_WN,"AWN.    	Awns are hair or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
TAM_LE,"TAMALE.    	A tamale is a traditional dish from Central America composed of a starchy dough that is steamed or boiled in a wrapper made from a corn husk or banana leaf. The dough is called masa, and can include many different ingredients including meat, cheese fruit and vegetables."
