"Some ""CSI"" figs.   		3 letters",DAS.    	District Attorney (DA)
Alma mater for Benjamin Netanyahu.   		3 letters,"MIT.    	Benjamin 'Bibi' Netanyahu has been the Prime Minister of Israel since 2009. Netanyahu is the only leader of the country to date who was born in the state of Israel. After graduating high school, he served in the Israeli special forces and participated in several combat missions, and was wounded on multiple occasions. After leaving the army in 1972, Netanyahu studied at MIT in the US, earning bachelors degree in architecture and a masters degree in business."
Living or dead follower.   		3 letters,"END.    	The idiom 'the living end' means 'outrageous' as in 'Oh, you are the living end!'"
Global economic oversight org.   		3 letters,"IMF.    	The International Monetary Fund (IMF) was established at the end of 1945 with 29 major economies supporting and funding an effort to stabilize economies across the globe after WWII. Headquartered in Washington, D.C., today the IMF has 187 member countries."
Oxford or loafer.   		4 letters,"SHOE.    	An oxford is a type of lace-up shoe that originated not in Oxford, but actually in Scotland and Ireland."
Nautical record.   		3 letters,"LOG.    	The word ""logbook"" dates back to the days when the captain of a ship kept a daily record of the vessel's speed, progress etc. using a ""log"". A log was a wooden float on a knotted line that was dropped overboard to measure speed through the water."
Lothario.   		4 letters,"ROUE.    	ROUE is a lovely word, I think, describing a less then lovely man. He could otherwise be described as a cad, someone of loose morals. It comes from the French word ""rouer"" meaning ""to break on a wheel"". This describes the ancient form of capital punishment where a poor soul was lashed to a wheel and then beaten to death with cudgels and bars. I guess the suggestion is that a ROUE with his loose morals deserves such a punishment."
"Time-honored Irish cleric, for short.   		6 letters","ST PAT.    	There is a fair amount known about St. Patrick, some of which comes from two letters written in his own hand. He lived in the fifth century, but was not born in Ireland. He was first brought to Ireland at about 16 years of age from his native Britain, by Irish raiders who made him a slave for six years. He managed to escape and return home where he studied and entered the Church. He returned to Ireland as a bishop and a missionary and there lived out the rest of his life. There seems to be good evidence that he died on March 17th, although the year is less clear. The stories about shamrock and snakes, I am afraid they are the stuff of legend."
"""Mad Men"" channel.   		3 letters","AMC.    	AMC, formerly known as American Movie Classics, is one of my favorite television channels. Although the channel's focus has shifted from airing classic movies to including other programming, there's still a lot of quality output. AMC's flagship show is 'Mad Men'."
Actress Turner.   		4 letters,"LANA.    	Lana Turner started work as a Hollywood actress at a very young age, signing up with MGM at only sixteen. Early in her career she earned the nickname ""The Sweater Girl"" after wearing a pretty tight sweater in the film ""They Won't Forget"", her film debut. She married eight times, to seven different husbands, the first of which was bandleader Artie Shaw. Shaw and Turner eloped and married on their very first date, when the young actress was just nineteen years old. After divorcing Shaw she married restaurateur Joseph Crane, but had the marriage annulled when she found out that Crane was still married to his first wife. The two had a daughter together, and so remarried when Crane's divorce was finalized. Cheryl Crane was the daughter from the marriage to Joseph, and she lived with Turner after her parents split up. When Cheryl was 14-years-old, her mother was romantically involved with a shady character named Johnny Stompanato. One evening Cheryl found her mother engaged in a violent argument with Stompanato, and Cheryl became so scared that she pulled out a gun and killed him in what was deemed to be justifiable homicide. Turner's last marriage was to a nightclub hypnotist, Ronald Pellar, and that union lasted just six months as Pellar disappeared one day with a lot of Turner's money and jewelry. Years later Turner said, ""My goal was to have one husband and seven children, but it turned out to be the other way around."""
Spanish bear.   		3 letters,"OSO.    	In Spanish, 'osa' is a female bear, and 'oso' is a male. An 'oso' might be found in 'un zoológico' (a zoo)."
Jazz trumpeter Baker.   		4 letters,"CHET.    	The famous jazz trumpeter Chet Baker was noted for his heroin addiction, a problem that nearly put an end to his performing career. He managed a comeback in the late seventies, mainly appearing and recording in Europe. But he never kicked the drug habit, and was found dead one day after falling from his hotel room window in Amsterdam."
Jimmy who works with Lois Lane.   		5 letters,"OLSEN.    	In the Superman stories, Jimmy Olsen is a cub photographer who works on the ""Daily Planet"" newspaper with Clark Kent and Lois Lane."
Follower of Zeno.   		5 letters,"STOIC.    	Zeno of Citium was a Greek philosopher famous for teaching at the Stoa Poikile (Painted Porch) located on the north side of the Ancient Agora of Athens. Because of the location of his classes, his philosophy became known as stoicism (from ""stoa"" meaning ""porch""). And yes, we get our adjective ""stoic"" from the same root."
Reason for a February thank-you speech.   		5 letters,"OSCAR.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards also known as the ""Oscars"". The root of the name ""Oscar"" is hotly debated, but what is agreed is that the award was officially named ""Oscar"" in 1939. The first Academy Awards were presented at a brunch in 1929 with an audience of just 29 people. It's a slightly bigger event these days ..."
Word written on the Saudi flag.   		5 letters,"ALLAH.    	The flag of Saudi Arabia has a green background on which there is a white sword, and above the sword an inscription in white lettering. The inscription is the Islamic declaration of faith, and translates as ""There is no God but Allah and Muhammad is the messenger of Allah"". Manufacturing the flag is a little tricky as it has two different sides, so that the writing reads correctly (from right-to-left) on both sides. Also, the sword which lies horizontally under the inscription, it has to point away from the flagpole on both sides. If you think about it, each side is therefore a different design."
"Parade honoree, familiarly.   		6 letters","ST PAT.    	There is a fair amount known about St. Patrick, some of which comes from two letters written in his own hand. St. Patrick lived in the fifth century, but was not born in Ireland. He was first brought to Ireland at about 16 years of age from his native Britain, by Irish raiders who made him a slave for six years. Patrick managed to escape and returned to his homeland where he studied and entered the Church. He went back to Ireland as a bishop and a missionary and there lived out the rest of his life. There seems to be good evidence that he died on March 17th (now celebrated annually as St. Patrick's Day), although the year is less clear. The stories about shamrock and snakes, I am afraid they are the stuff of legend."
Shakespearean king.   		4 letters,"LEAR.    	Shakespeare was inspired to write his famous drama 'King Lear' by the legend of ""Leir of Britain"", the story of a mythological Celtic king."
Nonmusical Abba.   		4 letters,"EBAN.    	Abba Eban was an Israeli diplomat and politician, born Aubrey Solomon Meir Eban in Cape Town. While working at the United Nations after WWII he changed his name to ""Abba"", the Hebrew word for ""father"", reportedly as he could see himself as the father of the nation of Israel."
Indian state known for its tea.   		5 letters,"ASSAM.    	Assam is a state in the very northeast of India, just south of the Himalayas. Assam is noted for its tea as well as its silk."
Metal waste.   		4 letters,"SLAG.    	The better lead ores are processed in a blast furnace, to extract the metal. The ""waste"" from this process is called ""slag"". Slag does contain some lead and it can be processed further in a ""slag furnace"" to extract the residual metal. Slag furnaces also accept poorer lead ores as a raw material."
Refuse at a mill.   		4 letters,"SLAG.    	The better lead ores are processed in a blast furnace, to extract the metal. The ""waste"" from this process is called ""slag"". Slag does contain some lead, and it can be processed further in a ""slag furnace"" to extract the residual metal. Slag furnaces also take poorer lead ores as a raw material."
The dark side.   		3 letters,"YIN.    	The yin and the yang can be explained using many different metaphors. In one, as the sun shines on a mountain, the side in the shade is the yin, and the bright side is the yang."
French pronoun.   		3 letters,"TOI.    	'Toi' is the French word for 'you', when talking to someone with whom you are familiar."
Not moved much.   		5 letters,"STOIC.    	Zeno of Citium was a Greek philosopher noted for teaching at the Stoa Poikile, the ""Painted Porch"", located on the north side of the famous Ancient Agora of Athens. Because of the location of his classes, his philosophy became known as stoicism (from ""stoa""). And yes, we get our adjective ""stoic"" from the same root."
Magnum ___.   		4 letters,"OPUS.    	'Magnum opus' is a Latin term meaning 'great work'. The magnum opus of a writer or composer perhaps, is his or her greatest work."
Funnywoman Silverman.   		5 letters,"SARAH.    	Sarah Silverman is a comedian, but also a singer and actress. Her material is very ""edgy"", as she takes on social taboos such as racism, sexism and religion. She had a celebrity boyfriend for five years ... as she dated Jimmy Kimmel starting in 2002, soon after his divorce from his first wife."
One who's left holding the bag?.   		4 letters,"HOBO.    	No one seems to know for sure how the term ""hobo"" originated, although there are lots of colorful theories. My favorite is that ""hobo"" comes from the first letters in the words ""ho-meward bo-und"", but it doesn't seem very plausible. Hobos differed from ""tramps"" and ""bums"", in that ""bums"" refused to work, ""tramps"" worked when they had to, while ""hobos"" traveled in search of work."
Limbo need.   		3 letters,"BAR.    	The limbo dance originated on the island of Trinidad in the Caribbean. The name ""limbo"" is an alteration of our word ""limber"", which isn't surprising given what one has to do to get under that bar!"
Baseball great Campanella.   		3 letters,"ROY.    	Roy Campanella was a Major League Baseball player considered by many to have been one of the greatest catchers the game has ever seen. Campanella played for the Brooklyn Dodgers in the forties and fifties and was a pioneer in breaking the color barrier as he started out playing in the Negro Leagues. Sadly, he was paralyzed in a car accident when in his late thirties and so his career was tragically cut short."
Pro ___.   		3 letters,"TEM.    	Pro tempore can be abbreviated to ""pro tem"" or ""p.t."" It is a Latin phrase which best translates as ""for the time being"". It is used to describe a person who is acting for another, usually a superior."
Ship of 1492.   		4 letters,"NINA.    	The ship used by Christopher Columbus that we know as the Niña was actually the nickname of a ship actually called the Santa Clara. The nickname 'Niña' probably came from the name of her owner, Juan Niña of Moguer."
Kind of dye.   		3 letters,"AZO.    	Azo compounds have very vivid colors and so are used to make dyes, especially dyes with the colors red, orange and yellow."
___ buco.   		4 letters,OSSO.    	'Osso' is the Italian word for bone as in the name of the dish Osso Buco: braised veal shanks.
___ lily.   		4 letters,"SEGO.    	The Sego Lily is the state flower of Utah, and is a perennial plant found throughout the Western United States."
Garlicky mayonnaise.   		5 letters,"AIOLI.    	To the purist (especially in Provence in the South of France), aioli is prepared just by grinding garlic with olive oil. However, other ingredients are often added to mix, particularly egg yolks."
The Warta's outlet.   		4 letters,"ODER.    	The Warta is the third longest river in Poland. The Warta river basin was at the heart of original Poland, when the Slavic tribe called the Polans inhabited the basin from the 8th century."
Port.   		3 letters,"EUR.    	Portugal is the most westerly country in Europe, located in the west of the Iberian Peninsula alongside Spain. The name 'Portugal' comes from the Latin name for Porto, the country's second largest city: 'Portus Cale'. Portugal was a far-reaching power in the 15th and 16th centuries, at the center of the world's first truly global empire. A legacy of the Portuguese Empire is that today there are more than 240 million Portuguese speakers across the world."
"Danish kroner, topologically speaking.   		4 letters","TORI.    	""Krone"" translates in English as ""crown"", and was the name given to coins that bore the image of the monarch. Today, the krone is the name given to the currency of Norway and of Denmark. Some of the Norwegian and Danish kroner have holes in the middle, giving them a ""doughnut"" or ""torus"" shape."
"""L'Amour avec ___"" (French love song).   		3 letters","TOI.    	""L'Amour avec toi"" ... ""Love with you"""
Some univ.   		3 letters,TAS.    	Teaching Assistants (TAs)
First name among exotica singers.   		3 letters,"YMA.    	Yma Sumac was a Peruvian soprano, Sumac had a notable vocal range of five octaves."
"""Shoo-be-doo-be-doo-wop,"" e.g.   		4 letters","SCAT.    	Scat singing is a vocal improvisation found in the world of jazz. There aren't any words as such in scat singing, just random nonsense syllables made up on the spot."
Hall's partner in pop music.   		5 letters,"OATES.    	Daryl Hall & John Oates are a pop music duo, most successful in the late seventies and early eighties. They had six number one hits, including the 1982 release ""Maneater""."
Pro ___.   		4 letters,"RATA.    	""Pro rata"" is a Latin phrase meaning ""in proportion""."
Tulsa sch.   		3 letters,"ORU.    	Oral Roberts University is a private school in Tulsa, Oklahoma. It was founded relatively recently, in 1963, by the late evangelist Oral Roberts."
Geological feature on a Utah license plate.   		4 letters,"ARCH.    	Some Utah licence plates feature an image of Delicate Arch, a natural sandstone arch located in Arches National Park near Moab, Utah."
1998 Sarah McLachlan hit.   		4 letters,"ADIA.    	Sarah McLachlan is singer/songwriter from Halifax, Nova Scotia who lives in Vancouver. In 1997, McLachlan married Ashwin Sood, the drummer in her band. Apparently the 1998 hit song ""Adia"", that she co-wrote and recorded, was intended as an apology to her best friend ... for stealing her ex-boyfriend and then marrying him!"
Certain util.   		3 letters,EES.    	Electrical Engineers (EEs).
Bird that is no more.   		3 letters,"MOA.    	Moas were flightless birds native to New Zealand, and are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which in turn caused the extinction of the Haast's Eagle, the Moa's only predator prior to the arrival of man."
Indian royal.   		4 letters,RANI.    	Raja' (also 'rajah') is word derived from Sanskrit that is used particularly in India for a monarch or princely ruler. The female form is 'rani' (also 'ranee') and is used for a raja's wife.
"""O Sole ___"".   		3 letters","MIO.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
1965 civil rights march site.   		5 letters,"SELMA.    	The Bloody Sunday march took place between Selma and Montgomery, Alabama on 7 March 1965. The 600 marchers involved were protesting the intimidation of African-Americans registering to vote. When the marchers reached Dallas County, Alabama they encountered a line of state troopers reinforced by white males who had been deputized that morning to help keep the peace. Violence broke out with 17 marchers ending up in hospital, one nearly dying. Because the disturbance was widely covered by television cameras, the civil rights movement picked up a lot of support that day."
Overseas drama.   		3 letters,"NOH.    	Noh is a form of musical drama in Japan that has been around since the 14th century. Many of the Noh performers are masked, allowing all the roles to be played by men, both male and female parts."
Former Chevy subcompact.   		4 letters,"AVEO.    	The Chevrolet Aveo is a subcompact automobile that has been around since 2002. The Aveo is manufactured by GM Daewoo, the GM subsidiary in South Korea. Although the Aveo name is still used in some markets, here in North America the Aveo has been sold as the Chevrolet Sonic since 2012. By the way, GM Daewoo is the third largest manufacturer of automobiles in South Korea, after Hyundai and Kia."
Actress Sommer.   		4 letters,"ELKE.    	Elke Sommer is a German-born actress who was at the height of her success on the silver screen in the sixties. She won a Golden Globe as Most Promising Newcomer Actress for her role opposite Paul Newman in 1964's ""The Prize"". She also sings and has released several albums. Now she focuses on painting, producing artwork that is strongly influenced by Marc Chagall."
___ Rabbit.   		5 letters,"BR'ER.    	Br'er Rabbit and Br'er Fox are characters in the Uncle Remus stories, written by Joel Chandler Harris. The Uncle Remus stories are adaptations of African American folktales that Harris collected across the Southern States. ""Br'er"" is an abbreviated form of ""brother""."
W.W.   		6 letters,"U-BOAT.    	'U-boat' stands for the German 'Unterseeboot' (undersea boat). Notably, a U-boat sank the RMS Lusitania in 1915, an event that helped propel the US into WWI."
Low-pH substance.   		4 letters,"ACID.    	As we all recall from chemistry class, a pH of 7 is considered neutral. Anything less than 7 is an acid, and anything above 7 is a base."
Fifth Avenue landmark.   		4 letters,"SAKS.    	Saks Fifth Avenue is a high-end specialty store that competes with the likes of Bloomingdales and Nieman Marcus. The original Saks & Company business was founded by Andrew Saks in 1867, and the first Saks Fifth Avenue store was opened on Fifth Avenue in New York City in 1924. There are now Saks Fifth Avenue stores in many major cities in the US, as well in several locations worldwide."
Indy racer Luyendyk.   		4 letters,"ARIE.    	Arie Luyendyk is a racing driver from the Netherlands, winner of the Indianapolis 500 on two occasions. Luyendyk's son, also called Arie, is following in his father's footsteps and is also an auto racer."
Stiff-upper-lip sort.   		5 letters,"STOIC.    	Zeno of Citium was a Greek philosopher who was famous for teaching at the Stoa Poikile, the ""Painted Porch"", located on the north side of the famous Ancient Agora of Athens. Because of the location of his classes, his philosophy became known as stoicism (from ""stoa""). And yes, we get our adjective ""stoic"" from the same root."
Spanish prefix with líneas.   		5 letters,AERO-.    	The Spanish 'aerolíneas' translates as 'airlines'.
"Droids, e.g.   		4 letters","PDAS.    	The Droid is the smartphone from Motorola, noted for running Google's Android operating system."
Funny Caesar.   		3 letters,"SID.    	Sid Caesar achieved fame in the fifties on TV's ""Your Show of Shows"", but to be honest, I know him mainly from the fun film version of the musical ""Grease"", in which he played Coach Calhoun."
Tip for a writer.   		3 letters,"NIB.    	""Nib"" is a Scottish variant of the Old English word ""neb"", with both meaning the beak of a bird. This usage of ""nib"" as a beak dates back to the 14th century, with ""nib"" meaning the tip of a pen or quill coming a little later, in the early 1600s."
One may be involved in phone tapping.   		3 letters,APP.    	One needs to tap the screen in order to use some smartphone apps.
Nevada/Arizona's Hoover ___.   		3 letters,"DAM.    	When the magnificent Hoover Dam was completed in 1936 it was the largest hydroelectric plant in the world, as well as being the world's largest concrete structure. The edifice was originally known as Boulder Dam, due to its location near Boulder City, Nevada. The dam was eventually named after Herbert Hoover for his role in having the dam built when he was Secretary of Commerce, and his later support as US President. There was a formal dedication ceremony held in September 1935 when President Franklin D. Roosevelt was in the area, when only work on the powerhouse was incomplete. President Roosevelt managed to make his dedication speech without once referring to the name of his former opponent President Hoover. When the dam was finally put into service in 1936, the project was two years ahead of schedule. Those were the days ..."
Dim sum additive.   		3 letters,"MSG.    	Monosodium glutamate (MSG) is the sodium salt of a naturally-occurring,non-essential amino acid called glutamic acid. It is used widely as a flavor enhancer, particularly in many Asian cuisines. Whether or not it is harmful seems to be still under debate. I say that something produced in a test tube shouldn't be in our food ..."
Yogi's utterances.   		3 letters,"OMS.    	'Om' is a sacred mystic word from the Hindu tradition. 'Om' is sometimes used as a mantra, a focus for the mind in meditation."
One of the Nereids in Greek myth.   		4 letters,"IONE.    	In Greek mythology, Nereus and Doris had fifty daughters, and these were called the sea nymphs or nereids. The nereids often hung around with Poseidon and were generally very helpful creatures to sailors in distress. Mainly they were to be found in the Aegean, where they lived with their father in a cave in the deep. Some of the more notable names of the nereids were: Agave, Asia, Calypso, Doris, Erato, Eunice and Ione."
Coral ring.   		5 letters,"ATOLL.    	An atoll is a coral island that is shaped in a ring and enclosing a lagoon. There is still some debate as to how an atoll forms, but a theory proposed by Charles Darwin while on his famous voyage aboard HMS Beagle still holds sway. Basically an atoll was once a volcanic island that had subsided and fallen into the sea. The coastline of the island is home to coral growth which persists even as the island continues to subside internal to the circling coral reef."
Memphis deity.   		4 letters,"ISIS.    	Isis was the ancient Egyptian goddess of fertility, as well as the protector of the dead and the goddess of children."
Numbered musical work.   		4 letters,"OPUS.    	The Latin for ""work"" is 'opus', with the plural being 'opera'."
Blu-___ Disc.   		3 letters,"RAY.    	A Blu-ray disc looks just like a standard DVD or CD, but it has a lot more capacity for data storage making it an ideal medium for high-definition movies. The name ""Blu-ray"" comes from the ""blue laser"" used to read the disc, unlike a standard DVD player that uses a ""red laser""."
Yang's go-with.   		3 letters,"YIN.    	The yin and the yang can be explained using many different metaphors. In one, as the sun shines on a mountain, the side in the shade is the yin, and the side in the light is the yang. The yin is also regarded as the feminine side, and the yang the masculine."
"""Swans Reflecting Elephants"" painter.   		4 letters","DALI.    	Swans Reflecting Elephants' is a painting that Salvador Dali completed in 1937. The title is somewhat self-explanatory. The scene features some swans on a lake, along with their reflections. In the reflection the swans take on the appearance of elephants, with the swans' necks becoming elephant trunks and wings becoming ears."
"___ Rapee, longtime Radio City Music Hall conductor.   		4 letters","ERNO.    	Ernö Rapée was an American conductor who was born in Budapest, Hungary. Most famously, Rapée was the head conductor of the Radio City Symphony Orchestra from 1932 to 1945. The Radio City Symphony Orchestra's performances were regularly heard by millions of radio listeners for decades."
Old-hat.   		5 letters,"PASSE.    	'Passé' is a French word, meaning ""past, faded""."
Illinois home of Caterpillar.   		6 letters,"PEORIA.    	Peoria is the oldest European settlement in the state of Illinois, having been settled by the French in 1680. The city is famous for being cited as 'the average American city'."
Some concerned with 5-Downs: Abbr..   		3 letters,EES.    	Electrical Engineers (EEs).
"Steve Martin's ""King ___"".   		3 letters","TUT.    	Comedian Steve Martin wrote the comic song ""King Tut"" himself, and it appeared on his 1978 album ""Wild and Crazy Guy"". The song was later released as a single, and made it as high as number 17 in the charts. Some of the song's success might have been due to the fervor surrounding the exhibition of the real King Tut's tomb artifacts that was touring the country at the time."
Eponym in the frozen food aisle.   		3 letters,"EDY.    	Dreyer's ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
Exxon product.   		3 letters,"GAS.    	The Exxon Corporation was a descendant of John D. Rockefeller's Standard Oil Company. Exxon merged with Mobil (yet another descendant of Standard Oil) in 1999, forming ExxonMobil."
Worker on a 43-Across.   		4 letters,SERF.    	(43. Workplace for a 23-Down : FIEF)
Pro ___.   		4 letters,"RATA.    	""Pro rata"" is a Latin phrase meaning ""in proportion""."
Kind of dye.   		3 letters,"AZO.    	Azo compounds have very vivid colors and so are used to make dyes, especially dyes with the colors red, orange and yellow. The term 'azo' comes from the French word 'azote' meaning 'nitrogen'. French chemist Lavoisier coined the term 'azote' from the Greek word 'azotos' meaning 'lifeless'. He used this name as in pure nitrogen/azote animals die and flames are snuffed out (due to a lack of oxygen)."
Japanese drama.   		3 letters,"NOH.    	Noh is a form of musical drama in Japan that has been around since the 14th century. Many of the Noh performers are masked, allowing all the roles to be played by men, both male and female parts."
Org.   		3 letters,"FBI.    	""The Sting"" ... what a great film! It did of course star Paul Newman and Robert Redford, still riding the wave of success from their collaboration in ""Butch Cassidy and the Sundance Kid"". The ""Sting"" also had the same director as their prior hit, George Roy Hill."
Author Turgenev.   		4 letters,IVAN.    	Ivan Turgenev was a Russian novelist and playwright. Turgenev's most famous works are a collections of short stories called 'A Sportsman's Sketches' (1852) and the novel 'Fathers and Sons' (1862).
Khrushchev's impromptu gavel.   		4 letters,"SHOE.    	Nikita Kruschev only ever made two visits to the United States. He turned up here in September 1960 without an invitation, by appointing himself head of the USSR delegation to the United Nations. The US responded to his unannounced visit by limiting his travel to the island of Manhattan and visits to a Soviet-owned estate on Long Island. During one of the debates at the UN, Krushchev became outraged at a statement made by the Filipino delegate who charged the Soviets with being two-faced by decrying colonialism while forcibly dominating and occupying Eastern Europe. Kruschev demanded the right to reply immediately, and when the Filipino delegate refused to yield, the Soviet leader famously took off his shoe and began to pound it on is desk."
Keystone's place.   		4 letters,"ARCH.    	The keystone of an arch is the last piece put in position, the placement of which allows the arch to bear weight. The keystone sits right at the apex."
Bank fig.   		3 letters,INT.    	Interest (int.)
"""Little ___' Pea"".   		4 letters","SWEE.    	Originally Popeye used the nickname ""Swee'pea"" to address his girlfriend Olive Oyl. Then along comes a baby, found on Popeye's doorstep. Popeye adopts the little guy and raises him, calling him ""Swee'Pea""."
Emmy-nominated sitcom of the early 1970s.   		5 letters,ARNIE.    	'Arnie' is a sitcom from the seventies that starred Herschel Bernardi as a blue-collar worker promoted to the executive offices. It never really made it though.
Division of geology.   		4 letters,"AEON.    	Geological time is divided into a number of units of varying lengths. These are, starting from the largest:"
"Prosecutors, briefly.   		3 letters",DAS.    	District Attorney (DA)
Focus of some high-profile 1970s lawsuits.   		5 letters,"PINTO.    	The Pinto is a small car that was made by the Ford company from 1971 to 1980. The Pinto was of course named for the type of horse. Allegations were made in 1997 that the neck of the car's fuel tank could easily break off in a collision leading to a deadly fire. However, the allegations were never really shown to be valid."
Trash can dweller.   		5 letters,"OSCAR.    	Oscar the Grouch is the Muppet that lives in a garbage can. Oscar's persona comes from various sources. He is named after Oscar Brand who was one of the board members of the Children's Television Workshop, the backers for Sesame Street as the Muppets were being developed in the sixties. Oscar's personality was inspired by an angry waiter that once served Jim Henson (father of the Muppets). And the voice was modeled on a grumpy New York cab driver encountered one day by Caroll Spinney, the puppeteer who brings Oscar to life."
Record label abbr..   		3 letters,"BMI.    	ASCAP (the American Society of Composers, Authors and Publishers) collects licence fees for musicians and distributes royalties to composers whose works have been performed. BMI (Broadcast Music Incorporated) provides the same service."
Pro ___.   		3 letters,"TEM.    	Pro tempore can be abbreviated to ""pro tem"" or ""p.t."" It is a Latin phrase which best translates as ""for the time being"". It is used to describe a person who is acting for another, usually a superior."
It's almost nothing.   		3 letters,SOU.    	A sou is an old French coin.
"Sonata, e.g.   		4 letters","OPUS.    	The term ""sonata"" comes from the Latin and Italian word ""sonare"" meaning ""to sound"". A sonata is a piece of music that is played, as opposed to a cantata (from Latin and Italian ""cantare"" meaning ""to sing""), a piece of music that is sung."
Pier grp.   		3 letters,ILA.    	The International Longshoremen's Association (ILA).
"PC's ""brain"".   		3 letters","CPU.    	The Central Processing Unit is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
Indy 500 winner Luyendyk.   		4 letters,"ARIE.    	Arie Luyendyk is a racing driver from the Netherlands, winner of the Indianapolis 500 on two occasions. Luyendyk's son, also called Arie, is following in his father's footsteps and is also an auto racer."
King ___.   		3 letters,"TUT.    	King Tut is a name commonly used for the Egyptian pharaoh Tutankhamen. Tutankhamen may not have been the most significant of the pharaohs, but he is the most famous. This is largely because of the discovery of his nearly intact tomb in 1922. Prior to this, Egyptian tombs had routinely been ravaged by grave robbers. The magnificent burial mask is one of the most recognizable of all Egyptian artifacts."
Grown-up eft.   		4 letters,"NEWT.    	Newts wouldn't be my favorite animals. They are found all over the world, living on land or in the water depending on the species, but always associated with water even if it is only for breeding. Newts metamorphose through three distinct developmental stages during their lives. They start off as larvae in water, fertilized eggs that often cling to aquatic plants, unlike the eggs of frogs and toads which float freely. The eggs hatch into tadpoles, the first developmental form of the newt. After living some months as tadpoles swimming around in the water, they undergo metamorphosis, sprouting legs and replacing their external gills with lungs. At this juvenile stage they are known as efts, and leave the water to live on land. A more gradual transition takes place then, as the eft takes on the lizard-like appearance of the adult newt."
___' Pea.   		4 letters,"SWEE.    	Originally Popeye used the nickname ""Swee'pea"" to address his girlfriend Olive Oyl. Then along comes a baby, found on Popeye's doorstep. Popeye adopts the little guy and raises him, calling him ""Swee'Pea""."
C.I.A.   		4 letters,"LEON.    	Leon Panetta was Chief of Staff under President Clinton, and took over as CIA Director in 2009. Panetta has long been interested in protecting the world's oceans. As an example, he wrote the legislation that created the Monterrey Bay National Marine Sanctuary."
Symphony that premiered 4/7/1805.   		6 letters,"EROICA.    	Beethoven originally dedicated his Symphony No. 3 to Napoleon Bonaparte. Beethoven admired the principles of the French Revolution and as such respected Bonaparte who was ""born"" out of the uprising. When Napoleon declared himself Emperor, Beethoven (and much of Europe) saw this as a betrayal to the ideals of the revolution so he changed the name of his new symphony from ""Bonaparte"" to ""Eroica"", meaning ""heroic"" or ""valiant""."
Businesswoman/philanthropist ___ Heinz Kerry.   		6 letters,"TERESA.    	Teresa Heinz is an heiress to the Heinz family fortune, that largely came from the Heinz food company. Teresa Heinz is married to Secretary of State John Kerry."
Bygone British gun.   		4 letters,"STEN.    	The STEN gun is an iconic armament that was used by the British military. The name STEN is an acronym. The S and the T comes from the name of the gun's designers, Shepherd and Turpin. The EN comes from the Enfield brand name, which in turn comes from the Enfield location where the guns were manufactured for the Royal Small Arms Factory, an enterprise owned by the British government."
Okla.   		3 letters,"ORU.    	Oral Roberts University is a private school in Tulsa, Oklahoma. It was founded relatively recently, in 1963, by the late evangelist Oral Roberts."
Big mouth.   		3 letters,"MAW.    	'Maw' is a term used to describe the mouth or stomach of a carnivorous animal. ""Maw"" is also used as slang for the mouth or stomach of a greedy person."
Meal with the Four Questions.   		5 letters,"SEDER.    	The Passover Seder is a ritual feast that marks the beginning of the Jewish Passover holiday, celebrating the liberation of the Israelites from slavery in Egypt. One of the traditions at the meal is that the youngest child at the table asks ""The Four Questions"", all relating to why this night is different from all other nights in the year:"
Musical Hall of fame collaborator?.   		5 letters,"OATES.    	Daryl Hall & John Oates are a pop music duo, most successful in the late seventies and early eighties. They had six number one hits, including the 1982 release ""Maneater""."
Israel's first U.N.   		4 letters,"EBAN.    	Abba Eban was an Israeli diplomat and politician, born Aubrey Solomon Meir Eban in Cape Town, South Africa. While working at the United Nations after WWII he changed his name to ""Abba"", the Hebrew word for ""father"", reportedly as he could see himself as the father of the nation of Israel."
One may get a pass.   		3 letters,END.    	Football stuff ...
33 1/3 r.p.m.   		3 letters,"LPS.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
Dots in la mer.   		4 letters,"ILES.    	In French, 'îles' (islands) are dots in 'la mer' (the sea)."
Sch.   		3 letters,"ORU.    	Oral Roberts University (ORU) is a private school in Tulsa, Oklahoma. ORU was founded relatively recently, in 1963 by the late evangelist Oral Roberts."
