_MC,"GMC.    	GMC is a division of General Motors (GM) established in 1901 that started out as ""GMC Truck""."
SE_F,"SERF.    	A serf was a member of the lowest feudal class, someone attached to land owned by a lord. ""Serf"" comes from the Latin ""servus"", meaning ""slave""."
G_R,"GAR.    	The fish known as a gar is very unusual in that it is often found in very brackish water. What is interesting about gar is that their swim bladders are vascularized so that they can actually function as lungs. Many species of gar can actually be seen coming to the surface and taking a gulp of air. This adaptation makes it possible for them to live in conditions highly unsuitable for other fish that rely on their gills to get oxygen out of the water. Indeed, quite interesting ..."
OU_O,"OUZO.    	Ouzo is an aperitif from Greece that is colorless, and flavored with anise. It is similar to pastis from France, and has a flavor like sambuca from Italy."
Z_D,"ZED.    	""The Globe and Mail"" is a Canadian newspaper distributed nationwide. The paper is a descendant of ""The Globe"", a Toronto publication founded in 1844. ""The Globe and Mail"" had a significant redesign and relaunch in 2010, a step made necessary I suppose by the global migration to online news reporting."
DIS_,"DISC.    	The drum brake was invented in 1902 by Louis Renault (founder of Renault, the automobile company). In a drum brake, there is a set of brake shoes that usually presses on the inner surface of the drum to slow down rotation. Nowadays, the disc brake system is more popular, a design which uses brake pads instead of brake shoes."
_MS,"RMS.    	In Embassy Suites for example, you get two rooms (rms.)"
A_NE,"ACNE.    	Oxy 5 is a brand name for a medication with the active ingredient benzoyl peroxide. Benzoyl peroxide is used as an acne treatment, dyeing hair, whitening teeth, and is even used in the preparation of flour."
AV_C,"AVEC.    	I've always thought that the phrase ""Voulez-vous coucher avec moi ce soir?"" was grammatically ""odd"". The expression is sexually suggestive, meaning ""Would you like to sleep with me tonight?"" The problem is that the use of the formal (or plural!) ""vous"" instead of the familiar ""tu"" indicates a lack of intimacy that should be present in such a forward invitation. But, I just read that the term would perhaps be correct if the speaker was a high-class prostitute using formal grammar with a client."
JE_,"JET.    	The first Boeing 757 went into service in 1983 and, after 1,050 had been built, production was stopped in 2004. The US Air Force has four 757s that have been fitted out for VIP travel, most often used to transport the US Vice President under the call sign 'Air Force Two'."
I_F,"IMF.    	The International Monetary Fund (IMF) was established at the end of 1945 with 29 major economies supporting and funding a move to stabilize economies across the globe after WWII. Headquartered in Washington, D.C., today the IMF has 187 member countries."
_HIA,"SHIA.    	The largest denomination in the Muslim faith is Sunni Islam, with the second being Shia Islam."
D_A,"DIA.    	In Spain, the day (dia) might be Saturday (Sábado) or Sunday (domingo)."
S_ERD,"SNERD.    	Ventriloquist Edgar Bergen's most famous character was Charlie McCarthy, but Bergen also worked with Mortimer Snerd."
NAD_R,"NADIR.    	The nadir is the direction pointing immediately below a particular location (through to the other side of the Earth for example). The opposite direction, that pointing immediately above, is called the zenith."
OAT_S,"OATES.    	Daryl Hall & John Oates are a pop music duo, most successful in the late seventies and early eighties. They had six number one hits, including the 1982 release ""Maneater""."
LE_N,"LEON.    	Leon Panetta was Chief of Staff under President Clinton, and took over as CIA Director in 2009 in the Obama administration. From 2011 to 2013 he also served as Secretary of Defense. Panetta has long been interested in protecting the world's oceans. As an example, he wrote the legislation that created the Monterey Bay National Marine Sanctuary."
N_MSG,"NO MSG.    	Monosodium glutamate is the sodium salt of a naturally-occurring (and non-essential) amino acid, glutamic acid. It is used widely as a flavor enhancer, particularly in many Asian cuisines. Whether or not it is harmful seems to be still under debate. I say that something produced in a test tube shouldn't be in our food ..."
EE_S,"EELS.    	One might say that electric eels provide ""hydroelectricity"". Despite its name, the electric eel isn't actually an ""eel"", but rather what is called a knifefish, a fish with an elongated body related to the catfish. An electric eel has three pairs of organs along its abdomen, each capable of generating an electric discharge. The shock can go as high as 500 volts with 1 ampere of current (that's 500 watts), and that could perhaps kill a human."
CARA_,CARAT.    	A carat is a unit of mass used in measuring gemstones and is equal to 200 mg.
AC_E,"ACNE.    	Retin-A is a brand name for the drug Tretinoin, the acid form of vitamin A that is used to treat acne."
SE_O,"SEGO.    	The Sego Lily is the state flower of Utah, and is a perennial plant found throughout the Western United States."
HI_,"HIE.    	To hie is to move quickly, to bolt."
_IS,"LIS.    	'Lys' (also 'lis') is the French word for 'lily', as in 'fleur-de-lys', the heraldic symbol often associated with the French monarchy."
LD_,"LDS.    	The Church of Jesus Christ of Latter-day Saints, often abbreviated to ""LDS"", is known colloquially as the Mormon Church."
H_E,HRE.    	The Holy Roman Empire (HRE) existed from 962 to 1806 AD and was a territory of varying size over the centuries that centered on the Kingdom of Germany. The HRE was a successor to the western half of the Ancient Roman Empire.
I_F,"IMF.    	The International Monetary Fund (IMF) was established at the end of 1945 with 29 major economies supporting and funding an effort to stabilize economies across the globe after WWII. Headquartered in Washington, D.C., today the IMF has 187 member countries."
EGR_T,EGRET.    	At one time the egret species was in danger of extinction due to excessive hunting driven by the demand for plumes for women's hats.
P_A,"PEA.    	Sugar peas are also known as snap peas. These peas are eaten before the seeds mature, and the whole pod is consumed."
E_IC,"EPIC.    	""Beowulf"" is an old epic poem from England, although the story is set in Scandinavia. Beowulf fights a battle, defending the Danish King Hrothgar from the ferocious outcast Grendel. Hrothgar had built a great hall for his people in which they could celebrate; singing, dancing and drinking lots of mead. Grendel was angered by the carousing, and attacked the hall, devouring many of the incumbent warriors as they slept. A bit of an extreme reaction to noisy neighbors I'd say ..."
_OAM,NOAM.    	Noam Chomsky is a professor of linguistics at MIT. Chomsky is known as one of the fathers of modern linguistics.
ACC_A,"ACCRA.    	Accra sits on Ghana's coast and is a major seaport as well as the country's capital city. The name ""Accra"" comes from a local word ""Nkran"" meaning ""ants"", a name chosen because of the large number of anthills found in the area when the city was founded."
_EON,"LEON.    	L.L.Bean (note the lack of spaces in the company name) was founded back in 1912 in Freeport, Maine as a company selling its own line of waterproof boots. The founder, Leon Leonwood Bean, gave his name to the enterprise. Right from the start, L.L.Bean focused on mail-order and sold from a circular he distributed and then from a catalog. Defects in the initial design led to 90% of the first boots sold being returned, and the company made good on its guarantee to replace them or give back the money paid."
L_ICA,"LEICA.    	Leica is a German optics company, famous for production of Leica cameras. The 1913 Leica was the first practical camera that could use 35mm film, a size chosen because it was already the standard for film used in motion pictures."
CAR_T,"CARAT.    	A carat is a unit of mass used to measure gemstones and pearls. There are one hundred points in a carat, each equal to 2 milligrams, so a carat is equal to 200 milligrams."
_UZO,"OUZO.    	Ouzo is an aperitif from Greece that is colorless, and flavored with anise. It is similar to pastis from France, and also has a flavor like sambuca from Italy."
LU_A,"LUNA.    	'Luna' is the Latin word for 'moon', and is the name given to the Roman moon goddess. The Greek equivalent of Luna was Selene. Luna had a temple on the Aventine Hill in Rome but it was destroyed during the Great Fire that raged during the reign of Nero."
A_C,"ANC.    	The African National Congress (ANC) started out as the South African Native National Congress in 1912 with the goal of improving the lot of Black South Africans. After years of turmoil, the ANC came to power in the first open election in 1964."
OUZ_,"OUZO.    	Ouzo is an aperitif from Greece that is colorless and flavored with anise. It is similar to pastis from France, and also has a flavor like sambuca from Italy."
_ANA,LANA.    	Lana Del Rey is the stage name of singer/songwriter Elizabeth Grant. Del Rey calls herself a 'self-styled gangsta Nancy Sinatra'. Nice ...
Y_A,YMA.    	Yma Sumac was a Peruvian soprano. Sumac had a notable vocal range of five octaves.
ARD_N,"ARDEN.    	The Forest of Arden is the setting for Shakespeare's ""As You Like It"". Even though there is a Forest of Arden surrounding Shakespeare's home town of Stratford-on-Avon, seeing as the play is set in France one has to assume that the ""As You Like It"" Arden is an Anglicization of the forested ""Ardennes"" region that stretches from Belgium into France,and that famously featured in WWII's Battle of the Bulge."
I_IS,"IBIS.    	The ibis is a wading bird that was revered in ancient Egypt. ""Ibis"" is an interesting word grammatically speaking. You can have one ""ibis"" or two ""ibises"", and then again one has a flock of ""ibis"". And if you want to go with the classical plural, instead of two ""ibises"" you would have two ""ibides""!"
MINS_,"MINSK.    	Minsk is the capital of Belarus, formerly known as the Belorussian Soviet Socialist Republic."
MD_,MDS.    	A Medical Doctor (MD) might be found in an Emergency Room (ER).
_ORTE,"TORTE.    	A torte is a type of cake made primarily with eggs, sugar and ground nuts (but no flour)."
AL_,"ALF.    	'ALF' is a sitcom that aired in the late eighties. ALF is a hand-puppet, supposedly an alien from the planet Melmac that crash-landed in a suburban neighborhood. 'ALF' stands for 'alien life form'."
O_CARS,"OSCARS.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards, also known as the ""Oscars"". The first Academy Awards were presented at a brunch in 1929, with an audience of just 29 people. It's a slightly bigger event these days ..."
H_PI,HOPI.    	Many of the Hopi nation live on a reservation that is actually located within the much larger Navajo reservation in Arizona.
_EN,"MEN.    	The baritone is the most common male singing voice, and lies between a bass and a tenor."
NOS_,"NOSE.    	An emoticon is a glyph created using text characters to represent facial features, and usually oriented sideways. The emoticon is designed to indicate emotion or attitude. The classic example is the smiley face :-)"
A_A,"AS A.    	We use the phrase 'cute as a button' over here in North America. When I was growing up on the other side of the Atlantic, we said 'bright as a button'. I believe both phrases have the same meaning."
P_SSE,"PASSE.    	'Passé' is a French word, meaning ""past, faded""."
LUN_,"LUNA.    	Luna Park was the second major amusement park to be opened on Coney Island, accepting its first guests in 1903. ""Luna Park"" gained such a reputation that it lent its name to dozens of amusements parks around the globe, many that still operate today. Although there was a ride called ""A Trip to the Moon"" in the park, with a spacecraft called ""Luna"", the park's name actually came from the sister of one of the park's designers, Luna Dundy of Des Moines, Iowa."
A_PCA,"ASPCA.    	Unlike in other countries, there is no ""umbrella"" society in the US with the goal of preventing cruelty to animals. Instead there are independent organizations set up all over the nation using the name SPCA. There is in fact an American Society for the Prevention of Cruelty to Animals (ASPCA), which was originally intended to operate across the country, but really it is focuses its efforts in New York City."
D_SC,DISC.    	The game of Reversi is also sold as Othello. The name Othello was chosen as a nod to the play by William Shakespeare.
U_A,"UNA.    	Asunción is the capital city of Paraguay. It is one of the oldest cities in South America, and hence if known as 'Mother of Cities'. The city was first visited by Spanish conqueror Juan de Ayolas, and he founded a fort there in 1537 that he called Nuestra Señora Santa María de la Asunción, which is why we use the current name."
ER_TU,"ERI TU.    	The aria ""Eri tu"" is from Verdi's opera ""Un ballo in maschera"" (A Masked Ball). The opera tells the story of the assassination of King Gustav III of Sweden during a masked ball."
SEG_,"SEGO.    	The Sego Lily is the state flower of Utah, and is a perennial plant found throughout the Western United States."
_SHEA,"O'SHEA.    	Milo O'Shea was a great Irish character actor from Dublin who has appeared in everything from ""Romeo and Juliet"" to ""The West Wing"". Sadly, O'Shea passed away in 2013 in New York City."
E*TRA_E,"E*TRADE.    	E*Trade is mainly an online discount brokerage. It was founded in 1982 in Palo Alto, California, and I used to drive by its headquarters almost every day. The company is now run out of New York City. E*Trade produces those famous Super Bowl ads with the talking babies staring into a webcam."
I_ANA,"IVANA.    	Ivana Winklmayr was born in Czechoslovakia. She was an excellent skier, and was named as an alternate for the 1982 Czech Olympic Team. She was promoting the Montreal Olympics in New York in 1976, and met Fred Trump's son, Donald. Their marriage was very public and well-covered by the media, but not nearly so much as their very litigious divorce in 1990."
_CNE,ACNE.    	My kind of clue
S_AQ,"SHAQ.    	Shaquille O'Neal (aka 'Shaq') is one of the heaviest players ever to have played in the NBA (weighing in at around 325 pounds). Yep, he's a big guy ... 7 foot 1 inch tall. Shaq retired in 2011 after a professional playing career that lasted 19 years."
S_Y,"SOY.    	What are known as soybeans here in the US are called 'soya beans' in most other English-speaking countries. So, I drink soy milk here in America, but when I am over in Ireland I drink ""soya milk""."
_XON,"AXON.    	A nerve cell is more correctly called a neuron, and the long nerve fiber that forms part of the neuron is called the axon."
A_TS,ACTS.    	The Acts of the Apostles is the fifth book of the New Testament. It is believed that the author of the Gospel of Luke was the same person who wrote 'Acts'.
SNER_,"SNERD.    	Ventriloquist Edgar Bergen's most famous character was Charlie McCarthy, but he also worked with Mortimer Snerd."
_ESS,"HESS.    	The Hess Corporation is an oil company based in New York City. In 1964, the company started selling toy trucks with the Hess logo on them, in Hess gas stations. The company has been selling them every since, bringing out new models just before Christmas. Hess toy trucks have become quite collectible and the old ones can fetch a pretty penny."
_ERET,BERET.    	'Tête' is French for 'head'.
M_A,"MOA.    	Moas were flightless birds native to New Zealand that are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which had the knock-on effect of killing off the Haast's Eagle, the Moa's only predator prior to the arrival of man. Moas were huge creatures, measuring up to 12 feet tall with their necks stretched upwards."
_IS,"LIS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
O_L,"OWL.    	Hundred Acre Wood is where Winnie the Pooh lives with his friends. According to a map illustrating the books by A. A. Milne, Hundred Acre Wood is part of a larger forest, with Owl's house sitting right at the center."
E_G,"EGG.    	A soufflé is of course a French dish, usually served as a dessert. The verb 'souffler' means 'to blow, blow up'."
P_S,PBS.    	The 'Mister Rogers' Neighborhood' TV show starred Fred Rogers. It was the second-longest running series on PBS television after that other iconic children's show 'Sesame Street'.
_MCEE,"EMCEE.    	The term 'emcee' comes from 'MC', an initialism standing for Master or Mistress of Ceremonies."
TOR_,TORI.    	A torus (plural 'tori') is a shape resembling a doughnut.
OCELO_,"OCELOT.    	The ocelot is found mainly in South and Central America, although there have been sightings as far north as Arkansas. An ocelot doesn't look too different from a domestic cat, and some have been kept as pets. Perhaps most famously, Salvador Dali had one that he carried around everywhere with him."
_EL,"BEL.    	In the world of acoustics, one bel is equal to ten decibels."
PA_,PAM.    	PAM cooking oil was introduced in 1961 by Leon Rubin and Arthur Meyerhoff. The name 'PAM' is an acronym ... standing for 'Product of Arthur Meyerhoff' ...
O_L,"OYL.    	Thimble Theater' was the precursor comic strip to the famous 'Popeye' drawn by E. C. Segar. Before Popeye came into the story, the brother and sister characters Castor Oyl and Olive Oyl were the protagonists. And then along comes a sailor ..."
APB_,APBS.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
PE_,"PEZ.    	PEZ is an Austrian brand name for a particular candy sold in a mechanical dispenser. Famously, PEZ dispensers have molded 'heads', and have become very collectible over the years. The list of heads includes historical figures like Betsy Ross and Paul Revere, characters from 'Star Wars' and 'Star Trek', and even British royalty like the Duke and Duchess of Cambridge ('William and Kate'). The name PEZ comes from the first, middle and last letters of 'Pfefferminz', the German word for 'peppermint'."
TMA_,T-MAN.    	A T-man is a law-enforcement agent of the US Treasury.
T_FT,"TAFT.    	William Howard Taft may have been the 27th President of the United States, but his lifelong ambition was to be Chief Justice of the Supreme Court. President Taft was able to realize that dream in 1921, eight years after losing his bid for re-election as president. As Chief Justice, this former US President swore in two new presidents, Calvin Coolidge (in 1925) and Herbert Hoover (in 1929)."
S_ET,SUET.    	Suet is a very popular ingredient in food provided for bird feeders.
_AT,"LAT.    	The muscles known as the 'lats' are the latissimi dorsi, the broadest muscles in the back. 'Latissimus' is the Latin for 'broadest' and 'dorsum' is Latin for 'back'."
MONE_,"MONET.    	Water Lilies' by French Impressionist Claude Monet is actually a whole series of paintings, numbering about 250 in total. The subjects of the works were the water lilies in Monet's flower garden at Giverny in northern France."
MON_T,"MONET.    	Claude Monet painted the harbor of Le Havre in the north of France in 1872, giving it the title ""Impression, Sunrise"". The painting is not a ""realistic"" representation of the scene in front of him, hence the name ""impression"". It was this very painting that gave rise to the name of the Impressionist movement, and earned Monet the title of Father of Impressionism."
ARNI_,"ARNIE.    	Arnold Palmer was one of the greats of the world of golf. He was very popular with many fans of the game, and his followers were usually referred to as 'Arnie's Army'. Off the course, Palmer was an avid pilot, until his latter years. He resided in Latrobe, Pennsylvania for much of the year and the local airport is named in his honor: Arnold Palmer Regional Airport."
H_E,HRE.    	The Holy Roman Empire (HRE) existed from 962 to 1806 AD and was a territory of varying size over the centuries that centered on the Kingdom of Germany. The HRE was a successor to the western half of the Ancient Roman Empire.
EL_N,"ELON.    	Elon is a city in the Piedmont region of North Carolina, close to the city of Burlington. Elon University is a private liberal arts school founded in 1889."
H_S,"HMS.    	Charles Nordhoff and James Norman Hall wrote ""Mutiny on the 'Bounty'"", based on a true story about a mutiny on the ship HMS Bounty. They followed up their successful novel with two more works, creating what is now called the ""Bounty Trilogy"". The three books are:"
C_LA,"COLA.    	The Pepsi-Cola formulation was developed by one Caleb Bradham who made the drink at home and sold it as 'Brad's Drink'. Bradham's aim was to provide a drink that was pleasant to taste, that would aid digestion and boost energy. He included in the formula pepsin (a digestive enzyme) and kola nuts, eventually using these ingredients as inspiration for the brand name we use today, Pepsi-Cola."
_ENON,"TENON.    	One simple type of joint used in carpentry is a mortise and tenon, basically a projection carved at the end of one piece of wood that fits into a hole cut into the end of another. The mortise is the ""hole"" and the tenon is the ""projection""."
SADI_,"SADIE.    	Sadie Hawkins was a character in Al Capp's comic strip ""Li'l Abner"". Sadie was still a spinster at the age of 35 so declared a ""Sadie Hawkins Day"" in which she chased the local men in a footrace, with marriage as the prize when one was caught."
SUM_,"SUMO.    	Sumo is a sport that is practiced professionally only in Japan, the country of its origin. There is an international federation of sumo wrestling now, and one of the organization's aims is to have the sport accepted as an Olympic event."
_ST,"LST.    	LST stands for Landing Ship, Tank. LSTs were the large vessels used mainly in WWII that had doors at either ends through which tanks and other vehicles could roll off and onto beaches. The design concept persists to this day in the huge fleet of commercial roll-on/roll-off car ferries, all inspired by the LST."
T_ANE,"THANE.    	Thanes were Scottish aristocrats. The most famous thane has to be Macduff, the Thane of Fife, the fictional character that is killed off by Macbeth in Shakespeare's play. Other thanes in ""Macbeth"" are Ross, Lennox and Angus, as well as Menteith and Caithness."
_LA,FLA.    	Hollywood is a city in the south of the state of Florida.
T_I,"TOI.    	'Toi' is the French word for 'you', when talking to someone with whom you are familiar."
AN_,"-ANE.    	Alkanes are organic compounds. The 'smaller' alkanes are gases and are quite combustible. Methane (CH4) is the main component of natural gas with ethane (C2H6) being the second largest component. Propane (C3H8) is another component of natural gas and is heavy enough to be readily turned into a liquid by compression for ease of transportation and storage. Butane (C4H10) is also easily liquefied under pressure and can be used as the fuel in cigarette lighters or as the propellant in aerosol sprays. The heavier alkanes are not gases, and instead are liquids and solids at room temperature."
BAR_,"BARI.    	The Basilica of Saint Nicholas is in the city of Bari, in southern Italy. On the feast of Saint Nicholas, on December 6 each year, the clergy in the church lower a flask into the subterranean tomb containing holy relics that are reputed to exude myrrh, a resin. The myrrh is shipped all over the world and has been cited as the reason for several miracles."
_OREA,"KOREA.    	Seoul is the capital city of South Korea. The Seoul National Capital Area is home to over 25 million people and is the second largest metropolitan area in the world, second only to Tokyo, Japan."
_IT,"AIT.    	Aits are little islands found in a river. Aits aren't formed by erosion, but by the deposition of silt over time. As a result, aits often have a long and narrow shape running parallel to the banks as the sediment builds up with the flow of the water. Many of the islands in the River Thames in England have been given the name ""Ait"", like Raven's Ait in Kingston-upon-Thames, and Lot's Ait in Brentford."
E_GAR,"EDGAR.    	Edgar Lee Masters was a poet and biographer from Kansas. His best known collection of poems is 'Spoon River Anthology', which was first published in 1915. He also wrote biographies of Abraham Lincoln, Mark Twain and Walt Whitman."
_GIF,"TGIF.    	""Thank God It's Friday"" (TGIF) is a relatively new expression that originated in Akron, Ohio. It was a catchphrase used by disk jockey Jerry Healy of WAKR in the early seventies."
SE_O,"SEGO.    	The Sego Lily is the state flower of Utah, and is a perennial plant found throughout the Western United States."
DIN_,"DINO.    	In the Hanna-Barbera cartoon series ""The Flintstones"", Dino the pet dinosaur was voiced by the famous Mel Blanc, until his death in 1989."
_ITO,"TITO.    	Tito Jackson was the third oldest of the Jackson children, and was known in Motown as the ""quiet Jackson""."
A_ON,"AXON.    	A nerve cell is more correctly called a neuron, and the long nerve fiber that is part of the neuron is called the axon."
MONE_,"MONET.    	Paris's Musée de l'Orangerie is a art gallery with a fabulous collection of impressionist and post-impressionist works. The original building was erected to shelter orange trees, hence the name. The museum holds a beautiful series of Monet water-lily paintings in two wonderfully lit oval rooms."
EC_,ECU.    	The European Currency Unit (ECU) was an interim unit of account used in the European Community for just over ten years right before the Euro was launched in 1999. The ECU existed alongside the legacy European currencies as the Community worked to stabilize exchange rates prior to the Euro's launch.
A_L,"AXL.    	Axl Rose is the lead vocalist of the American rock band, Guns N' Roses."
_YL,"OYL.    	""Thimble Theater"" was the precursor comic strip to the famous ""Popeye"" drawn by E. C. Segar. Before Popeye came into the story, the brother and sister characters Castor Oyl and Olive Oyl were the main protagonists. And then along comes a sailor ..."
_DS,DDS.    	Doctor of Dental Surgery.
_MC,"AMC.    	The Walking Dead' is a horror television show that is made by AMC that is based on a comic book series of the same name. There are lots of flesh-eating zombies featured, so I won't be seen 'dead' watching it ..."
SNO_,"SNOB.    	Back in the 1780s, a 'snob' was a shoemaker or a shoemaker's apprentice. By the end of the 18th century the word was being used by students at Cambridge University in England to refer to all local merchants and people of the town. The term evolved to mean one who copies those who are his or her social superior (and not in a good way). From there it wasn't a big leap for 'snob' to include anyone who emphasized their superior social standing and not just those who aspired to rank. Nowadays a snob is anyone who looks down on those considered to be of inferior standing."
OC_LOT,"OCELOT.    	The ocelot is found mainly in South and Central America, although there have been sightings as far north as Arkansas. An ocelot doesn't look too different from a domestic cat, and some have been kept as pets. Perhaps most famously, Salvador Dali had one that he carried around."
E_A,"ESA.    	Esa Tikkanen is a retired hockey player from Finland. He was on the winning team in five Stanley Cup finals, between 1985 to 1994."
I_HO,IMHO.    	In my humble opinion (IMHO).
E_U,ECU.    	28. See 49-Across : COIN
I_GA,"INGA.    	Inga Swenson is an American actress. Her best known role was ""Gretchen Kraus"", the German cook and later housekeeper on the TV show ""Benson"". Swenson also appeared in a couple of episodes of ""Bonanza"" playing the second wife of Ben Cartwright (Lorne Greene), and mother of Hoss Cartwright (Dan Blocker). This was despite the fact that in real life she was actually 4 years younger than Blocker!"
A_LAH,"ALLAH.    	The term 'Allah' comes from the Arabic 'al-' and 'ilah', meaning 'the' and 'deity'. So 'Allah' translates as 'God'."
_OU,SOU.    	A sou is an old French coin. We use the term 'sou' to mean 'an almost worthless amount'.
Z_NC,ZINC.    	Steel or iron can be galvanized to prevent rusting. The galvanization process involves the application of a protective zinc coat. The most common method used is hot-dipping in a bath of molten zinc metal.
_ERR,"KERR.    	The lovely Deborah Kerr was a Scottish actress who made a real name for herself on the American stage and in Hollywood movies. Despite all her success, and six nominations for a Best Actress Oscar, she never actually won an Academy Award. In 1967 she appeared in the James Bond film ""Casino Royale"" at the age of 46, the oldest Bond Girl of all time."
_TOI,"A TOI.    	""À toi"" is the French term for ""yours"", when talking to someone with whom one is familiar. ""À toi"" literally means ""to you""."
S_AM,"SCAM.    	'Grift' is money made dishonestly, especially as the result of a swindle. The term perhaps is an alteration of the the word 'graft', which can have a similar meaning."
NO_SG,"NO MSG.    	Monosodium glutamate (MSG) is the sodium salt of a naturally-occurring,non-essential amino acid called glutamic acid. It is used widely as a flavor enhancer, particularly in many Asian cuisines. Whether or not it is harmful seems to be still under debate. I say that something produced in a test tube shouldn't be in our food ..."
UNI_,UNIX.    	Unix is a computer operating system that was developed at Bell Labs in 1969.
_PS,"LPS.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
P_S,"PSS.    	One adds a PS (post scriptum, or simply ""postscript"") at the end of a letter. A second postscript is a post post scriptum, a PPS."
A_EC,"AVEC.    	The English word 'with' translates into 'avec' in French, and into 'mit' in German."
_TOI,"A TOI.    	""À toi"" is the French term for ""yours"", when talking to someone with whom one is familiar. ""À toi"" literally means ""to you""."
ME_,"MET.    	Citi Field is the new baseball stadium used by the New York Mets. It sits right next door to Shea stadium, where the Mets had played for decades. And the name of course comes from sponsor Citigroup."
_ATE,"PATE.    	Pâté is a rich, spreadable paste made up of a mixture of ground meat and fat, to which various vegetables, herbs and spices may be added. The most famous version is pâté de fois gras, made from the fattened livers of geese (""fois gras"" means ""fat liver"" in French)."
_OME,"NOME.    	In 1899, the Alaska city of Nome was briefly known as Anvil City by locals to avoid confusion with the nearby city of Cape Nome. However, the US Post Office refused to approve the change, and so the name was immediately changed back to Nome."
OLSE_,OLSEN.    	Tillie Olsen was an author and feminist noted in particular for highlighting the plight of women and the poor in the 1930s in the US.
_EON,PEON.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
_ENT,"LENT.    	In Latin, the Christian season we now call Lent was termed ""quadragesima"", a reference to the forty days that Jesus spent in the desert before beginning his public ministry. When the church began its move in the Middle Ages towards using the vernacular, the term ""Lent"" was introduced. ""Lent"" comes from ""lenz"", the German word for ""spring""."
P_ORIA,"PEORIA.    	Peoria is the oldest European settlement in the state of Illinois, having been settled by the French in 1680. The city is famous for being cited as 'the average American city'. The phrase, 'Will it play in Peoria?' is used to mean, 'Will it appeal to the mainstream?' It is believed the expression originated as a corruption of, 'We shall play in Peoria', a line used by some actors in the 1890 novel ""Five Hundred Dollars"" by Horatio Alger, Jr."
C_RAT,"CARAT.    	A carat is a unit of mass used to measure gemstones and pearls. There are one hundred points in a carat, each equal to 2 milligrams, so a carat is equal to 200 milligrams."
C_O,CFO.    	Chief Financial Officer (CFO)
_MS,RMS.    	Lots of rooms in hospitals.
A_C,"ANC.    	As a young man, Nelson Mandela led the armed wing of the African National Congress (ANC). Mandela was eventually arrested and admitted to charges of sabotage and was sentenced to life in prison in 1964. He remained behind bars for 27 years, mainly in the infamous prison on Robben Island. As the years progressed, Mandela became a symbol of the fight against apartheid. He was released in 1990, and immediately declared his commitment to peace and reconciliation with South Africa's white minority population. Mandela was elected president of the Republic of South Africa (RSA) in 1994, an office that he held until 1999. Nelson Mandela passed away on December 5, 2013."
TH_NE,"THANE.    	Thanes were Scottish aristocrats. The most famous thane has to be the Thane of Fife, Macduff, the fictional character that is killed by Macbeth in Shakespeare's play. Other thanes in ""Macbeth"" are Ross, Lennox and Angus, as well as Menteith and Caithness."
P_SSE,"PASSE.    	'Passé' is a French word, meaning ""past, faded""."
E_RET,EGRET.    	At one time the egret species was in danger of extinction due to hunting driven by the demand for plumes for hats.
ARC_,"ARCH.    	The Gateway Arch in St. Louis is the tallest monument in the United States. It was designed by Eero Saarinen, with the help of structural engineer Hannskarl Bandel. They did their design work back in 1947, but construction wasn't started until 1963. In 1980, a daredevil took it upon himself to parachute onto the top of the arch, intending to further jump from the apex of the arch and parachute to the ground. He hit the arch alright, and slid all the way down one of the arches to his death. No comment ..."
_DER,"EDER.    	Richard Eder was a foreign correspondent, film reviewer and drama critic for the 'New York Times'. More recently, he has been writing book reviews."
T_C,"TEC.    	'Tec' is a slang term for a private detective, a private investigator (PI)."
_AR,"BAR.    	Having lived on both sides of the Atlantic, I find the Mars Bar to be the most perplexing of candies! The original Mars Bar is a British confection (and delicious) first manufactured in 1932. The US version of the original Mars Bar is called a Milky Way. But there is candy bar called a Milky Way that is also produced in the UK, and it is completely different to its US cousin, being more like an American ""3 Musketeers"". And then there is an American confection called a Mars Bar, something different again. No wonder I gave up eating candy bars ..."
_DC,"CDC.    	The Centers for Disease Control and Prevention (CDC) is based in Atlanta, Georgia. The CDC started out life during WWII as the Office of National Defense Malaria Control Activities. The CDC worries about much more than malaria these days ..."
A_ANO,"ADANO.    	""A Bell for Adano"" is a novel written by John Hersey. Hersey's story is about an Italian-American US Army officer, Major Joppolo, who found a replacement for a town's bell stolen by fascists. ""A Bell for Adano"" was made into a film in 1945, the same year the novel won a Pulitzer."
ASTR_,ASTRA.    	'Per aspera ad astra' is a Latin phrase usually translated as 'a rough road leads to the stars'.
