"""J'accuse!"" reply.   		4 letters",MOI?.    	'J'accuse!' is the French for 'I accuse!'.
Conductor Toscanini.   		6 letters,"ARTURO.    	Arturo Toscanini was an Italian conductor of classical music. Toscanini took up the baton for the first time under sensational circumstances in 1886. He was attending a performance of ""Aida"" in Rio de Janeiro as the assistant chorus master, on a night when a substitute conductor was leading the orchestra. The substitute was in charge because the lead conductor had been forced to step down by striking performers who would not work with him. The disgruntled lead conductor led the audience in booing the unfortunate substitute, forcing him off the stage. The another substitute attempted to lead the performance, but he could not overcome the hostility of the crowd. The musicians themselves begged Toscanini to take up the baton, for the first time in his life, simply because he knew the score by heart. After over an hour of mayhem, Toscanini led the company in a remarkable performance, to marvelous acclaim. His conducting career was launched."
Eye part.   		4 letters,"LENS.    	The lens in the eye can change shape, and in so doing change it's focal length allowing it to focus on objects at different distances. The shape of the lens changes due to the action of the cilliary muscles."
Pippi Longstocking feature.   		5 letters,"PLAIT.    	Pippi Longstocking appears as the heroine in a series of books written by Swedish author Astrid Lindgren. Lindgren is quite the activist, very well known in the circles working for children's and animal rights, and specifically she has campaigned heavily against corporal punishment."
Deep-six.   		4 letters,"TOSS.    	The term ""deep six"" is of course nautical in origin. The actual expression from the days of taking soundings with a lead weight on a line would have been ""by the deep six"" meaning that the depth was 6 fathoms, or 36 feet. If something is deep sixed, it is deemed to be sunk so deeply it can't be recovered."
A.M.A.   		3 letters,DRS.    	American Medical Association (AMA)
"""R-E-S-P-E-C-T"" diva Franklin.   		6 letters","ARETHA.    	I think Aretha Franklin, the Queen of Soul, had a tough life. Franklin had her first son when she was just 13-years-old, and her second at 15. In 2008, 'Rolling Stone' magazine ranked Franklin as number one in their list of the greatest singers of all time."
___ Lama.   		5 letters,"DALAI.    	Starting with the fifth Dalai Lama in the 17th century, the Buddhist leader spent the winter in the magnificent Potola Palace in the Tibetan capital city of Lhasa. In 1959, however, the current Dalai Lama (the 14th) had to flee Tibet when the Tibetan people rebelled against Chinese occupation in 1959. Since then, he has resided in Dharamsala in Northern India, as a guest of the Indian people."
"What to ""Come see the softer side of,"" in a slogan.   		5 letters","SEARS.    	Sears made a big splash in the world's newspapers in 1974 when it completed its new headquarters in Chicago, the Sears Tower. At 110 stories, it was the tallest building in the world, and remained so until the Petronas Twin Towers in Kuala Lumpur were completed in 1996. Sears moved out of the building in 1993, but had the rights to the name on the building until early 2009. I don't think many people outside of Chicago know that since 2009, the building is actually called the Willis Tower, after the new owners."
Something fracked in fracking.   		5 letters,"SHALE.    	The organic matter in oil shale that is insoluble in organic solvents is known as kerogen. Ultimately, kerogen turns into oil and natural gas."
Kind of shark.   		4 letters,"MAKO.    	The shortfin mako shark can appear on restaurant menus, and as a result the species is dying out in some parts of the world. The mako gets its own back sometimes though, and attacks on humans are not unknown. And the shark in Ernest Hemingway's ""The Old Man and the Sea"", that's a mako."
Kansas city.   		6 letters,"TOPEKA.    	Topeka is the capital of Kansas, and is located on the Kansas River in the northeast of the state. The name 'Topeka' was chosen in 1855 and translates from the Kansa and the Ioway languages as 'to dig good potatoes'. The reference isn't to the common potato but rather to the herb known as the prairie potato (also 'prairie turnip'), which was an important food for many Native Americans."
"Oblique-angled, four-sided figure.   		5 letters","RHOMB.    	Rhomb is an alternative name for a rhombus, a 4-sided figure with sides of equal length, but angles at the corners that aren't right angles. So, that would make a rhombus a ""diamond"" shape."
Passover month.   		5 letters,"NISAN.    	Nisan is the first month in the Hebrew ecclesiastical calendar, the month in which Passover falls. Adar is the last month in the same calendar."
"Steve McQueen's first major movie, with ""The"".   		4 letters","BLOB.    	The 1958 horror film ""The Blob"" was the first film in which Steve McQueen had a leading role. The movie wasn't a success at all, until Steve McQueen became a star that is. Using McQueen's name, the movie was re-released and gained a cult following, and was particularly successful at drive-in theaters."
Hirsute.   		6 letters,"SHAGGY.    	""Hirsute"" means ""hairy"". The Latin word ""hirsutus"" means ""rough, shaggy""."
"With 37-Across, hair accessory ...   		4 letters",HEAD.    	37. See 35-Across : BAND
"""Eine kleine Nachtmusik"" composer.   		6 letters","MOZART.    	Mozart's Serenade No. 13 for strings in G major, is better known as ""Eine Kleine Nachtmusik"", which translates into ""a little serenade"". Often the more literal English translation of ""a little night music"" is used. It is a delightful piece in four, very recognizable movements, although there is much debate about a ""lost"" fifth movement."
Follow the coxswain's calls.   		3 letters,"ROW.    	The coxswain of a boat is one in charge, particularly of its steering and navigating. The name is shortened to ""cox"" particularly when used for the person steering and calling out the stroke in a competition rowing boat."
Edible mushroom.   		5 letters,"ENOKI.    	Enokitake (also known as enoki) are long, thin white mushrooms often added to soups or salads."
Dim bulbs.   		5 letters,"DODOS.    	The dodo was a direct relative of the pigeon and dove, although the fully-grown dodo was usually three feet tall. One of the reasons the dodo comes to mind when we think of extinction of a species, is that it disappeared not too long ago (last recorded alive in 1681) and humans were the reason for its demise. The dodo lived exclusively on the island of Mauritius and when man arrived, we cut back the forests that were its home. We also introduced domestic animals, such as dogs and pigs, that ransacked the dodo's nests. The dodo was deemed to be an awkward flightless bird and so the term 'dodo' has come to mean a dull-witted person."
Gulf of Aqaba city.   		5 letters,"EILAT.    	Eilat the most southerly city in Israel, sitting right at the northern tip of the Red Sea, on the Gulf of Aqaba."
"Archie Bunker, notably.   		5 letters","BIGOT.    	'Bigot' is a French word that back in the late 1500s meant 'sanctimonious person, religious hypocrite'. We use the term today to describe someone who is biased towards his or her own group, and who is intolerant of those outside of that group."
Refined.   		6 letters,"URBANE.    	We use 'urbane' today to mean something courteous or refined. Back in the 1500s the term was used in the same way that we now use 'urban'. Those townsfolk thought they were more sophisticated than the countryfolk, and so the usage evolved."
QB Brett.   		5 letters,"FAVRE.    	Brett Favre is best known as the former starting-quarterback for the Green Bay Packers. Favre retired in 2010 after playing with the Minnesota Vikings for a short time. Among the many NFL records held by Favre, he has made the most consecutive starts."
Maker of the Pocket Fisherman and Electric Food Dehydrator.   		5 letters,"RONCO.    	Ronco is a company the builds and sells products mainly for the kitchen. Over the years the company has been closely associated with the '-O-Matic' suffix, especially the ""Veg-O-Matic' vegetable slicer. It is also associated with the phrase 'set it and forget it', which was used for Ronco's Showtime Rotisserie Grill."
"1994 bomb based on an ""S.N.L."" character.   		8 letters","IT'S PAT.    	The androgynous character known as 'Pat' on 'Saturday Night Live' was played by the comedienne Julia Sweeney. Pat appeared in a 1994 movie called 'It's Pat', which is one of the worst films of all time, or so I am told ..."
"It becomes its own synonym when ""cap"" is added in front.   		4 letters",ABLE.    	'Able' is a synonym of 'capable'.
Wharton's sch.   		5 letters,"UPENN.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia. The school was established in 1881 largely due to a donation from industrialist Joseph Wharton, co-founder of Bethlehem Steel."
A bee may be on it.   		6 letters,"STAMEN.    	The stamen is the male reproductive organ of a flower. The anther carries the pollen, which is picked up the bee and transfered to from flower to flower."
Harrison's vice president.   		5 letters,"TYLER.    	John Tyler was the tenth President of the US, and the first to take the office on the death of the incumbent. Tyler's predecessor was President William Henry Harrison, who was in office only 32 days before he died of natural causes. For a while there was a little confusion about the wording in the constitution that covered such an eventuality. There was an argument made that Tyler would continue as Vice-President but would assume the responsibilities of the office of President, in effect as 'Acting President'. However, Tyler proceeded as though he was taking over as President and took the oath of office in his hotel room in Washington. Soon afterwards, Congress declared that Tyler was indeed President, although many continued to dispute the fact. Many of President Tyler's opponents referred to him as 'His Accidency'. His term in office ended in 1845. When the Civil War began in 1861, Tyler sided with the Confederacy and was even elected to the Confederate House of Representatives for the 3rd District of Virginia. President Tyler passed away only a few days after taking his seat in the House. His death was the only one in presidential history that was not recognized in the nation's capital, as he sided with the Confederate States."
Group for young people coping with parental substance abuse.   		7 letters,"ALATEEN.    	Alateen is part of Al-Anon, a support group formed to help people enrolled in Alcoholics Anonymous . Alateen is a 12-step program of recovery for young people who are affected by someone else's drinking."
"They're the cutest in the world, per a hit song.   		16 letters","CALIFORNIA GIRLS.    	""California Girls"" was released in 1965 by the Beach Boys, and reached number three in the ""Billboard"" charts. Twenty years later David Lee Roth recorded a very successful cover version of the song, and it reached exactly the same spot in the charts, number three."
New ___ (35-Across's program).   		4 letters,"DEAL.    	The New Deal was the series of economic programs championed by President Franklyn D. Roosevelt in response to the Great Depression. The New Deal was focused on three objectives, the '3 Rs':"
"""Make Someone Happy"" composer.   		5 letters","STYNE.    	Jule Styne was an English songwriter who made a name for himself in America with a series of popular musicals. Styne wrote a number of famous songs including 'Don't Rain on My Parade' from 'Funny Girl', 'Diamonds Are a Girl's Best Friend' from 'Gentlemen Prefer Blondes', and 'Everything's Coming Up Roses' from 'Gypsy'."
"___ Easton Ellis, author of ""American Psycho"".   		4 letters","BRET.    	Bret Easton Ellis wrote the original novels that were adapted for the silver screen: ""Less Than Zero"" (1987), ""American Psycho"" (2000) and ""The Rules of Attraction"" (2002)."
"Paul of ""There Will Be Blood"".   		4 letters","DANO.    	Paul Dano is an actor and musician from New York City. I best know him for playing Brian Wilson in 'Love & Mercy', a fascinating film about the Beach Boys."
Ball-bearing types?.   		5 letters,SEERS.    	Some seers look into their crystal balls.
___ bar (popular candy).   		5 letters,HEATH.    	The Heath candy bar was created by brothers Bayard and Everett Heath in the 1920s.
Train track support.   		3 letters,"TIE.    	Railroad ties are usually wooden oblong members used to support and maintain the separation between the rails. Over in Europe we call ties 'sleepers', which I think is a much more colorful term!"
Jarhead.   		6 letters,"MARINE.    	Marine's are called jarheads because of their high and tight regulation haircuts, at least that's the story I read ..."
"Robert of ""Airplane!"".   		4 letters","HAYS.    	The 1980 movie 'Airplane!' has to be one of the zaniest comedies ever made. The lead roles were Ted Striker (played by Robert Hays) and Elaine Dickinson (played by Julie Hagerty). But it was Leslie Nielsen who stole the show, playing Dr. Barry Rumack. That's my own humble opinion of course ..."
"Shirley MacLaine, notably.   		8 letters","NEW AGER.    	The New Age Movement is a western philosophy that traces its roots back to the early 1800s. The movement focuses achieving the highest human potential as an individual and embraces many traditionally eastern spiritual practices, but eschews all religious doctrines."
"Latin lover's bouquet, maybe.   		5 letters","ROSAS.    	""Rosa"", the Spanish for ""rose""."
"""___ pasa?"".   		3 letters","QUE.    	In Spanish, 'que pasa?' literally translates as 'what happened?' but is used to mean 'how have things been going with you?'."
Visa (Avis) offering.   		6 letters,"RENTAL.    	Avis has been around since 1946, and is the second largest car rental agency after Hertz. Avis has the distinction of being the first car rental company to locate a branch at an airport."
"Robert ___, longest-serving senator in U.S.   		4 letters","BYRD.    	Democratic Senator Robert Byrd passed away in June, 2010. Byrd was the US Senator from West Virginia. He was elected to office in 1959 and retained his seat until his death. Senator Byrd was the longest-serving member in the history of the United States Congress, having served for 51 years."
"Anita of ""La Dolce Vita"".   		6 letters","EKBERG.    	Anita Ekberg is a Swedish model and actress, famous for her role on the big screen in the 1960 Fellini classic, ""La Dolce Vita"
Traps and yaps.   		4 letters,"MAWS.    	'Maw' is a term used to describe the mouth or stomach of a carnivorous animal. ""Maw"" is also used as slang for the mouth or stomach of a greedy person."
Soccer cheer.   		7 letters,"OLE OLE.    	""Ole Ole Ole!"" is chanted at soccer games by many Spanish speaking (or shouting) fans. I am very proud to claim that the fans of the Irish national team have adopted the chant as their own, and it can be heard practically non-stop when Ireland is playing (with some inventive melody behind it!)."
Start of an old boast.   		4 letters,"VENI.    	The oft-quoted ""Veni, vidi, vici"" (I came, I saw, I conquered) was apparently written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
Latte alternative.   		8 letters,"CHAI TEA.    	Chai is a drink made from spiced black tea, honey and milk. ""Chai"" is the Hindi word for ""tea"". We often called tea ""a cup of char"" growing up, with ""char"" being the slang word for tea derived from ""chai""."
Accord competitor.   		5 letters,"CAMRY.    	The Toyota Camry takes its name from the Japanese word for 'crown'. Toyota management likes the idea of naming their cars after the word 'crown', as they did with the Toyota Crown, followed by the Toyota Corona (Latin for crown) and the Toyota Corolla (Latin for small crown)."
Family tree abbr.   		4 letters,DESC.    	Descendant
"Key of ""The James Bond Theme"".   		7 letters","E MINOR.    	That fabulous James Bond theme was written by Monty Norman, at least according to the courts. As royalties are a big deal for this oft-played piece, copyright ownership has been disputed twice in legal proceedings. John Barry, who is credited with arranging the theme for the first James Bond movie, ""Dr. No"" has contended that he composed the music himself and didn't just arrange it."
"Missouri city, informally.   		6 letters","ST JOE.    	The city of Saint Joseph in Missouri was the westernmost point in the US that was accessible by rail after the Civil War. As such, it was a final stopping-off point as people headed out to the Wild West. The city takes its name from its founder, fur trader Joseph Robidoux. Robidoux apparently like things named after himself and his family, as eight of the main streets downtown were named after his children, and another was named for his second wife."
Sniggled.   		5 letters,EELED.    	Sniggling is the name of a fishing technique used to catch eels.
Org.   		4 letters,"MADD.    	Candice Lightner lost her 13-year-old child to a drink driver in 1980. Soon after, Lightner formed the group Mothers Against Drunk Driving (MADD)."
"22-Across flavor, for short.   		4 letters",CHOC.    	Chocolate Nestle Quik!
___ Brava (Spanish resort area).   		5 letters,"COSTA.    	The Costa Brava is a section of coast in northeastern Catalonia, Spain stretching from north of Barcelona to the border with France. 'Costa Brava' means 'rugged coast' and was a term first coined in a local newspaper article in 1908."
Big section of Bartlett's: Abbr..   		4 letters,"SHAK.    	""Bartlett's Familiar Quotations"" is a famous reference work containing tons of quotations. Bartlett's was first issued in 1855, and as such is the longest-lived collection of quotations that we have available to us. The book started as a private list of quotes gathered by John Bartlett who ran the University Book Store in Cambridge, Massachusetts. He kept the list as he was always being asked ""who said?"" by customers."
Oscars org.   		5 letters,"AMPAS.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards, also known as the ""Oscars"". The root of the name ""Oscar"" is hotly debated, but what is agreed is that the award was officially named ""Oscar"" in 1939."
Aussie critters.   		4 letters,"ROOS.    	The name 'kangaroo' comes from the Australian Aborigine term for the animal. There's an oft-quoted story that the explorer James Cook (later Captain Cook) asked a local native what was the name of this remarkable-looking animal, and the native responded with 'kangaroo'. The story is that the native was actually saying 'I don't understand you', but as cute as that tale is, it's just an urban myth."
Working stiff.   		5 letters,"PROLE.    	George Orwell introduced us to the proles, the working class folk in his famous novel ""Nineteen Eighty-Four"". Collectively, the proles made up the section of society known as the proletariat."
Hoped-for result of swiping right on Tinder.   		4 letters,"DATE.    	Tinder is a matchmaking app that uses Facebook profiles. Users 'swipe' photos of potential matches, either to the right ('like') or to the left ('not interested'). Users who 'match' each other can then chat within the app."
Character traits?.   		6 letters,"SERIFS.    	Serifs are details on the ends of characters in some typefaces. Typefaces without serifs are known as sans-serif (from the French word ""sans"" meaning ""without""). Some people say that serif fonts are easier to read on paper, whereas sans-serif fonts work better on a computer screen. I'm not so sure though ..."
"Alessandro ___, scientist who discovered 110-Across.   		5 letters","VOLTA.    	Alessandro Volta was the physicist who invented the first battery, way back in 1800. One of Volta's first applications of his new invention was to use a battery (and a very long run of wire between the Italian cities of Como and Milan) to shoot off a pistol from 30 miles away!"
Popular boots that originated from surf culture.   		4 letters,"UGGS.    	Uggs are sheepskin boots that originated in Australia and New Zealand. Uggs have sheepskin fleece on the inside for comfort and insulation, with a tanned leather surface on the outside for durability. Ugg is a generic term down under, although it's a brand name here in the US."
HSN competitor.   		3 letters,"QVC.    	The QVC shopping channel was founded in 1986 in West Chester, Pennsylvania. The company now has operations not only in the US but also in the UK, Germany, Japan and Italy. That means QVC is reaching 200 million households. The QVC acronym stands for Quality, Value and Convenience."
Heartthrob Zac.   		5 letters,"EFRON.    	Zac Efron is an actor from San Luis Obispo, California. Apparently Efron is a heartthrob to 'tweenyboppers'. His big break was in the Disney hit movie 'High School Musical'."
Medical condition treated by thrombolysis.   		4 letters,"CLOT.    	Thrombolysis is also called ""clot busting"" for obvious reasons. The technique involves the introduction of an enzyme into the bloodstream that acts on the clot to render it soluble in blood plasma."
Writer who created Shrek.   		5 letters,"STEIG.    	Before ""Shrek"" was a successful movie franchise, it was a children's picture book called ""Shrek!"" authored and illustrated by William Steig. The title ""Shrek!"" came from teh German/Yiddish word Schreck, meaning ""fear"" or ""terror""."
Some undies.   		4 letters,"BVDS.    	The men's underwear known as BVDs are made by the Bradley, Voorhees & Day. The company was started in 1876 to make bustles for women, and is named for its founders."
Message runner.   		4 letters,"PAGE.    	The use of the word ""page"" to denote a messenger boy dates back to about 1300, when a page was a youth preparing to be a knight. The word comes into English via French from the Latin ""pagius"" meaning ""servant""."
Part of a stage.   		5 letters,APRON.    	The apron of a stage (if it has one) is that part which projects out into the audience.
"Another, in Aragón.   		4 letters",OTRA.    	Modern-day Aragón is an autonomous community in the northeast of Spain. The region is named for the medieval Kingdom of Aragón.
For fear that.   		4 letters,"LEST.    	""Lest"", meaning ""for fear that"" is a contraction of the expression ""whereby less that""."
It may stick to your ribs.   		5 letters,SAUCE.    	Barbecue sauce sticks to the ribs on your plate ...
Conductor Solti.   		5 letters,"GEORG.    	Sir Georg Solti was a great Hungarian-British conductor, who spent 22 years as music director of the Chicago Symphony, one of many prestigious positions he held in the world of classical music and opera. Solti was awarded 31 Grammy Awards, the most won by any individual in any genre of music. I think it's kind of cool that Solti's name comprises two notes in the solfa scale: sol-ti ..."
"Rose ___, group with the 1977 #1 hit ""Car Wash"".   		5 letters","ROYCE.    	Rose Royce chose the band's name to sound like the Rolls Royce car. Their big break came when they were asked provide the musical score to the 1976 movie ""Car Wash"". The theme song ""Car Wash"" made it to number one, a huge disco era hit."
Glaciation products.   		6 letters,"ARETES.    	An arete is ridge of rock forming the border between to parallel valleys that have been formed by glaciation. If this ridge is rounded, it is called a ""col"". However, if it is ""sharpened"", with rock falling way with successive freezing and thawing, then it is called an ""arete"". Arete is the French word for ""fishbone""."
Subject to an air attack.   		6 letters,"STRAFE.    	We've been using 'strafe' to mean an attack on a ground position from low-flying aircraft since WWII. Prior to that, the word was used by British soldiers to mean any form of attack. It was picked up from the German word for 'punish' as it was used in 'Gott strafe England' meaning, 'May God punish England'."
Like jugs.   		5 letters,"EARED.    	I think the reference here is to the expression ""jug-eared"", applied (unkindly) to someone with ears that stick out like the handle of a jug."
Word in the names of four state capitals.   		4 letters,CITY.    	There are four state capitols with 'City' in their name:
Sheep's genus.   		4 letters,"OVIS.    	The correct taxonomic name for the sheep is Ovie aries, where ""Ovis"" is the genus, and ""aries"" the species."
Not quite round.   		5 letters,OVATE.    	Ovate: egg:shaped.
Form of government.   		6 letters,"POLITY.    	A polity is the form of government of a nation, or perhaps a state, church or organization. Another term for polity might be ""body politic""."
Some iPods.   		5 letters,"NANOS.    	The iPod Nano is the successor to the iPod Mini and was introduced to the market at the end of 2005. There have been seven versions of the Nano to date and the current Nano as well as playing tunes is an FM player, records voice memos, has a pedometer and can connect with external devices (like a heart monitor, maybe) using Bluetooth technology."
City where Einstein was born.   		3 letters,"ULM.    	Ulm is in the south of Germany and sits on the River Danube. Ulm is famous as home to the tallest church in the world, Ulm Minster, a Gothic building with a steeple that is 530 feet tall, with 768 steps to climb. Ulm is also the birthplace of Albert Einstein, and is where the entire Austrian army surrendered to Napoleon after the Battle of Ulm in 1805."
Currency exchange premium.   		4 letters,"AGIO.    	The term agio derives from the Italian ""aggio"" meaning exchange rate, discount, premium. Most often, the agio is defined as the difference between the actual exchange rate and the nominal exchange rate for two currencies. That difference is mainly made up of the service fee for making the exchange."
Sch.   		3 letters,"BYU.    	Brigham Young University (BYU) in Provo, Utah has about 34.000 students on campus making it the largest religious university in the country. The school was founded in 1875 by Brigham Young, then President of the Mormon Church."
Bar activity.   		7 letters,"KARAOKE.    	Karate, means ""open hand"", and the related word ""karaoke"" means ""open orchestra""."
Alternative to Ring Dings.   		6 letters,HO HOS.    	Ho Hos snack cakes were first produced in San Francisco in 1967; not the best thing to come out of the sixties I'd say ...
Like steak tartare.   		3 letters,"RAW.    	When what we call steak tartare was first served in French restaurants in the early 1900s, it was called steak a l'Americaine, would you believe? It was basically raw, seasoned beef mixed with egg yolk. A variant developed, a version of l'Americaine but without the egg yolk, and with tartar sauce served on the side, which was called steak tartare. Over time, the two versions became one, and the steak tartare moniker won out. By the way, if you order steak tartare in Switzerland, I believe you are served horse meat."
"Wii, for one.   		7 letters",CONSOLE.    	The Wii is the biggest-selling game console in the world.
Country capital with the world's tallest building before the Burj Khalifa.   		6 letters,"TAIPEI.    	The building known as Taipei 101, in the capital of Taiwan, is so-called because it has 101 floors. It was the tallest skyscraper in the world from 2004 until 2010, when the Burj Khalifa was completed in Dubai."
Bow respectfully.   		6 letters,"SALAAM.    	The word ""salaam"" is an Anglicized spelling of the Arabic word for ""peace"". It can mean an act of deference, in particular a very low bow."
Things holding up the works?.   		6 letters,EASELS.    	More clever wording ...
Stocking stuff.   		5 letters,LISLE.    	Lisle is a cotton fabric that has been through an extra process at the end of its manufacture that burns off lint and the ends of fibers leaving the fabric very smooth and with a clean edge.
N.J.   		6 letters,"FT LEE.    	Fort Lee, New Jersey is located at the western side of the George Washington Bridge that spans the Hudson River. Fort Lee is known as the birthplace of the motion picture industry. The world's first movie studio was built there by Thomas Edison, a facility known as the Black Maria."
"___ brothers, big political donors.   		4 letters","KOCH.    	Koch Industries is a huge company with diverse interests, but with the oil industry at its core. The company was founded in 1940 by Fred C. Koch. Reportedly, Koch is the second largest privately-held company in the US, after Cargill. Today Koch Industries is owned by two of Fred's sons: Charles and David H. Koch. Famously, the Koch Brothers are known for contributing hundreds of million dollars to conservative political causes and candidates."
North-of-the-border grid org.   		3 letters,"CFL.    	The Canadian Football League was formed back in 1958, and has helped increase the popularity of football in the country, although the sport still lags behind ice hockey."
Coin with a torch on the back.   		4 letters,"DIME.    	The term 'dime', used for a 10-cent coin, comes from the Old French word 'disme' meaning 'tenth part'."
Dame Hess at a piano.   		4 letters,"MYRA.    	Myra Hess was a British pianist, who earned the title of Dame due to her efforts to uphold morale in WWII. During the war, all concerts were suspended due to blackout restrictions, so Myra Hess organized 1700 concerts that took place at lunchtimes throughout the conflict."
Essential principle of Hinduism.   		6 letters,"DHARMA.    	In the context of Buddhism, 'dharma' can mean the collection of teachings and doctrines of the faith. The term is also used to describe proper and correct behavior that maintains the natural order of things."
Trunks.   		5 letters,"TORSI.    	""Torso"" is an Italian word meaning the ""trunk of a statue"", that we imported into English."
It's not allowed in many classrooms.   		3 letters,GUM.    	And not anywhere in this house either ...
Ducks for cover?.   		6 letters,"EIDERS.    	Eiders are large seaducks. Their down feathers are used to fill pillows and quilts, giving the name to the quilt called an ""eiderdown""."
"Timetable, informally.   		4 letters",SKED.    	Schedule (sked)
"Computer innards, for short.   		4 letters","CPUS.    	The Central Processing Unit is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer, that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
Van follower.   		4 letters,"GOGH.    	Vincent Van Gogh was a Dutch post-impressionist painter who seems to have led a very tortured life. He only painted for the last ten years of his life, and enjoyed very little celebrity while alive. Today many of his works are recognized by most of us, and fetch staggering sums in auction houses. Van Gogh suffered from severe depression for many of the final years of his life. When he was only 37, he walked into a field with a revolver, and shot himself in the chest. He managed to get himself back to the inn where he was staying but died there two days later."
"Pericles' domain, in Shakespeare.   		4 letters","TYRE.    	'Pericles, Prince of Tyre' is a play that was written in the Jacobean era. Many experts believe that at least half of the play was written by William Shakespeare, and half by some collaborator."
Meat often served with mint jelly.   		4 letters,"LAMB.    	Mint jelly is the traditional accompaniment for roast lamb in North America. Back in Ireland we serve mint sauce rather than jelly. Mint sauce is made from finely chopped spearmint leaves soaked in vinegar, with a little sugar added. I love mint sauce ..."
Issuer of a 1986 report on pornography.   		8 letters,"ED MEESE.    	Ed Meese was born in Oakland, California, just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service he earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
"""The Young and the Restless,"" e.g.   		4 letters","SOAP.    	'The Young and the Restless' is a soap opera that has been on the air since 1973. It is a sister show to the soap opera 'The Bold and the Beautiful', and so the two series share some actors and characters."
Verdi's very.   		5 letters,"MOLTO.    	""Molto"" is the Italian for ""very""."
Uhuru Park locale.   		7 letters,"NAIROBI.    	Uhuru Park is a city park located near the business district in Nairobi, Kenya. It has been used as a protest site for many years, with the protests sometimes leading to violent suppression."
"Some successful Wharton grads, for short.   		4 letters","CFOS.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia. The school was established in 1881 largely due to a donation from industrialist Joseph Wharton, co-founder of Bethlehem Steel."
End of life as we know it?.   		8 letters,"SILENT E.    	The E on the end of the word ""lif-e"" is SILENT. Nice clue ..."
Channel crosser Gertrude.   		6 letters,"EDERLE.    	Gertrude Ederle was an American swimmer, from New York City. Ederle became the first woman to cross the English Channel, in 1926. Only five men had made the same swim before Ederle, with the fastest crossing being in 16 hours 33 minutes. Ederle blew that record ""out of the water"", arriving in Dover in 14 hours 39 minutes."
Rogers on a ship.   		4 letters,"AYES.    	The term 'roger', meaning 'yes' or 'acknowledged', comes from the world of radio-telephony. The British military used a phonetic alphabet in the fifties that included Roger to represent the letter 'R'. As such, it became customary to say 'Roger' when acknowledging a message, with R (Roger) standing for 'received'."
Org.   		3 letters,AKC.    	The American Kennel Club (AKC) is the organization that handles registration of purebred dogs The AKC also promotes dog shows around the country including the famous Westminster Kennel Club Dog Show.
"These, overseas.   		3 letters","CES.    	""Ces"" is the French word for ""these""."
Actress Merrill.   		4 letters,"DINA.    	Dina Merrill was in 22 movies, including two of my favorites, ""Desk Set"" with Tracy & Hepburn, and ""Operation Petticoat"" with Cary Grant. Nowadays she carries some sway in the business world. Until 2007 she was on the compensation committee of Lehman Brothers, the band that approved all those big bonuses. She probably doesn't talk about that too much these days!"
"Drug kingpin on ""The Wire"".   		5 letters","MARLO.    	I didn't watch the HBO series called ""The Wire"" when it first aired. We ending up buying all five series on DVD and we watched the whole thing a couple of years ago. It's is a great drama series, and I thoroughly recommend it. Personally, I think that HBO produces some of the best dramas on American television."
"Decoration for Gertrude's room in ""Hamlet"".   		5 letters","ARRAS.    	A famous arras is seen in Shakespeare's ""Hamlet"". In one pivotal scene, Polonius is hiding behind a tapestry listening to an argument between Hamlet and Gertrude. Hamlet hears Polonius, mistakes his identity, and stabs wildly through the cloth, killing Polonius. The name ""arras"", used for such a tapestry, comes from the French town of Arras which was famous for the production of fine wall hangings."
Latter-day Saint.   		6 letters,"MORMON.    	Joseph Smith, Jr. published the Book of Mormon in 1830, and founded his church, originally called the Church of Christ, later known as the Church of the Latter Day Saints. Today, the largest of the churches descended from Smith's organization is called the Church of Jesus Christ of Latter-day Saints, with the members of the church referred to as Latter Day Saints. The name ""Mormons"" is just a nickname, derived from the title of Joseph Smith's book."
Oxygen-dependent bacterium.   		6 letters,AEROBE.    	An aerobe is an organism that lives in an environment rich in oxygen. An anaerobe on the other hand does not require oxygen for survival.
Conductor Toscanini.   		6 letters,"ARTURO.    	Arturo Toscanini was an Italian conductor of classical music. Toscanini took up the baton for the first time under sensational circumstances in 1886. He was attending a performance of ""Aida"" in Rio de Janeiro as the assistant chorus master, on a night when a substitute conductor was leading the orchestra. The substitute was in charge because the lead conductor had been forced to step down by striking performers who would not work with him. The disgruntled lead conductor led the audience in booing the unfortunate substitute, forcing him off the stage. Yet another substitute attempted to lead the performance, but he could not overcome the hostility of the crowd. The musicians themselves begged Toscanini to take up the baton, for the first time in his life, simply because he knew the score by heart. After over an hour of mayhem, Toscanini led the company in a remarkable performance to marvelous acclaim. He had just launched his conducting career."
Wrigley sticks?.   		4 letters,"BATS.    	The famous ballpark that is home to the Chicago Cubs was built in 1914. Back then it was known as Weegham Park, before becoming Cubs Park when the Cubs arrived in 1920. It was given the name Wrigley Field in 1926, after the owner William Wrigley, Jr. of chewing gum fame."
