Standoff.   		7 letters,IMPASSE.    	Impasse is a French word for a blind alley or an impassable road.
James who invented the Dual Cyclone vacuum cleaner.   		5 letters,"DYSON.    	Dyson vacuum cleaners do not use a bag to collect dust. James Dyson invented the first vacuum cleaner to use cyclonic separation in 1979, frustrated at the poor performance of his regular vacuum cleaner. As Dyson cleaners do not use bags, they don't have to deal with collection bags that are blocked with fine dust particles, even after emptying. Cyclonic separation uses high speed spinning of the dust-containing air so that the dust particles are thrown out of the airflow into a collection bin. We should buy one ..."
Portmanteau.   		3 letters,"BAG.    	A portemanteau was a large suitcase, one that could be taken apart into two separate pieces. The word 'portemanteau' is French for a 'travelling bag', from 'porter' (to carry) and 'manteau' (a coat, cloak). We also use 'portmanteau' to mean a word that has been melded together from two parts (just like the suitcase). This usage was introduced to the world by Humpty Dumpty in Lewis Carroll's 'Alice's Adventures in Wonderland'. He explained to Alice that the nonsense words in the 'Jabberwocky' poem were actually portemanteau words. For example ""slithy"", from ""slimy"" and ""lithe""."
"""Moon Over Parador"" actress.   		5 letters","BRAGA.    	Sonia Braga achieved fame in her native Brazil playing the title role in the movie ""Gabriela"". There followed roles in American films such as ""Kiss of the Spider Woman"" and ""The Milagro Beanfield War"". She has also played in the Portuguese version of ""Desperate Housewives""."
1964 title role for Tony Randall.   		6 letters,"DR LAO.    	""The Circus of Dr. Lao"" is a novel by Charles G. Finney, first published in 1935. There was a famous film adaptation released in 1964 called ""7 Faces of Dr. Lao"" starring Tony Randall in the title role. Randall wasn't the first choice, as the director wanted Peter Sellers for the part. However, MGM insisted on an American lead, and a great choice it turned out to be."
Hill people.   		4 letters,"POLS.    	There are lots of politicians on Capitol Hill, lots and lots of them ..."
It may be held in battle.   		7 letters,CITADEL.    	A citadel is a fortress built to protect a town or a city. Both the words 'city' and 'citadel' come from the Latin word 'civis' meaning 'citizen'.
Film set workers.   		5 letters,"GRIPS.    	On a film set, grips are the lighting and rigging technicians, with the key grip being the name given to the leader of the whole team. The first 'grips' were technicians that worked in the circus in its early days. The name 'grip' possibly comes from the bags, or grips. in which the technicians carried their tools."
Locale of a 1956 fight for independence.   		7 letters,ALGIERS.    	The Algerian War was a decolonization war fought by Algerian independence movements against the ruling French from 1954 to 1962. One significant conflict in the war was the Battle of Algiers that started in September 1956 with the bombing of the offices of Air France.
Haiti's first democratically elected president.   		8 letters,"ARISTIDE.    	John-Bertrand Aristide is a Haitian native. When he was 29 years old he entered the priesthood, after having studied in Italy, Greece and Israel. He served as a priest in Haiti under the brutal regimes of François 'Papa Doc' Duvalier and his son, Jean-Claude 'Baby Doc'. Aristide became an outspoken critic of the dictators, and many times incurred their wrath. While still a priest, he was elected to the office of president, in the country's first democratic election. Aristide was also an outspoken critic of the church, and in 1994 left the priesthood, getting married 12 months later."
Actress Diana.   		4 letters,DORS.    	I remember Diana Dors in the movies of my youth. She was considered the English equivalent of the 'blonde bombshell' of Hollywood in the fifties. She was so successful early in her career that at the age of 20 she became the UK's youngest registered owner of a Rolls Royce car.
Excavation locale of an ancient Egyptian capital.   		6 letters,"AMARNA.    	Armana is an archaeological site on the east bank of the Nile River in Egypt, almost 200 miles south of Cairo. The ancient city is also known as el-Armana, and Tel el-Armana, although the use of ""Tel"" is apparently incorrect. ""Tel"" commonly appears in names in the region (Arabic for ""hill"") but should not apply to Amarna as the site is perfectly flat."
Second in cmd.   		5 letters,"LIEUT.    	The word ""lieutenant"" come from French, with ""lieu"" meaning ""in place"" and ""tenant"" meaning ""holding"". ""Lieutenant"" then means somebody holding a position in the absence of his or her superior. In America of course ""lieutenant"" is pronounced loo-tenant, whereas back in the British Isles we say ""lef-tenant""."
R&B's ___ Brothers.   		5 letters,"ISLEY.    	The Isley Brothers had the first hit with ""Twist and Shout"", released in 1962."
Cafeteria worker's headgear.   		5 letters,SNOOD.    	A 'snood' is a net or a bag worn over the hair. 'Snood' comes from the Old English word 'snod' meaning a ribbon for the hair.
Mayflower man.   		5 letters,"ALDEN.    	John Alden is said to have been the first person to disembark from the Mayflower and to have set foot on Plymouth Rock in 1620. Alden himself was not a Pilgrim as such, and was a carpenter working on the Mayflower before it sailed. He apparently decided to travel with the ship at the last minute, perhaps in pursuit of the passenger who would become his wife, Priscilla Mullens. Alden ended up in a love triangle with Priscilla and Captain Miles Standish, a relationship which is recounted in the Longfellow poem 'The Courtship of Miles Standish'. John and Priscilla were the parents of a son, John Alden, who was later to be accused during the Salem witch trials."
Ancient Roman coins.   		7 letters,"DENARII.    	The denarius (plural 'denarii') is a small silver coin that was used in Ancient Rome. Derived from the Latin 'deni' meaning 'containing ten', a denarius had the value of ten asses. Today's ""dinar"" is a common coin in the Arab world and is named for the old Roman coin. The dinar name was chosen in the days when Arabs were conquering large swathes of the old Roman Empire."
Place to analyze some crime evidence.   		7 letters,"DNA LAB.    	I've always been fascinated by the fact that the DNA of living things is so very similar across different species. Human DNA is almost exactly the same for every individual (to the degree of 99.9%). However, those small differences are sufficient to distinguish one individual from another, and to determine whether or not individuals are close family relations."
Something delivered in a box.   		5 letters,"PIZZA.    	Pizza was invented in Naples where it has a long tradition that goes back to Ancient Rome. During an 1889 visit to Naples, Queen Margherita of Savoy was served a special pizza that was created with toppings designed to mimic the colors of the Italian flag. The ingredients of tomato (red), mozzarella (white) and basil (green) can still be found together on menus today on a pie usually named Pizza Margherita after the queen. I do love basil on my pizza ..."
Dole's running mate of 1996.   		4 letters,"KEMP.    	Jack Kemp was a Vice Presidential candidate in the 1996 presidential election, on the Republican ticket with Bob Dole. Prior to politics, Kemp played football in the NFL, serving as quarterback and captain of the San Diego Chargers and the Buffalo Bills. Kemp passed away in 2009, and was posthumously awarded the Presidential Medal of Freedom by President Obama."
"""Hamlet"" composer.   		5 letters","LISZT.    	Franz Liszt was the original creator of the single-movement work known as a symphonic or tone poem. A symphonic poem is a musical piece usually based on another work, perhaps a play, story or poem. Liszt wrote the tone poem ""Hamlet"" in 1858, intended to be an introduction to Shakespeare's play. I must admit, it's not a piece that I've ever heard ..."
Astronaut's favorite dessert?.   		8 letters,"MOON PIE.    	Marshmallow cream was developed in 1927. Soon after, workers in the coal mines around Chattanooga, Tennessee started dipping graham crackers in marshmallow cream as a snack. Then a local baker jumped on the idea, and came up with a sandwich made with a marshmallow filling between two round graham crackers. His young grandson remarked that the popped bubbles in the marshmallow (from baking) looked like moon craters, and the Moon Pie was born. I used to love them as a kid, although we called them ""Wagon Wheels"" in our part of the world."
Golfer's gouge.   		5 letters,DIVOT.    	A divot is a chunk of grass and earth that is removed by a golf club while striking the ball. 'Divot' is derived from a Scottish word for a piece of turf or sod used as a roofing material.
"___ Cassidy, 1970s teen heartthrob.   		5 letters",SHAUN.    	Shaun Cassidy is a singer and actor. Cassidy played the role of Joe Hardy in 'The Hardy Boys/Nancy Drew Mysteries' on television in the late seventies. He is the son of actress and singer Shirley Jones and the half-brother of actor/singer David Cassidy who appeared together in 'The Partridge Family'.
Walrus-skin boat.   		5 letters,"UMIAK.    	The umiak is a type of boat used by Eskimo people. The term ""umiak"" means ""woman's boat"", whereas ""kayak"" means ""man's boat""."
Lead/tin alloy.   		5 letters,TERNE.    	Terne is used as a rust-protecting coat for steel.
Harris's uncle.   		5 letters,REMUS.    	Uncle Remus is the fictional narrator who was chosen by Joel Chandler Harris to tell his collection of African American folktales.
Toothpaste brand once advertised as having the secret ingredient GL-70.   		5 letters,"GLEEM.    	Gleem is a Proctor & Gamble brand of toothpaste. The original formulation was introduced back in 1952, with a mystery ingredient called GL-70 which had a unique ability to fight mouth odor and tooth decay. No one seems to know what GL-70 is, or if it in fact existed at all! Gleem II was introduced in 1969 in attempt to revitalize sales. It seemed to work. Must have been the green sparkles ..."
Mount for the god Neptune.   		8 letters,"SEAHORSE.    	Neptune was the Roman god of the water and the sea. He is often depicted astride a seahorse, and was worshipped by the Romans as the god of horses and was the patron of horse-racing."
Vladimir of Russia.   		5 letters,"PUTIN.    	Vladimir Putin became acting President of Russia at the very end of 1999 when Boris Yeltsin resigned. Putin was elected in his own right in 2000, re-elected in 2004, and then ran up against a term limit in 2008. In 2008 Putin was appointed by his successor, President Dmitry Medvedev, to the position of Prime Minister. Putin is a controversial figure, inside and outside Russia. On the one hand he led the country out of an economic crisis into a period of stability and relative prosperity. On the other hand he has been associated with government corruption and accused of allowing private concerns to have undue influence on government actions."
Vasco da Gama's departure point.   		6 letters,"LISBON.    	Vasco da Gama left on his first voyage of discovery in 1497, leaving Lisbon with four ships. He journeyed around the Cape of Good Hope, the southernmost tip of Africa, and across the Indian Ocean making landfall in India. Landing in India, his fleet became the first expedition to sail directly from Europe to the sub-continent. Vasco da Gama was well known for acts of cruelty, especially on local inhabitants. One of his milder atrocities was inflicted on a priest who he labelled as a spy. He had the priest's lips and ears cut off, and sent him on his way after having a pair of dog's ears sewn onto his head."
"Opposite of ppp, on scores.   		3 letters","FFF.    	The musical term 'pianissimo' is abbreviated to 'pp', and is an instruction to the performer to sing or play very softly. The concept can be extended to 'ppp', short for 'pianississimo', an instruction of play even more softly. The opposite instructions are fortissimo (ff) and fortississimo (fff), instructions to perform very loudly, and even more loudly."
"Caesar's ""these"".   		4 letters","HAEC.    	The Latin word for ""this"" is either 'hic' (masculine, plural 'hi'), 'haec' (feminine, plural 'hae') or 'hoc' (neuter, plural 'haec')."
Brooklyn's ___ Island.   		5 letters,"CONEY.    	Cony, or coney, is an old English word for rabbit or rabbit fur, and Coney Island in New York takes its name from the same root. The Dutch used the name ""Conyne Eylandt"" (Rabbit Island) after the large population of rabbits that was hunted there."
TV mother of Pebbles.   		5 letters,"WILMA.    	Pebbles is the daughter of Fred and Wilma Flintstone from the cartoon series 'The Flintstones'. Pebbles gets her name from her mother, whose maiden name is Pebble."
Onetime billionaire investor Laurence.   		5 letters,"TISCH.    	Laurence Tisch was the CEO of CBS from 1986 to 1995. Along with his brother Bob Tisch, Laurence owned a big chunk of the Loews Corporation."
"Streisand, familiarly.   		4 letters","BABS.    	Barbara Streisand has recorded 31 top-ten albums since 1963, more than any other female recording artist. In fact, she has had an album in the top ten for the last five decades, a rare achievement in itself."
Company that originated Frisbees and Boogie Boards.   		6 letters,"WHAM-O.    	The Frisbee concept started back in 1938 with a couple who had an upturned cake pan that they were tossing between each other on Santa Monica Beach in California. They were offered 25 cents for the pan on the spot, and as pans could be bought for 5 cents, the pair figured there was a living to be earned."
Electronic storage device.   		6 letters,"CD-ROM.    	CD-ROM stands for ""compact disc read only memory"". That means you can read information from the disc (like a standard music CD for example), but you can't write to it. You can also buy a CD-RW, which stands for ""compact disc - rewritable"", with which you can read data and also write over it multiple times using a suitable CD drive."
1/20 tons: Abbr..   		4 letters,"CWTS.    	In the very sensible country of America, a hundredweight is 100 pounds. In the UK, of course a hundredweight has to be 112 pounds. The hundredweight is also called a centum weight, which explains the abbreviation used: cwt."
Sail supports.   		5 letters,"BOOMS.    	On a sailboat, the boom is the spar that runs along the bottom of a sail."
Moscow ballet company.   		7 letters,"BOLSHOI.    	The Bolshoi Ballet company is based in Moscow, Russia. The Bolshoi company has over 200 dancers, making it by far the biggest ballet company in the world. I am very proud to say that I have had the privilege to attend a performance of the Bolshoi in the beautiful Bolshoi Theater in Moscow, Russia about a decade ago ..."
Moves like a tosspot.   		5 letters,REELS.    	Drunks have been referred to as tosspots since the mid-1500s.
"""My friend,"" in Marseille.   		7 letters","MON AMI.    	Marseille (often written 'Marseilles' in English) is the second largest city in France, after Paris. It's also the largest commercial port in the country. I used to live nearby, and it's a lovely, lovely place."
Bad thing to bust in.   		10 letters,"TWENTY-ONE.    	The game of ""twenty-one"" was first referred to in a book by Cervantes, the author famous for writing ""Don Quixote"". He called the game ""ventiuna"" (Spanish for ""twenty-one""). Cervantes wrote his story just after the year 1600, so the game has been around at least since then. Twenty-one came to the US but it wasn't all that popular so bonus payments were introduced to create more interest. One of the more attractive bonuses was a ten-to-one payout to a player who was dealt an ace of spades and a black jack. This bonus led to the game adopting the moniker ""Blackjack""."
"""Can't beat that contract"".   		6 letters","I PASS.    	Someone can ""pass"" on a contract, particularly when playing bridge, the card game."
Bernard with a Ponzi scheme.   		6 letters,"MADOFF.    	Bernie Madoff is serving a 150-year sentence for having operated what is described as the largest Ponzi scheme in history. Basically Madoff took investor's money and instead of investing it in the markets as agreed, he put the money into a bank account. He used some of the money he collected from new investors to pay the older investors the anticipated monthly returns. This worked just fine, until too many investors started looking for the return of the original investment. The money was ""gone"", paid to new investors (and Madoff), so the whole scheme collapsed."
1931 Best Picture.   		8 letters,"CIMARRON.    	'Cimarron' is a 1929 novel by Edna Ferber, adapted into a film of the same name two years later. The novel and movie are set during the Oklahoma Land Rush. Unsettled land back then was known as Cimarron Territory, a familiar name used by settlers, giving Ferber the title for her novel."
Sling mud at.   		7 letters,"ASPERSE.    	To asperse is to spread false charges or make insinuations. The more common term is ""to cast aspersions"". ""To aspere"" comes from the Latin ""aspergere"" meaning ""to sprinkle"". So, ""to asperse"" is also the term used when sprinkling holy water."
"""Easy to Be Hard"" musical.   		4 letters","HAIR.    	The full name of the famed show from the sixties is ""Hair: The American Tribal Love-Rock Musical"". This controversial work outraged many when it was first performed in the sixties, as it attacked many aspects of life at the time. For example, the song ""Air"" is a satirical look at pollution, sung by a character who comes onto the stage wearing a gas mask. The opening lines are ""Welcome, sulfur dioxide. Hello carbon monoxide. The air ... is everywhere"". How things have changed in fifty years said he ... satirically ..."
Actress Woodard.   		5 letters,"ALFRE.    	Alfre Woodard is an actress from Tulsa, Oklahoma. Woodard was nominated for an Oscar for her performance in the 1983 film 'Cross Creek'. Off the stage and screen she is very active in the Democratic Party."
"Ado Annie, e.g.   		3 letters","GAL.    	Ado Annie is a character in the Rogers and Hammerstein smash hit musical ""Oklahoma!"" Ado Annie was played by Gloria Grahame in the 1955 film. If you don't remember the character, you might remember one of her songs ... ""I Can't Say No""."
Real-estate abbr..   		4 letters,BSMT.    	Basement.
Tennis's Berdych.   		5 letters,TOMAS.    	Tomáš Berdych is a professional tennis player from the Czech Republic.
"""Seinfeld"" episodes, now.   		6 letters","RERUNS.    	""Seinfeld"" aired for nine seasons on NBC, and in 2002 was declared by TV Guide as the ""greatest television program of all time"". After the show completed its run in 1998, each of the main supporting actors made failed attempts to launch new sitcoms. This phenomenon became known as ""the Seinfeld curse"", but Julia Louis-Dreyfus finally managed to break free of it with a successful five-season run in ""The New Adventures of Old Christine""."
Make rhapsodic.   		4 letters,"SEND.    	""To send"" can be used in the slang sense of transporting with delight, carrying one away, like in the 1957 song by Sam Cooke ""You Send Me""."
Eurasian duck.   		4 letters,SMEW.    	The smew is a beautiful-looking duck found right across northern Europe and Asia.
Wordsmith's resource.   		7 letters,"ROGET'S.    	Peter Mark Roget was an English lexicographer. Roget was an avid maker of lists, apparently using the routine of list-making to combat depression, a condition he endured for most of his life. He published his famous thesaurus in 1852, with revisions and expansions being made years later by his son, and then in turn by his grandson."
Partner of legis.   		4 letters,"EXEC.    	The principle of 'separation of powers' usually leads to three branches of government, the executive, the legislative and the judiciary. The ""three-branch"" model is used in the US and the UK, for example."
Hero makers.   		5 letters,"DELIS.    	""Hero"" is another name for a submarine sandwich. The hero originated in New York City in the 1800s among Italian immigrants who wanted an Italian sandwich that reminded them of home. The name ""hero"" was first coined in the 1930s, supposedly by a food critic in the ""New York Herald Tribune"" when he wrote that ""one had to be a hero"" to finish the gigantic sandwich. Hero is a prevalent term to this day in New York City, reserved for a submarine sandwich with an Italian flavor."
A wee bit.   		8 letters,"ONE IOTA.    	Iota is the ninth letter in the Greek alphabet. We use it to portray something very small, as it is the smallest of all the Greek letters."
Wall St.   		4 letters,"ARBS.    	""Arb"" is short for an arbitrageur, one who profits from the purchase of securities in one market and the subsequent sale in another, hence taking advantage of price discrepancies across markets."
Papal legate.   		6 letters,"NUNCIO.    	The Latin word for ""envoy"" is nuntius. The Vatican usednuntius for the title of Papal Nuncio, or more correctly, Apostolic Nuncio, a permanent representative of the Holy See to a particular state or even to an international organization. In 1961, the Vienna Convention on Diplomatic Relations declared that a Papal Nuncio is an ambassador like those from any other country, and affords them the same rights and privileges."
"Benson of ""Pretty Little Liars"".   		6 letters","ASHLEY.    	Ashley Benson is an actress from Anaheim, California who is best known for playing Abigail Deveraux on the daytime soap 'Days of Our Lives'. She can now be seen on the mystery TV show 'Pretty Little Liars' playing Hanna Marin."
Dice.   		5 letters,"BONES.    	Dice were originally made from 'knucklebones', bones found in the ankles of a sheep. As a result, dice are often referred to as 'bones'."
French-built rocket.   		6 letters,ARIANE.    	Ariane is a launch vehicle used by European space agencies. The Ariane rocket is launched from French Guiana in the northern part of South America.
Hullabaloo.   		6 letters,"BEDLAM.    	Bethlem Royal Hospital is a facility in London in the UK for treating mental illness. The original facility was a hospital way back in the 1300s, and had the name 'Bedlam'. In the 1700s and 1800s the hospital actually made money out of its patients as it charged a penny to members of the public allowing them to visit the hospital and view the unfortunate inmates in their cells. Tens of thousands of such paid visits were made each year. Our word 'bedlam' meaning uproar and confusion is derived from the hospital's name, and it reflects the cruel and inhumane treatment endured by the inmates in days gone by."
Like the language Kalaallisut.   		6 letters,"ESKIMO.    	Kalaallisut is the main dialect of the Eskimo-Aleut language spoken in Greenland and Denmark. It is also referred to as West Greenlandic, and has been the official language of Greenland since 2009."
"First circle of hell in Dante's ""Inferno"".   		5 letters","LIMBO.    	In Dante's account of Hell, the underworld is described as nine circles of suffering located within the Earth. The nine circles are:"
Location of the quadriceps.   		3 letters,"LEG.    	The quadriceps femoris is the muscle group at the front of the thigh. It is the strongest muscle in the human body, and is also the leanest. The 'quads' are actually a group of four muscles in the upper leg, hence the use of the prefix 'quad-'."
___ engine.   		4 letters,"HEMI.    	""Hemi"" is short for ""hemisphere"", and is the name given to an internal combustion engine with hemispherical combustion chambers. Chrysler is famous for using Hemi engines in many of its models."
Anti-apartheid activist Steve.   		4 letters,"BIKO.    	Steve Biko was an anti-apartheid activist in the sixties and seventies in South Africa. Biko died in police custody and came to be viewed as a martyr to the anti-apartheid cause. The 1987 movie 'Cry Freedom' directed by Richard Attenborough tells Biko's story, with Denzel Washington playing the lead."
"""Out of ___"".   		6 letters","AFRICA.    	'Out of Africa' is a Sydney Pollack film released in 1985, starring Robert Redford and Meryl Streep. The storyline is based on the autobiographical book of the same name by Karen Blixen (written under the pen name Isak Dinesen)."
Seaquake sequel.   		7 letters,TSUNAMI.    	'Tsunami' is the Japanese word for 'harbor wave'.
Like the Perseid meteor shower.   		6 letters,"ANNUAL.    	The two most famous meteor showers are the Perseids and Leonids. The Perseid meteor shower is most visible around August 12th each year, and the Leonid meteor shower is most notable around November 17th. The Perseids appear to emanate from the constellation Perseus, and the Leonids from the constellation Leo (hence the names 'Perseids' and 'Leonids')."
It has unbelievable news.   		9 letters,"THE ONION.    	""The Onion"" is a satirical news network, with a print newspaper and a heavy online presence. ""The Onion"" newspaper was founded by two college students at the University of Wisconsin-Madison in 1988. The founders sold the operation a year later for about $20,000. The paper grew steadily until 1996 when it began to publish online and really took off. I think it's worth a tad more than $20,000 today ..."
Cameron who voiced Fiona.   		4 letters,"DIAZ.    	The Hollywood actress Cameron Diaz started out her professional life as a model. Diaz's first acting role was in the 1994 film 'The Mask', starring alongside Jim Carrey."
Summa ___ laude.   		3 letters,"CUM.    	When an academic degree is awarded, a level of distinction can be noted depending on the degree of success achieved by the student. There are three types of honor, each with a Latin name:"
Magna Carta's drafters.   		6 letters,"BARONS.    	The Magna Carta is a landmark document issued in England in 1215. It represents the first time that an English king had to submit to the will of his subjects, a group of barons who sought to limit the powers of the monarchy. In particular the Magna Carta calls out that no freeman could be punished except through the law of the land. And of course, the Magna Carta was an inspiration for the United States Constitution."
2001 Sean Penn film.   		8 letters,I AM SAM.    	'I Am Sam' is a 2001 drama movie starring Sean Penn. Penn plays a man with a developmental disability who is raising a young daughter alone after her mother abandoned the family.
Yalie's cheer word.   		5 letters,"BOOLA.    	'Boola Boola' is a fight song of Yale University that was composed in 1900, although it was based on a song called 'La Hoola Boola' that had been around in the 1800s. The tune of 'Boola Boola' is used by the University of Oklahoma for its fight song, 'Boomer Sooner'."
Company with a 2004 I.P.O.   		6 letters,GOOGLE.    	Google is the most used search engine on the Internet. The Google site now receives over one billion queries every single day. Google.com is the most visited website on the Internet.
Ambitious track bet.   		8 letters,"TRIFECTA.    	To win the bet called an exacta, the bettor must name the horses that finish first and second, in the exact order. The related bet called the trifecta requires naming of the first, second and third-place finishers in the right order."
Origami feature.   		6 letters,CREASE.    	The Japanese word 'origami' is derived from ori (folding) and kami (paper).
Boston pop.   		5 letters,"TONIC.    	A carbonated drink can be called by various names depending on the location. Back in Ireland, believe it or not, a drink like Sprite is called 'lemonade'. In most of the US Northeast, the term 'soda' is used generically, and in the South a 'coke' might not be a cola drink. And the Bostonians apparently used the term 'tonic' generically for a carbonated drink."
Philosopher who was the father of dialectical idealism.   		5 letters,"HEGEL.    	Georg Wilhelm Friedrich Hegel was a German philosopher, one of the founders of the German idealism movement. 'Idealism' in the context of the movement was the principle that objects did not have properties in themselves, but rather that an object's properties depended on the person perceiving the object."
Deli array.   		5 letters,"MEATS.    	The word ""delicatessen"" came into English from the German ""Delikatessen"" meaning delicious (delikat-) to eat (essen)."
St.   		8 letters,"BASILICA.    	The Basilica of St. John Lateran is the cathedral church of Rome. There is a popular misconception that St. Peter's is the cathedral of Rome, but actually it isn't, and instead is termed a papal basilica."
1937 Cole Porter tune.   		7 letters,"ROSALIE.    	""Rosalie"" is a musical written in 1928 by George Gershwin (and others). In 1937, MGM made a film adaptation of the original musical, replacing most of the score though with new songs written by Cole Porter."
Motorola phone.   		5 letters,DROID.    	The Droid is a smartphone from Motorola that is noted for running Google's Android operating system.
Creator of Fearless Fosdick.   		7 letters,AL CAPP.    	Fearless Fosdick' is a comic strip that appears within the Al Capp strip 'Li'l Abner'. 'Fearless Fosdick' is a parody of the 'competing' strip drawn by Chester Gould called 'Dick Tracy'.
Something that's burned.   		3 letters,"DVD.    	The acronym DVD doesn't actually stand for anything these days, although it originally was short for Digital Video Disk. The use of the word ""video"" was dropped as DVDs are no longer limited to storing video content."
Being with une auréole.   		4 letters,"ANGE.    	In French, a halo (auréole) might be seen around the head of an angel (ange)."
Retreats.   		5 letters,"ASYLA.    	""Asylum"" (plural ""asyla"") is a Latin word, meaning ""sanctuary""."
Cosa ___.   		6 letters,NOSTRA.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. Yje Italian authorities established that 'Cosa Nostra' was also used in Sicily when they penetrated the Sicilian Mafia in the 1980s. The term 'mafia' seems to be just a literary invention that has become popular with the public.
50 Cent genre.   		9 letters,"RAP MUSIC.    	Rap star 50 Cent's real name is Curtis James Jackson III, and is from South Jamaica in Queens, New York. 50 Cent had a rough life starting out, first dealing drugs at the age of 12. He dropped his illegal activities to pursue a rap career, but still fell victim to an assailant who pumped nine bullets into him. The alleged shooter was himself shot three weeks later, and died. 50 Cent's alleged attacker was a bodyguard and close friend of Mike Tyson."
Combination of rings?.   		7 letters,"ONE-TWO.    	Thanks to a kind blog reader I now see that a ""one-two"" combination of punches can be seen in a boxing ring."
Pulitzer winner Maureen.   		4 letters,"DOWD.    	Maureen Dowd is a celebrated columnist for ""The New York Times"" as well as a best-selling author. Dowd won a Pulitzer for her columns about the Monica Lewinski scandal."
California's San ___ County.   		5 letters,"MATEO.    	San Mateo is a city located south of San Francisco, just across the other side of the Bay from where I live. San Mateo is Spanish for Saint Matthew."
Relative of S.O.S.   		6 letters,"BRILLO.    	Brillo Pad is a soapy, steel wool pad, patented in 1913. The company claims that the name ""Brillo"" is derived from the Latin word for ""bright"". The problem with the assertion is that no such word exists in Latin, although the prefix brill- is used for words meaning ""bright"" in Italian, French and Spanish."
Sommelier's pick.   		6 letters,"CLARET.    	'Clairet' is a dark rosé wine. Although it is uncommon today, clairet used to be the most common wine produced in the Bordeaux region of France. For centuries now, English consumers have used the derivative term 'claret' to describe all red wine from Bordeaux."
Set of beliefs.   		5 letters,"DOGMA.    	A dogma is a set of beliefs, with the plural being 'dogmata'."
Palindromic auto model.   		5 letters,"CIVIC.    	Introduced in 1972, the Honda Civic is the second-oldest brand of Japanese car made for the US today (only the Toyota Corolla has been around longer). Today's Civic is a compact car, but the original was smaller, and classed as a sub-compact. The first design had a transverse-mounted engine and front-wheel drive to save on space, copying the configuration introduced with the British Mini."
Parisian pig.   		4 letters,PORC.    	'Porc' is the French for pork.
"""Grease"" singer.   		5 letters","VALLI.    	Frankie Valli is a great singer, best known for fronting the Four Seasons in the sixties. Valli had an incredible number of hits, with and without the Four Seasons. The list includes, 'Sherry', 'Big Girls Don't Cry', 'Walk Like a Man', 'Rag Doll', 'My Eyes Adored You' and 'Grease'."
Common blockage locale.   		5 letters,"SINUS.    	In anatomical terms a sinus is a cavity in tissue. Sinuses are found all over the body, in the kidney and heart for example, but we most commonly think of the paranasal sinuses that surround the nose."
Portugal's peninsula.   		6 letters,"IBERIA.    	The Iberian Peninsula in Europe is of course largely made up of Spain and Portugal. However, also included is the Principality of Andorra in the Pyrenees, a small part of the south of France, and the British Territory of Gibraltar."
Name of eight English kings.   		5 letters,"HENRY.    	Henry VIII was of course the English King with the most wives. Well, something rubbed off on his last wife, Catherine Parr. She was to become the English Queen with the most husbands! By the time she married Henry, she had been widowed twice, and after Henry died, she married once again."
"Earworm, e.g.   		4 letters",TUNE.    	'Earworm' is a colloquial term used for a a catchy tune that is also somewhat irritating.
Landmark also known as Kissavos.   		7 letters,"MT OSSA.    	Mt. Ossa in Greece is located between Mt. Pelion in the south, and the famed Mt. Olympus in the north. Mount Ossa is also known as Kissavos."
Rte.   		6 letters,"US ONE.    	US Route 1 runs from Fort Kent in Maine, right down to Key West in Florida."
Rapper West.   		5 letters,"KANYE.    	Kanye West is a rap singer from Atlanta, Georgia. That's all I know ..."
"""Rhoda"" co-star David.   		4 letters","GROH.    	David Groh played Joe Gerard on ""The Mary Tyler Moore Show"" and on ""Rhoda"". Joe is the character married to Rhoda."
The radius extends from it.   		5 letters,"ELBOW.    	The radius and ulna are bones in the forearm. If you hold the palm of your hand up in front of you, the radius is the bone on the ""thumb-side"" of the arm, and the ulna is the bone on the ""pinkie-side""."
Origami design.   		4 letters,BOAT.    	The word origami is derived from ori (folding) and kami (paper).
One-two wager.   		6 letters,"EXACTA.    	To win the bet called an exacta, the person betting must name the horses that finish first and second and in the exact order. The related bet called the trifecta requires naming of the first, second and third-place finishers in the right order."
Tex-Mex topping.   		4 letters,"GUAC.    	Guacamole is one of my favorite dishes, and is made by mashing avocados and perhaps adding the likes of tomato, onion and lime juice. The guacamole recipe dates back as early as the 16th century, to the time of the Aztecs. 'Guacamole' translates as 'avocado sauce'."
"He said ""My reputation, Iago, my reputation!"".   		6 letters","CASSIO.    	Iago is the schemer in Shakespeare's ""Othello"". Iago is a soldier who fought alongside Othello and feels hard done by, missing out on promotion. He hatches a plot designed to discredit his rival Cassio by insinuating that Cassio is having an affair with Desdomona, Othello's wife. By the end of the play it's Iago himself who is discredited and Othello (before committing suicide) apologizes to Cassio for having believed Iago's lies. Heavy stuff ..."
Acela operator.   		6 letters,"AMTRAK.    	The Acela Express is the fastest train routinely running in the US, getting up to 150 mph at times. The service runs between Boston and Washington D.C. via Baltimore, Philadelphia and New York. The brand name ""Acela"" was created to evoke ""acceleration"" and ""excellence""."
Expert.   		5 letters,"MAVEN.    	I've always loved the word ""maven"", another word for an expert. Maven comes into English from the Yiddish ""meyvn"", someone who understands (at least I think it is)."
