"With 61-Across, physicist who studied supersonics.   		5 letters",ERNST.    	(61A. See 13-Down : MACH)
"Kurt Russell's role in ""Tombstone"".   		4 letters","EARP.    	The legendary Western gunfighter and lawman Wyatt Earp has been portrayed on the big and small screen many, many times. Kevin Costner played the title role in 1994's 'Wyatt Earp', and Val Kilmer played Earp in 2012's 'The First Ride of Wyatt Earp'. Joel McCrea had the part in 1955's 'Wichita', and Kurt Russell was Earp in 1993's 'Tombstone'."
A Bobbsey twin.   		3 letters,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979. The title characters were two sets of fraternal twins, one called Bert and Nan (who were 12) and the other called Flossie and Freddie (who were 6)."
"Martini base, maybe.   		3 letters","GIN.    	The name ""martini"" probably takes it name from the ""Martini & Rossi"" brand of dry vermouth, although no one seems to be completely sure. What is clear, is that despite the Martini name originating in Italy, the martini drink originated in the US."
What the Left Bank is a bank of.   		5 letters,"SEINE.    	The famous 'Left Bank' ('La Rive Gauche') of the River Seine in Paris is the river's southern bank. The area south of the river was traditionally quite affluent and was home to artists, students and intellectuals."
Muslim leader.   		4 letters,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
"Writer of the 644-line poem ""Ibis"".   		4 letters",OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets: Horace and Virgil.
Yahoo alternative.   		3 letters,"MSN.    	The Microsoft Network (MSN) used to be an Internet service provider (ISP). These days, MSN is mainly a web portal."
"Shankar who played at the Concert for Bangladesh, 1971.   		4 letters","RAVI.    	Ravi Shankar is perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and is noted for his sitar playing. Also, Shankar is the father of the beautiful pop singer Norah Jones."
Grp.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
___ folder.   		4 letters,"SPAM.    	Apparently the term ""SPAM"", used for unwanted email, is taken from a ""Monty Python"" sketch. In the sketch (which I've seen) the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets of Britain after WWII. So ""SPAM"" is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types (like me) adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
European refusal.   		4 letters,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
Car modified into the Monkeemobile.   		3 letters,"GTO.    	The Monkeemobile was designed in 1966 for the TV show 'The Monkees'. Two of the vehicles were constructed, both modified Pontiac GTOs."
Pasta sauce brand.   		4 letters,"RAGU.    	The Ragú brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
___-Magnon.   		3 letters,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
"John who wrote ""BUtterfield 8"".   		6 letters","O'HARA.    	BUtterfield 8' (note the capitalization of both the 'B' and the 'U') is a film released in 1960 starring Elizabeth Taylor and Laurence Harvey. The title of the movie, and of the John O'Hara novel on which the film is based, is actually a telephone number. Up to the mid-sixties, telephone exchanges were given names rather than numbers. BUtterfield 8 was an exchange in the wealthy Upper East Side of Manhattan, and dialling of BU-8 was equivalent to 28-8, the first three digits of a 7-digit phone number."
Unknown name.   		3 letters,"DOE.    	Though the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. Joe Blow is just a variant of John Doe, and Jane Doe is an unknown female."
British business abbr.   		3 letters,"LTD.    	In Britain and Ireland the most common type of business (my perception anyway) is one that has private shareholders whose liability is limited to the value of their investment. Such a company is known as a private limited company, and has the letters ""Ltd"" after the name. If the shares are publicly traded, then the company is a public limited company, and has the letters ""plc"" after the name."
"Head, for short.   		3 letters","LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a ""lavatory"" came to mean a washroom, and in the 1920s a toilet."
It launched Hotmail in '96.   		3 letters,"MSN.    	My research shows that Hotmail was indeed introduced in 1996, but Microsoft didn't acquire the service until the following year. Soon after the acquisition in 1997, Microsoft made Hotmail part of its MSN group of services."
Artist with the first hip-hop album to carry an explicit content sticker.   		5 letters,"ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow? Then again, maybe not ..."
Playwright O'Casey.   		4 letters,SEAN.    	Seán O'Casey was an Irish playwright noted for his works exploring the plight of the working class in Dublin. O'Casey's most famous works are 'Juno and the Paycock' and 'The Plough and the Stars'.
Italian monk's title.   		3 letters,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
"Paul Anka's ""___ Beso"".   		3 letters","ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and is the name of a hit song recorded by Canadian-born singer Paul Anka."
Alternative to tea leaves.   		5 letters,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
Young's partner in accounting.   		5 letters,"ERNST.    	Ernst & Young is one of the Big Four accountancy firms, alongside Deloitte, KPMG and PricewaterhouseCoopers. Ernst & Young is headquartered in London."
"""Reeling in the Years"" rockers Steely ___.   		3 letters","DAN.    	Steely Dan's heyday was in the seventies when they toured for a couple of years, although the group mainly focused on studio work. The band was formed in 1972 and broke up in 1981. The core of the band reunited in 1993 and they are still going strong today."
Villa d'___.   		4 letters,"ESTE.    	The Villa d'Este is a beautiful villa located in Tivoli near Rome, Italy."
Major component of the euro symbol.   		3 letters,"CEE.    	The euro sign (&#8364) looks like a letter C, but with two horizontal lines drawn across the middle. Inspiration for the design comes from the Greek letter epsilon."
Small French case.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
Fashion monogram.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. Remarkable ..."
River spanned by the Pont Neuf.   		5 letters,"SEINE.    	Paradoxically, Pont Neuf is the oldest bridge standing today that crosses the River Seine in Paris. The paradox is that the name translates to 'new bridge'. The bridge is in two parts, as it crosses from the Left Bank to the Île de la Cité (on which stands Notre Dame) and then from the Île de la Cité to the Right Bank."
Reebok competitor.   		4 letters,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
Usually deleted e-mail.   		4 letters,"SPAM.    	I think it may be true that the term SPAM for unwanted email is taken from a ""Monty Python"" sketch. In the sketch, the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets in Britain after WWII. So SPAM is a term for emails that take over online communication. I can just imagine nerdy Internet types adopting something from a ""Monty Python"" sketch to describe an online phenomenon."
"Yamaha Grizzly, e.g., for short.   		3 letters",ATV.    	All-terrain vehicle (ATV)
"Big ___, Calif.   		3 letters","SUR.    	Big Sur is lovely part of the California Coast, south of Monterrey and Carmel. The name ""Big Sur"" comes from the original Spanish description of the area as ""el sur grande"" meaning ""the big south""."
Energy giant that went bankrupt in 2001.   		5 letters,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. Fastow plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved, and was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty and before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
Rotten egg.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Grimm figure.   		4 letters,"OGRE.    	The Brothers Grimm (Jacob and Wilhelm) were two German academics noted for collecting and publishing folk tales. Among the tales in their marvelous collection are 'Snow White and the Seven Dwarfs', 'Sleeping Beauty' and 'Cinderella'."
Reggae artist ___ Paul.   		4 letters,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
Blood-typing letters.   		3 letters,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which a different set of antigens is labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-Neg can be accepted by recipients with all blood types, AB or O, positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
Princess known as the Defender of the Elijans.   		4 letters,"XENA.    	The Xena character, famously played by actress Lucy Lawless, was introduced in a made-for-TV movie called 'Hercules and the Amazon Women'. Lawless reprised the role in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around her character, with Lawless retained for the role."
"""The Jetsons"" dog.   		5 letters",ASTRO.    	Astro is the pet dog on the animated television show 'The Jetsons'.
Pole or Czech.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
Salinger title girl.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esmé - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
River through Paris.   		5 letters,"SEINE.    	The Seine is the river that flows through Paris. The Seine empties into the English Channel to the north, at the port city of Le Havre."
Singer Young or Sedaka.   		4 letters,"NEIL.    	Neil Young is a singer and songwriter from Toronto, Ontario. Young is known for his solo work, as well as his earlier recordings with Buffalo Springfield and as the fourth member of Crosby, Stills & Nash. Young is also a successful movie director, although he uses the pseudonym 'Bernard Shakey' for his movie work. Included in his filmography are 'Human Highway' and 'Greendale'."
Cigna offering.   		3 letters,HMO.    	Health Maintenance Organization (HMO).
Actor Jannings.   		4 letters,"EMIL.    	Emil Jannings, an actor from Switzerland, was the first person to receive an Oscar. He was the star of the 1928 silent movie called ""The Last Command""."
Quaker cereal grain.   		3 letters,"OAT.    	The Quaker Oats Company was founded in 1901 when four oat mills merged, including the Quaker Mill Company of Ravenna, Ohio. Quaker Mill's owner Henry Parsons Crowell played the key role in the new company and remained at the helm until 1943."
Mosque leader.   		4 letters,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
"Result of a squeeze, briefly.   		3 letters",RBI.    	Run batted in (RBI)
Dye-yielding shrub.   		4 letters,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. The color of anil is relatively close to navy blue."
Brand that has Dibs.   		5 letters,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
English cathedral city.   		3 letters,"ELY.    	Ely Cathedral is a famous and beautiful church in the city of Ely in the county of Cambridgeshire. There is a Gothic door on the north face of the cathedral that was designed by Sir Christopher Wren, the man famous as the architect of St. Paul's Cathedral in London. Christopher Wren had a personal link to the church, as his uncle was the Bishop of Ely."
"It's KOH, chemically.   		3 letters","LYE.    	What we call 'lye' is usually sodium hydroxide (NaOH), although historically the term was used for potassium hydroxide (KOH). Lye has many uses, including to cure several foodstuffs. Lye can make olives less bitter, for example. The chemical is also found in canned mandarin oranges, pretzels and Japanese ramen noodles. More concentrated grades of lye are used to clear drains and clean ovens. Scary ..."
"Roseanne's man on ""Roseanne"".   		3 letters","DAN.    	Actor John Goodman will forever be remembered as Dan Conner, the on-screen husband of Roseanne Barr in the sitcom ""Roseanne"". Goodman went to Missouri State University where he studied drama and was a compatriot of Kathleen Turner. The role that I most enjoyed played by Goodman was Speaker of the House Glen Allen Walken on the great show 'The West Wing'. And right now I am really lapping up his latest show, the Amazon sitcom 'Alpha House'."
Periodic dairy aisle offering.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
Bare peak.   		3 letters,"TOR.    	A tor is a high rocky hill. 'Tor' comes from the Old English 'torr', the word for a tower or rock, which in turn comes from the Old Welsh 'twrr' meaning a heap or a pile."
Ed.'s pile.   		3 letters,MSS.    	An editor (Ed.) has to wade his or her way through a manuscript (MS) that has been submitted.
"Where Charlie may ride forever, in song.   		3 letters","MTA.    	""M.T.A."" was a 1958 hit for the Kingston Trio. The song tells of a man called Charlie who is stuck on board an MTA subway car in Boston. His problem is that ""exit fares"" had been introduced on the system to supplement ""entrance fares"" (true story!), and the man didn't have the extra nickel needed to get off the train."
Bearded one.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
Tiny bit.   		3 letters,"TAD.    	Back in the 1800s a ""tad"" was used to describe a young child, and this morphed into our usage meaning a small amount in the early 1900s. The original use of tad to mean a child is very likely a shortened version of ""tadpole""."
Food label abbr.   		3 letters,CAL.    	CAL: calories.
J.   		4 letters,"OVID.    	J. M. W. Turner was an English painter, notably of watercolor landscapes. Turner had an uncanny ability to portray light in his works, earning him the moniker 'the painter of light'."
College military org.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
"Alert for a fleeing prisoner, in brief.   		3 letters",APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Grand Central org.   		3 letters,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut). MTA might also refer to the Los Angeles County Metropolitan Transportation Authority, which is known as the Metro and sometimes the MTA."
Fleetwood Mac hit.   		4 letters,"SARA.    	Fleetwood Mac was founded in 1967 in London. The band was started by Peter Green, and he chose the name from two friends in former bands (named Fleetwood and McVie). This is despite the fact the drummer's name happens to be Mick Fleetwood."
Flight watchdog agcy.   		3 letters,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
Fish-eating raptor.   		4 letters,"ERNE.    	The ern (sometimes 'erne') is also called the white-tailed eagle, or the sea-eagle."
"David Axelrod or Karl Rove, for short.   		3 letters","POL.    	I've always thought of 'pol' as an abbreviated form for 'politician'. I would have described David Axelrod and Karl Roves as 'pundits' or 'political advisors', and not 'pols', but I suppose a politician is anyone who is actively involved in party politics ..."
Fishing net.   		5 letters,"SEINE.    	A seine is a type of fishing net. It is long, and thin, with floats along one long edge (the top) and weights along the bottom edge so that it hangs down in the water. A seine is usually let out into the water from a boat, as the vessel moves slowly in a circle driving fish into the center of the net."
"""Ars Amatoria"" poet.   		4 letters","OVID.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. He is usually listed alongside the two other great Roman poets, Horace and Virgil."
French possessive.   		3 letters,"SES.    	'Ses' is the French word for 'his', 'her' or 'its', when referring to a group of items."
Sitar master Shankar.   		4 letters,"RAVI.    	Ravi Shankar was perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and was noted for his sitar playing. Shankar was the father of the beautiful singer Norah Jones."
Classic Ford.   		3 letters,"LTD.    	There has been a lot of speculation about what the acronym LTD stands for in the car model known as ""Ford LTD"". Many say it stands for Luxury Trim Decor, and others that it is an abbreviation for ""limited"". Although the car was produced in Australia with the acronym meaning Lincoln Type Design, it seems LTD was originally chosen as just three meaningless letters that sound well together."
Fangorn Forest denizens.   		4 letters,"ENTS.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
"Actress Watts of ""Birdman"".   		5 letters",NAOMI.    	The actress Naomi Watts was born in the UK and moved to Australia when she was 14 years of age. It was in Australia that Watts got her break in television and movies. Probably her most acclaimed role was in the 2003 film '21 Grams' with Sean Penn and Benicio del Toro. Watts is best friends with fellow Australian actress Nicole Kidman.
Young musician?.   		4 letters,"NEIL.    	Neil Young is a singer and songwriter from Toronto, Ontario. Young is known for his solo work, as well as his earlier recordings with Buffalo Springfield and as the fourth member of Crosby, Stills & Nash. Young is also a successful movie director, although he uses the pseudonym 'Bernard Shakey' for his movie work. Included in his filmography are 'Human Highway' and 'Greendale'."
Licorice flavorer.   		5 letters,"ANISE.    	Liquorice (also licorice) and aniseed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
Yahoo! alternative.   		3 letters,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
River into which Joan of Arc's ashes were ordered to be thrown.   		5 letters,"SEINE.    	Joan of Arc (also 'Jeanne d'Arc', her birth name) led the French Army successfully into battle a number of times during the Hundred Years War with England. When she was eventually captured, Joan was tried in Rouen, the seat of the occupying English government in France at that time. There she was burned at the stake having been found guilty of heresy. In fact, after the fire died down, the executioner raked the coals to display the charred body, proving Joan had died, and then burned the corpse again, twice, so that relics could not be collected. The remaining ashes were then cast into the Seine River. Joan of Arc was canonized some 600 years later, in 1920, and is now one of the patron saints of France."
Mille & ___ Roses (Lancôme perfume).   		3 letters,"UNE.    	Lancôme Paris is a brand of makeup. Founded in 1935, the name Lancôme comes from the name of an old French castle, the Château de Lancosme."
British earldom.   		5 letters,ESSEX.    	The title of Earl of Essex has been in use in England since the 12th century.
"""___ Smile"" (1976 top 5 hit).   		4 letters",SARA.    	'Sara Smile' was the first US Top 10 hit for the duo Hall & Oates.
Union ___: Abbr..   		3 letters,"STA.    	There are quite a few railroad stations called ""Union Station"" in the US. This is because the generic ""union station"" is one built by two or more railroad companies acting in concert or ""union"", sharing tracks and facilities. "
Multimillion-selling band from Australia.   		5 letters,"AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
Tombstone lawman.   		4 letters,"EARP.    	Wyatt Earp is famous as one of the participants in the gunfight at the O.K. Corral. Earp was a city policeman in Wichita, Kansas and also in Dodge City, Kansas. Earp was also deputy sheriff in Tombstone, Arizona where the O.K. Corral gunfight took place. Years later, Earp joined the Alaska Gold Rush and with a partner built and operated the Dexter Saloon in Nome."
"Salinger's ""For ___ - With Love and Squalor"".   		4 letters","ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Muslim scholar.   		4 letters,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
Licorice flavoring.   		5 letters,"ANISE.    	Liquorice (also licorice) and aniseed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
Cook in charge of 110-Across.   		3 letters,TIM.    	(110A. See 44-Across : APPLE)
Coll.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
"""Making something out of nothing and selling it,"" per Frank Zappa.   		3 letters","ART.    	Frank Zappa was an American composer and guitarist, a solo artist as well as the founding member of the rock band Mothers of Invention. You might like to meet his four children: Moon Unit, Dweezil, Ahmet Emuuka Rodan, and Diva Thin Muffin Pigeen."
"The Cavs, on sports tickers.   		3 letters","CLE.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970. The team plays at the Quicken Loans Arena in downtown Cleveland, a facility that the locals refer to as 'the Q'."
Publisher of World of Work mag.   		3 letters,ILO.    	'World of Work' magazine is a periodic publication of the International Labor Organization (ILO).
"Linkletter who hosted TV's ""House Party"".   		3 letters","ART.    	Art Linkletter hosted ""House Party"" for 25 years, starting out on radio before it became established on television. Linkletter also had a strong connection with the world of Disney. He provided commentary for the opening day celebrations of Disneyland in 1955, and then in 2005 opened the celebrations for the park's fiftieth anniversary, when he was 93 years old. Linkletter was also a personal friend of Walt Disney."
Player of Fin Tutuola on TV.   		5 letters,"ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow? Then again, maybe not ... Ice-T has been interested in acting for decades and made his film debut in the 1984 movie about break-dancing called 'Breakin''. He has also played Detective Fin Tutuola in the TV show 'Law & Order: Special Victims Unit' since the year 2000."
Grp.   		3 letters,"USO.    	The United Service Organization was founded in 1941 at the request of FDR, ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is a tour by a troupe of entertainers, many celebrities, to troop locations, often including combat zones."
Blood-typing syst.   		3 letters,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which other antigens are labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same as that of the recipient, as incompatible blood cells can be rejected by the recipient. However, blood type O-Neg can be accepted by recipients with all blood types, AB or O, positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
Letters after 33 or 45.   		3 letters,"RPM.    	The first vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP) 33 1/3 rpm disc was introduced by Columbia Records many years later in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
Air safety org.   		3 letters,"FAA.    	The Federal Aviation Administration (FAA) was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
Campaign/election analyst ___ Silver.   		4 letters,"NATE.    	Nate Solver is a statistician who first gained notoriety by developing a forecasting system that predicted the future performance of baseball players. He then made a name for himself in the world of politics by predicting the outcome of the 2008 US presidential race. Silver successfully predicted the outcome of the election in 49 of the 50 states, missing out on Indiana, which Barack Obama won by less than 1% of the vote."
Cousin of a kite.   		4 letters,"ERNE.    	The ern (sometimes 'erne') is also called the white-tailed eagle, or the sea-eagle."
Pharmaceutical-approving grp.   		3 letters,FDA.    	The Food and Drug Administration (FDA) was in effect created by the Food and Drug Act signed into law by President Theodore Roosevelt in 1906.
Kit ___ bar.   		3 letters,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
One-named rapper-turned-actor.   		5 letters,"ICE-T.    	Rapper Ice-T must be sick of having his name come up as an answer in crossword puzzles. Maybe he should have stuck to his real name, Tracy Marrow? Then again, maybe not ... Ice-T has been interested in acting for decades and made his film debut in the 1984 movie about break-dancing called 'Breakin''. He has also played Detective Fin Tutuola in the TV show 'Law & Order: Special Victims Unit' since the year 2000."
City on the Ouse.   		3 letters,"ELY.    	Ely is a city in the county of Cambridgeshire in England, and home to the beautiful Ely Cathedral."
Means of divination.   		5 letters,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future. The list of tarot cards includes the Wheel of Fortune, the Hanged Man and the Lovers."
"Murals, e.g.   		3 letters",ART.    	A 'mural' is a painting that is applied directly to a wall or a ceiling. The term comes from the Latin 'murus' meaning 'wall'.
Inside-the-Beltway expert.   		3 letters,POL.    	Politician (pol.)
Onetime Mideast abbr..   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Can opener?.   		3 letters,CEE.    	C (cee) is the opening letter of the word 'can'.
"""Collages"" novelist, 1964.   		3 letters","NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
Professional runner.   		3 letters,POL.    	A politician (pol) usually runs for a seat.
Storybook character.   		4 letters,"OGRE.    	The word ""ogre"" comes from a 1713 translation of ""The Arabian Nights"" in which there figures a ""hogre"", a man-eating giant."
Urban haze.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
G.I.   		3 letters,"USO.    	The United Service Organization (USO) was founded in 1941 at the request of FDR ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is undertaken by a troupe of entertainers, many of whom are big-name celebrities. A USO tour usually includes troop locations in combat zones."
Czech or Pole.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
Rapper ___ Dogg.   		4 letters,"NATE.    	Nate Dogg was the stage name of rapper Nathaniel Hale from Clarksdale,Mississippi. Nate Dogg is no longer with us as he died at the age of 41 after suffering multiple strokes."
Sewing accessory.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
"Maureen of ""Miracle on 34th Street"".   		6 letters","O'HARA.    	The beautiful and talented Maureen O'Hara is an Irish actress, famous for her films made with fellow actor John Wayne and the director John Ford. O'Hara was born in a suburb of Dublin called Ranelagh (where many of my own ancestors were born)."
Kind of garden.   		3 letters,"ZEN.    	Japanese Zen gardens are inspired by the meditation gardens of Zen Buddhist temples. Zen gardens have no water in them, but often there is gravel and sand that is raked in patterns designed to create the impression of water in waves and ripples."
"""...   		3 letters","ERE.    	The poem ""A Visit from St. Nicholas"" was published anonymously in 1823, and is better known today by its first line ""'Twas the night before Christmas"". Most scholars believe the poem was written by Clement Clark Moore, a theologian from New York City. Others say that it was written by Henry Livingston, Jr. a poet from Upstate New York."
