Tinker to ___ to Chance (classic double play).   		5 letters,EVERS.    	Baseball's Sad Lexicon' is a poem written by Franklin Pierce Adams in 1910:
Charlie Parker genre.   		3 letters,"BOP.    	Charlie Parker was a Jazz saxophonist, who was often just called ""Bird"" or ""Yardbird"". He was a leader in the development of the style of jazz called ""bebop"", which gained popularity in the forties. Charlie Parker had a rough life outside of music. He was a heroin addict, and a heavy drinker. When he died, the coroner who performed his autopsy estimated his age as between 50 and 60 years old based on the appearance of his body and condition of his organs. He was actually 34-years-old when he died in a New York City hotel room in 1955."
Possible score before a service break.   		6 letters,"AD OUT.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
Drinking songs?.   		7 letters,"KARAOKE.    	""Karate"", means ""open hand"", and the related word ""karaoke"" means ""open orchestra""."
Medium for Biggie Smalls.   		5 letters,"RADIO.    	The Notorious B.I.G. was the stage name of rap star Christopher Wallace, who also went by the names Biggie Smalls and Biggie. While at the height of his fame Wallace was killed in a drive-by shooting in Los Angeles, a murder case that has never been solved. The 2009 movie ""Notorious"" is about Wallace's life and stars fellow rap artist Jamal Woolard (aka Gravy) in the title role."
Plant swelling.   		5 letters,"EDEMA.    	Both animals and plants can suffer from edema, a swelling cause by excessive accumulation of fluid."
Exemplar of indecision.   		6 letters,"HAMLET.    	To be, or not to be, that is the question:"
"Last band in the Rock and Roll Hall of Fame, alphabetically.   		6 letters","ZZ TOP.    	In the blues rock band ZZ Top, the hairy guitar players are Billy F. Gibbons and Dusty Hill. The relatively clean-shaven drummer is ... wait for it ... Frank Beard ..."
"Part of the British Isles, poetically.   		6 letters","SCOTIA.    	'Scotia' has been the Latin word for 'Scotland' since the Middle Ages. Paradoxically, the Ancient Romans used the name 'Scotia' for the island of Ireland. The meaning mutated over the centuries."
Autonomous part of Ukraine.   		6 letters,"CRIMEA.    	Considering that the Crimea was the site of the Charge of the Light Brigade as well as the Yalta conference towards the end of World War II, I am ashamed to say that until fairly recently I could not pinpoint the Crimea on a map. I'm even more ashamed to say that I didn't realize it is an extremely distinctively shaped peninsula, lying south of the Ukraine and jutting into the Black Sea."
Quaker cereal.   		4 letters,"OH'S.    	There used to be two varieties of Oh's made by Quaker Oats Company. One was Honey Nut Oh's, later known as Crunchy Nut Oh's, but it was phased out. The second type was called Crunchy Graham Oh's, and is still available today as Honey Graham Oh's."
Procrastinator's response.   		6 letters,"MANANA.    	The day after today (hoy) is tomorrow (mañana), in Spanish."
"Response to ""Gracias"".   		7 letters","DE NADA.    	""Nada"" is the Spanish word for ""nothing"". ""De nada"" translates literally from the Spanish as ""of nothing"", and is used to mean ""you're welcome"" or ""don't mention it"". The French have the same expression ""de rien"", also translating to ""of nothing"" and used the same way."
Eye parts.   		5 letters,UVEAS.    	The uvea is the middle of the three layers that make up the eyeball.
Beverage brand portmanteau.   		6 letters,NESTEA.    	Nestea is a brand of iced tea made by Nestlé. 'Nestea' is a portmanteau of 'Nestlé' and 'tea'.
"37 bout results for Muhammad Ali, informally.   		3 letters","KOS.    	Muhammad Ali won 56 professional fights, 37 of which were knockouts. He lost 5 fights, 4 being decisions and one being a technical knockout (TKO). The TKO-loss was Ali's second-last fight, against Larry Holmes. By the time Ali took on Holmes, he was already showing signs of Parkinson's Syndrome, although the diagnosis would not come until four years later. Ali turned out for his last two fights largely because he needed the money. A sad end to a career, I'd say ..."
Double ___ Oreos.   		4 letters,"STUF.    	Double Stuf Oreo was introduced in 1975, and it has twice the normal amount of white cream filling as the original cookie."
Fizzy drink measure.   		5 letters,"LITRE.    	'Fizzy drink' is a term often used for soda, especially in the UK."
"Alternative to the pill, briefly.   		3 letters",IUD.    	It seems that it isn't fully understood how intrauterine devices (IUDs) work. The design that was most popular for decades was a T-shaped plastic frame on which was wound copper wire. It's thought that the device is an irritant in the uterus causing the body to release chemicals that are hostile to sperm and eggs. This effect is enhanced by the presence of the copper.
Very light player.   		9 letters,"IPOD NANO.    	The iPod Nano is the successor to the iPod Mini and was introduced to the market at the end of 2005. There have been seven versions of the Nano to date and the current Nano as well as playing tunes is an FM player, records voice memos, has a pedometer and can connect with external devices (like a heart monitor, maybe) using Bluetooth technology."
Metropolitan region that includes India's capital.   		5 letters,"DELHI.    	New Delhi is the capital city of India. New Delhi resides within the National Capital Territory of Delhi (otherwise known as the metropolis of Delhi). New Delhi and Delhi, therefore, are two different things."
Ernest of country music.   		4 letters,"TUBB.    	Ernest Tubb was a pioneering country music singer and songwriter. Tubb's biggest hit was 'Walking the Floor Over You', which he released in 1941."
Alternatives to Slurpees.   		5 letters,ICEES.    	Icee and Slurpee are brand names of those slushy drinks. Ugh ...
African desert that includes the Skeleton Coast.   		5 letters,"NAMIB.    	The Namib Desert is in Namibia, as one might expect, and and also stretches into part of Angola. It is thought to be the oldest desert in the world, having been arid for over 55 million years."
"Ford featured on ""The Waltons"".   		7 letters","MODEL A.    	The Ford Model A was the original car produced by the Ford Motor Company. The first production run lasted from 1903 to 1904, when it was replaced by the Model C. The name 'Model A' was brought back in 1927 and used for the successor to the Model T."
"Jesus, for one.   		3 letters","JEW.    	Jesus of Nazareth was born a Jew from Galilee, a region in the north of modern-day Israel."
"Who said ""It's not the men in your life that counts, it's the life in your men"".   		8 letters","MAE WEST.    	Comic actress Mae West can be quoted so easily, as she had so many great lines delivered so well. Here are a few:"
___ bar.   		5 letters,HEATH.    	The Heath candy bar is the invention of brothers Bayard and Everett Heath in the 1920s.
"""Property Virgins"" cable channel.   		4 letters","HGTV.    	HGTV first went on air in 1994, as the 'Home, Lawn and Garden Channel'. The name was shortened (the lawn was dropped) soon after, but nowadays it's just known as HGTV."
___ Picchu (Incan site).   		5 letters,"MACHU.    	Machu Picchu is known as ""The Lost City of the Incas"", and it can be visited on a mountain ridge in Peru, 50 miles northwest of the city of Cuzco in the southeast of the country. The name Machu Picchu means ""old peak"". The Inca Trail to Machu Picchu originates about 50 miles from Cuzco on the Urubamba River in Peru. It can take travelers about 5 days to trek the full length of the trail, passing through many Incan ruins before reaching the Sun Gate on Machu Picchu mountain. The trail was becoming greatly overused, forcing the Peruvian government to limit the number of people on the trail each day to 500. Book early ..."
Dresden's state.   		6 letters,"SAXONY.    	Saxony is the most westerly of Germany's sixteen states. The state's largest city is Leipzig, and its capital is Dresden."
"Alcott's ""Aunt ___ Scrap-Bag"".   		4 letters",JO'S.    	Aunt Jo's Scrap-Bag' is a collection of 66 short stories by Louisa May Alcott.
Whse.   		3 letters,CTN.    	One might find a carton (ctn.) in a warehouse (whse.).
Sideways look?.   		8 letters,"EMOTICON.    	An emoticon is a glyph created using text characters, usually to represent facial features, and usually oriented sideways. The emoticon is designed to indicate emotion or attitude. The classic example is the smiley face :-)"
"Fruity red wine, familiarly.   		3 letters",ZIN.    	Zinfandel is my favorite red wine varietal. It amazes me that the rich and heavy red Zinfandel comes from the same grape as does the sweet White Zinfandel.
Many a Rubens subject.   		4 letters,"NUDE.    	Peter Paul Rubens was a Flemish painter who worked in the city of Antwerp in Belgium. When Rubens was 53-years-old, four years after the death of his first wife, he married a 16-year-old girl. It was his young wife who inspired many of the voluptuous figures with whom Rubens became associated later in his career."
Gerund's end.   		4 letters,"-ING.    	A gerund is a form of a verb that can be used as a noun. For example, the gerund of the verb 'to act' is 'acting', as in the phrase 'we really enjoyed the acting'."
Bulldog-like toy.   		3 letters,"PUG.    	The pug is a breed of dog of Chinese origin. Our current family pet is a boxer/pug cross, a good-looking mutt!"
"Big bang maker, informally.   		6 letters",H-BOMB.    	The first successful detonation of a hydrogen bomb was in a test codenamed Ivy Mike. The test was conducted by the US on an atoll in the Pacific Ocean named Enewetak.
"""___ the night before Christmas ..."".   		4 letters","TWAS.    	The poem ""A Visit from St. Nicholas"" was published anonymously in 1823, and is better known today by its first line ""'Twas the night before Christmas"". Most scholars believe that the poem was written by Clement Clarke Moore, a theologian from New York City. Others say that it was written by Henry Livingston, Jr. a poet from Upstate New York."
"Number of Scrabble points for a B, C, M or P.   		5 letters","THREE.    	The game of Scrabble has been around since 1938, the invention of an architect named Alfred Mosher Butts. Butts determined how many tiles of each letter, and the point value of each tile, by analyzing letter distributions in publication like the New York Times."
Capital of Yemen.   		5 letters,"SANAA.    	Sana (also Sanaa) is the capital city of Yemen. Within the bounds of today's metropolis is the old fortified city of Sana, where people have lived for over 2,500 years. The Old City is now a World Heritage Site."
Exam for a future G.P.   		4 letters,MCAT.    	The acronym MCAT stands for the Medical College Admission Test.
Certain hash ingredients.   		6 letters,"IDAHOS.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
Atmospheric features of Mars.   		5 letters,"CIRRI.    	The Martian atmosphere contains large cirrus clouds made up of water-ice. These high, wispy clouds were photographed by the Opportunity rover in 2004."
Still owing.   		3 letters,"SHY.    	To be 'shy' is to be short, lacking. The term originated as gambling slang, meaning to owe money to the pot."
Rock used for flagstones.   		5 letters,SHALE.    	A 'flagstone' is a flat stone that is often used for paving walkways and patios. The term may derive from the Old Norse word 'flaga' meaning 'slab'.
Greek sandwiches.   		5 letters,"GYROS.    	A gyro is a traditional Greek dish, a sandwich made with pita bread containing meat, tomato, onion and tzatziki (a yogurt and cucumber sauce). The meat for gyros is usually roasted on a tall vertical spit and is sliced from the spit as required. The name ""gyro"" comes from the modern Greek word ""gyros"" meaning ""circle"", a reference to the meat turning as it is grilled in a rotating circular motion."
Attic promenades.   		5 letters,"STOAS.    	A stoa was a covered walkway in Ancient Greece. A stoa usually consisted of columns lining the side of a building or buildings, with another row of columns defining the other side of the walkway. The columns supported a roof. Often stoae would surround marketplaces in large cities."
"""Rock and Roll All Nite"" band.   		4 letters",KISS.    	KISS is a hard rock band from New York City. KISS is the group whose band members use all that scary face paint and wear wacky outfits on stage.
"Eleniak of ""Baywatch"".   		5 letters","ERIKA.    	Erika Eleniak is a former Playboy Playmate from Glendale, California. After modeling, Eleniak turned to acting and is perhaps best known for playing Shauni McClain on the TV show 'Baywatch'."
Aromatic seasoning.   		6 letters,"FENNEL.    	Fennel is a hardy perennial plant species in the celery family that is used as a herb. Personally, I can't stand fennel ..."
Tiger's home.   		7 letters,"DETROIT.    	The origins of the Detroit Tigers baseball team's nickname seems a little unclear. One story is that it was taken from the Detroit Light Guard military unit who were known as ""The Tigers"". The Light Guard fought with distinction during the Civil War and in the Spanish-American War. Sure enough, when the Detroit baseball team went into the Majors they were formally given permission to use ""The Tigers"" name by the Detroit Light Guard."
Running shoe brand.   		5 letters,"ASICS.    	ASICS is a Japanese company that produces athletic gear, including running shoes. The name comes from the Latin phrase """"anima sana in corpore sano"" which translates to ""a healthy soul in a healthy body""."
Bosox division.   		7 letters,"AL EAST.    	The Boston Red Sox is one of the most successful Major League Baseball teams and so commands a large attendance, but only when on the road. The relatively small capacity of Boston's Fenway Park, the team's home since 1912, has dictated that every game the Red Sox has played there has been a sell out since May of 2003."
"Like the N.B.A.'s Jason Collins, notably.   		3 letters","GAY.    	Jason Collins is a professional basketball player who was drafted from Stanford University and who last played for the Washington Wizards. Notably, Collins became the first active male athlete in US professional sports to come out as gay, in 2013. Previously, Collins had been in an 8-year relationship with a WNBA player and the two had been engaged, but called off the wedding."
World-weary.   		5 letters,"BLASE.    	'Blasé', meaning 'nonchalant, bored from overindulgence' comes from the French verb 'blaser', meaning ""to satiate""."
"""Animal House"" house.   		4 letters","FRAT.    	The very funny 1978 movie ""Animal House"" has the prefix ""National Lampoon's ..."" because the storyline came out of tales that had already appeared in ""National Lampoon"" magazine. ""Animal House"" was to become the first in a long line of successful ""National Lampoon"" films. The main pledges in the movie are Tom Hulce (Pinto), who later played a magnificent ""Amadeus"", and Stephen Furst (Flounder), later played a regular role on television's ""Babylon 5""."
Deep-sea diver's equipment.   		5 letters,SCUBA.    	The self-contained underwater breathing apparatus (SCUBA) was co-invented by celebrated French marine explorer Jacques Cousteau.
Sidekick of 1960s TV.   		5 letters,"ROBIN.    	The television show ""Batman"" aired from 1966-1968. Burt Ward played Robin opposite Adam West's Batman. Supposedly, Burt Ward was offered the part taken by Dustin Hoffman in ""The Graduate"", but Ward couldn't get out of his contract for the ""Batman"" television series. Holy xxxx, Batman!"
"Wii, e.g.   		7 letters",CONSOLE.    	The Wii is the biggest-selling game console in the world.
"Cameron who directed ""Jerry Maguire"".   		5 letters","CROWE.    	Cameron Crowe was a contributing editor for 'Rolling Stone' magazine before he moved into the world of film, becoming an actor, producer, director and screenwriter. Crowe wrote 'Fast Times at Ridgemont High', and wrote and directed 'Say Anything' and the huge hit 'Jerry Maguire'. He also wrote and directed the semi-autobiographical movie 'Almost Famous', which was released in 2000."
"Like the apparel donned in ""Deck the Halls"".   		3 letters","GAY.    	""Don we now our gay apparel ...'"
"Bank figure, for short.   		3 letters",PIN.    	One enters a Personal Identification Number (PIN) when using an Automated Teller Machine (ATM).
Feats of Keats.   		5 letters,"POEMS.    	The English poet John Keats died in Rome in 1821, and is buried there in the Protestant Cemetery. His last wish was that his grave be marked with a tombstone bearing just the words '""Here lies One whose Name was writ in Water"", and no name nor date. Keats' friends honored his request to some extent, as the words were included on the stone and no name is given. The full epitaph reads:"
Dark wood.   		5 letters,"EBONY.    	Ebony is a dark black wood that is very dense, one of the few types of wood that sinks in water. Ebony has been in high demand so the species of trees yielding the wood are now considered threatened. It is in such short supply that unscrupulous vendors have been known to darken lighter woods with shoe polish to look like ebony, so be warned ..."
Biceps-flexing guys.   		6 letters,"HE-MEN.    	The biceps muscle is made up of two bundles of muscle, both of which terminate at the same point near the elbow. The heads of the bundles terminate at different points on the scapula or shoulder blade. 'Biceps' is Latin for 'two-headed'."
"Mandel of ""America's Got Talent"".   		5 letters","HOWIE.    	Howie Mandel is a Canadian ""funny guy"". He's making a lot of money a few years ago as host of ""Deal or No Deal"", and now as a judge on ""America's Got Talent"". But I remember him from ""St. Elsewhere"" in the eighties, the first American TV show that I started to watch regularly when I moved to the US."
"""Romanian Rhapsodies"" composer.   		6 letters",ENESCO.    	George Enescu (aka Georges Enesco) was a Romanian composer and performer. Enescu's most popular works are two 'Romanian Rhapsodies' (1901-2) and the opera 'Oedipe' (1936).
Punic War agitator.   		4 letters,"CATO.    	Cato the Elder was a Roman statesman, known historically as 'the elder' in order to distinguish him from his great-grandson, Cato the Younger. Cato the Elder's ultimate position within Roman society was that of Censor, making him responsible for maintaining the census, and for supervising public morality. Famously, Cato made several forceful speeches in which he urged the Roman Republic to do battle with her ancient rival Carthage. He ended almost all of his speeches with the phrase 'Carthage must be destroyed'."
Gucci alternative.   		5 letters,"PRADA.    	Prada was started in 1913 as a leathergoods shop in Milan, by the two Prada brothers. One of the brothers, Mario Prada, prevented the female members of his family participating in the company as he didn't believe women should be involved in business (!). When the sexist brother died, his son had no interest in the business so it was his daughter who took over and ran the company for about twenty years, handing it over to her own daughter. I'd say the devil loved that ..."
Privileged few.   		5 letters,"ELITE.    	The 'elite' are the privileges, the chosen few. The term is French (élite), ultimately deriving from the Latin verb 'eligere' meaning 'to choose'."
Celebrity chef Paula known for Southern cuisine.   		4 letters,"DEEN.    	Paula Deen is a celebrity chef from Savannah, Georgia who is noted for her Southern cooking. Deen has been criticized for the amount of salt, fat and sugar in her recipes. The criticism became even more intense when Deen disclosed that she herself has been diagnosed with Type 2 diabetes."
London's ___ Gardens.   		3 letters,KEW.    	Kew Gardens is a beautiful location in southwest London that was formerly known as the Royal Botanic Gardens. Kew Gardens has the world's largest collection of living plants.
"2000s events in North Korea, for short.   		7 letters","N-TESTS.    	North Korea has made three tests of nuclear weapons, in 2006, 2009 and 2013. All tests took place at the Punggye-ri Nuclear Test Site in the very north of the country. Construction started on the test site way back in 1958 with the assistance of the Soviet Union."
"Country addresses, for short.   		4 letters","RFDS.    	Rural Free Delivery (RFD) was started in the US in 1891. Prior to RFD, rural Americans had to travel to the nearest post office to pick up their mail."
Unsubtle performers.   		4 letters,"HAMS.    	The word ""ham"", describing a performer who overacts, is apparently a shortened form of ""hamfatter"" and dates back to the late 1800s. ""Hamfatter"" comes from a song in old minstrel shows called ""The Ham-Fat Man"". It seems that a poorly performing actor was deemed to have the ""acting"" qualities of a minstrel made up in blackface."
Mtg.   		4 letters,SESS.    	A meeting (mtg.) is a session (sess.).
"Womb, jocularly.   		4 letters","OVEN.    	There might be a bun in the oven, a baby in the womb."
"Ritter's co-star on TV's ""8 Simple Rules"".   		5 letters","SAGAL.    	Katey Sagal played Peggy Bundy on ""Married ... with Children"". Later she took over as star of the show ""8 Simple Rules"" in the middle of its run, when John Ritter passed away unexpectedly in 2003. More recently, Sagal has been appearing on the FX drama 'Sons of Anarchy'. In 2004, she married Kurt Sutter who created the 'Sons of Anarchy' series."
Word before boss or bull.   		3 letters,"PIT.    	A pit boss (also 'pit manager') is a casino employee who works as a supervisor overseeing several floorpersons, who in turn supervise several dealers."
Paving block.   		4 letters,"SETT.    	A sett is a small rectangular paving stone with a rounded top used to make a road surface. It's like a cobblestone, I think ..."
___ Industries (oil giant).   		4 letters,"KOCH.    	Koch Industries is a huge company with diverse interests, but with the oil industry at its core. The company was founded in 1940 by Fred C. Koch. Reportedly, Koch is the second largest privately-held company in the US, after Cargill. Today Koch Industries is owned by two of Fred's sons: Charles and David H. Koch. Famously, the Koch Brothers are known for contributing hundreds of million dollars to conservative political causes and candidates."
Quaker product.   		4 letters,"OH'S.    	There used to be two varieties of Oh's made by Quaker Oats Company. One was Honey Nut Oh's, later known as Crunchy Nut Oh's, but it was phased out. The second type was called Crunchy Graham Oh's, and is still available today as Honey Graham Oh's."
Fitting conclusion?.   		3 letters,GEE.    	There is a letter G (gee) at the end of the word 'fitting'.
Country with the longest coastline.   		6 letters,"CANADA.    	Measurement of a country's coastline is no trivial task. The coastline paradox tells us that measurements of a coastline's length varies with the distance between points on the coastline at which measurements are taken. So, the length of coastline reported for countries around the world varies depending on the source. However, all sources seem to list Canada as the country with the longest coastline."
Bygone bomber whose name is a call in bingo.   		5 letters,"B-TEN.    	The Martin B-10 bomber entered service in 1934. It was the first bomber to have retractable landing gear, an internal bomb bay and a powered gun turret. It was built for speed and was 50% faster than its predecessor biplane bombers, and at the time of its introduction, the B-10 was so fast it could outpace any fighter in the air."
"1968 to the present, in tennis.   		8 letters","OPEN ERA.    	In the sport of tennis, the Grand Slam tournaments were opened up to professional players, and not just amateurs, in 1968. So, the period since then has been called the Open Era."
Santa Claus-tracking org.   		5 letters,"NORAD.    	The North American Defense Command (NORAD) isn't just a US operation but is a cooperative arrangement between Canada and the United States. The two countries entered into an agreement to establish NORAD in 1958, mainly due to the concern that there would be little or no warning of a missile attack from the Soviet Union that came over the North Pole. NORAD also tracks Santa Claus coming from the North Pole every Christmas, and these days publishes"
"Eniwetok blaster, informally.   		6 letters","H-BOMB.    	There are two classes of nuclear weapons, both of which get the energy for the explosion from nuclear reactions. The first nuclear bombs developed, called atomic bombs (A-bombs), use fission reactions. Uranium nuclei are split into smaller nuclei with the release of an awful lot of energy in the process. The second class of nuclear weapons are fusion bombs. These devices are called thermonuclear weapons or hydrogen bombs (H-bombs). In a fusion reaction, the nuclei of hydrogen isotopes are fused together to form bigger nuclei, with the release of even greater amounts of energy than a fission reaction."
H.S.   		4 letters,GEDS.    	The General Educational Development (GED) tests are a battery of five tests designed to demonstrate that a student has the academic skills of someone who has graduated from an American or Canadian high school.
Poolside sight.   		6 letters,"CABANA.    	Our word 'cabana' comes from the Spanish 'cabaña', the word for a small hut or a cabin."
Follow the party line?.   		5 letters,"CONGA.    	The conga line is a dance that originated as a Cuban carnival march. It became popular in the US starting in the thirties. The dance is apparently named after the Congo region of Africa, and it was originated by slaves who were brought from there to Cuba."
Emulate Bing Crosby.   		5 letters,"CROON.    	The singer Bing Crosby was a great lover of the game of golf. Crosby had just finished up 18 holes on a course in Spain in 1977 when he suffered a massive heart attack on the final green. Crosby's last words were 'That was a great game of golf, fellas.'"
Haggard with 38 #1 country hits.   		5 letters,"MERLE.    	Merle Haggard is a country singer and songwriter whose most famous recording has to be ""Okie from Muskogee"" released in 1969. Haggard will tell you that the song was actually meant as a spoof, but it has become a country ""anthem""."
"Source of the line ""Madness in great ones must not unwatch'd go"".   		6 letters","HAMLET.    	'Madness in great ones must not unwatch'd go"" is a line from the William Shakespeare play 'Hamlet', spoken by King Claudius. One might argue that this quotation advises us keep a careful eye on those we might regard as 'mad', as the line between greatness and insanity can be a fine one."
Where a ducktail tapers.   		4 letters,NAPE.    	The Duck Tail hairstyle was apparently invented in 1940 by a barber in Philadelphia named Joe Cirello. The style calls for the hair to parted at the back and combed around the sides of the head.
"""Airplane!"" star Robert.   		4 letters","HAYS.    	The 1980 movie 'Airplane!' has to be one of the zaniest comedies ever made. The lead roles were Ted Striker (played by Robert Hays) and Elaine Dickinson (played by Julie Hagerty). But it was Leslie Nielsen who stole the show, playing Dr. Barry Rumack. That's my own humble opinion of course ..."
"Dancer Fred Astaire, to Adele.   		4 letters","LEAD.    	Fred Astaire's real name was Frederick Austerlitz. Fred was from Omaha, Nebraska and before he made it big in movies, he was one half of a celebrated music hall act with his sister Adele. The pair were particularly successful in the UK, and Adele ended up marrying into nobility in England, taking the name Lady Charles Cavendish."
Detroit debut of 1903.   		7 letters,"MODEL A.    	The Ford Model A was the original car produced by the Ford Motor Company. The first production run lasted from 1903 to 1904, when it was replaced by the Model C. The name 'Model A' was brought back in 1927 and used for the successor to the Model T."
Wailing Wall pilgrim.   		3 letters,"JEW.    	The Western Wall (also called the Wailing Wall) is a remnant of an ancient wall that surrounded the Jewish Temple in Jerusalem. The wall is a sacred site for the faithful, and has been a place for prayer and pilgrimage for centuries. The term 'Wailing' was assigned in English as many Jewish people came to the site to mourn the destruction of the Temple."
AT&T Stadium feature.   		4 letters,"DOME.    	AT&T Stadium' is a stadium owned by the city of Arlington, Texas that is home to the NFL's Dallas Cowboys. The stadium has a retractable dome roof, and the world's largest column-free interior space."
"James of ""Gunsmoke"".   		6 letters","ARNESS.    	James Arness played the role of Matt Dillon, Marshal of Dodge City, on ""Gunsmoke"" for twenty years. If you count the occasions when he reprised the role for specials, he actually performed as Matt Dillon over five decades. And, did you know that Peter Graves, the actor who played Jim Phelps on ""Mission: Impossible"", his real name was Peter Arness? He and James were brothers."
Like a shrinking violet.   		3 letters,"SHY.    	Someone who is very shy might be described as a 'shrinking violet'. The violet in this case is the flower, and not the girl's name. The plant Viola odorata has been called 'shrinking violet' because of its habit of hugging the ground as it grows."
___-Rooter.   		4 letters,"ROTO.    	The ""Roto-Rooter"" is an invention of Samuel Oscar Blanc. Blanc came up with the idea in 1933 after having to deal with a sewer line in his son's apartment that was blocked with roots from a tree, a common problem. He put together his first version of the device using a washing machine motor, roller skate wheels and a steel cable. The ""rotating rooter"" snaked down the sewer line, and rotating blades at the tip of the cable cut through the troublesome roots. Blanc sold his machine for decades to people who set up their own drain clearing businesses. In 1980 the Blanc family sold the Roto-Rooter company to a Cincinnati concern that started buying up independent franchises that used the Roto-Rooter to create the national service with which we are familiar today. Oh, and my advice is, save yourself the cost of the service call and just rent a machine. That's what I do ..."
1930s heavyweight champ.   		4 letters,"BAER.    	Max Baer was an American Heavyweight Champion of the World in the thirties. Baer held the title for 364 days, and then went into the ring after hardly any training at all against the well-prepared James J. Braddock. Braddock was a huge underdog, and yet emerged victorious after 15 rounds (Braddock is the subject of the 2005 movie ""Cinderella Man""). By the way, Baer's son is Max Baer, Jr., the actor who played Jethro on 'The Beverly Hillbillies'."
Passport producer.   		5 letters,HONDA.    	The Honda Passport SUV was basically the same car as the Isuzu Rodeo. Honda desperately needed an entry into the growing SUV market in the early nineties and so made a deal with Isuzu to use their existing design.
Young boxer.   		3 letters,"PUP.    	The boxer breed of dog (one of my favorites!) originated in Germany. My first dog was a boxer/Labrador mix, a beautiful animal. Our current family dog is a boxer/pug mix, another gorgeous creature."
Complete shutout?.   		7 letters,"EMBARGO.    	'Embargo' and 'blockade' are two similar yet different terms. An embargo is a legal prohibition of trade with a particular country, whilst a blockade is an act of war, a militarily enforced prevention of the movement of goods and services. The term ""embargo"" came into English from Spanish, in the late 16th century."
Traditional flower for a 20th wedding anniversary.   		5 letters,ASTER.    	Here is an excerpt from the list flowers given as gifts on particular wedding anniversaries:
"Frontiersman Boone, informally.   		5 letters","DAN'L.    	Daniel Boone was a pioneer and folk hero. For frontiersman Boone, the frontier was what we now call the state of Kentucky. He led the building of the Wilderness Road through the famous Cumberland Gap in the Appalachians, a route subsequently taken by hundreds of thousands of migrants into Kentucky. Boone fought in the Revolutionary War with distinction, and after the war returned to Kentucky and got himself into land speculation. He became mired in debt, forcing him to emigrate to Missouri to settle down on land that was at that time owned by the French. It was there that he spent the last decades of his life."
Hardly be deadpan.   		5 letters,"EMOTE.    	The term ""deadpan"", slang for an impassive expression, comes from dead (expressionless) and pan (slang for ""face"")."
Joe.   		3 letters,"MUD.    	It seems that no one really knows why we refer to coffee as ""joe"", but we've been doing so since early in WWII."
New tablet of 2011.   		4 letters,NOOK.    	The Barnes & Noble electronic-book reader is called the Nook. The Nook accounts for 10-15% of electronic book readers in the world.
It's known for its varieties.   		5 letters,"HEINZ.    	The Heinz food company is an American concern, based in Pittsburgh, Pennsylvania. The company was founded in 1869, by Henry John Heinz. It was Heinz himself who came up with the marketing slogan of '57 Varieties'. The '57' really doesn't have any relevance to the range of products available as Heinz chose the '5' because it was his lucky number, and the '7' because it was his wife's lucky number."
"Some appliances, for short.   		3 letters","GES.    	The General Electric Company is usually referred to simply as 'GE'. One of the precursor companies to GE was Edison General Electric, founded in 1890 by the inventor Thomas Edison. What we know today as GE was formed two years later when Edison merged his company with Charles Coffin's Thomson-Houston Electric Company. In 1896, GE was selected as one of the 12 companies listed on the newly formed Dow Jones Industrial Average. GE is the only one of the original 12 that is still on that list. I spent over ten years with GE at the beginning of my working career, and in fact it was GE that asked me to transfer to the US back in the 1980s ..."
1971 rock classic inspired by a 12th-century Persian poem.   		5 letters,"LAYLA.    	""Layla"" is one of the great rock anthems of the seventies, released by Derek and the Dominos in December of 1970. It is a masterpiece of composition, with the first half of the song a great vehicle for the guitar-playing talents of Eric Clapton. The second half is a beautifully melodic piano coda (a coda ... taking up half the length of the track!). To top things off we have the ""unplugged"" version recorded by Clapton in 1992, a fabulous and inventive variation on the original."
1983 Tony-winning musical.   		4 letters,"CATS.    	Andrew Lloyd Webber's source material for his hit musical ""Cats"" was T. S. Eliot's ""Old Possum's Book of Practical Cats"". Eliot's collection of whimsical poems was published in 1939, and was a personal favorite of Webber as he was growing up. ""Cats"" is the second longest running show in Broadway history (""Phantom of the Opera"" is the longest and is still running; deservedly so in my humble opinion). my wife and I have seen 'Cats' a couple of times and really enjoyed it ..."
15-time All-Star shortstop Smith.   		5 letters,OZZIE.    	Ozzie Smith is a former professional shortstop. Smith played for the San Diego Padres and the St. Louis Cardinals.
Vietnam's ___ Dinh Diem.   		3 letters,"NGO.    	When France withdrew from French Indochina in the mid-fifties, Ngo Dinh Diem led the movement to create the Republic of Vietnam. In what was regarded as a fraudulent referendum, the new country of Vietnam was formed and in 1955 Diem declared himself its first president. His rule was far from peaceful, and he was assassinated by rivals in 1963."
