MO_?,MOI?.    	'J'accuse!' is the French for 'I accuse!'.
N_SAN,"NISAN.    	Nisan is the first month in the Hebrew ecclesiastical calendar, the month in which Passover falls. Adar is the last month in the same calendar."
BL_B,"BLOB.    	The 1958 horror film ""The Blob"" was the first film in which Steve McQueen had a leading role. The movie wasn't a success at all, until Steve McQueen became a star that is. Using McQueen's name, the movie was re-released and gained a cult following, and was particularly successful at drive-in theaters."
_HAGGY,"SHAGGY.    	""Hirsute"" means ""hairy"". The Latin word ""hirsutus"" means ""rough, shaggy""."
H_AD,HEAD.    	37. See 35-Across : BAND
MO_ART,"MOZART.    	Mozart's Serenade No. 13 for strings in G major, is better known as ""Eine Kleine Nachtmusik"", which translates into ""a little serenade"". Often the more literal English translation of ""a little night music"" is used. It is a delightful piece in four, very recognizable movements, although there is much debate about a ""lost"" fifth movement."
RO_,"ROW.    	The coxswain of a boat is one in charge, particularly of its steering and navigating. The name is shortened to ""cox"" particularly when used for the person steering and calling out the stroke in a competition rowing boat."
ENO_I,"ENOKI.    	Enokitake (also known as enoki) are long, thin white mushrooms often added to soups or salads."
DO_OS,"DODOS.    	The dodo was a direct relative of the pigeon and dove, although the fully-grown dodo was usually three feet tall. One of the reasons the dodo comes to mind when we think of extinction of a species, is that it disappeared not too long ago (last recorded alive in 1681) and humans were the reason for its demise. The dodo lived exclusively on the island of Mauritius and when man arrived, we cut back the forests that were its home. We also introduced domestic animals, such as dogs and pigs, that ransacked the dodo's nests. The dodo was deemed to be an awkward flightless bird and so the term 'dodo' has come to mean a dull-witted person."
_ILAT,"EILAT.    	Eilat the most southerly city in Israel, sitting right at the northern tip of the Red Sea, on the Gulf of Aqaba."
BIGO_,"BIGOT.    	'Bigot' is a French word that back in the late 1500s meant 'sanctimonious person, religious hypocrite'. We use the term today to describe someone who is biased towards his or her own group, and who is intolerant of those outside of that group."
UR_ANE,"URBANE.    	We use 'urbane' today to mean something courteous or refined. Back in the 1500s the term was used in the same way that we now use 'urban'. Those townsfolk thought they were more sophisticated than the countryfolk, and so the usage evolved."
_AVRE,"FAVRE.    	Brett Favre is best known as the former starting-quarterback for the Green Bay Packers. Favre retired in 2010 after playing with the Minnesota Vikings for a short time. Among the many NFL records held by Favre, he has made the most consecutive starts."
RON_O,"RONCO.    	Ronco is a company the builds and sells products mainly for the kitchen. Over the years the company has been closely associated with the '-O-Matic' suffix, especially the ""Veg-O-Matic' vegetable slicer. It is also associated with the phrase 'set it and forget it', which was used for Ronco's Showtime Rotisserie Grill."
ITSPA_,"IT'S PAT.    	The androgynous character known as 'Pat' on 'Saturday Night Live' was played by the comedienne Julia Sweeney. Pat appeared in a 1994 movie called 'It's Pat', which is one of the worst films of all time, or so I am told ..."
A_LE,ABLE.    	'Able' is a synonym of 'capable'.
UP_NN,"UPENN.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia. The school was established in 1881 largely due to a donation from industrialist Joseph Wharton, co-founder of Bethlehem Steel."
_TAMEN,"STAMEN.    	The stamen is the male reproductive organ of a flower. The anther carries the pollen, which is picked up the bee and transfered to from flower to flower."
_YLER,"TYLER.    	John Tyler was the tenth President of the US, and the first to take the office on the death of the incumbent. Tyler's predecessor was President William Henry Harrison, who was in office only 32 days before he died of natural causes. For a while there was a little confusion about the wording in the constitution that covered such an eventuality. There was an argument made that Tyler would continue as Vice-President but would assume the responsibilities of the office of President, in effect as 'Acting President'. However, Tyler proceeded as though he was taking over as President and took the oath of office in his hotel room in Washington. Soon afterwards, Congress declared that Tyler was indeed President, although many continued to dispute the fact. Many of President Tyler's opponents referred to him as 'His Accidency'. His term in office ended in 1845. When the Civil War began in 1861, Tyler sided with the Confederacy and was even elected to the Confederate House of Representatives for the 3rd District of Virginia. President Tyler passed away only a few days after taking his seat in the House. His death was the only one in presidential history that was not recognized in the nation's capital, as he sided with the Confederate States."
AL_TEEN,"ALATEEN.    	Alateen is part of Al-Anon, a support group formed to help people enrolled in Alcoholics Anonymous . Alateen is a 12-step program of recovery for young people who are affected by someone else's drinking."
CALIFORNIAGIR_S,"CALIFORNIA GIRLS.    	""California Girls"" was released in 1965 by the Beach Boys, and reached number three in the ""Billboard"" charts. Twenty years later David Lee Roth recorded a very successful cover version of the song, and it reached exactly the same spot in the charts, number three."
DEA_,"DEAL.    	The New Deal was the series of economic programs championed by President Franklyn D. Roosevelt in response to the Great Depression. The New Deal was focused on three objectives, the '3 Rs':"
STY_E,"STYNE.    	Jule Styne was an English songwriter who made a name for himself in America with a series of popular musicals. Styne wrote a number of famous songs including 'Don't Rain on My Parade' from 'Funny Girl', 'Diamonds Are a Girl's Best Friend' from 'Gentlemen Prefer Blondes', and 'Everything's Coming Up Roses' from 'Gypsy'."
B_ET,"BRET.    	Bret Easton Ellis wrote the original novels that were adapted for the silver screen: ""Less Than Zero"" (1987), ""American Psycho"" (2000) and ""The Rules of Attraction"" (2002)."
DA_O,"DANO.    	Paul Dano is an actor and musician from New York City. I best know him for playing Brian Wilson in 'Love & Mercy', a fascinating film about the Beach Boys."
S_ERS,SEERS.    	Some seers look into their crystal balls.
HE_TH,HEATH.    	The Heath candy bar was created by brothers Bayard and Everett Heath in the 1920s.
T_E,"TIE.    	Railroad ties are usually wooden oblong members used to support and maintain the separation between the rails. Over in Europe we call ties 'sleepers', which I think is a much more colorful term!"
MARIN_,"MARINE.    	Marine's are called jarheads because of their high and tight regulation haircuts, at least that's the story I read ..."
HA_S,"HAYS.    	The 1980 movie 'Airplane!' has to be one of the zaniest comedies ever made. The lead roles were Ted Striker (played by Robert Hays) and Elaine Dickinson (played by Julie Hagerty). But it was Leslie Nielsen who stole the show, playing Dr. Barry Rumack. That's my own humble opinion of course ..."
N_WAGER,"NEW AGER.    	The New Age Movement is a western philosophy that traces its roots back to the early 1800s. The movement focuses achieving the highest human potential as an individual and embraces many traditionally eastern spiritual practices, but eschews all religious doctrines."
R_SAS,"ROSAS.    	""Rosa"", the Spanish for ""rose""."
QU_,"QUE.    	In Spanish, 'que pasa?' literally translates as 'what happened?' but is used to mean 'how have things been going with you?'."
RENT_L,"RENTAL.    	Avis has been around since 1946, and is the second largest car rental agency after Hertz. Avis has the distinction of being the first car rental company to locate a branch at an airport."
BYR_,"BYRD.    	Democratic Senator Robert Byrd passed away in June, 2010. Byrd was the US Senator from West Virginia. He was elected to office in 1959 and retained his seat until his death. Senator Byrd was the longest-serving member in the history of the United States Congress, having served for 51 years."
E_BERG,"EKBERG.    	Anita Ekberg is a Swedish model and actress, famous for her role on the big screen in the 1960 Fellini classic, ""La Dolce Vita"
M_WS,"MAWS.    	'Maw' is a term used to describe the mouth or stomach of a carnivorous animal. ""Maw"" is also used as slang for the mouth or stomach of a greedy person."
OLEO_E,"OLE OLE.    	""Ole Ole Ole!"" is chanted at soccer games by many Spanish speaking (or shouting) fans. I am very proud to claim that the fans of the Irish national team have adopted the chant as their own, and it can be heard practically non-stop when Ireland is playing (with some inventive melody behind it!)."
VEN_,"VENI.    	The oft-quoted ""Veni, vidi, vici"" (I came, I saw, I conquered) was apparently written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
CHAIT_A,"CHAI TEA.    	Chai is a drink made from spiced black tea, honey and milk. ""Chai"" is the Hindi word for ""tea"". We often called tea ""a cup of char"" growing up, with ""char"" being the slang word for tea derived from ""chai""."
_AMRY,"CAMRY.    	The Toyota Camry takes its name from the Japanese word for 'crown'. Toyota management likes the idea of naming their cars after the word 'crown', as they did with the Toyota Crown, followed by the Toyota Corona (Latin for crown) and the Toyota Corolla (Latin for small crown)."
DES_,DESC.    	Descendant
EMI_OR,"E MINOR.    	That fabulous James Bond theme was written by Monty Norman, at least according to the courts. As royalties are a big deal for this oft-played piece, copyright ownership has been disputed twice in legal proceedings. John Barry, who is credited with arranging the theme for the first James Bond movie, ""Dr. No"" has contended that he composed the music himself and didn't just arrange it."
S_JOE,"ST JOE.    	The city of Saint Joseph in Missouri was the westernmost point in the US that was accessible by rail after the Civil War. As such, it was a final stopping-off point as people headed out to the Wild West. The city takes its name from its founder, fur trader Joseph Robidoux. Robidoux apparently like things named after himself and his family, as eight of the main streets downtown were named after his children, and another was named for his second wife."
_ELED,EELED.    	Sniggling is the name of a fishing technique used to catch eels.
M_DD,"MADD.    	Candice Lightner lost her 13-year-old child to a drink driver in 1980. Soon after, Lightner formed the group Mothers Against Drunk Driving (MADD)."
_HOC,CHOC.    	Chocolate Nestle Quik!
COST_,"COSTA.    	The Costa Brava is a section of coast in northeastern Catalonia, Spain stretching from north of Barcelona to the border with France. 'Costa Brava' means 'rugged coast' and was a term first coined in a local newspaper article in 1908."
SHA_,"SHAK.    	""Bartlett's Familiar Quotations"" is a famous reference work containing tons of quotations. Bartlett's was first issued in 1855, and as such is the longest-lived collection of quotations that we have available to us. The book started as a private list of quotes gathered by John Bartlett who ran the University Book Store in Cambridge, Massachusetts. He kept the list as he was always being asked ""who said?"" by customers."
_MPAS,"AMPAS.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards, also known as the ""Oscars"". The root of the name ""Oscar"" is hotly debated, but what is agreed is that the award was officially named ""Oscar"" in 1939."
RO_S,"ROOS.    	The name 'kangaroo' comes from the Australian Aborigine term for the animal. There's an oft-quoted story that the explorer James Cook (later Captain Cook) asked a local native what was the name of this remarkable-looking animal, and the native responded with 'kangaroo'. The story is that the native was actually saying 'I don't understand you', but as cute as that tale is, it's just an urban myth."
_ROLE,"PROLE.    	George Orwell introduced us to the proles, the working class folk in his famous novel ""Nineteen Eighty-Four"". Collectively, the proles made up the section of society known as the proletariat."
DA_E,"DATE.    	Tinder is a matchmaking app that uses Facebook profiles. Users 'swipe' photos of potential matches, either to the right ('like') or to the left ('not interested'). Users who 'match' each other can then chat within the app."
SERI_S,"SERIFS.    	Serifs are details on the ends of characters in some typefaces. Typefaces without serifs are known as sans-serif (from the French word ""sans"" meaning ""without""). Some people say that serif fonts are easier to read on paper, whereas sans-serif fonts work better on a computer screen. I'm not so sure though ..."
VOL_A,"VOLTA.    	Alessandro Volta was the physicist who invented the first battery, way back in 1800. One of Volta's first applications of his new invention was to use a battery (and a very long run of wire between the Italian cities of Como and Milan) to shoot off a pistol from 30 miles away!"
UG_S,"UGGS.    	Uggs are sheepskin boots that originated in Australia and New Zealand. Uggs have sheepskin fleece on the inside for comfort and insulation, with a tanned leather surface on the outside for durability. Ugg is a generic term down under, although it's a brand name here in the US."
Q_C,"QVC.    	The QVC shopping channel was founded in 1986 in West Chester, Pennsylvania. The company now has operations not only in the US but also in the UK, Germany, Japan and Italy. That means QVC is reaching 200 million households. The QVC acronym stands for Quality, Value and Convenience."
EF_ON,"EFRON.    	Zac Efron is an actor from San Luis Obispo, California. Apparently Efron is a heartthrob to 'tweenyboppers'. His big break was in the Disney hit movie 'High School Musical'."
CL_T,"CLOT.    	Thrombolysis is also called ""clot busting"" for obvious reasons. The technique involves the introduction of an enzyme into the bloodstream that acts on the clot to render it soluble in blood plasma."
STEI_,"STEIG.    	Before ""Shrek"" was a successful movie franchise, it was a children's picture book called ""Shrek!"" authored and illustrated by William Steig. The title ""Shrek!"" came from teh German/Yiddish word Schreck, meaning ""fear"" or ""terror""."
B_DS,"BVDS.    	The men's underwear known as BVDs are made by the Bradley, Voorhees & Day. The company was started in 1876 to make bustles for women, and is named for its founders."
PA_E,"PAGE.    	The use of the word ""page"" to denote a messenger boy dates back to about 1300, when a page was a youth preparing to be a knight. The word comes into English via French from the Latin ""pagius"" meaning ""servant""."
APRO_,APRON.    	The apron of a stage (if it has one) is that part which projects out into the audience.
_TRA,OTRA.    	Modern-day Aragón is an autonomous community in the northeast of Spain. The region is named for the medieval Kingdom of Aragón.
LES_,"LEST.    	""Lest"", meaning ""for fear that"" is a contraction of the expression ""whereby less that""."
SAUC_,SAUCE.    	Barbecue sauce sticks to the ribs on your plate ...
_EORG,"GEORG.    	Sir Georg Solti was a great Hungarian-British conductor, who spent 22 years as music director of the Chicago Symphony, one of many prestigious positions he held in the world of classical music and opera. Solti was awarded 31 Grammy Awards, the most won by any individual in any genre of music. I think it's kind of cool that Solti's name comprises two notes in the solfa scale: sol-ti ..."
ROYC_,"ROYCE.    	Rose Royce chose the band's name to sound like the Rolls Royce car. Their big break came when they were asked provide the musical score to the 1976 movie ""Car Wash"". The theme song ""Car Wash"" made it to number one, a huge disco era hit."
AR_TES,"ARETES.    	An arete is ridge of rock forming the border between to parallel valleys that have been formed by glaciation. If this ridge is rounded, it is called a ""col"". However, if it is ""sharpened"", with rock falling way with successive freezing and thawing, then it is called an ""arete"". Arete is the French word for ""fishbone""."
STR_FE,"STRAFE.    	We've been using 'strafe' to mean an attack on a ground position from low-flying aircraft since WWII. Prior to that, the word was used by British soldiers to mean any form of attack. It was picked up from the German word for 'punish' as it was used in 'Gott strafe England' meaning, 'May God punish England'."
EAR_D,"EARED.    	I think the reference here is to the expression ""jug-eared"", applied (unkindly) to someone with ears that stick out like the handle of a jug."
CIT_,CITY.    	There are four state capitols with 'City' in their name:
OVI_,"OVIS.    	The correct taxonomic name for the sheep is Ovie aries, where ""Ovis"" is the genus, and ""aries"" the species."
OVA_E,OVATE.    	Ovate: egg:shaped.
_OLITY,"POLITY.    	A polity is the form of government of a nation, or perhaps a state, church or organization. Another term for polity might be ""body politic""."
NANO_,"NANOS.    	The iPod Nano is the successor to the iPod Mini and was introduced to the market at the end of 2005. There have been seven versions of the Nano to date and the current Nano as well as playing tunes is an FM player, records voice memos, has a pedometer and can connect with external devices (like a heart monitor, maybe) using Bluetooth technology."
_LM,"ULM.    	Ulm is in the south of Germany and sits on the River Danube. Ulm is famous as home to the tallest church in the world, Ulm Minster, a Gothic building with a steeple that is 530 feet tall, with 768 steps to climb. Ulm is also the birthplace of Albert Einstein, and is where the entire Austrian army surrendered to Napoleon after the Battle of Ulm in 1805."
AGI_,"AGIO.    	The term agio derives from the Italian ""aggio"" meaning exchange rate, discount, premium. Most often, the agio is defined as the difference between the actual exchange rate and the nominal exchange rate for two currencies. That difference is mainly made up of the service fee for making the exchange."
B_U,"BYU.    	Brigham Young University (BYU) in Provo, Utah has about 34.000 students on campus making it the largest religious university in the country. The school was founded in 1875 by Brigham Young, then President of the Mormon Church."
K_RAOKE,"KARAOKE.    	Karate, means ""open hand"", and the related word ""karaoke"" means ""open orchestra""."
HOHO_,HO HOS.    	Ho Hos snack cakes were first produced in San Francisco in 1967; not the best thing to come out of the sixties I'd say ...
_AW,"RAW.    	When what we call steak tartare was first served in French restaurants in the early 1900s, it was called steak a l'Americaine, would you believe? It was basically raw, seasoned beef mixed with egg yolk. A variant developed, a version of l'Americaine but without the egg yolk, and with tartar sauce served on the side, which was called steak tartare. Over time, the two versions became one, and the steak tartare moniker won out. By the way, if you order steak tartare in Switzerland, I believe you are served horse meat."
CONSOL_,CONSOLE.    	The Wii is the biggest-selling game console in the world.
T_IPEI,"TAIPEI.    	The building known as Taipei 101, in the capital of Taiwan, is so-called because it has 101 floors. It was the tallest skyscraper in the world from 2004 until 2010, when the Burj Khalifa was completed in Dubai."
SAL_AM,"SALAAM.    	The word ""salaam"" is an Anglicized spelling of the Arabic word for ""peace"". It can mean an act of deference, in particular a very low bow."
_ASELS,EASELS.    	More clever wording ...
_ISLE,LISLE.    	Lisle is a cotton fabric that has been through an extra process at the end of its manufacture that burns off lint and the ends of fibers leaving the fabric very smooth and with a clean edge.
FTLE_,"FT LEE.    	Fort Lee, New Jersey is located at the western side of the George Washington Bridge that spans the Hudson River. Fort Lee is known as the birthplace of the motion picture industry. The world's first movie studio was built there by Thomas Edison, a facility known as the Black Maria."
KO_H,"KOCH.    	Koch Industries is a huge company with diverse interests, but with the oil industry at its core. The company was founded in 1940 by Fred C. Koch. Reportedly, Koch is the second largest privately-held company in the US, after Cargill. Today Koch Industries is owned by two of Fred's sons: Charles and David H. Koch. Famously, the Koch Brothers are known for contributing hundreds of million dollars to conservative political causes and candidates."
C_L,"CFL.    	The Canadian Football League was formed back in 1958, and has helped increase the popularity of football in the country, although the sport still lags behind ice hockey."
D_ME,"DIME.    	The term 'dime', used for a 10-cent coin, comes from the Old French word 'disme' meaning 'tenth part'."
MY_A,"MYRA.    	Myra Hess was a British pianist, who earned the title of Dame due to her efforts to uphold morale in WWII. During the war, all concerts were suspended due to blackout restrictions, so Myra Hess organized 1700 concerts that took place at lunchtimes throughout the conflict."
DHAR_A,"DHARMA.    	In the context of Buddhism, 'dharma' can mean the collection of teachings and doctrines of the faith. The term is also used to describe proper and correct behavior that maintains the natural order of things."
TORS_,"TORSI.    	""Torso"" is an Italian word meaning the ""trunk of a statue"", that we imported into English."
_UM,GUM.    	And not anywhere in this house either ...
EIDER_,"EIDERS.    	Eiders are large seaducks. Their down feathers are used to fill pillows and quilts, giving the name to the quilt called an ""eiderdown""."
_KED,SKED.    	Schedule (sked)
CP_S,"CPUS.    	The Central Processing Unit is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer, that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
GO_H,"GOGH.    	Vincent Van Gogh was a Dutch post-impressionist painter who seems to have led a very tortured life. He only painted for the last ten years of his life, and enjoyed very little celebrity while alive. Today many of his works are recognized by most of us, and fetch staggering sums in auction houses. Van Gogh suffered from severe depression for many of the final years of his life. When he was only 37, he walked into a field with a revolver, and shot himself in the chest. He managed to get himself back to the inn where he was staying but died there two days later."
TYR_,"TYRE.    	'Pericles, Prince of Tyre' is a play that was written in the Jacobean era. Many experts believe that at least half of the play was written by William Shakespeare, and half by some collaborator."
LAM_,"LAMB.    	Mint jelly is the traditional accompaniment for roast lamb in North America. Back in Ireland we serve mint sauce rather than jelly. Mint sauce is made from finely chopped spearmint leaves soaked in vinegar, with a little sugar added. I love mint sauce ..."
ED_EESE,"ED MEESE.    	Ed Meese was born in Oakland, California, just down the road here, and spent 24 years in the office of the Treasurer of Alameda County, the county in which I live. After military service he earned himself a law degree at UC Berkeley. Later, as Chief of Staff for President Reagan, he was instrumental in a famous decision to crack down on student protesters at Berkeley which resulted in one protester dying and a two-week occupation of the city by the California National Guard."
SO_P,"SOAP.    	'The Young and the Restless' is a soap opera that has been on the air since 1973. It is a sister show to the soap opera 'The Bold and the Beautiful', and so the two series share some actors and characters."
_OLTO,"MOLTO.    	""Molto"" is the Italian for ""very""."
_AIROBI,"NAIROBI.    	Uhuru Park is a city park located near the business district in Nairobi, Kenya. It has been used as a protest site for many years, with the protests sometimes leading to violent suppression."
_FOS,"CFOS.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia. The school was established in 1881 largely due to a donation from industrialist Joseph Wharton, co-founder of Bethlehem Steel."
SILE_TE,"SILENT E.    	The E on the end of the word ""lif-e"" is SILENT. Nice clue ..."
EDERL_,"EDERLE.    	Gertrude Ederle was an American swimmer, from New York City. Ederle became the first woman to cross the English Channel, in 1926. Only five men had made the same swim before Ederle, with the fastest crossing being in 16 hours 33 minutes. Ederle blew that record ""out of the water"", arriving in Dover in 14 hours 39 minutes."
A_ES,"AYES.    	The term 'roger', meaning 'yes' or 'acknowledged', comes from the world of radio-telephony. The British military used a phonetic alphabet in the fifties that included Roger to represent the letter 'R'. As such, it became customary to say 'Roger' when acknowledging a message, with R (Roger) standing for 'received'."
A_C,AKC.    	The American Kennel Club (AKC) is the organization that handles registration of purebred dogs The AKC also promotes dog shows around the country including the famous Westminster Kennel Club Dog Show.
CE_,"CES.    	""Ces"" is the French word for ""these""."
DI_A,"DINA.    	Dina Merrill was in 22 movies, including two of my favorites, ""Desk Set"" with Tracy & Hepburn, and ""Operation Petticoat"" with Cary Grant. Nowadays she carries some sway in the business world. Until 2007 she was on the compensation committee of Lehman Brothers, the band that approved all those big bonuses. She probably doesn't talk about that too much these days!"
MAR_O,"MARLO.    	I didn't watch the HBO series called ""The Wire"" when it first aired. We ending up buying all five series on DVD and we watched the whole thing a couple of years ago. It's is a great drama series, and I thoroughly recommend it. Personally, I think that HBO produces some of the best dramas on American television."
_RRAS,"ARRAS.    	A famous arras is seen in Shakespeare's ""Hamlet"". In one pivotal scene, Polonius is hiding behind a tapestry listening to an argument between Hamlet and Gertrude. Hamlet hears Polonius, mistakes his identity, and stabs wildly through the cloth, killing Polonius. The name ""arras"", used for such a tapestry, comes from the French town of Arras which was famous for the production of fine wall hangings."
_ORMON,"MORMON.    	Joseph Smith, Jr. published the Book of Mormon in 1830, and founded his church, originally called the Church of Christ, later known as the Church of the Latter Day Saints. Today, the largest of the churches descended from Smith's organization is called the Church of Jesus Christ of Latter-day Saints, with the members of the church referred to as Latter Day Saints. The name ""Mormons"" is just a nickname, derived from the title of Joseph Smith's book."
AE_OBE,AEROBE.    	An aerobe is an organism that lives in an environment rich in oxygen. An anaerobe on the other hand does not require oxygen for survival.
ARTU_O,"ARTURO.    	Arturo Toscanini was an Italian conductor of classical music. Toscanini took up the baton for the first time under sensational circumstances in 1886. He was attending a performance of ""Aida"" in Rio de Janeiro as the assistant chorus master, on a night when a substitute conductor was leading the orchestra. The substitute was in charge because the lead conductor had been forced to step down by striking performers who would not work with him. The disgruntled lead conductor led the audience in booing the unfortunate substitute, forcing him off the stage. Yet another substitute attempted to lead the performance, but he could not overcome the hostility of the crowd. The musicians themselves begged Toscanini to take up the baton, for the first time in his life, simply because he knew the score by heart. After over an hour of mayhem, Toscanini led the company in a remarkable performance to marvelous acclaim. He had just launched his conducting career."
BAT_,"BATS.    	The famous ballpark that is home to the Chicago Cubs was built in 1914. Back then it was known as Weegham Park, before becoming Cubs Park when the Cubs arrived in 1920. It was given the name Wrigley Field in 1926, after the owner William Wrigley, Jr. of chewing gum fame."
KO_,"KOO.    	Koochie-Koo is slang term, apparently used by girls when talking to boys."
_PUS,"CPUS.    	The Central Processing Unit (CPU) is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
_RMY,"ARMY.    	The Army Black Knights is the name given to the athletic teams of the United States Military Academy. The name was originally ""The Black Knights of the Hudson"", as the academy's football team wore black uniforms and West Point is situated on the Hudson River in New York State."
ROMAN_A,"ROMANIA.    	""Dracula"" is a novel written by the Irish author Bram Stoker and first published in 1897. Dracula wasn't the first vampire of literature, but he certainly was the one who spawned the popularity of vampires in theater, film and television, and indeed more novels. Personally, I can't stand vampire fiction ..."
_ARNE,"MARNE.    	The River Marne runs roughly northwestward for over 300 miles, running into the River Seine just outside Paris. The Marne was the site of two major battles in WWI, one fought in 1914, and one in 1918."
F_IR,"FAIR.    	What we call cotton candy here in the US has some interesting names in the rest of the world. Back in Ireland it's candyfloss, and in France it ""barbe à papa"" (Dad's beard). In Australia it is called fairy floss, which is actually the original name for cotton candy, first used when it was introduced at the St. Louis World's Fair in 1904."
YEAS_,"YEAST.    	Matzo is a unleavened bread, that is very brittle. The bread is crushed, creating Matzo meal that is then formed into balls using eggs and oil as a binder. The balls are usually served in a chicken stock."
SPIC_GIRLS,"SPICE GIRLS.    	Scary Spice (Melanie Brown), Baby Spice (Emma Bunton, and may fave!), Ginger Spice (Geri Halliwell), Posh Spice (Victoria Beckham) and Sporty Spice (Melanie Chisholm)."
LU_E,"LUPE.    	Lupe Fiasco's real name is Wasalu Jaco, an American rapper."
_ENI,"VENI.    	The oft-quoted ""Veni, vidi, vici"" (I came, I saw, I conquered) was apparently written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
_OELOOP,TOE LOOP.    	An Axel is a forward take-off jump in figure skating. It was first performed by Norwegian Axel Paulsen at the 1882 World Figure Skating championships.
NATAL_E,"NATALIE.    	Another clever, deceptively-worded clue. Natalie Merchant is an American musician, who sang for the band 10,000 Maniacs for twelve years, until launching a solo career in 1993."
_OGG,"DOGG.    	The rap star Snoop Dogg's real name is Cordozar Calvin Broadus. He is the most famous protege of the notorious rapper Dr. Dre. Sadly, Snoop Dogg has had numerous run ins with police all round the world, even after he started to live the good life that came with his fame."
_ENNY,"LENNY.    	The 1974 movie called ""Lenny"" is a biopic, about the life of comedian Lenny Bruce (played by Dustin Hoffman). It's a pretty sad tale, with Lenny Bruce finally dying of a morphine overdose in 1966."
Y_LLO,"YELLO.    	Like so many beverages introduced by the Coca-Cola Company, Mello Yello was launched to compete against a successful drink already on the market. Mello Yello first hit the shelves in 1979, designed to take market share from Pepsi Cola's ""Mountain Dew""."
K_TE,"KITE.    	As the wind blows, you can unwind the line tied to your kite."
_IZA,"GIZA.    	Giza is located on the west bank of the Nile, about 20km southwest of Cairo. The nearby Giza Plateau is home to some of the most amazing ancient monuments on the planet, including the Great Pyramid of Giza and the Great Sphinx."
_POCH,"EPOCH.    	The Eocene Epoch lasted from 56 to 34 million years ago, and is noted for the emergence of the first mammals on the planet."
_SJ,"WSJ.    	'The Wall Street Journal' (WSJ) is a daily newspaper with a business bent that is published in New York City by Dow Jones & Company. The WSJ has a larger US circulation than any other newspaper, with 'USA Today' coming in second place."
BR_T,"BRAT.    	The word ""brat"" is a slang term that has been around since the 1500s, and back then it was used for the child of a beggar."
HAGA_,"HAGAR.    	""Hagar the Horrible"" was created by the late Dik Browne, and is now drawn by his son, Chris Browne. ""Hagar the Terrible"" (not ""Horrible"") was the nickname given to Dik by his sons."
_TEVIE,"STEVIE.    	The great musician Stevie Wonder signed up with Motown Records when he was just 11-years-old. He has been remarkably loyal to the label and is still recording with Motown some 50 years later. The level of Stevie Wonder's success is illustrated by his 22 Grammy Awards, the most Grammys awarded to a male solo artist. Wonder was born 6 weeks prematurely, and incomplete development of blood vessels in his eyes caused the retinas to detach leaving him blind soon after birth."
_WN,OWN.    	Bring Your Own Beer/Bottle/Booze (BYOB)
LAYL_,"LAYLA.    	""Layla"" is one of the great rock anthems of the seventies, released by Derek and the Dominos in December of 1970. It is a masterpiece of composition, with the first half of the song a great vehicle for the guitar-playing talents of Eric Clapton. The second half is a beautifully melodic piano coda (a coda ... taking up half the length of the track!). To top things off we have the ""unplugged"" version recorded by Clapton in 1992, a fabulous and inventive variation on the original."
VC_,VCR.    	Video cassette recorder (VCR)
OLME_,OLMEC.    	The Olmec were an ancient civilization that lived in the lowlands of south-central Mexico from about 1500 BC to about 400 BC.
R_BBI,"RABBI.    	The word ""Torah"" best translates as ""teaching"", I am told."
F_RT,FORT.    	Fort McHenry sits on a peninsula in the opening to Baltimore Harbor in Maryland. The fort saw action in the War of 1812 as US forces were successful there in defending an attack by the British Navy. Francis Scott Key was watching the bombardment of Fort McHenry when he was inspired to write the words to 'The Star Spangled Banner'.
ZADOR_,"ZADORA.    	Pia Zadora is an American actress and singer. Her most famous role was in 1982 film ""Butterfly"" in which she got to work with Orson Welles and Stacey Keach. The film was based on the novel ""The Butterfly"" by James M. Cain, and deals with the difficult subject of father-daughter incest."
HONCH_,"HONCHO.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a ""hancho"" is a squad (han) leader (cho)."
AI_GE,"AINGE.    	Danny Ainge is a retired professional basketball and baseball player, now serving as the President of Basketball Operations for the Boston Celtics. Ainge was an outstanding athlete from an early age, and is the only person to be named a high-school All American in the three sports of football, basketball and baseball."
_NGLO,"ANGLO.    	Germanic tribes invaded Great Britain from the early 5th century and created the nation that we now call England. The Anglo-Saxons (sometimes simply 'Saxons'), as these tribes came to be called, held sway in the country until 1066, the year of the Norman Conquest. The Anglo-Saxons were descendants of three Germanic tribes:"
KNE_L,"KNELL.    	The word ""knell"" is used for a solemn ring from a bell, often associated with death or a funeral. ""Knell"" comes the Old English ""cnell"" and is probably imitative in origin, sounding like a peal from a large bell."
MO_EL,"MODEL.    	There are pretty models leaning up against the new models at an auto show, so I hear ..."
_UROPE,EUROPE.    	11. Like most Turks : ASIAN
