One of eight baby teeth.   		5 letters,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
Pâté base.   		4 letters,"FOIE.    	Pâté is a rich spreadable paste made up of a mixture of ground meat and fat, to which various vegetables, herbs and spices may be added. The most famous version of the paste is pâté de foie gras, made from the fattened livers of geese (""foie gras"" means ""fat liver"" in French)."
Philadelphia tourist attraction.   		4 letters,"MINT.    	The first mint in the US was established in 1792 in Philadelphia, which was the nation's capital at that time. The modern Philadelphia Mint was opened in 1969, and is the fourth building used a mint in the city. The facility can produce a million coins in the just half an hour."
"""Peter ___"" (1950s-'60s detective show).   		4 letters","GUNN.    	'Peter Gunn' is a crime drama about a private eye that ran on NBC and ABC in the late fifties and early sixties. The show was created by Blake Edwards, with many episodes being directed by Robert Altman."
1970 John Wayne western.   		8 letters,"RIO LOBO.    	'Rio Lobo' is a Western movie that was released in 1970, starring John Wayne. 'Rio Lobo' is the third film in a trilogy that was directed by Howard Hawks, the other two films being 'Rio Bravo' (1959) and 'El Dorado' (1966). 'Rio Lobo' was the last film that Hawks directed."
Instagram alternative.   		8 letters,"SNAPCHAT.    	Snapchat is a messaging system that allows users to send photos and video clips to a limited list of recipients. The photos and clips, called 'snaps', can be viewed for only a few seconds before they are deleted from the recipient's device and from the Snapchat servers."
"Gambling mecca, with ""the"".   		5 letters",STRIP.    	The Las Vegas Strip is a 4-mile section of Las Vegas Boulevard that is home to many hotels and casinos. Fifteen of the world's twenty-five largest hotels are located on the Las Vegas Strip.
"""The Little Mermaid"" villainess, for one.   		7 letters",SEA HAG.    	The Little Mermaid' is a 1989 animated feature from Disney that is based on the Hans Christian Andersen fairy tale of the same name. It tells the story of a mermaid princess called Ariel who falls in love with the human Prince Eric. Ariel's father is chief merman King Triton.
Caribbean capital.   		6 letters,"HAVANA.    	Havana is the capital city of Cuba. The city was founded by the Spanish in the early 1500s after which it became a strategic location for Spain's exploration and conquest of the Americas. In particular, Havana was used as a stopping-off point for treasure-laden ships on the return journey to Spain."
Ox- tail?.   		4 letters,-IDE.    	Oxides are usually named for the number of oxygen atoms in each molecule of the oxide. Oxides with one oxygen atom are called monoxides (as in carbon monoxide: CO). Oxides with two oxygen atoms are dioxides (as in carbon dioxide: CO2). Oxides with three oxygen atoms are trioxides (as in sulfur trioxide: SO3). Oxides with four oxygen atoms are tetroxides (as in dinitrogen tetroxide: N2O4).
"Each episode of ""Law & Order,"" say.   		4 letters","CASE.    	'Law & Order' ran for many, many years on NBC, from 1990 to 2010. 'Law & Order' is a police drama that spawned a huge franchise of shows both here in the US and overseas. I am probably a bit biased, but my favorite is the version shown in BBC America called 'Law & Order: UK'."
Start of a Beatles refrain.   		8 letters,"OB-LA-DI.    	""Ob-La-Di, Ob-La-Da"" was one of many songs credited to Lennon/McCartney that was actually written by just one of the pair. Paul McCartney wrote this one, a song that John Lennon really did not like at all. Apparently Lennon was quite obstructionist during the recording of the song and even walked out at one point."
Lipton selection.   		4 letters,"TEAS.    	Sir Thomas Lipton was a grocer in Glasgow, Scotland. He founded a tea packing company in North America in 1893, in Hoboken, New Jersey. He was very successful as his blends of tea became popular in the US. Despite the Lipton roots in the UK, Lipton black tea isn't available there, so I've always thought of it as an American brand."
One of die Planeten.   		4 letters,"ERDE.    	In German, the Earth (Erde) is one of the planets (die Planeten)."
"Cornel who wrote ""Race Matters"".   		4 letters","WEST.    	Cornel West is a philosopher, academic and activist who was the first African American to graduate Princeton with a Ph.D. in philosophy."
Smart ___.   		5 letters,"ALECK.    	Apparently the original ""smart Alec"" (sometimes 'Aleck') was Alec Hoag, a pimp, thief and confidence trickster who plied his trade in New York City in the 1840s."
"Type-A friend from ""Friends"".   		6 letters","MONICA.    	Courteney Cox played Monica Geller on the incredibly successful sitcom ""Friends"". Before ""Friends"" she played the girlfriend of Michael J. Fox's character on ""Family Ties"" for a couple of years in the late eighties. Her role in ""Friends"" was her biggest success, no question, when she and her fellow female costars became the highest paid TV actresses ever, earning a million dollars per episode."
Title for Tennyson.   		4 letters,"LORD.    	Alfred, Lord Tennyson was the Poet Laureate during for much of the reign of Queen Victoria. There are many phrases we use today that were first penned by Tennyson, including:"
Aspects.   		5 letters,"MIENS.    	One's 'mien' is one's bearing or manner. ""Mien"" shares the same etymological root as our word ""demeanor""."
Paramount's parent.   		6 letters,VIACOM.    	Media giant Viacom takes it's name from the phrase VI-deo & A-udio COM-unications.
Horn of Africa native.   		6 letters,"SOMALI.    	Somalia is a country located in the Horn of Africa that, sadly, is noted today for a devastating civil war and as a base for pirates who prey on ships passing through the Indian Ocean along the Somali coast."
Seafarer's adverb.   		4 letters,THAR.    	Thar she blows!
Darjeeling server.   		6 letters,TEAPOT.    	Darjeeling tea comes from the Darjeeling district of West Bengal in India.
Zimbabwe's capital.   		6 letters,"HARARE.    	Cecil Rhodes (famous in America as the founder of the Rhodes Scholarship), was a very successful English businessman and South African politician. He founded the De Beers diamond mining company, and also founded the state of Rhodesia which was named after him. The British colony gained its independence over time in the latter half of the 20th century, and is known today as the countries of Zambia and Zimbabwe. The Rhodesian capital of Salisbury was renamed in 1982 to Harare, the current capital of Zimbabwe."
Self-portraitist Frida.   		5 letters,"KAHLO.    	Frida Kahlo was a Mexican painter, famous for her self-portraits. She was married to the equally famous artist Diego Rivera. Kahlo was portrayed by the actress Salma Hayek in a film about her colorful life called 'Frida' released in 2002."
"Jump the broom, so to speak.   		3 letters","WED.    	In the US, the tradition of jumping the broom is associated with mainly African American marriage ceremonies, and perhaps has a stigma attached to it as it harks back to the days of slavery. However, the practice also takes place in Romany Gypsy weddings across Europe, particularly in Wales."
Austrian neighbor.   		7 letters,"SLOVENE.    	The Republic of Slovenia is a country in Central Europe, bordered by Italy, Austria, Croatia and Hungary. Given its geographic location, the country has been part of various realms over the centuries, most recently being part of Yugoslavia. Slovenia declared independence from former Yugoslavia in 1991, and is now a member of the European Union."
Cozy thing?.   		6 letters,TEAPOT.    	I don't know what I'd do without my tea cosy/cozy ...
Christmas carol starter.   		6 letters,"O COME.    	The lovely hymn ""Adeste Fideles"" (translated from Latin as ""O Come, All Ye Faithful"") was written by one John Francis Wade in the 13th century. Well, he wrote the original four verses, with four more verses being added over time."
Religious doctrines.   		6 letters,"CREEDS.    	A creed is a confession of faith, or a system of belief or principles. The word ""creed"" comes from the Latin ""credo"" meaning ""I believe""."
"Largo, for one.   		5 letters",TEMPO.    	Largo is a instruction to play a piece of music with a very slow tempo. 'Largo' is the Italian word for 'broadly'.
Prohibitionists.   		4 letters,"DRYS.    	The 18th Amendment to the US Constitution was a great victory for the temperance movement, and in 1919 ushered in the Prohibition era. Highly unpopular, Prohibition was repealed in 1933 by the 21st Amendment."
Port named after a U.S.   		3 letters,"JAX.    	The port city of Jacksonville, Florida is the largest city by area in the contiguous United States (four cities in Alaska cover more land). Jacksonville was named in honor of President Andrew Jackson."
Hindu deity.   		5 letters,"SHIVA.    	The Hindu Trinity is composed of Brahma the creator, Vishnu the maintainer or preserver, and Shiva (also Siva) the destroyer or transformer. Shiva is a Sanskrit word meaning ""auspicious, kind, gracious""."
Group of people living together.   		6 letters,MENAGE.    	'Ménage' is the French word for 'household'. The familiar term 'ménage à trois' translates as 'household of three' and is used to describe a domestic arrangement in which three people having sexual relations occupy the same household.
Tel Aviv's ___ Center for Peace.   		5 letters,"PERES.    	Shimon Peres is an Israeli statesman who was born in Poland. A former prime minister, Peres also served as the President of the State of Israel from 2007 until 2014. Born Szymon Perski in Poland, Peres was the oldest head of state in the world."
F.D.R.'s dog.   		4 letters,"FALA.    	Fala was the famous Scottish Terrier that was ever present at the side of President Franklin D. Roosevelt for many years. The terrier was a Christmas gift to the president from his cousin, who had named the dog Big Boy while she trained him as a puppy. President Roosevelt renamed him after an ancestor of his from Falahill in Scotland, so the dog's full name was Murray the Outlaw of Falahill. Fala lived on for several years after the president's passing. I've had the privilege of visiting the gravesites of Franklin and Eleanor Roosevelt in Hyde Park, New York, and Fala is buried just a few feet away from his master."
Big name in late-night TV.   		5 letters,"LORNE.    	Lorne Michaels is a television producer, best known as the creator of 'Saturday Night Live'. We can get some insight into Michaels' character and demeanor by watching the show '30 Rock'. The character played by Alec Baldwin is inspired by Michaels."
Words before a major pronouncement.   		4 letters,"I DO.    	I now pronounce you, husband and wife ..."
Miller character.   		5 letters,"LOMAN.    	'Death of a Salesman' is a famous play by Arthur Miller, first produced in 1949. 'Death of a Salesman' won a Pulitzer and several Tony Awards over the years. The 'salesman' in the play is the famous character Willy Loman. The play originally opened up on Broadway and ran for 724 performances. The lead role was played by the veteran actor Lee J. Cobb."
Pilgrim to Mecca.   		5 letters,"HADJI.    	Hadji is the term used for someone who has made a pilgrimage to Mecca, and it is sometimes also used as a form of address for such a person. The word Hadji actually translates into English as ""pilgrim""."
Pump figure.   		6 letters,"OCTANE.    	The difference between a premium and regular gasoline is its octane rating. The octane rating is measure of the resistance of the gasoline to auto-ignition i.e. it's resistance to ignition just by virtue of being compressed in the cylinder. This auto-ignition is undesirable as multiple-cylinder engines are designed so that ignition within each cylinder takes place precisely when the plug sparks, and not before. If ignition occurs before the spark is created, the resulting phenomenon is called ""knocking""."
"Helga's ""horrible"" husband.   		5 letters","HAGAR.    	""Hagar the Horrible"" is a comic strip that was created by the late Dik Browne and is now drawn by his son, Chris Browne. ""Hagar the Terrible"" (not ""Horrible"") was the nickname given to Dik by his sons."
"Like the Head Start program, for short.   		5 letters","PRE-K.    	The Head Start Program was launched in 1965 as part of President Lyndon B. Johnson's Great Society initiative and has the goal of providing education, health, nutrition and social services to low-income children. Head Start began as a six-week summer school program designed to prepare poorer kids for kindergarten, but was soon expanded as the six-week program was deemed inadequate."
Slapstick trio member.   		6 letters,"STOOGE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe and Shemp Howard (two brothers) and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and Shemp stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry Fine had a stroke in 1970, it effectively marked the end of the act."
Locale of the 15-Down Eyjafjallajökull.   		7 letters,ICELAND.    	(15. See 69-Across : VOLCANO)
"""Friday the 13th"" setting.   		4 letters","CAMP.    	Can you believe that the ""Friday the 13th"" franchise of horror movies comprises twelve films (so far)? The bad guy in the series is Jason Voorhees, a boy who drowned at summer camp. ""Friday the 13th"" is an incredibly successful franchise, something that I just do not understand ..."
Mr.   		4 letters,"PIBB.    	The soft drink on the market today called Pibb Xtra used to be known as Mr Pibb, and before that was called Peppo. Peppo was introduced in 1972 as a direct competitor to Dr Pepper."
Girl's name derived from the name of an ancient Anatolian kingdom.   		5 letters,LYDIA.    	Lydia and Ionia were ancient territories in a part of the world now covered by modern-day Turkey. Both territories eventually fell under Greek and then Roman rule.
Masterstroke.   		4 letters,"COUP.    	A coup d'état (often just ""coup"") is the sudden overthrow of a government, and comes from the French for ""stroke of state"". The Swiss German word 'putsch' is sometimes used instead of 'coup', with 'Putsch' translating literally as 'sudden blow'."
Decorated band along a wall.   		6 letters,"FRIEZE.    	A frieze is an architectural feature found in many Roman and Greek buildings. Inside a room, frieze is the name given to the upper part of the wall, between the picture rail and the crown molding. Outside of a room, the term frieze is the name given to any extended decoration that is positioned above eye level. Perhaps the most famous frieze comes from the Parthenon in Athens. Over a third of this highly decorated feature was removed from Athens and taken to London in the early 1800s by the Earl of Elgin, where they remain on display in the British Museum. These famous ""Elgin Marbles"" are subject of much controversy as the legality of the removal is in dispute."
User's (Unser's) circuit.   		3 letters,"LAP.    	The Unser family seems to have racing cars in its blood. Al Unser, Sr. won the Indy 500 on four occasions. Al's brother Jerry was the first of the Unsers to compete at Indianapolis. Al's other brother Bobby, won the Indy three times. Al's son, Al Junior, won the Indy twice. Al Junior's son is also a racing driver who competes at the Indy Speedway."
Like yaks.   		6 letters,"SHAGGY.    	The English word ""yak"" is an Anglicized version of the Tibetan name for the male of the species. Yak milk is much prized in the Tibetan culture. It is made into cheese and butter, and the butter is used to make a tea that is consumed in great volume by Tibetans. The butter is also used as a fuel in lamps, and during festivals the butter is even sculpted into religious icons."
3 x 3 x 3 container?.   		6 letters,"SUDOKU.    	Number puzzles similar to our modern-day Sudoku first appeared in French newspapers in the late 1800s. The format that we use today was created by Howard Garns, a 74-year-old freelance puzzle constructor from Connersville, Indiana and first published in 1979. The format was introduced in Japan in 1984 and given the title of 'Sūji wa dokushin ni kagiru', which translates to 'the digits are limited to one occurrence'. The rather elaborate Japanese title was eventually shortened to Sudoku. No doubt many of you are fans of Sudoku puzzles. I know I am ..."
Cry after an epiphany.   		4 letters,"AHA!.    	An 'epiphany' is an appearance or manifestation, especially of a supreme being. By extension, 'epiphany' can also apply to a sudden insight or intuitive perception. The term derives from the Greek 'epiphainein' meaning 'to manifest, display'."
"""___ a man in Reno"" (""Folsom Prison Blues"" lyric).   		6 letters","I SHOT.    	""Folsom Prison Blues"" is a song written and recorded by Johnny Cash. Cash wrote it in West Germany while serving in the US Air Force after seeing the movie 'Inside the Walls of Folsom Prison'. An iconic, and scary, line in the song is 'But I shot a man in Reno, just to watch him die'."
Mother of Hermes.   		4 letters,"MAIA.    	Maia is one of the Pleiades of Greek mythology, and is the eldest of the Seven Sisters."
Like most of Wyoming.   		5 letters,"RURAL.    	Wyoming is the least populous state, and the tenth largest state in terms of area."
1/24 of un jour.   		5 letters,"HEURE.    	In French, 1/24 of a day (jour) is an hour (heure)."
"Girl's name meaning ""beautiful"".   		5 letters","BELLA.    	'Bella' is the Italian word for 'beautiful, nice'."
Fictional locale of a John Wayne western.   		8 letters,"RIO LOBO.    	'Rio Lobo' is a Western movie that was released in 1970, starring John Wayne. 'Rio Lobo' is the third film in a trilogy that was directed by Howard Hawks, the other two films being 'Rio Bravo' (1959) and 'El Dorado' (1966). 'Rio Lobo' was the last film that Hawks directed."
South American land.   		6 letters,"TIERRA.    	'Tierra' is Spanish for 'earth, land'."
"___ de Champlain, founder of Quebec.   		6 letters","SAMUEL.    	Samuel de Champlain was a French navigator, cartographer and explorer, and the man who made the first accurate map of 'New France', that ares on the east coast of North America that was colonized by the French starting in 1534. Champlain was also the first European to explore and describe the Great Lakes. In 1608, he founded the settlement that is now Quebec City. He named Lake Champlain, partially in today's New York, Vermont and Quebec, after himself, as he was the first European to explore and describe the body of water."
"Eclipses, to some.   		5 letters","OMENS.    	A lunar eclipse occurs when the moon passes into the shadow cast by the earth from the light of the sun, in other words when the earth is positioned directly between the sun and the moon. The more spectacular solar eclipse takes place when moon passes in front of the sun, so that the earth falls into the shadow cast by the moon."
"Any one of the company in ""Three's Company"".   		6 letters","TENANT.    	The tremendously successful US sitcom 'Three's Company' ran from 1977 to 1984. The show was actually a remake of an equally successful British sitcom called 'Man About the House'. I must, I was a fan of both shows ..."
"Reach the Mediterranean, say?.   		7 letters","PASS GO.    	Mediterranean Avenue is a property in the game of Monopoly. The street names in the US version of Monopoly are locations in or around Atlantic City, New Jersey."
Former Celtic Danny.   		5 letters,"AINGE.    	Danny Ainge is a retired professional basketball and baseball player, now serving as the President of Basketball Operations for the Boston Celtics. Ainge was an outstanding athlete from an early age, and is the only person to be named a high-school All American in the three sports of football, basketball and baseball."
"Wertmüller who directed ""The Seduction of Mimi"".   		4 letters","LINA.    	Lina Wertmüller was an Italian movie director of Swiss descent. Wertmüller was the first woman ever to receive an Academy Award nomination for directing, in 1976 for her film 'Seven Beauties'."
Queen Victoria's husband.   		6 letters,"ALBERT.    	Prince Albert of Saxe-Coburg and Gotha met his future wife Victoria before she had ascended to the British throne. It was after Victoria became queen that she proposed to Albert, and the couple married in 1840."
___ .45.   		4 letters,COLT.    	The Colt Single Action Army is a revolver that is better known as the 'Colt .45'. It was the standard military service revolver for the US Army from 1873 to 1892. The Colt .45 is also known as the 'Gun that Won the West'.
Texas A&M student.   		5 letters,"AGGIE.    	Texas A&M is the seventh largest university in the country, and was the first public higher education institute in the state when it accepted its first students in 1876. The full name of the school was the Agricultural and Mechanical College of Texas and its primary mission used to be the education of males in the techniques of farming and military warfare. That's quite a combination! Because of the agricultural connection, the college's sports teams use the moniker 'Aggies'."
___ bath.   		4 letters,SITZ.    	A 'sitz bath' is one in which the water comes up to the hips. It is usually a therapeutic bath used to treat discomfort in the lower part of the body. The term comes from the German 'Sitzbad' meaning a bath (bad) in which one sits. 'Sitzen' is German for 'to sit'.
Bend an elbow.   		4 letters,"TOPE.    	""To tope"" is to drink alcohol excessively and habitually."
"""Inside Llewyn Davis"" actor Oscar and others.   		6 letters","ISAACS.    	Oscar Isaac is an actor from Guatemala who was raised in Miami. Before acting, Isaac played lead guitar in his own band, called the Blinking Underdogs."
"When tripled, blah, blah, blah.   		4 letters","YADA.    	""The Yada Yada Yada"" is actually the name of the 153rd episode of ""Seinfeld"". Before ""Seinfeld"" made ""yada yada yada"" famous, we were more likely to hear the phrase ""yadda yadda"", often used by comedian Lenny Bruce for example."
"Pike, e.g.   		4 letters",ROAD.    	Back in the 15th century a 'turnpike' was a defensive barrier across a road. By the 17th century the term was used for a barrier that stopped travellers until a toll was paid. By the 18th century a turnpike (sometimes 'pike') was the name given to a road with a toll.
Roosevelt's successor.   		6 letters,"TRUMAN.    	Harry Truman wanted to go to West Point having served with the Missouri Army National Guard on active duty in WWI, but he couldn't get in because of his poor eyesight. Young Truman didn't have the money to pay for college anywhere else. He did manage to study for two years towards a law degree at the Kansas City Law School in the twenties, but he never finished his schooling. So, Harry S. Truman was the last US President (out of a list of ten) who did not have a college degree."
Musical middle name.   		7 letters,AMADEUS.    	The composer Mozart's full name was Wolfgang Amadeus Mozart. The name 'Wolfgang' translates literally as 'wolf journey'. Amadeus translates as 'love god'!
Film critic Jeffrey.   		5 letters,"LYONS.    	Jeffrey Lyons is a TV and film critic from New York City. Interestingly, Lyons spent three season training as a field goal kicker with the New York Giants, and spent seven summers studying bullfighting in Spain."
Paris pyramid designer.   		6 letters,"IM PEI.    	I. M. Pei (full name: Ieoh Ming Pei) is an exceptional American architect who was born in China. Of Pei's many wonderful works, my favorite is the renovation of the Louvre in Paris, especially the Glass Pyramid in the courtyard."
Jane who won a 1931 Nobel Peace Prize.   		6 letters,"ADDAMS.    	Jane Addams was a suffragist and social worker from Cedarville Illinois. Her prominence was such that Addams nominated Theodore Roosevelt for the US Presidency at the Progressive Party's convention in 1912. In 1931, she became the first American woman to win the Nobel Peace Prize."
Midsize Nissan.   		6 letters,"ALTIMA.    	Nissan has been making the Altima since 1993. In 2007 the company started to produce a hybrid version, Nissan's first foray into the hybrid market and a successful one by all accounts. Altima hybrids are even used as police cruisers by the New York Police Department."
What bulldogs' jowls do.   		3 letters,"SAG.    	The bulldog breed of dog has been around at least since 1500. Back then, bulldogs were used in the 'sport' of bull baiting. Dogs would be set on a tethered bull to see which bulldog could latch onto the bull's nose and drag it to the ground. Bull baiting was outlawed in England in 1835."
Pioneer's direction.   		4 letters,"WEST.    	Horace Greeley was a newspaper editor and politician. In the media industry, Greeley founded and edited the 'New York Tribune', which was a very influential paper in the 1800s. In an 1865 editorial he wrote the famous words 'Go West, young man, go West and grow up with the country.' As a politician, Greeley ran for US President in the 1872 election. He lost that election to Ulysses S. Grant in a landslide. Greeley died not long after the votes were cast, making him the only presidential candidate to have died prior to the counting of electoral college votes."
Deadline time appropriate to this puzzle.   		5 letters,"APRIL.    	April 15th wasn't always Tax Day in the US. The deadline for returns was March 1st from 1913-18, when it was moved to March 15th. Tax Day has been April 15th since 1955."
Dragon fruit plants.   		5 letters,"CACTI.    	The fruit of several species of cactus is called a pitaya or dragon fruit. Dragon fruit is edible, although one only eats the flesh inside the skin."
"Tagliatelle, e.g.   		5 letters","PASTA.    	Tagliatelle is a type of pasta from eastern Italy. Tagliatelle is similar to fettuccine, and so is made up of long, flat ribbons. The name comes from the Italian 'tagliare' meaning 'to cut'."
"""What we pay for civilized society,"" per Oliver Wendell Holmes.   		5 letters","TAXES.    	Oliver Wendell Holmes, Jr. was an Associate Justice of the US Supreme Court from 1902 until 1932. Holmes is oft-quoted, and perhaps the most famous phrase that he coined is 'clear and present danger'. He also said 'Taxes are the price we pay for a civilized society'. That quotation can be seen above the headquarters of the IRS in Washington, D.C."
Clerical gatherings.   		6 letters,"SYNODS.    	The word synod comes from the Greek word for assembly, or meeting. A synod is a church council, usually in the Christian faith."
Coll.   		4 letters,GPAS.    	Grade point average (GPA)
___ bean.   		4 letters,FAVA.    	Fava bean is an alternative name for the broad bean.
Like a rainbow.   		5 letters,"ARCED.    	Sunlight shining through airborne water droplets can produce rainbows. The water droplets act as little prisms, dispersing the white light into its constituent colors. Sometimes we see double rainbows. If we look carefully, the order of the colors in the first and second arcs is reversed."
Manhole emanation.   		5 letters,"STEAM.    	On a recent trip to New York City in the winter, it struck me that the steam emanating from the manholes was a peculiarly American phenomenon, and is especially associated with the Big Apple. I've never seen such a thing in my travels around the world, so I did a little checking. It seems that the large buildings in New York were traditionally built with large steam heating plants. Excess steam was sold to neighboring buildings and soon the power companies were building central steam generation plants. As a result, there are miles and miles of steampipes snaking across the city. I guess some of the steam leaks out and escapes through the manholes."
N.B.A.   		6 letters,"RODMAN.    	Retired professional basketball player Dennis Rodman was quite the character on the court, and made a big splash off the court too (and still is!). Famously, Rodman had an affair with the singer Madonna, was married for a while to Carmen Electra, and turned out in a wedding dress to promote his autobiography!"
Tracking systems.   		6 letters,"RADARS.    	Scientists have been using radio waves to detect the presence of objects since the late 1800s, but it was the demands of WWII that accelerated the practical application of the technology. The British called their system RDF standing for Range and Direction Finding. The system used by the US Navy was called Radio Detection And Ranging, which was shortened to the acronym RADAR."
"Singer with the #1 debut album ""Animal,"" 2010.   		5 letters",KESHA.    	Ke$ha (also just Kesha) is the stage name used by singer Kesha Rose Sebert.
Glacial ridges.   		6 letters,"ARETES.    	An arete is ridge of rock defining the border between two parallel valleys that have been formed by glaciation. If this ridge is rounded, it is called a ""col"". However if it is ""sharpened"", with rock falling way due to successive freezing and thawing, then it is called an ""arete"". 'Arête' is the French word for ""fish bone""."
"Rooney ___, star of ""The Girl With the Dragon Tattoo"".   		4 letters",MARA.    	The actress Rooney Mara is noted for her role in the 2010 film 'The Social Network' and more recently for the title role in the 2011 hit movie 'The Girl with the Dragon Tattoo'. Mara has American Football in her blood. Her mother's family founded the Pittsburgh Steelers and her father's family founded the New York Giants.
Opera singer Pinza.   		4 letters,EZIO.    	Ezio Pinza was an opera singer from Italy. Pinza performed for many years with the Metropolitan Opera in New York before retiring from the Met in 1948. He then launched a career on Broadway and in Hollywood.
Some are 13-/14-Down.   		5 letters,"NARCS.    	(13. With 14-Down, figs. in the war on drugs : DEA"
Fourth-row Battleship position.   		5 letters,"D-TEN.    	Battleship was a game that we used to play as kids using pencil and paper. The game had been around at least since WWI, and was eventually turned into a board game by Milton Bradley in 1967."
Some exterior decoration.   		6 letters,"DECALS.    	A decal is a decorative sticker, short for 'decalcomania'. The term is derived from the French 'décalquer', the practice of tracing a pattern from paper onto glass or perhaps porcelain."
Lead-in to while.   		5 letters,"ERST-.    	Erstwhile means ""in the past"" or ""once upon a time""."
Tiny bit.   		5 letters,"SKOSH.    	""Skosh"" is a slang term meaning ""a little bit"", originally military slang that came out of the Korean War. ""Skosh"" derives from the Japanese word ""sukoshi"" which translates as ""few, little, some""."
Rugby formation.   		5 letters,"SCRUM.    	If you've ever seen a rugby match, you'll recognize the ""scrum"", where the players designated as ""forwards"" bind together and push against the forwards on the opposing team. It's a way of restarting the game after various types of stoppages. Scrum is short for ""scrummage"", which in itself is a variation of ""scrimmage"". And ""scrimmage"" has its roots in the word ""skirmish"". If you get the chance, take a look at the Matt Damon-Morgan Freeman movie called ""Invictus"", directed by Clint Eastwood. It's all about rugby in South Africa after Nelson Mandela came to power. A powerful film ..."
Church assemblies.   		6 letters,"SYNODS.    	Several Eastern Orthodox and Eastern Catholic Churches have ruling bodies called Holy Synods, comprising a group of bishops who elect the head bishop or patriarch for their church."
___ Anne's (pretzel maker).   		6 letters,"AUNTIE.    	Auntie Anne's is a chain of pretzel bakeries that was founded in 1988. The chain started out as a simple stand in a farmer's market in Downingtown, Pennsylvania. There are now almost 900 outlets in about a dozen countries."
Mani-___ (nail job).   		4 letters,PEDI.    	Manicure & pedicure (mani-pedi)
Basic thing.   		6 letters,"ALKALI.    	The 'opposite' of an acid is a base. Acids turn litmus paper red, and bases turn it blue. Acids and bases react with each other to form salts. An important subset of the chemicals called bases are the alkalis, the hydroxides of the alkali metals and of ammonium. The term 'alkali' is sometimes used interchangeably with 'base', especially if that base is readily soluble in water."
"""___ Eyes"" (1975 Eagles hit).   		5 letters","LYIN'.    	The Eagles song 'Lyin' Eyes' was recorded in 1975. Written by band members Don Henley and Glenn Frey, the lyrics were inspired by a meeting between a man and a woman the composers witnessed in Dan Tana's Bar & Restaurant in Los Angeles. Henley and Frey imagined a scenario of secret love, and 'Lyin' Eyes' was born."
Detective writer Earl ___ Biggers.   		4 letters,DERR.    	Charlie Chan is the main character in a series of novels by Earl Derr Biggers. Chan is a Chinese-American detective working with the Honolulu police department. There have been almost 50 movies made featuring the Charlie Chan character.
"Laura who wrote and sang ""Wedding Bell Blues"".   		4 letters","NYRO.    	Laura Nyro was a singer-songwriter from the Bronx, New York. Nyro had success with her own recordings, but her songs were even more successful when recorded by other big names. Two of Nyro's compositions were 'Eli's Coming' recorded by Three Dog Night, and 'Stoney End' by Barbra Streisand."
Cry with an epiphany.   		4 letters,"AHA!.    	An 'epiphany' is an appearance or manifestation, especially of a supreme being. By extension, 'epiphany' can also apply to a sudden insight or intuitive perception. The term derives from the Greek 'epiphainein' meaning 'to manifest, display'."
"Vint ___, one of the so-called ""fathers of the Internet"".   		4 letters","CERF.    	Although there are a few people who are given the title ""father of the Internet"", Vint Cerf is most associated with the title. Also so honoured are engineers Bob Kahn and Donald Davies. Cerf co-designed the architecture of the Internet, as well as the crucial TCP/IP protocols used."
"""Groundhog Day"" director.   		5 letters","RAMIS.    	Harold Ramis was a real all-rounder, working as an actor, director and writer. Indeed, in both 'Ghostbusters' and ""Stripes"" he was a co-writer as well as playing a lead character. Ramis worked as writer-director on 'Caddyshack', 'National Lampoon's Vacation', 'Groundhog Day' and 'Analyze This'."
"""Eugene Onegin"" heroine.   		7 letters",TATIANA.    	'Eugene Onegin' is a novel by the Russian author Alexander Pushkin. The novel is unusual in that it is written in verse form. 'Eugene Onegin' was adapted into an opera of the same name by Pyotr Tchaikovsky.
Ketchup is one.   		5 letters,"SAUCE.    	The term 'ketchup' may be of Chinese origin. One suggestion is that the name comes from 'kôe-chiap', meaning the brine of pickled fish. The name may also come from the Chinese 'jyutping', meaning 'tomato sauce'."
Prison riot town.   		6 letters,"ATTICA.    	The Attica Correctional Facility in Attica, New York is used to incarcerate the toughest of the state's convicts. Famous people who have spent time in Attica include David Berkowitz (Son of Sam) and Mark David Chapman (who killed John Lennon). Attica was the site of a famous riot in 1971 involving almost 1,000 inmates. Control of the prison was restored by the authorities after several days of unrest that left 39 people dead, including ten guards and other prison employees."
Botanist Gray.   		3 letters,"ASA.    	Asa Gray was an important American botanist in the nineteenth century. He was a lifelong friend of Charles Darwin, albeit mainly through correspondence. Darwin's book ""Forms of Flowers"", was dedicated to Gray."
