ASS_,ASST.    	Personal Digital Assistant (PDA)
C_IRO,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
IGU_NA,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from an IR lamp to maintain body temperature."
L_OPA,"L-DOPA.    	L-3,4-DihydrOxyPhenylAlanine, thankfully can be shortened to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
_DD,EDD.    	Edd Hall is most famous as a former announcer for Jay Leno on 'The Tonight Show'.
ZIT_,"ZITI.    	Cylindrical pasta is known in general as 'penne', and there are many variants. Ziti is a particularly large and long tube, with square-cut ends."
PE_OT,"PEROT.    	Ross Perot graduated from the US Naval Academy in 1953, as president of his class. Perot served his 4-year commitment but then resigned his commission, apparently having become somewhat disillusioned with the navy. He was ranked number 101 on the Forbes 400 List of Richest Americans in 2012, and at that time was worth about $3.5 billion. Back in 1992, Perot ran as an independent candidate for US president. He founded the Reform Party in 1995, and ran as the Reform Party candidate for president in 1996."
A_H,"ATH.    	Athens is the capital city of Greece and is one of the world's oldest cities, with a history that goes back around 3,400 years. In its heyday, Classical Athens was a remarkable center for the arts and philosophical debate, and was home to Plato and Aristotle. Athens is often called 'the cradle of Western civilization' and 'the birthplace of democracy'. The city was named for the Greek goddess Athena."
A_APAHO,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
_GGS,"EGGS.    	A lacto-ovo vegetarian is someone who does not consume meat or fish, but does eat eggs (ovo) and dairy (lacto) products."
ASW_N,"ASWAN.    	The Egyptian city of Aswan lies in the south of the country, on the River Nile. Aswan is famous for its stone quarries, going back to ancient times. The most celebrated granite rock from the area is called syenite. Stone from Aswan was shipped northwards along the Nile and used in the construction of the pyramids."
C_IO,"CLIO.    	The Renault Clio is a small car first produced in 1990. It is still being manufactured, now in its third generation. It is hugely successful for Renault, helping to restore its reputation after a difficult time in the 1980s."
S_AS,"SEAS.    	The phrase 'the seven seas' has been used for centuries by many different peoples. The actual definition of what constitutes the collection of seven has varied depending on the period and the culture. Nowadays we consider the seven largest bodies of water as the seven seas, namely:"
NOT_,"NOTA.    	'Nota bene' is the Latin for ""note well"""
A_ASKA,"ALASKA.    	Alaska was never a profitable colony for Russia, so the empire was probably glad to receive the $7.2 million forked out by the US in 1867. The US military ran Alaska for a while, until it was made officially into a territory in 1884."
UN_,"UNI.    	A unitard is like a leotard, except that it has long legs and sometime long sleeves. It wouldn't be a good look for me ..."
TARS_,"TARSI.    	The tarsals (also 'tarsi') are the ankle bones, equivalent to the carpals in the wrist."
SCIO_,"SCION.    	Scion comes from the old French word ""sion"" or ""cion"", meaning ""a shoot or a twig"". In botanical terms today, a scion is used in grafting two compatible plants together. In grafting, one plant is selected for its root system (the 'rootstock'), and the other plant is selected for its stems, leaves and fruit (the ""scion""). The term scion migrated naturally into the world of family history. A scion is simply a descendant, a son or a daughter and therefore a branching point in the family tree."
SAPO_,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
E_D,"EDD.    	Edd Roush was a big hitter who played Major League Baseball, starting in 1913 for the Chicago White Sox. He jumped ship to the Federal League in 1914, a league set up to compete with the already well-established National and American Leagues. The upstart league only lasted a couple of seasons. When Edd Roush passed away in 1988 at the age of 94, he was the last surviving player from the short-lived Federal League."
EAT_,"EATS.    	'Victuals' is a term for food that is fit for consumption. We tend to pronounce 'victuals' as 'vittles', and we use the term 'vittles' and 'victuals' interchangeably."
LIR_S,"LIRAS.    	The currency of Turkey is the Turkish lira, which is divided into 100 kuruş."
_OLO,"BOLO.    	I've never worn a bolo tie, and was surprised to discover that it is a relatively recent invention. The first bolo tie was apparently produced in Wickenburg, Arizona in the late 1940s by a silversmith. The bolo takes its name from the boleadora, an Argentine lariat."
M_S,MPS.    	Member of Parliament (MP)
_ND,"UND.    	""Tristan und Isolde"" is an epic opera by Richard Wagner (Wagner ... not one of my favorites!). Many see it as the first serious move away from the traditional harmony and tonality of the classical and romantic eras."
TOR_H,TORAH.    	The Book of Numbers in the Hebrew and Christian Bibles relates much of the journey of Moses and the Israelites from Egypt to the promised land. The title comes from the numbering of the people that is described in the beginning of the book.
BO_E,"BOSE.    	Bose Corporation was founded in 1964 by Amar G. Bose, and is a company that specializes in manufacture of audio equipment."
BO_O,BOLO.    	(24A. See 17-Down : TIE)
CA_N,"CAEN.    	Caen, on the River Orne, lies in the Calvados department of France in the northwest of the country. Caen is famous for the WWII Battle of Caen that left the town practically destroyed. Caen is also the burial place of the Norman King William I of England, also known as William the Conqueror after his victory at the Battle of Hastings in 1066."
_ASE,"EASE.    	The phrase ""life of Reilly"" dates back to at least 1919. It may have originated in a song from the 1880s about a man called O'Reilly and how he became rich and lived an easy life."
_SWAN,"ASWAN.    	From ancient times right up to 1970 the annual flooding of the Nile was a significant event in Egypt. The flooding allowed the deposition of fertile silt far beyond the banks of the river, helping the region's agriculture. However, the flooding was unpredictable. So the Aswan Dam was built in the sixties and from 1970 the flooding was brought under control."
D_N,"DON.    	Don Juan is a flighty character who has been featured by a number of authors, poets and composers, including Moliere, Byron, and Mozart. In the underlying legend, Don Juan ends up talking to the statue of the dead father of one of his conquests. Don Juan dines with the ghost of the dead man and when shaking the hand of the ghost he is dragged away to hell."
MET_L,"METAL.    	The Latin word for tin is 'stannum', and so tin's atomic symbol is 'Sn'. One of the ores used as a source of tin is 'stannite'."
_RR,"ERR.    	Foozle, such a lovely word. It means to manage something poorly, or to bungle. In golf a poor stroke might be called a foozle."
MP_,MPH.    	Miles per hour (mph)
_APRI,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight that's colored blue as it passes through the seawater into the cave."
_ASE,"EASE.    	The phrase ""life of Reilly"" dates back to at least 1919. It may have originates in a song from the 1880s about a man called O'Reilly and how he became rich and lived an easy life."
_ELA,"BELA.    	Bela Lugosi was a Hungarian stage and screen actor, best known for playing the title role in the 1931 film 'Dracula' and for playing the same role on Broadway. Lugosi found himself typecast for the rest of his career and almost always played the role of the villain, often in horror movies. When he passed away in 1956, his wife had him buried in the costume he wore playing Count Dracula on Broadway."
NA_,NAP.    	And mine ...
EI_,EIS.    	'Eis' is the German word for 'ice'.
_OLO,"BOLO.    	I've never worn a bolo tie, and was surprised to discover that it is a relatively recent invention. The first bolo tie was apparently produced in Wickenburg, Arizona in the late 1940s by a silversmith. The bolo takes its name from the boleadora, an Argentine lariat."
T_SH,"TOSH.    	Daniel Tosh is a stand-up comedian and host of 'Tosh.0', a video clip show on Comedy Central."
Y_W,"YEW.    	Yew is the wood of choice for the longbow, a valued weapon in the history of England. The longbow is constructed with a core of yew heartwood (as the heartwood resists compression) that has a sheath of yew sapwood (as the sapwood resists stretching). The yew was in such demand for longbows that for centuries yew trees were in short supply in Britain and the wood had to be imported from all over Europe."
E_EE,"E LEE.    	Robert E. Lee is of course renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state."
CA_,"CAB.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The ""cab"" in the name is short for ""cabriolet"", a prior design of carriage on which the hansom was based. It's from ""hansom cab"" that we get our modern term ""cab""."
DEN_M,"DENIM.    	Denim fabric originated in Nimes in France. The French phrase ""de Nimes"" (from Nimes) gives us the word ""denim"". Also, the French phrase ""bleu de Genes"" (blue of Genoa) gives us our word ""jeans""."
NE_,"NEZ.    	In French, a nose (nez) can detect odors (odeurs)."
I_P,"IMP.    	We might call a little imp a rapscallion, an evolution from 'rascallion', which in turn comes from 'rascal'."
RO_S,"ROCS.    	The mythical roc is a huge bird of prey, reputedly able to carry off and eat elephants."
DO_,DON.    	Apparently 'Cosa Nostra' is the real name for the Italian Mafia. 'Cosa Nostra' translates as 'our thing' or 'this thing of ours'. The term first became public in the US when the FBI managed to turn some members of the American Mafia. The Italian authorities established that 'Cosa Nostra' was also used in Sicily when they penetrated the Sicilian Mafia in the 1980s. The term 'mafia' seems to be just a literary invention that has become popular with the public.
A_TS,ARTS.    	Master of Fine Arts (MFA)
ERS_TZ,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
_YST,"SYST.    	CBS used to be called the Columbia Broadcasting System. CBS is the second-largest broadcaster in the world, second only to the BBC in the UK. CBS introduced its 'eye' logo in 1951."
_AKE,"SAKE.    	We refer to the Japanese alcoholic beverage made from rice as ""sake"". We've gotten things a bit mixed up in the West. ""Sake"" is actually the word that the Japanese use for all alcoholic drinks. What we know as sake, we sometimes refer to as 'rice wine'. It is indeed made from rice, but it is a brewed rather than fermented and so is more like a beer than a wine."
_LEUT,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
ES_,"ESE.    	The Colorado city of Boulder is located in the foothills of the Rocky Mountains about 25 miles northwest of Denver. Boulder is a college town, and is home to the main campus of the University of Colorado."
_EPP,"DEPP.    	What's Eating Gilbert Grape' is a 1993 film adapted from a 1991 novel of the same name by Peter Hedges. The film stars Johnny Depp in the title role, and Leonardo DiCaprio as Gilbert's mentally disabled brother."
S_ST,"SYST.    	GPS stands for Global Positioning System. The modern GPS system that we use today was built by the military who received the massive funding needed because of fears during the Cold War of the use of Intercontinental Ballistic Missiles. We civilians, all round the world, owe a lot to President Ronald Reagan because he directed the military to make GPS technology available to the public for the common good. He was moved to do so after the Soviet Union shot down KAL flight 007 carrying 269 people, just because it accidentally strayed into Soviet airspace."
PELO_I,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
_IT,"ZIT.    	The slang term 'zit', meaning ""a pimple"", came into the language in 1966, but no one seems to know its exact derivation."
G_ODE,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
P_LOSI,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
ES_O,"ESTO.    	Taxco de Alarcón is a small city in southern Mexico. Taxco is a center for silver mining, and is also well known for the production of silverware and fine items made using silver."
_ASEL,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would carry its load."
UHU_A,"UHURA.    	Lt. Nyota Uhura is the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role was significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
AS_DA,"ASADA.    	Carne Asada translates from Spanish as ""roasted meat"", and is a roast beef dish."
A_II,"ALII.    	Et alii (et al.) is the equivalent of et cetera (etc.), with et cetera being used in place of a list of objects, and et alii used for a list of names. In fact ""et al."" can stand for et alii (for a group of males, or males and females), aliae (for a group of women) and et alia (for a group of neuter nouns, or for a group of people where the intent is to retain gender-neutrality)."
GE_OA,"GENOA.    	Niccolò Paganini was a famed Italian violinist and composer. Paganini was perhaps the most celebrated violinist of the 19th century. His most famous composition has to be his Caprice No. 24 in A minor, Op. 1. This work is the basis for many derivative masterpieces by other composers, including the wonderful 'Rhapsody on a Theme of Paganini' by Rachmaninoff."
EAS_,EASE.    	The military parade command 'Parade Rest!' is similar to the command 'Stand at Ease!' The only difference is that when given the 'Stand at Ease!' command a soldier must turn the head to look at whoever is addressing him or her.
_EW,"YEW.    	Voldemort is the main 'bad guy' in the 'Harry Potter' series of books. I heard J. K. Rowling, the author of the books, on the radio the other day and she tells us that 'Voldemort' is supposed to be pronounced with a silent 't' on the end, so it sounds kind of French. But when the movies came out the actors went with the hard 't', and that's the pronunciation that seems to prevail now."
BE_E,"BEBE.    	Charles ""Bebe"" Rebozo was a banker, and a longtime friend of President Richard Nixon. The two met when US Representative Nixon was vacationing in Key Biscayne in 1950, as Rebozo was asked to take Nixon deep sea fishing. A friendship developed that lasted the whole of Nixon's lifetime. Rebozo was a banker living in Florida, and so the two friends often saw each at the President's Key Biscayne compound."
_OLE,COLE.    	
OC_O,OCHO.    	A figure skater might carve out a figure eight ('ocho' in Spanish) in the ice.
CAIR_,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
_YRA,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. She hosts, and indeed created, the hit show 'America's Next Top Model ', and has her own talk show. Banks was the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
_DIC,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
AB_A,"ABRA.    	Abra Bacon is a character in John Steinbeck's novel, 'East of Eden'."
_HURA,"UHURA.    	Lt. Nyota Uhura is the communications officer in the original ""Star Trek"" television series, played by Nichelle Nichols. The role is significant in that Uhura was one of the first African American characters to figure front and center in US television. In a 1968 episode, Kirk (played by William Shatner) and Uhura kiss, the first inter-racial kiss to be broadcast in the US. Apparently the scene was meant to be shot twice, with and without the kiss, so that network executives could later decide which version to air. William Shatner says that he deliberately ran long on the first shoot (with the kiss) and fluffed the hurried second shoot (without the kiss), so that the network would have no choice."
A_TA,"ACTA.    	Actum (plural acta) is the Latin word for ""deed"". It is used in English to describe many official records, including minutes, proceedings etc."
ERSA_Z,"ERSATZ.    	Something described as 'ersatz' is a copy, and usually not a good one. 'Ersatz' comes from the German verb 'ersetzen' meaning 'to replace'."
SAK_,"SAKE.    	We refer to the Japanese alcoholic beverage made from rice as ""sake"". We've gotten things a bit mixed up in the West. ""Sake"" is actually the word that the Japanese use for all alcoholic drinks. What we know as sake, we sometimes refer to as 'rice wine'. It is indeed made from rice, but it is a brewed rather than fermented and so is more like a beer than a wine."
_LG,"ALG.    	Algebra is a branch of mathematics that is similar to arithmetic, but using symbols in place of numbers. 'Algebra' is a Medieval Latin term that comes from the Arabic 'al jebr' meaning 'reunion of broken parts'."
ELLI_,ELLIE.    	Ellie Goulding is a singer-songwriter from England. One of Goulding's claims to fame is that she sang at the wedding reception of Prince William and Kate Middleton at Buckingham Palace in 2011.
_NEE,"KNEE.    	""Oh! Susanna"" is a song that was published in 1848, written by Stephen Foster. The song is often called ""Banjo on My Knee"", an understandable slip given the words of the chorus. 'Oh! Susanna' came to be associated with the Forty-Niners, the miners who travelled to California in the 1849 Gold Rush. The lyrics were changed to suit the Gold rush theme with 'Alabama' being replaced by 'California', and 'banjo' being replaced by 'washpan'."
_ETAL,"METAL.    	Headbanging is a practice engaged in by many players and followers of hard rock and heavy metal music. It involves shaking and nodding of the head energetically in time to the music. It's a dangerous practice. Terry Balsamo is a guitarist with the band Evanescence, and in 2005 he suffered a stroke, apparently from a blood clot that formed in his neck due due headbanging during performances."
P_OH,"POOH.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
_YTE,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. It has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text. The prefix mega- stands for 10 to the power of 6, so a megabyte (meg) is 1,000,000 bytes. And the prefix giga- means 10 to the power of 9, so a gigabyte (gig) is 1,000,000,000 bytes. Well, those are the SI definitions of megabyte and kilobyte. The purists still use 2 to the power of 20 for a megabyte (i.e. 1,048,576), and 2 to the power of 30 for a gigabyte."
AS_,"AST.    	Atlantic Standard Time is four hours behind Greenwich Mean Time, and one hour ahead of Eastern Standard Time. Puerto Rico is the Spanish for ""rich port"". The locals often call the island Puerto Rico Borinquen, the Spanish form of the original name used by the natives, Boriken."
MEL_E,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means a ""confused fight""."
_ZAWA,"OZAWA.    	Seiji Ozawa is most famous for his work as music director of the Boston Symphony Orchestra, although he is also the principal conductor of the Vienna State Opera. Ozawa is renowned for wearing a white turtleneck under his dress suit when he conducts, rather than the traditional starched shirt and white tie."
IB_X,IBEX.    	Ibex is a common name for various species of mountain goat. 'Ibex' is a Latin name that was used for wild goats found in the Alps and Apennines in Europe.
_SST,ASST.    	Assistant (asst.)
DE_IM,"DENIM.    	Denim fabric originated in Nimes in France. The French phrase ""de Nimes"" (from Nimes) gives us the word ""denim"". Also, the French phrase ""bleu de Genes"" (blue of Genoa) gives us our word ""jeans""."
OB_ES,"OBOES.    	A heckelphone is a musical instrument like an oboe, but pitched an octave lower. The heckelphone was invented in 1904 by a manufacturer of woodwind instruments in Germany called Wilhelm Heckel."
E_G,"EKG.    	An EKG measures electrical activity in the heart. Back in my homeland of Ireland, an EKG is known as an ECG (for electrocardiogram). We use the German name in the US, Elektrokardiogramm, giving us EKG. Apparently the abbreviation EKG is preferred as ECG might be confused (if poorly handwritten, I guess) with EEG, the abbreviation for an electroencephalogram."
A_G,ALG.    	Algebra (alg.)
NA_ER,"NADER.    	Ralph Nader has run as a third-party candidate for the office of President of the United States four times now, in every election from 1996 to 2008. Nader's name was first first linked with the presidential race in 1971, when the famous Dr. Benjamin Spock offered to stand aside as candidate in the 1972 race if Nader would agree to run, but he declined."
ABRA_,"ABRAM.    	James Abram Garfield, the 20th President, was of course assassinated in office. He was shot twice, and one bullet could not be found (it was lodged in his spine). The inventor Alexander Graham Bell developed a metal detector in an attempt to locate the bullet, but apparently he was unsuccessful because of interference from the metal bed frame on which the president lay. Garfield died two months after being shot."
S_P,"SEP.    	Patriot Day has been held on September 11th annually since 2002, after President George W. Bush declared Friday September 14, 2001 a National Day of Prayer and Remembrance for the Victims of the Terrorist Attacks on September 11, 2001."
PO_SE,POSSE.    	A rap star's entourage is usually called his or her 'posse'.
OBER_N,"OBERON.    	Oberon and Titania are the King and Queen of the fairies in Shakespeare's ""A Midsummer Night's Dream""."
U_OS,"UFOS.    	In 1952, the USAF revived its studies of reports of UFO sightings in a program called Project Blue Book. There were two prior USAF studies of the UFO phenomenon, namely Project Sign and Project Grudge. Project Blue Book ran from 1952 until it was shut down in 1969 with the conclusion that there was no threat to national security, and that there were no sightings that could not be explained within the bounds of modern scientific knowledge."
E_SEL,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would be made to carry a load."
T_RA,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. Banks created and hosts the hit show 'America's Next Top Model ', and also has her own talk show. She was also the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
FRER_,FRERE.    	In Paris sometimes a business partner is one's brother (frère).
P_PE,"PEPE.    	Pepé Le Pew is a very likeable cartoon character from the Looney Tunes and Merrie Melodies series. Pepé is a French skunk, first introduced way back in 1945. He is always thinking of ""l'amour"" and chases the lady skunks, or a black cat with a white stripe painted down her back accidently."
_TES,"STES.    	In French, Mary and Teresa (Marie et Thérèse) are saints (saintes, the feminine form)."
OI_ER,OILER.    	An 'oiler' is an oil tanker.
I_ANE,"INANE.    	Our word 'inane', meaning silly or lacking substance, comes from the Latin 'inanitis' meaning 'empty space'."
T_RRA,"TERRA.    	'Terra incognita' is a Latin term meaning 'unknown land', a term one might see on an old map. One might also see 'mare ingognitum', meaning 'unknown sea'."
LSA_S,LSATS.    	The Law School Admission Test (LSAT) has been around since 1948.
_BOES,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A"". Oh, and if you want to read a fun book (almost an ""exposé"") about life playing the oboe, you might try ""Mozart in the Jungle"" by oboist Blair Tindall. I heard recently that the folks at HBO are working towards a pilot based on the book, and I can't wait to see it!"
_LII,"ALII.    	Et alii (et al.) is the equivalent of et cetera (etc.), with et cetera being used in place of a list of objects, and et alii used for a list of names. In fact ""et al."" can stand for et alii (for a group of males, or males and females), aliae (for a group of women) and et alia (for a group of neuter nouns, or for a group of people where the intent is to retain gender-neutrality)."
JE_,"JED.    	In the excellent television show 'The West Wing', President Jed Bartlet is played by Martin Sheen."
C_B,"CAB.    	Hackney is a location in London, and it probably gave it's name to a ""hackney"", an ordinary type of horse around 1300. By 1700 a ""hackney"" was a person hired to do routine work, and ""hackneyed"" meant ""kept for hire"". This morphed into a hackney carriage, a carriage or car for hire."
TTO_S,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
_ION,ZION.    	Kolob Arch is one of the natural arches in Zion National Park. Kolob Arch is the second longest natural arch in the world (the longest being Landscape Arch in Arches National Park).
_YAN,"DYAN.    	In the 1969 film ""Bob & Carol & Ted & Alice"", Dyan Cannon played Alice, a role which earned her an Oscar nomination. She is also famous for having been one of Cary Grant's long list of wives, from 1965 to 1968 (and he was 33 years her senior)."
Z_ON,"ZION.    	To me, the most spectacular feature of Zion National Park, in southwestern Utah, is the magnificent Zion Canyon. The canyon cuts through red Navajo sandstone and is a truly beautiful sight."
_OOH,"POOH.    	In A. A. Milne's 'Winnie-the-Pooh' collection of stories, Pooh has many friend in Hundred Acre Wood. Besides Christopher Robin, who doesn't actually live in the wood, the list includes Piglet, Eeyore, Kanga, Roo, Rabbit, Tigger and Owl."
_DAS,RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII and were replaced by Recommended Daily Intakes (RDIs) in 1997.
UT_P,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry."
YE_,"YEW.    	The family of trees known as yews propagate by producing a seed surrounded by soft, sweet and brightly colored aril. Birds eat the fruit and then disperse the seed in their droppings. The birds leave the seed undamaged, and so are unharmed by the potent poisons taxine and taxol that are found within the seed. The seeds are highly toxic to humans."
H_L,"HDL.    	HDL (High-density lipoprotein) is a chemical that is used to transport fats around the body. When HDL is combined with (is transporting) cholesterol, it is often called ""good cholesterol"". This is because HDL seems to remove cholesterol from where it should not be, say on the wall of arteries, and transports it to the liver for re-use or disposal. Important stuff ..."
LI_N,"LION.    	In Greek mythology, a chimera was a female monster with the body of a lioness, a tail that ended in a snake's head, and the head of a goat that emanated from the lioness's spine. The term chimera has entered into our modern languag and means a fanciful illusion or fabrication."
LA_AW,"LA LAW.    	""L.A. Law"" ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful ""Hill Street Blues"" in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, ""E.R."" The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
HA_S,"HANS.    	Hans Zimmer is a film composer from Frankfurt in Germany. The long list of films that Zimmer has scored includes 'Rain Man' (1998), 'The Lion King' (1994), 'Gladiator' (2000), 'The Dark Knight' (2008), 'Inception' (2010) and '12 Years a Slave' (2013)."
_SAS,PSAS.    	Public service announcement (PSA)
P_AS,"PEAS.    	Snow peas are lovely vegetables, noted for having edible pods without that any inedible fiber."
M_H,"MPH.    	Back in the 1800s, 'dashboard' was the name given to a board placed at the front of a carriage to stop mud from ""dashing"" against the passengers in the carriage, mud that was kicked up by the hoofs of the horses. Quite interesting ..."
_ALAW,"LA LAW.    	""L.A. Law"" ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful ""Hill Street Blues"" in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, ""E.R."" The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
AX_S,"AXIS.    	Before WWII, Hungary's prime minister was lobbying for an alliance between Germany, Hungary and Italy and worked towards such a relationship that he called an ""axis"". The main Axis powers during the war of course were Germany, Italy and Japan. However, also included in the relationship were Romania, Bulgaria and the aforementioned Hungary."
_MU,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
T_RT,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
CRET_,"CRETE.    	Crete is the largest of the Greek Islands. Crete figures heavily in Greek mythology. Zeus was born in a cave at Mount Ida, the highest peak on the island. Crete was also home to the Labyrinth where the Minotaur was slain by Theseus. Icarus and Daedalus, after having crafted the Labyrinth, escaped from the island using wings that they crafted."
_BOES,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
INA_E,"INANE.    	""Vacuous"" and ""inane"" both mean ""silly, empty-headed"". ""Vacuous"" comes from the Latin word ""vacuus"" meaning ""empty"". 'Inane' comes from the Latin 'inanitis' meaning 'empty space'."
UTE_,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry. The teams are also known as the UTEP Miners and Lady Miners."
P_C,PFC.    	Private First Class (PFC)
EASE_,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would be made to carry a load."
_ENIM,"DENIM.    	Denim fabric originated in Nimes in France. The French phrase ""de Nimes"" (from Nimes) gives us the word ""denim"". Also, the French phrase ""bleu de Genes"" (blue of Genoa) gives us our word ""jeans""."
